side,script
for,Thank you for having me. Thanks for having me.
against,"You know, it’s no secret that I have a glass jaw, John, so we’ll see. We’ll see. I'll keep my guard up. Thanks for having me. Yeah. Delighted to be here."
for,"Thank you. So, let’s be clear. On one issue, there is no debate. The United States has the costliest healthcare system in the world, and despite that, we leave nearly 30 million people uninsured and many more with insurance that is so skimpy it’s basically junk. As an intensive care unit physician, I have seen the harm that our system imposes on patients, care delayed, care forgone because of costs, with catastrophic results. These are the facts, and we’re here to discuss tonight, how do we deal with them? Our side is going to argue that a single-payer improved Medicare for All system is not only the best way forward, it is actually the only way if we are going to solve three of the gravest problems of the American healthcare system. So, what are those problems, and how will single payer solve them? Number one, we have to cover everybody. As I mentioned, nearly 30 million people are uninsured in this country, and that problem is getting worse. Now, you may hear sometimes that it doesn’t matter very much because hospitals can’t turn you away if you show up, so what’s the big deal? Believe me, it is a giant deal. If you’re uninsured, and you go the hospital and are admitted, you may accrue tens of thousands of dollars of medical debt, bankrupting you. But for the uninsured, the cost of physician care is often too high, the cost of prescription drugs are too high. So, what do the uninsured do? They go without the care they need. In the ICU, I have seen patients with common conditions like diabetes, like high blood pressure, not get the care they need for years because they were uninsured and wind up with life-threatening complications in the intensive care unit. I do not want to see that anymore, and we don’t have to. It’s a choice we make. Medicare for All would solve that problem by covering everyone the day it is implemented. Everyone in; no one out. Problem solved. Let’s move on to problem number two. We also have to improve coverage for everyone else. Now, you’re going to hear from the other side tonight, I think, that Americans love their private health insurance. They don't want to give it up. But the reality is, private health insurance is failing Americans from coast-to-coast, and they know it. Insurance deductibles, the amount of money you pay out of pocket before insurance kicks in, are rising. Insurers' greed keeps Americans from the healthcare they need. And what are the consequences of those high deductibles? People don't get care. Children with asthma don't get their inhalers filled. Seniors don't go to the physician and wind up potentially in the hospital instead, with complications of chronic illnesses. A recent study found that women with high deductible healthcare plans, which are becoming the new normal, are very likely to put off diagnosis and treatment of their conditions. That means that people are using GoFundMe to raise money for their medical care, even though they have health insurance. So, Medicare for All would solve these problems very quickly and very simply. Everyone would get a public insurance plan that would cover your healthcare without copays or deductibles. Does that sound like fantasy? No. It's how it works in many countries in Europe. It's how it works in Canada. We can do it here in the richest country in the world. All right. That brings me to the final goal: controlling costs. So, you may hear from the other side tonight that, ""Well, that all sounds good. But how are we going to pay for it?"" Well, I'll tell you how we're going to pay for it. We're going to pay for it because our current system is far more costly than it needs to be. Let me give you one example. Private health insurance companies take 12 percent of every premium dollar you give them in their overhead, for their profits, for their administration, for their marketing, in order to fight with doctors, in order to fight with patients. That is sixfold higher than traditional Medicare, which only takes 2 percent for its overhead. That is enormous waste. Meanwhile, on the other side, hospitals are employing armies of billers and coders to fight with the insurance companies. We spend $80,000 per physician in this country just to cover the cost of their interactions with insurers. That's fourfold higher than Canada. So, that wastes time that physicians should be spending with their patients -- and it wastes time that patients should be spending recovering from their illnesses. We don't need to do it this way. And the simple fact is that a Medicare for All system could save hundreds of billions of dollars in administrative waste, money that could cover everyone -- we could use to cover everyone. So, in closing, the profound suffering imposed by our ailing healthcare system deserves strong medicine. There's a reason why a majority of Americans support Medicare for All. There's a reason why so many physicians think this is the best reform, both for themselves and for their patients. It is the only reform that can actually deliver universal healthcare while delivering the cost savings to pay for it. For all of those reasons, I ask you tonight to vote yes on the motion that we replace private health insurance with an improved Medicare for All system for everyone in the country. Thank you."
against,"Hi. Thank you, everyone. And, you know, what I want to start with is I want to start with the things I think that we agree on, all four of us on the stage. I won't speak for John, but I suspect he's in on this too -- which is that we want a country where people can pursue life, liberty, and happiness, as they define it. And we want a country where people who want health insurance and who have medical care -- that they get it, that it's universal and accessible to all. The question is, how best do we get there? And let me weigh out quickly the reasons why I'm against the idea of Medicare for All -- particularly the way that it's talked about by Bernie Sanders, who is really the impetus for this conversation. And he talks about it as Medicare for All means no premiums, no copays, no deductibles, and no more time wasted arguing with profit-driven insurance companies. Does anybody -- yeah. That all sounds great, doesn't it? Okay. Now, how exactly do we get there? The -- what -- because we don't want -- we don't just want a system that is available for everybody. We also want one that is constantly improving and innovating. And one of those things that's interesting in Adam's statements -- he didn't talk about improvements in healthcare. He didn't talk about innovation. He didn't talk about growing the ability of people to get more healthcare, even as, plainly, we would be increasing the demand. And what I want to talk about -- because Sally is the real expert on our side, in terms of the details and the nitty gritty of what the Canadian system is like -- which is the only pure single-payer plan out there in the planet. And she's going to talk about the deficits that that produces. But think about it in terms of general economics. In terms of general -- a general economic system, markets deliver more stuff to more people in more ways than controlled systems, than a single-payer system is going to do. So, the question is, how do we deal with that? It is true, according to Gallop -- the most recent Gallop polls -- 80 percent of people in America say that the quality of their personal healthcare is excellent or good. 70 percent say their healthcare coverage is excellent or good. So, most of us are happy with the system as it is. So, that means, if you're arguing for Medicare at all, you're telling 80 percent of Americans, ""You guys -- you're all wet. You're wrong about things."" One of the reasons for that is because, in order to do Medicare for All -- and this is according to the proponents of the plan -- the cost is going to be between $3 trillion to $4 trillion a year in new taxes that the government will be raising. That's double what the federal government already is raising in taxes. So, we're going to be doubling taxes. Some of that will be offset because, as private people, we -- about 50 cents of every healthcare dollar is spent by the government, about 50 cents by insurance companies, employers, and people like that. So, we're still looking at least $2 trillion a year in new taxes that you're going to be paying. The cost of health -- of Medicare for All is what had killed these plans in states like California, New York -- which had seriously entertained it -- or in Bernie Sanders's own home state of Vermont, which actually passed a single-payer plan without talking about the cost that it was going to be. The governor who was in favor of it, when it came to be, it turned out that they were going to have to increase, put in an 11.5 percent payroll tax on top of everything, and a 9 percent increase on the state income tax. They scotched the system. In a state that has fewer than a million people, they decided they could not afford Medicare for All. That's an object lesson -- Bernie Sanders's home state. Now, Medicare for All, if you go back to this idea that, you know, supply and demand is not different when we're talking about medical care than it is, say, when we're talking about groceries, or about the production of books, or movies, or clothing. When you increase the demand for something and you do not increase the supply, you are going to get limited -- you know, you're going to get waits. You're going to get waiting lists. You're going to get rationing by a bureaucrat -- not by what you can do. There's no place outside of the system in order to get stuff because it's all been public -- it's all been made public. Finally -- and this is the other reason to be against Medicare for All -- it's going to kill innovation in the healthcare field. And everything that is good about healthcare is better now than it was 50 years ago because of innovation. It's going to stymie things in two ways. First off, do you really expect a centralized bureaucracy to decide, ""Okay. This is a good, cutting-edge way of treating illness. We're going to go ahead with that."" The government and bureaucrats in the government in particular, when they have -- when you have no recourse outside of that system -- which is the whole point of Medicare for All -- there is no outside. They're not going to be responsive. They're not going to be forward-looking. They're not going to be avant-garde when it comes to new types of healthcare. The other thing -- and this goes to Bernie's idea about profit-driven insurance companies. How many of you work for a living? And how many of you work for a wage? You know, talking about stuff that's profit-driven is just mere ideological cant. If you take away a drug company -- if you take away a doctor's incentive to make money and to come up with new ways of doing things -- which is what will happen under Medicare for All because there will be strident price controls on all sorts of activities in the healthcare space -- you're going to hurt the ability to try new things and to make money from doing them. There's nothing wrong with that. So, what can we do? And this -- I'm going to have to give up my time here in a second. What we can do is do things to make markets function more clearly. Ask yourself, when is the last time -- like, do you know how much your blood test costs you? Even out of pocket. It's unclear. The healthcare system will be fixed if we bring more market signals in so that things are working better. And also, we can subsidize people -- the 28 million people without insurance. We can give them money to help them buy insurance on the private market. And I'll stop there. Thank you very much for your time. Please, vote against Medicare for All if you care about the cost of -- -- if you care about convenience -- --"
for,"Thank you. I grew up in poverty. My mom raised me by herself, and when I was a teenager, we lost our home to foreclosure. I saw my mom wake up in the middle of the night in cold sweats, agonizing over how she was going to help her parents in their final years get healthcare, how she was going to make sure my brother and I were able to go to the doctor and get the care we needed. I saw her struggle, working multiple jobs to pay for her private health insurance, because she often worked as a freelancer. The experience I had growing up and the experience my mom had raising me by herself doesn't make me unique. In fact, it puts me in common with almost eight out of 10 Americans who live paycheck to paycheck. This debate is much bigger than the question of single-payer health insurance. This debate is about the number-one reason that America has a poverty crisis. Poverty isn't what the statisticians have told us, that if you live below some arbitrary mathematical line, you're poor, and if you earn $5,000 above that line, you're middle-class. Poverty is whether you have the peace of mind that when your kid is sick, you'll be able to take her or him to the doctor. Poverty is that eight out of 10 Americans live paycheck to paycheck. When eight out of 10 Americans live paycheck to paycheck, we don't have a middle class. We have a massive poverty crisis, and it's a reflection of a changing economy where more and more people don't work for an employer, but work in unstable, unpredictable freelancing jobs. You know these jobs. They're part of what's called the gig economy. For an economy where people work for one employer, maybe employer-based health insurance was suitable. But a lot of the arguments you're going to hear tonight against Medicare for All are arguments that are outdated 25 years. It's true that people used to be reasonably happy with their employer-based health insurance when they had employers. But as we increasingly move into an economy where people are reliant on freelancing work, the idea of employer-based health insurance seems antiquated, and it is. The number-one way we can solve America's poverty crisis is by ensuring that no one is of want or worry for healthcare, and the surest way we can do that is through a single-payer system that isn't motivated by profit. You’re going to hear a lot of statistics tonight about innovation and a profit motive and how it’ll stifle innovation if we don't have private health insurance. But ultimately, your vote has to be a question of what kind of society we want to live in. Do we want a society where the god we worship is that of efficiency and productivity and the profitability of a particular industry, or do we want a society where we make sure that not everyone can pursue happiness, but that everyone is happy? Where not everyone has access to healthcare but has healthcare. Where people don't have the right to live, they live instead of being too poor to die? Now, I bring a unique perspective as an entrepreneur and a businessperson. I operate in the private sector, and let me tell you, the current system is broken left, right, center, upside down, every which way to Sunday. And it's not just broken for the 40 million people who don't have insurance and the 40 million people who are underinsured, who are disproportionally women and people of color. But it's also broken for entrepreneurs, for employers, and for workers, and let me give you a couple of examples. The United States is the only developed economy in the world whose businesses have to compete globally without government health insurance. So, when our companies are operating in a global marketplace against companies from Germany or Japan or England, they're competing against companies that aren't responsible for health insurance, and therefore can direct more private sector dollars to real innovation that's productive, inventing new products in research and development. Second of all, think about the effect on entrepreneurs. You know, at the top level, people think this is a golden era of entrepreneurship, but it's actually untrue. This is a golden era of people starting companies, but they can't survive more than a couple of years. And the biggest reason is those new companies are crippled by health insurance costs. And third of all is, let's talk about the gender and racial wealth gap. The gender and racial wealth gap grows and grows with every passing decade, and the reason, primarily, is that women and people of color lack the collective bargaining power in our economy that they once had in an era of stronger unions. But there's something else that suppresses the bargaining power of low-income workers. Imagine your hesitation to ask the person who controls whether your kid can go to the doctor for a raise. Aren't you going to think twice about going to that person and asking for more money, knowing that, if you piss that person off, he or she can control whether you take your kid to the doctor? In conclusion, as you hear us expound on the merits of single-payer health insurance and you hear statistics from this side and from our side, remember that this is fundamentally about a question of, ""We want a country where people make money off of those who die and don't have access, or a country that prioritizes, insuring that no one is too poor to live."""
against,"Thank you. Thank you. Medicare for All is more popular today than ever. Senator Bernie Sanders' 2019 bill has 14 cosponsors. Congressman Pramila Jayapal's single-payer bill has 118 cosponsors. 50 percent of Americans being polled today support the idea of Medicare for All. But, in spite of that, I am confident that I can make the case against Medicare for All and, by the end of the evening, that you will decide with Nick and myself that you should vote against the proposition. Support for Medicare for All resides on -- rests on several misconceptions, the most important being that -- the idea of Medicare for All. Medicare for All would simply enroll everyone in a government health insurance plan. Medicare, as we know it, along with Medicaid, would be eliminated. Private health insurance would be banned, and one million people in the insurance industry would lose their jobs. All Americans would be in a single-payer healthcare system. The only thing that this program would borrow from the Medicare program is the payment structure, and that's a problem. Doctors would be paid Medicare rates, which are 40 percent below what they get paid for treating private patients. Private patients subsidize doctors for treating Medicare and Medicaid patients. If we eliminate private insurance, doctors and hospitals will lose significant amounts of income. Many doctors will decide they want to reduce the size of their practice, they want to quit medicine, or they want to go into another profession. That will exacerbate our nation's doctor shortage. Already, the American Association of Medical Colleges has predicted that, by 2030, America will have a doctor shortage of 120,000 doctors. Of course, these are all hypotheticals, so let's look at two countries that have Medicare for All or aversion of Medicare for All systems. After more than 70 years in operation, the National Health Service, the U.K.'s socialized health system hasn't found a way to treat an unlimited stream of patients and -- with the limited resources they have. In England today, more than four million Brits are waiting for medical treatment. Some are waiting for an appointment with the -- with the -- because of the dwindling numbers of doctors in the U.K. Others are the victims of rationing. They've been told they're not sick enough to get treatment, they're not skinny enough to be treated for anorexia, or they're not blind enough to have their cataracts removed. Recently, the National Health Service said, in a way to reduce waiting times, they should conduct group appointments, where one general practitioner we call primary care see up to 15 patients with the same condition at the same time. But even the U.K. allows private insurance. That's not the case in Canada, the country where I grew up. In Canada today, there are over one million people on a waiting list waiting for a procedure or a treatment. The cost of lost wages for these people who cannot work -- according to the Fraser Institute -- is $2.1 billion. Canadians are not facing short waits. In 2018, the median wait time from seeing a primary care doc, to getting treatment by a specialist, was just under 20 weeks. Canadian patients may face further waiting times. Doctors frequently prohibit patients, when they book an appointment, to discuss more than one -- to discuss only one issue. If you need to talk a second or third issue, you have to book a second or third appointment. It's no wonder that Canadians -- 323,000 Canadians in 2017 left Canada and went abroad to seek treatment for conditions that they thought they needed care immediately. There are countless stories. My friend, Dr. Brian Day, who runs the illegal Cambie Clinic in Vancouver, Canada, he's an orthopedic surgeon. He does 60,000 surgeries a year at his clinic. And the government of B.C. has been challenging him, saying it's illegal, and they want -- the government wants to shut him down. In Great Britain, the stories are the same. Brett King and his wife, their son needed cancer treatment. He was age 6. They couldn't get it in the U.K.; they said it wasn't worth it. He went to Spain and had the treatment, but he -- the couple -- the parents were sent to jail for taking their son abroad. Mick Jagger, the Rolling Stones frontman. When he was diagnosed with needing a heart valve replacement, he came to New York's Presbyterian Hospital and had the surgery. When he was in recovery, his younger brother in the U.K. said, ""Thank goodness that Mick has not got to wait in line for the National Health Service."" Canadians and Brits pay a lot to -- for the care that they wait. The average -- it's not free. Bernie Sanders will tell you single-payer healthcare is free. The average Canadian family, last year, paid $13,330 in hidden taxes for a healthcare system that rationed care and had long waits. The taxes that Americans would face under Medicare for All would undoubtedly be higher, as Nick has said, since it would cover everything under the sun: dental, vision, long-term care, drugs. The Canadian system doesn't even cover those things. Long waits, high costs, poor outcomes. This is the harsh reality for millions of people around the world who are living under versions of Medicare for All. America's largely private health insurance system does merit reform. I grant you that. But Medicare for All is not the solution. I hope you will realize this and join me in voting against the motion. Thank you."
for,"Healthcare absolutely should be a right. It's not a right in this country because we care more about the interests of the private insurance industry and their shareholders than we care about the rights of American patients. So, yes, it should be a right. It's not some, you know, complicated philosophical question. We consider a lot of basic social services rights in this country. We think children have a right to an education. Are teachers a scarce resource in some sense of the word? I suppose. Does that mean we pay kids -- we force kids to pay for their education, and the ones who don't have enough money don't get to go to school? What kind of a society treats these fundamental social services that we all require are as no different than luxury commodities? So, absolutely, yes, healthcare should be a right."
against,"I think Adam’s, you know, response there shows the kind of paucity of this argument to call something a right or not. Let's talk about food, for instance, because what I want to people to keep thinking about is the idea that medicine -- the delivery of medicine is no different, say, than the delivery of food. We have -- to say people have a right to food, what does that mean exactly? It doesn't get us very far. But if we look at the food system in America, we create massive amounts of food. Joe, you became a millionaire by creating Blue Apron, right? A new way of selling food to people."
for,Yes.
against,"Multimillionaire and your . But what I'm getting at is that we don't say because some people don't have enough food, the government should then dictate the prices and the offerings throughout all of the food in the world. What we do as a society -- and again, we don't need to talk about rights. What we decide as a society is to say, ""Look, we don't want people to go starving, so we're going to create subsidies. We're going to create programs by which they can get the food that they need."" We can do that better or worse, but it's the same thing with healthcare. I think to talk about it as a right or not a right doesn't get us very far, and mostly what it does is it takes away from this idea, ""If 80 percent of us are happy with our healthcare"" -- I'm not sure I'm in that 80 percent by the way, but, ""if 80 percent of us are, what do we do to help the 28 million, not the 40 million?"""
