side,script
for,"Well, that's simple. The election laws. The tax laws are a model of clarity and simplicity.  And the IRS is reasonable compared to the Federal Election Committee. I did learn a lot about politicians in my abnormal psych course."
against,"I answered my phone. Steven Colbert called, said, ""Can you explain what a Pac is?"" I laid it out, explained how to game the system. He said, ""Are you willing to say that in public?"" Well, we're never going to change any of these rules unless we can build some political power to do so. And right now both political parties are locked into the status quo. And so the only way to do so is from the outside."
for," I think largely what we have tonight is a debate about the First Amendment and what it means and whether we still value the First Amendment. Do we want to keep the First Amendment the way it was written, or do we want it to say something else? And who will say what that ""something else"" is? First, let's review what it says. It's pretty simple actually. The part that we're talking about tonight is Congress shall make no law abridging freedom of speech. Well, I'm sorry to inform that we have a lot of laws abridging freedom of speech and regulating speech. The Supreme Court has said there are now 30 different types of regulations on political speech. We have laws and regulations that come to -- close to 400,000 words. But these words are not clear enough so the Federal Election Commission has already issued close to 1,900 advisory opinions that you must review to know what the law means. And on top of that, there have been nearly eight -- 7,000 enforcement actions by the Federal Election Commission during its history. To really understand the law, you need to understand all that. And the fact is no one does understand what the election law means. In fact, if you want to speak out about politics and elections you have to hire a lawyer like this one over here. I don't know how much he charges, but most grassroots groups probably can't afford it. And if they don't have a lawyer, they're probably going to make mistakes. I lived under this, working at a political committee. I saw the regulations firsthand, and we -- a lot of this we're getting very upset with how complicated it was and the fact we couldn't get an answer to many of our basic questions. On top of that, in 2002 Congress passed the McCain-Feingold Act, and for many of us that was the last straw. A portion of that -- not all of that law was bad, but there was one portion that many of us found offensive no matter what our views on politics. Part of it said that within 60 days of an election, a group that you were a member of could not run an advertisement mentioning the name of a congressman if it aired on radio or TV. That was illegal. Now, the court has overturned that, but it took them a number of years to do that. I thought that was outrageous. And there is no group fighting on the political front for the First Amendment. We hear about groups fighting for Second Amendment rights but not First Amendment rights. That's why I started SpeechNow.org because I think we need a group to fight for our political free speech rights. Now, I designed this group in a way that I thoughtwould allow us to be effective. In fact, one of our panelists who doesn't support free speech -- unfettered free speech has adopted the SpeechNow.org model, which is now called a super PAC. And basically here's how it works. It's Americans getting together and pooling their money. I talk to you. I make the case as to why you should donate money, so then we can talk to other Americans. That's what the SpeechNow model was. There was only one problem with it. It was illegal to do that. So the SpeechNow.org with the assistance of a couple of public interest law firms sued the FDC, to make a long story short, we won. That case, SpeechNow.org versus FDC, is what created the super PAC. Now, let me explain how these groups are actually functioned, because these are different from normal PACs. These are different from political parties. These are literally Americans getting together independently. The Federal Election Commission calls these groups ""independent expenditure only committees"" because that's all they can do. We don't make any donations to candidates. We don’t make any donations to political parties. We don't coordinate our speech with the candidates. We don't coordinate our speech with the political parties. All of our donors over $200 are disclosed to the public on the Internet on the FDC website. And all of our spending is donated -- is reported as well. That is what the media has come to call a ""super PAC."" So when you think about it, what's wrong with that? It's basically a group of people getting together and saying, ""Hey, we want to speak to our fellow Americans about what direction we think the country should go, what leaders we should elect, who should represent us, and we're not going to give any money to the candidates or the parties."" That's what a super PAC is. Now, this model has been so popular that there are now 805 of them that have formed since June of 2010 when super PACs first became legal. Now, I want to tell you a story of how important money can be in making speech. And I will go back to 1967, when a U.S. senator named Gene McCarthy wanted to run for president. The incumbent president, Lyndon Baines Johnson, was a very powerful political figure. Today most people would think it'd be impossible to take down a sitting president in a primary, especially if you started in November previous to the election year. But Gene McCarthy did it. And you know how he did it? He went to a handful of people, about five people, and they gave the equivalent in today's dollars of $10 million, $10 million.Now, that's the kind of money that we're talking about in super PACs, but back then, the money went directly into Gene McCarthy's campaign committee. Gene McCarthy was opposed to the Vietnam War. He wanted to make his run for president based on opposing the Vietnam War. And he wanted to help build a movement to help end the Vietnam War. He couldn't have done it without those contributions. He couldn't have done it. And you know what? He did it. He didn't win the nomination, but he forced LBJ out of the race. And it's the only time since -- since we've passed these campaign restrictions, we have never seen a sitting president removed by a challenger. And I daresay it probably won't happen for many, many years. So if you believe in the right of the people to change their government, we have to give people the right to do everything they can to speak to other Americans. And independent political groups are the way to do it. "
against,"Thank you, John. It may surprise our worthy opponents, but all of us on the stage tonight recognize and celebrate the importance of the First Amendment, the right each of us has as citizens to criticize the government and speak freely. We are all American patriots in this room tonight, not supporters of King George III. None of us believe that the crown, or our government, should be free of criticism. But our opponents want this to begin and end as a debate about the First Amendment, and only about their view of the First Amendment. They want to ignore the rest of the Constitution and the functioning ofthe government that we the people created. The Constitution created a congress that represents the will of the people, the voters. It created a president whose job is to faithfully execute the laws passed by Congress. What we have learned over the last 200 years, by sad experience, is that our government can be corrupted by campaign money so that it primarily responds to the sources of money that fund elections -- special interests and big political contributors and spenders -- rather than representing the people and seeking the common good. So tonight I'm going to look at how campaign money can corrupt our government and why, for 100 years, there have been limits on money spent in politics to try and control that corruption. Then, my debating partner Jonathan Soros will explain why super PACs and their related nonprofit C4s and C6s only make the possibility of corruption greater. Theodore Roosevelt began this national discussion in 1905 after being elected president with huge contributions from Wall Street. He actually had Mark Hanna. And Mark Hanna had what we would call super PAC money, unlimited contributions from corporations that elected Roosevelt. Afterwards, those corporations came to him for their reward which they expected would be less government regulation. Roosevelt responded by saying to Congress, ""All contributions by corporations to any political committee or for any political purpose should be forbidden by law. Directors should not be permitted to use stockholders' money for such purposes."" Later, he said, ""Every special interest is entitled to justice, but none is entitled to a vote in Congress to a voice on the bench."" Congress reacted to Roosevelt's call by passing the Tillman Act in 1907 forbidding corporate political contributions in federal elections. Later in 1947, the Taft Act extended this prohibition to labor unions and to independent expenditures. Roosevelt and the Congress believed that the election of representatives of the people to Congress should be left to individual citizens and voters, not corporate or union interests almost always seeking special legislative favors in return. Under President Richard Nixon, these prohibitions were violated because of a lack of disclosure. Then in the Watergate scandal, these hidden violations became public. We learned that the Department of Justice had dropped an antitrust case against ITT in return for $400,000 given to finance the Republican convention where Nixon wanted it. We might never have known that except an ITT lobbyist wrote it all down in an internal memo which then saw the light of day. The result was that after Watergate, Congress passed new reform laws and tried to require the disclosure of all money given for political purposes. These laws were later revised and strengthened in the McCain-Feingold law in 2002. As Senator Alan Simpson said at that time, too often members' first thought is not what is right or what they will believe, but how it will affect fundraising. Who, after all, can seriously contend that a $100,000 donation does not alter the way one thinks about and quite possibly votes on an issue? The goal of each of these laws was to prevent actual corruption, the selling of government action or inaction in return for financial support for candidates and campaigns. Just as important, though, has been the goal of avoiding the appearance of corruption. As the Supreme Court said in the Buckley case in 1976, Congress has the right to deal with the reality or the appearance of corruption inherent in the system, permitting unlimited financial contributions. The Supreme Court also recognized one other reality in that case which is central to our debate today. There is a significant difference between my speaking myself or giving my money to someone else for their speech. My own speech and my own words has higher First Amendment protection than a contribution. That brings us to the world of super PACs. They were created, as we heard, by the Supreme Court Citizens United decision and the DC circuit's SpeechNow case. The majority in Citizens United, overturning previous decisions, said that in their view of the First Amendment, corporations had the same right as individuals to make unlimited, independent expenditures in federal elections because such spending does not give rise to corruption or the appearance of corruption. The court based this new somewhat novel view that independent spending can never corrupt on two important predicates. The spending must be totally independent of candidates and political parties, and it must be fully disclosed so that in the words of Justice Kennedy and Citizens United, the public can see whether elected officials are in the pockets of so-called money interests. So are their spending totally independent of candidates? Do we have full disclosure? Jonathan Soros will tell us in a few minutes."
for," I feel a little bit under qualified for this debate because I think I'm the only panelist who has not created a super PAC. Although I briefly contemplated starting an anti-anti-super PAC super PAC. It seemed too complicated to me, but maybe Trevor could help me out. So I'm talking instead from the perspective of somebody who has been writing about civil liberties issues for about 25 years now. And I see this as fundamentally an issue of freedom of speech. Consider the legal situation before the Citizens United case. Wealthy individuals were free to speak without limit. Jonathan's father, for example, spent about $24 billion during the -- or excuse me, million dollars during the 2004 election season to defeat George W. Bush. And more power to him. Media corporations such as the ones that own FOX news and the New York Times were also free to speak without limit. Parties and candidates could spend as much as they wanted on political messages, although the contributions for them were limited. By contrast, unions, businesses and nonprofit advocacy groups such as the NRA or the ACLU, could not talk about their issues on the air close to an election if they happen to mention the name of a candidate for federal office. Furthermore, as David mentioned, people of lesser means could not get together and pool their resources to use for election-related messages unless they registered with the FEC and were subject to strict contribution limits. People often overlook what was actually at issue in the Citizens United case. This was a documentary that was produced by a conservative group, Citizens United. It was called ""Hillary: The Movie."" They wanted to air it during the 2008 election season, and they were prohibited from doing so.  First of all, itmentioned a candidate for federal office. She was running for the Democratic presidential nomination at the time. And two, it made her look bad. Now, whatever you think about Hillary Clinton or about this particular movie about her, how can that possibly be consistent with a constitutional provision that says ""congressional shall make no law abridging the freedom of speech""? The Supreme Court concluded that it could not. And it also concluded that the First Amendment made it -- forced it to override an earlier rule that said you cannot engage and express advocacy if you are a corporation or a union, meaning you explicitly were advocating the election or defeat of a candidate. You frequently hear a couple of arguments in response to this decision from people who didn't like it. First of all, they say, money is not speech. Well, that's literally true. But you do need money in order to get your message across to a mass audience. So I suppose Congress passed a law saying newspapers can exist, but they can't spend any money. Or newspapers can exist, but they can only spend up to this amount of money. Clearly, that would be abridging the freedom of the press. Similarly, if Congress said, you can spend as much as you want if you're a newspaper, but we're going to limit how much you can take in from advertisers and readers. So once you understand that this is really controlling -- money in effect is controlling speech, I think you also have to recognize that loosening these regulations on speech does not mean empowering people to buy elections.  Because the messages that you pay for still have to persuade voters. You're still talking about convincing people to vote a certain way. There are a number of striking illustrations from recent elections that show you that money can't buy you love. And I'll just give you a couple of them. One from 2010, Linda McMahan is trying again this year. She spent $46 million of her own money on a Senate campaign in Connecticut. It was nearly a hundred dollars for every vote she received. She lost by 12 points. This year, Jeff Lake won the Republican nomination for the Senate in Arizona. Even though he was outspent two to one, he won by 48 points. So clearly, money is not the whole story. It is, nevertheless, true that in general, the people who win tend to spend more. But it's also true that stronger candidates tend to attract more money. Well, what makes a candidate strong? There are various characteristics that you can imagine that would make people both better able to raise money and better able to get votes, charisma, popular policy positions, but one of the most important is incumbency. And incumbency gives people tremendous advantages in terms of visibility, the power to dispense pork, name recognition, and the reelection rates for members of Congress areinsanely high. I mean, historically, in the past few cycles, 90 percent or more even in the last -- in the 2010, when Democrats lost a bunch of seats, it was still about 85 percent. So incumbents have this huge advantage and they use campaign finance regulations to reinforce that advantage. One great example is the so-called Millionaires Amendment, which was part of McCain-Feingold Act. It said that if you face an opponent who is spending his own money, he's financing his own campaign, then we're going to lift the limits on the contributions you can get. So this is clearly designed to help out incumbents who are facing self financed challengers. Another argument you often hear is that corporations are not people. Well, that's also literally true, but corporations are created by people. I mean, they're not created by robots or dolphins or extraterrestrials. I mean, they're created to achieve certain goals. The question in Citizens United was whether people lose the right to freedom of speech when they organize themselves as corporations. I think people tend to think when you hear the word ""corporation"" of these huge businesses like Wal-Mart or Exxon Mobile, but, you know, every one of us works for a corporation. This debate tonight is sponsored by a corporation. The groups that are complaining that corporations have too much influence over politics are themselves corporations, right? So you have to understand that corporations overwhelmingly consist of small businesses and nonprofits, not these huge businesses. And they represent all sorts of points of view and take on all sorts of issues. Our moderator, by the way, works for a corporation, Walt Disney Company, correct? And he had this privilege before Citizens United that most corporations did not, they were allowed to talk about politics on the air even if it meant mentioning a candidate for federal office. Now, that was an exemption, a media exemption for media corporations, that journalists took for granted, but it's very hard to justify under the First Amendment because when you talk about the freedom of the press you're not talking about the freedom of members of professional news organizations, you're talking about the freedom to use technologies of mass communication. That's a freedom that we all have that's guaranteed to all of us by the First Amendment. So by lifting the restrictions on the money that people could collect and spend on political messages, these two decisions, Citizens United and SpeechNow, signal that freedom of speech is not a privilege that's reserved to billionaires or to media corporations or topoliticians, it's a right that belongs to all of us no matter how we choose to organize ourselves. And I think we're seeing benefits from that in terms of diversity of voices and greater competition in elections that we can talk about later. "
against," I can see that we're going to have a lot to talk about tonight, but my partner, Trevor Potter, laid out the case for why in response to the First Amendment we still have an important interest in mitigating the corruption that can result from even independent political activity but from in particular from contributions to candidates. I'm going to take us on a closer look at the proposition, itself, ""Two cheers for super PACs,"" and suggest that we don't even have the rules that super PACs were premised on. Mr. Keating laid out a very rosy picture of what super PACs are, but that doesn't really resemble what they are in fact. After 40 years of Supreme Court intervention, what we have is more loophole than law. Let's start with the issue of independence. As my partner mentioned, the Supreme Court has repeatedly said that speech that is independent of campaigns can't be corrupting, and, therefore, can't be restricted. Let's set aside for a moment how ridiculous that statement is, that if somebody showed up and said, ""I'm going to spend a billion dollars to support candidates who favor position X or position Y,"" that that's not going to have some influence on candidates or elected officials. We'll leave that aside for a moment and just look at what ""independent"" really means today because the rules around what independent is for super PACs are basically nonexistent. There are in effect only two rules that apply. One, candidates may not share inside information from what they're thinking and what their resources are with a super PAC, and the super PAC may not give a contribution directly to the campaign. Obviously, they can give lots of things of value indirectly, like spending lots of money on television. There are more rules about what Goldman Sachs' partners can say to each other than there are about what super PACs can say to candidates. We've all seen the jokes that this leads to. My partner's super PAC, Americans for a Better Tomorrow Tomorrow, has been referenced several times. It's one of the best pieces of political theater that has happened in the last 24 months. I would strongly suggest, if you haven't seen it, you go online and find it. It's really funny. But what we're seeing in that -- and they've provided a tremendous example -- is that there are, in effect, no lines between super PACs and candidates. Let's just give a couple of examples. Candidates can raise money for super PACs. They can show up at their fundraisers, and they can raise money, at least up to the $5,000 federal limit. But then what happens after they leave? Who knows? We all know, at least in the presidential election, the super PACs are being run by long-term aides of the candidates, in both instances. Candidates can endorse super PACs. You hear Mitt Romney talking about ""my"" super PAC. And just in the last couple of weeks, since we've watched the conventions, we heard about Karl Rove, who, of course, was senior advisor to President Bush and to many other Republicans, getting briefings about his super PAC around Tampa. And last week in Charlotte, Rahm Emmanuel, who had been, at one time, White House chief of staff, and was the honorary chairman of the Obama campaign, left that position and the next day was giving interviews on the floor of the convention about how he was now tapped to be the lead fundraiser for the Obama-aligned super PAC. So, clearly, independence under the current rule is a joke. That, in effect, leaving aside what's happened in the super PAC, has undermined something we thought we had before. We thought we had contribution limits, again, as my partner described, for very good reason, to avoid the issues of political corruption that come with large contributions to candidates. Now, those rules still technically exist. You can still only give $2,500 to a candidate. You can only give $25,000, or whatever the limit is, to a party. But you can then turn around and give $25 million to a super PAC that's working, essentially, as a surrogate for the campaign. Though, let's remember that those $2,500 and $25,000 are irrelevant to most of the population anyway. It's only 1 percent of 1 percent of the population that's giving north of $10,000 a year to those entities. Well, now, with superPACs, we've seen that shrink even further. So 200 people account for 80 percent of the money that was raised for Super PACs, at least as of the last filing. Lastly, let's talk about transparency. It's true; super PACs do have to disclose their donors and their expenditures. Transparency is something that the Supreme Court speaks glowingly of in Citizens United and other cases. But there's a loophole that you can drive a billion dollars through, right? You don't have to give your political money to a super PAC. You can give your political money to a so-called social welfare organization, or corporations can give them to industry groups, and those can do almost exactly the same thing as super PACs can do, and they don't have to disclose their donors. So when people say, ""How much money is being spent in this election?"" the answer is, ""We actually don't really know."" We know that it will be more than ever before, but we don't know exactly how much, and we don't know exactly where it's coming from. These are problems that can be addressed. We can have rules on transparency that address disclosure of all political spending that's related to the election. We can have rules, coherent rules, around independence that require that super PACs are at least an arm's length distance from the campaigns. We need a functioning enforcement agency, and I hope that we'll have a chance to talk a little bit about the dysfunction of the FCC later on. But none of this will make a difference without an alternative. A friend of mine likes to say that transparency alone is like the webcam that was at the bottom of the Gulf of Mexico showing us the Deep Water Horizon well, right? Shows you everything that's spewing into the Gulf, but it doesn't do anything to fix it. We need an alternative. We need a system of citizen-funded elections that allow candidates to run for political office without dependence on large contributions and big donors. That's commonly known as public financing, but when you think about it as a system that is designed to change the incentives of candidates, then it becomes something slightly different. If you think about a system we have in New York where, if you're participating in the system, $175 contribution is matched six-to-one. What's the result? It's transformed the way that funds are raised for city offices here in New York. Instead of going to the Plaza or the Waldorf, you're going to people's living rooms and dining rooms talking to normal folks, constituents about what the interests of their community are. So if the premise of this debate had been ""money and politics is badly regulated,"" Iwould have happily switched sides and sat over there and argued that case. But the answer to the current lawlessness is better rules, not less of them."
for,"Well, there is really no evidence that votes can be bought. The voters still -- No, come on. We -- out of 58 candidates who used 500,000 or more of their own money in federal races in 2010, fewer than one in five won. So my point is simple: That money does not control the outcome of the election. I'm not saying money isn't important, but it's just one factor. I do also want to point out a lot of what you just heard from Jonathan is just simply wrong about the regulations. He said, for example, we don't know how much is spent in the election. That's simply not true. Any independent expenditure that is run in the election needs to be reported to the Federal Election Commission. That is a law. Now, you can argue about whether people are abiding by the law or not. But they -- I think, by and large, people are reporting their independent expenditures. Now, there are other things, perhaps, that are not --"
against,"Well, we're talking about two things. David's talking about whether you can guarantee you're going to win an election if you spend a lot of your own money. That's -- we're not saying that. What we're saying is that we have a history in this country. It's human nature that candidates who become office holders are going to be grateful to the people who put them there if they can identify somebody who spent an enormous amount of money to elect them. They are going to feel beholden to them rather than everyone else."
for,Perfectly legal though.
against,"So maybe just very quickly first, without getting -- I think we could get into a very technical debate. But issue advertising is not disclosed. There's a lot of that going on this summer. It doesn't flow through independent expenditure committees, and so it doesn't get disclosed. So in the aggregate, weactually don't know the answer. So I don't think we want to get bogged down on that. I think one of the things we should think about here is the definition of corruption in the first instance. And because we're not only talking about buying a vote, that there's actually a deal that says, I'm going to hand you this money, and you're going to vote this way. We're talking about, A, that does -- that is an issue that can be prosecuted. It doesn't happen -- Well, what they said was there's no evidence of corruption. That would be a great surprise to all those people sitting in jail across the country because they were the subject of FBI stings where they took money for official action. There are people in a variety of state legislatures. There're members of Congress who have freezers full of cash because they took -- Actually, you know, a couple weeks ago, the governor of Alabama was returned to jail for having taken a campaign contribution and then given someone an official appointment for it. I'm not saying everyone does this. I'm saying two things: First, it definitely has happened across the country and in our history. There is a long series of affidavits in the McCain-Feingold litigation and testimony from members of Congressand, not surprisingly, former members who feel freer to speak about it saying, I see votes affected all the time by where the money came from, which industry was being affected. And that's the underlying corrosive problem, plus the amount of time that these members spend, which is now estimated at up to 70 percent of their working days raising money. Those are the problems we face."
