side,script,round
against,"-- just as long as they’re not higher than about that, they won’t threaten the plants, the weeds won’t and also scattering eggs of predators t o the pests and so on and so forth. Al’s peaches are more expensive. There’s no doubt that organic food is on average more expensive, so our next speaker, I believe having re ad some of what he’s written, are going to say, as the farmer did, that it’s almost a crime with all the people starving to devote any resources to some kind of elite food. N ow, I know that the best vegetables that I’ve ever tasted were organic, and they were g rown on Dan Barber’s property -- he doesn’t own the property; Rockefeller owns the prop erty -- but the property near his restaurant. Conventional agriculture is not feedin g the world.",nan
against,"To say that organic agriculture could never feed th e world is sidestepping the fact that organic -- that conventional agriculture is not fee ding the world and it’s dependent upon oil selling at $45 a barrel, it’s dependent upon st eady climate, and it’s also dependent upon relatively available water. Okay.",1.0
for,"To measure the depths of my sins, I’m holding up a book written by my son, Alex Avery. It’s entitled “The Truth about Organic Foods” and i t traces the history of the movement from Germany in the 1920s on to our organic farming today, and the tragedy that organic farming doesn’t live up to the hype. The people wh o are buying it and consuming it and offering it to their families truly want to do the best possible thing, as speakers tonight have said, and I certainly don’t disagree with that . But this is not just an unfortunate failure to live up to the billing. It is now a ser ious international concern, because we are about to enter the biggest farming challenge the wo rld has ever seen. We will have, by the year 2050, between 8 and 9 billion people. I e xpect that instead of 1.5 billion affluent people, science, technology, and trade will give us 7 billion affluent people. And if the Chinese reach half of the pet saturation that we ha ve in this country, that will mean another 250 million companion cats and dogs; none o f them vegetarian. We will need to double world food production again. We will need to triple the yields on the best farmland, because that not only gives the highest yields and the least erosion, it displaces the fewest wildlife species. The Great P lains had 60 million bison, 100 million antelope, 3 billion prairie dogs. That’s three spe cies. The poor land has more, far more, species. We are farming 37 percent of the land are a now. If we produce for 2050 by simply extending the borders of the fields we’ll be farming 80 percent of the land area. And if you think conventional farming isn’t feeding people now, just wait. And the organic farmers can’t do this. The key is nitrogen . The Earth had 1.5 billion people before we got nitrogen fertilizer. We would still be at 1.5 billion people were it not -- that might be better. You might think you prefer t hat, but you aren’t going to get there with zero population growth movements, and you aren ’t going to get there with meatless Mondays. You’re going to have to triple the yields again on the best farmland. Plowing itself is a danger. Summer of ’07, 12-inch rainfal l in southeastern Minnesota, second-largest concentration of organic farmers in the cou ntry. They not only had flooding; they had mudslides. Whole hillsides sloughed off. Sandy loam hills sho uld not have been in anything but no-till farming. No-till cuts erosion by 65 to 95 per cent. It doubles soil moisture. It’s the most sustainable farming system ever developed. An d organic farmers can’t use it because you have to have herbicides to kill the cov er crops so you can plant what you really want to grow. They can’t kill their cover c rops. And the yields over all are about half as high. We had a famous study that came out in the summer of 2007 from the University of Michigan, which has no school of agri culture. The lead author was a fully-qualified geologist. And they said organic farming can feed the world and more. You’re entitled to believe that, but they made a fa irly serious mistake in the paper. They talked about one study in which green manure crops had put 1,500 milligrams per acre of nitrogen into the soil and that 66 percent of this nitrogen had been delivered to theseedheads of the crops. That doesn’t happen. Everybody agrees that nitrogen fertilizer puts a higher percentage of its nitrogen into the c rop seeds. Thirty-three percent is the accepted figure. On green manure crops it’s 20 per cent. The different between 66 percent and 20 percent is starvation for half of th e humans, or the destruction of wildlife habitat on a scale never yet seen in this world. This is not truth, and it is not a favor to you or to the population of the rest of the world to tell something about organic farming that is demons trably false. We will have to turn high-yield farming into higher-yield farming. Than k you very much.",1.0
against,"Thank you, John, very much. First of all, I think I need to start with an apology to my esteemed colleagues on the pro side of this debate, because I’m actually going to speak to the motion. Tonight we’re debating whether organic food is marketing hype, and the way that I understood this -- and I think probably most of the people on our side -- is that we’re talking about the companies and the farmers t hat grow organic food and sell it to people. They put claims on the label. There is a dvertizing, there’s lots of information on websites. I think we all have a pretty good idea o n how companies market products and deliver information to consumers. And in the Unite d States, as you know, there is a number of laws and regulations that govern what is marketing hype and what’s not. Urvashi spoke to some of that. We’ve all heard the saying one aspirin a day helps prevent heart attacks. That’s kind of amazing that it does, but in large c linical trials, people that take an aspirin a day have a statistically significant lower risk o f heart attack, and so the FTC and the FDA have allowed that claim on -- in advertising fo r aspirin. But if you heard an aspirin a day prevents heart attacks, that of course would be marketing hype. To claim that it will prevent goes over the line into marketing hype. So, how do we judge whether the claims that are made or the information that’s passed on b y organic food companies crosses this line into misinformation or materially misleading i nformation, which is a standard in the FTC guidelines? What the government says -- now, th ink about the last time you went to the supermarket. You can’t walk down any aisle with out leading labels that say they have reduced this or low that or a good source of this o r promotes heart health or promotes eye health or good for your cholesterol, heart healthy, etc. All of these claims that either promote a food product because there’s more of some thing that’s good or less ofsomething that’s not good for you, like saturated fat or cholesterol or salt, embedded in those claims are at least a 25 percent difference i n the level of the nutrient. This is applied fairly universally across the entire food system. S o, whenever you see these labels that says it’s, you know, a good source of lycopene -- y ou’re buying a tomato product; lycopene is a nutrient in tomatoes -- and it says a good source of lycopene, you can trust that the company has done testing that shows that t here’s at least 25 percent more in their product compared to others. So, as we go through th e evening, keep in mind that if there is solid scientific evidence that one food product, whether it’s conventional or organic, has higher or lower of a particular nutrient that’s good or bad for you buy a Good or bad for you, by a 25% margin that the government allows a labeling claim to be associated with that. Now, how is organic food marketed? What are the pr inciple claims? And benefits? Well, number one, of course, is organic farmers may not apply toxic synthetic pesticides. It's just a blanket prohibition. The products that they can apply encompass all of those that post any risk to humans or the environment. I t's true organic farmers request use natural products like copper fungicides, sulfur is used to help protect diseases. Natural insecticide, Bacilus thuringiensis that Blake talke d about, it's how Monsanto and other biotech companies have found a way to move the capa city to produce this natural insecticide into the corn plants. And so without a doubt the reduction in exposure and risk from pesticides is the most common claim that you read. And there is no question that organic farming reduces pesticide risk. It's laughable for anybody to argue that it doesn't. You know, American agriculture, apply rou nds, a billion pounds of pesticides a year. Some are not terribly hazardous, including G lyfosate which Blake will use on some of his genetically engineered crops. But there are several other pesticides, especially insecticides to do pose significant risk. And the fact that we're all exposed to pesticides, even before we're born, does play a role in our pub lic health. Do you all know that the average baby born in America has like 200 chemicals in its blood the moment it’s born from the exposures to its mother? About one out of eight babies are born with a diagnosable birth defect? About a quarter of the couples in America are havin g trouble having babies. They need some help in getting pregnant and carrying a pregna ncy to term. The scientific literature is loaded with thousands of papers that demonstrate a connection between exposure to pesticides and these adverse health outcomes. To s ay that there are no risks for pesticides and no evidence, I mean if you don't -- if you don' t believe in science, fine. Go ahead and make that statement. But you can't claim that you read the scientific literature. That -- you know, it's just the way it is. Another of the major claims that are made, and marketed, if you're shopping in the livestock part of the aisle, in the dairy or eggs or beef, livestock and organic farms have to be given ample space to carry out natural behaviors. They have to be raised in an environment where they can stay healthy without their daily dose of antibiotics, which Urvashi spoken out. The y have to be given access to outside, unless it's 20 below and the weather would be dange rous for them. But they have to be raised in a much more humane way. That's built rig ht into the rules; all organic farmers have to do it. If you care about how animals are c ared for, if you care -- it's great that we can buy cheap bacon and eggs done cost much. If yo u do care how animals are cared for,organic agriculture with the only system of agriculture backed up by solid rules that require sound animal welfare: one of the reasons th at we hope you'll vote against the motion.",1.0
for,"You're absolutely right that people who purchase or ganic food tend to be from the wealthier sections of society simply because it's m ore expensive to buy. And that's, you know -- you folks that buy it, you can afford it. There are plenty of people out this in this country who couldn't afford to do it. Does it mean that you're stupid? Absolutely not. But it means that to some extent, you have bought i n to what I claim is marketing hype. If I can just go back to Urvashi's opening comment, it is absolutely marketing hype that the claim that organic food is healthier for you, a nd that's why the advertising regulator in the U.K. stamped down on the two major retailers th at made this claim, as well as on the organic producer body, the soil association who was making the same claim. It was hype. There was no case to support it. And it was banned. If that isn't a straight forward piece of hype, exaggeration, implicit decep tion, I don't know what is.John Donvan: Jeffrey Steingarten.",2.0
against,"I wonder how long you conducted the million -- the lady study. Was it six months or six weeks, was it two years? Many of the toxins in pesticides, herbicides could take years and years.",2.0
for,The million women study is still going on. It's be en going on now for about eight years. It will continue for another probably 15 or so year s. So we're looking at long term effect and no effects have shown up so far.,2.0
against,"I think we're talking about elitism but it's really that organic food costs more. Organic food costs more to produce, and there are a couple reasons for that. One is that it's incredibly physically labor intensive. You've got to -- as Jeffrey pointed out, you have to pull the weed. You can't just spray a chemical on it. It's harder to do. So there is no question that organic food is harder to produce. B ut the other major factor that has not been mentioned today is the amazing subsidies that all of our taxpayer money goes to to support cheap food production to subsidize late cro ps on corn and soy, and the myriad of ingredients that stem from that that end up in proc essed foods, hence creating cheat processed foods. Organic doesn't get subsidies. T hat's why between that and what it does, it costs more. I'll speak to nitrogen. One of the major problems around the world, back in February 23, those of you that read the “Wall Street Journal,” t here was a remarkable story about how the subsidies in India for nitrogen fertilizer star ted back in the Green Revolution days have actually led to such excessive nitrogen fertil izer use in India, that what happens when you put extra nitrogen on ground, you stimulat e microbial activity in the soil. And those microbes, they eat your organic matter, in ef fect, which degrades your soil quality. And the “Journal,” it was a very interesting and ha rd hitting story. And it was just a week after in “Science Magazine,” there was a major rese arch report that Dennis may have seen about China and how there is this major proble m in China about the acidification of soils from too much nitrogen. In America, in the M idwest, less than 35% of the nitrogen that gets applied winds up supporting the growth of that corn plant. And the rest, some of it goes into the water and some of it volatizes int o the environment. Organic farmers, on the other hand, nitrogen is expensive to them becau se they don't have access to these cheap commercial sources of readily available nitro gen fertilizers. They have to get their nitrogen the old fashioned way with cover crops and legumes and compost. It's dear to them and it’s valuable. And they use it much more carefully. They don't need as much to support the same amount of growth. They don't p ollute the water. They don't contribute as much to global warming. And they imp rove the quality of the soil and it's these sorts of win, win, wins that are why even the USDA acknowledges that organic farming is better for the environment. And that's one of the claims.",2.0
for,"There is a new set of products on the market from A rcadia Biosciences. They're actually the product of a -- a research mistake at the Unive rsity of Alberta. They were trying for drought tolerant crops and instead, they got nitrog en-efficient crops. Rapeseed, rice and wheat; you can now put on half as much organic nitr ogen, get in effect what we thought of as a full crop, with very little left in the soi l to leach into the nearby streams. Can wehope that the organic farmers will, at some point, recognize this benefit and help protect the water with nitrogen efficient biotech crops?",2.0
against,What does that have to do with how organic food is marketed in the United States? what's the point?,2.0
