side,script
for,"You bet . I think the Euro' s been a complete disaster and has got to break. I think it will break, but I'm not sufficiently good a forecaster to be able to tell you when it's going to break or indeed which co untry's going to leave first. Yeah . My partner is the distinguished Simon Johnson. Not usually in a good way."
against,"I suspect the closest my books will ever come to becoming a movie is the 30 minutes I spent debating Jon St ewart on his show. John Donvan:Oh, that's pretty cool. And I do think that the highlights reel on my website is well choreographed . So you can see that at edwardconard.com. My partner is Andrew Huszar. He was an eyewitn ess to quantitative easing as a member of the Federal Reserve. Thank you very much. Yes . I got that 2:00 a.m . phone call where they asked me to basically coordinate the spending of $1.25 trillion.John Donvan: Wow . What kind of party did you throw ? Actually, I was eating lunch at the time, and I almost threw up ."
for,"Thank you. In this debate, I'm going to expound the case for the motion, in favor of central banks being able to print prosperity . And then my colleague, Simon Johnson, is going to hone in on the two keywords in this motion. That's to say: can and prosperity . This is a debate about the merits of central banks printing money to escape from or prevent a monetary collapse . In the jargon, the name given to the policy is quantitative easing, or QE for short . Under this policy, to b e clear, the central bank buys financial assets in the markets -- usually bonds -- with money that it itself creates, thereby increasing both its assets and its liabilities . In practice, usually, hardly any extra notes are actually printed . Rather, the money is created electronically . The extra money corresponds to extra deposits at the Central Bank . But since such deposits are freely interchangeable with notes, it's a -- I think, a fair approximation to discuss and describe this policy as p rinting money. And that's the convention I'm going to accept . This policy sounds extraordinary, even exotic, hence the apparent whiff of danger, doubtless soon to be puffed up – -- by the team sitting opposite . But in fact, this policy has featured in the standard economic textbooks for generations . Some of you may have read those textbooks -- looking around the room, some of you may even have written them -- under the name “open market operations.” Moreover, this policy has b een advocated by many great economists, includi ng the great Milton Friedman, the arch proponent of monetarism. Mind you, let's be clear about this . Printing money is not the answer to a maiden's prayer . There are limits to what it can achieve . And it's not for all seasons . It will not improve y our sex life or fix your gammy leg. M ore prosaically, it won't even raise the long -term sustainable rate of economic growth. We know the factors that are responsible for that determinant. That's to say, the real factors; hard work, investment , technological progress and organizational efficiency . But these all -important real factors operate through a financial and monetary system. And every so often that financial and monetary system breaks down -- sometimes in spectacular fashion . And when that happens, all these wonderful real things like hard work and technological progress and capital investment -- all that stuff, there is nothing . They're swept away from the tsunami of monetary collapse . There are three examples of monetary collapse in recent history : the 1930s, pretty much everywhere throughout the industrial world, Japan from the early 1990s on wards, and the financial crisis of 2008/9 . Let's concentrate, first of all, on the 1930s . In the Great Depression in the U.S. in the 1930s, let's recall -- some of us remember -- U.S . output fell by 30 percent. Unemployment rose to 25 percent of the work force . And, interestingly, the money supply contracted by 25 percent. This monetary contraction played a huge role in creating and sustaining the Great Depression . At the time, the Federal Reserve did little to stop the process . Indeed, it probably exacerbated it . By contrast, after the events of 2008/9, the deflati onary process was halted by QE here and in the Eurozone and in the UK and in Japan . Halted by central banks printing money . Now, although we refer to the years after 2008/9 as the G reat R ecession, the fall in output during that period, that downturn, was only about 4 percent . What could have been a rerun of the Great Depression, or even worse, was stopped in its tracks . Now, of course, the critics will say that this is all very well, but the policy will end in failure because inflation will pick up d ramatically. In fact, there's no need for inflation to pick up dramatically . QE can be set into reverse. The central bank can impose reserve requirements, and indeed it can also raise interest rates. The oft quoted example of Zimbabwe, which is -- which has suffered from hyperinflation, is simply not apposite at all. This is not a case of QE gone wrong. Rather, it's a result of gross government incompetence in bringing taxes to balance with expenditure . The U.S . isn't and can never become Zimbabwe . Other critics point to distortions in the economy created by the policy of QE . But to some extent, this is fair . There are some distortions created . But where are the distortions sufficient tooutweigh the creation of 13 million U.S. jobs si nce the downturn? The greatest distortion is in fact in the critic's sense of balance and perspective . Other critics argue they accept the idea that QE has saved the economy from something like the Great Depression. But interestingly, agains t the other bunch of critics, they say it would have been better if we had had a repeat of the Great Depression. Collapse is good! It would have purged the system . And what would have emerged at the end of all this would have been something stronger . Well, all I can say is that this purging of the system didn't exactly bring great benefits in the 1930s either in this country or indeed in Germany . The conclusion is clear. When the need arises, not only can central banks print prosperity, but they must. It is their bounden duty."
against,"Thank you. I wish I had a British accent, I think it would sound better. Good evening . I feel very privileged to be here tonight with these distinguished colleagues . I feel very privileged to be discussing a central bank like the Fed . In the case of the Fed, I have a great respect for the institution. These are smart, well -intentioned people . I know this because I worked with them for over 10 years . Indeed, as I hinted to you before, if you want to see what a central bank money printer looks like, you're looking at one right now, although just to level some expectations, most of them have a lot more hair than I do . My main argument tonight is a practice of a the ory won. I, too, once believed that central banks could print prosperity, and I was assigned with the task of actually spending the Fed's money . Now, even in this debate, you will see that my partner and I come at this topic from somewhat different perspectives . But where I know that Ed and I both strongly agree is that central bank money printing, activ ist monetary policy, is an unproductive tool when it comes to creating prosperity . What I'd add from my own perspective is that I believe that if it works at all, activist monetary policy has become counterproductive . It's potentially impairing future prosperity . Let's be honest about something to begin with. You guys all deserve a gold star for being here . Monetary policy is a very arcane subject . Discussing it in class in Rutgers is the closest thing I've found thus far to prescribing Am bien to my students. A lso, there's quite a bit of history . You can talk about the Burns Fed, you can talk about the Greenspan Fed. But I submit to you that what we're debating today is what the Fed and other central banks around the world began to do as of late 2008. Let me briefly take you back there . In the fourth quarter of 2008, the U.S . economy was contracting by 2 percent in just three months alone . 2 million Americans were losing their jobs . Enter the Fed . Before and around the collapse of Lehman Brothers two months earlier, it had already extended more than $1.5 trillion in emergency loans, which along with Congress' TARP, stabilized Wall Street . Now on Black Friday, 2008, on the day after Thanksgiving, the Fed launched somethi ng known as quantitative easing, the largest economi c stimulus program in world history . The Fed was attempting a new experimental approach to try to help the larger economy, not just Wall Street . What is QE? Well, we've ta lked about it a little bit already . QE is basically a central bank like the Fed printing electronic money, known as reserves, and using those reserves to buy bonds, existing credit from Wall Street banks . The goal, essentially at the beginning, the Fed w as pumping cash into banks with the intention of stimulating a new wave of Wall Street credit creation in America. By both artificially making credit cheaper while freeing up lending capacity within the banks, the Fed was hoping to get more credit into the hands of citizens and businesses struggling from the economic downturn. In fact, before quantitative easing, Chairman Bernanke first called the initiative ""credit easing."" That's where I came into the picture . I was asked by the Fed to run a task with executing QE therapy's program, that $1.25 trillion initiative . And that's where, quite frankly, I started losing a lot more hair. My perspective today is shaped by what I saw inside the Fed. And what I saw inside the Fed is that in practic e we were basically pushing on a string with our money printing . What does that mean? In the end, from 2008 until 2014, when QE ended in America, the Fed printed and spent almost $4 trillion . What happened with that cash ? Well, two out of every three d ollars has ended up sitting idle in Wall Street banks . Today, specifically, $2.6 trillion of the Fed's cash sits in the big Wall Street banks, being banked like them at the Fed for interest like you and I might have a savings account . What happened to th e other one-third of the cash ? My own program is instructive . With our bond buying, we were specifically trying to stimulate U.S. mortgage lending by Wall Street banks . More home loans and more refis. But from the first day of the bond buying to the l ast, while we were pumping $1.25 trillion in reserves into the banks, the banks consistently cut their mortgage lending . By the end of the program, U.S. mortgage lending was down by 33 percent. And yet at the same time, what we saw on the desk was that instead of lending, Wall Street banks began to use whatever cash they did deploy speculatively, investing it . J.P. Morgan, Citi, Bank of America, Goldman Sachs, you name it . They were using the cash mainly to pile into stocks, bonds, and commodities . This wasn't illegal. It was simply unproductive . It was the Fed pushing on a string with its cash . The Fed wasn't inducing consumption or real business investment in the economy with QE . What was the ultimate impact of Fed QE ? Well, just to start with, 2009, the first full year of QE, was the most profitable revenue year ever in Wall Street history . Let me repeat that . The most profitable revenue year ever in Wall Street history. It's incredible . Today our ""too big to fail"" banks ar e 37 percent bigger, generating 40 percent more income annually than they were before 2008 . Much of that remains fueled by their massive speculative investments in the financial markets, which may be distorting those markets, as Roger has alluded to . By 2010, in fact, the Fed began to speak with the impacts of QE differently . It starts adjusting that QE was benefiting America by artificially stimulating the financial markets and generating the wealth effects, fueling consumption by making more well -off Americans wealthier. B asically, that's trickle down economics, Fed style. And yet the claim of QE, helping average Americans , remains dubious . In 2013, McKinsey, the consulting firm, put out a study on the impact of Fed money printing, saying that for every $1 that Wall Street was being subsidized by QE, the average American household was los ing $2.50. The existential problem with Central Bank money printing is how the tool works . The transmission mechanism, pumping cash into Wall Street b anks, is inherently flawed. It doesn't create prosperity, or even if it does so marginally it's basically creating prosperity for people who don't need the help, the Jamie Dimons and Lloyd Blankfeinsof the world. It's not really helping that two thirds of Americans that are now living paycheck to paycheck . And unfortunately post financial crisis, what that really means is that money printing has only served to reinforce the reality of a chronically underperforming U.S . economy . In the end, Central Banks don't print prosperity . If anything, over time, money printing has only helped us kick the can of desperately needed reform further down the road. Thank you. Don't let our opponents hijack this debate . This is not a debate about whether the Fed should act as a lender of last resort in a run on the banks . We all agree with that point that they have made . And that's why they've taken this position, because you can't disagree with it . This is a debate about radical monetary policy that tries to print money in order to stimulate growth after a bank run in a recession. This is not QE1. This is QE -infinity . It's easiest to understand monetary policy by considering a simple corn economy . We can plant the corn . That's investment . We can eat it. That's consumption. Or we can store the corn in a silo and exchange it for a piece of paper that sa ys, “I owe you a bushel of corn.” That's money . Recessions occur when people get scared and start storing corn instead of eating it or planting it. Growth slows and unemployment rises . It's important to recognize the Fed doesn't grow corn, nor can it te leport corn back from the future and spend it today . All it can do is print IOUs . By printing more IOUs, monetary policy tries to change your behavior today . It motivates you to stop saving and start spending again . It does this by threate ning the value of your savings with price inflation in the future . With more IOUs outstanding, you shoul d logically run to the bank, to the silo, withdrawyour corn and use it before the economy recovers, people start exchanging IOUs for corn, and the sil os run low on corn, when prices rise and the dollar is worth less . But here is the rub . The Fed increased the monetary base from 800 billion to 4 trillion, an unprecedented fivefold increase in the monetary base, and it had no effect on anyone's sphere o f inflation whatsoever . No one ran to the banks to spend their savings . The money sat unused, neither lent nor borrowed, creating neither growth nor inflation. Why ? Because the Fed has promised to prevent inflation by contracting the money supply befor e the economy recovers and people start exchanging IOUs for corn. With hard fought decades of successfully defeating price inflation, the Fed has earned its credibility . And with the Republicans threatening the Fed's independence if it doesn't fight infl ation, the Fed's promise has even more credibility . Advocates of quantitative easing pretend that we can have our cake and eat it too, that we can scare savers into spending by printing money without needing to inflict the cost of inflation o n the economy after it recovers . But it didn't work when we needed the stimulus . Even Ben Bernanke now admits quantitative easing will only work if it's permanent, if it's guaranteed to inflict inflation on the economy . But nowhere does he advocate making quantitative easing permanent because of the damage it inflicts . And the Fed increased the monetary base while the government was pumping $6 trillion of fiscal stimulus into the economy, increasing debt from 30 percent of GDP to 70 percent. That's six times more than the trillion -dollar stimulus Krugman initially complained was too small. And even with aggressive fiscal stimulus, which advocates of stimulus contend is far more powerful than monetary stimulus, we saw no bounce back in growth whatsoever . Instead, we've seen tepid growth of a permanently lower base for six years and counting. It's true the Fed has recovered faster than Europe . But the U.S. has been growing faster than Europe for decades because of Silicon Valley and entrepreneurial risk taking . And for three decades and counting, Japan has tried the same thing; large fiscal deficits and near zero interest rates with nothing but slow growth to show for it . Now advocates of monetary policy insist, if the Fed recklessly throws the steering wheel out the window and balloons the monetary base to 9 trillion, that will scare everyone into spending . Perhaps it will. But the truth has been revealed. It takes a massive amount of monetary inflation to produce a miniscule increase in demand, enormous risk for little, if any, benefit. No mainstream economist takes these reckless proposals seriously . Our opponents will ignore these risks and claim only that lower interest rates and wealth effects stimulate investment, despite Ben Bernanke's admission that, ""Quantitative easing works in practice, just not in theory."" But the economists in the audience know that afterdecades of research there's no cons ensus whether interest rates, especially short -term overnight borrowing rates, affect real long -term investment. Why ? Because unused corn lowers interest rates and makes investment cheaper, not more paper IOUs . Roger speculates in his op- ed the quantitative easing may account for about an additional one -third of a percentage point reduction in the interest rate . Who believes a reduction in interest rates, especially a measly third of a percentage point, determines how fast Apple develops th e next generation iPhone? Like all companies, Apple can't afford not to innovate and invest as fast as it can, no matter the interest rate . Real increases in wealth might stimulate investment but nobody's fooled by equity prices inflated by low interest rates at an increased risk of inflation . If the Fed does nothing more than print IOUs, who here believes that increases wealth ? Phony IOUs increase risk . Risk reduces wealth . The economy may not be perfectly rational, b ut business leaders who create prosperity aren't stupid either . They surely don't increase investment and risk taking in the face of increased government spending and the risk of inflation. They dial back. There is simply no compelling evid ence that fiscal and monetary stimulus increases real business investment. If anything, the evidence shows the opposite, a dial back in business investment in the face of risky stimulus . And no surprise, in the wake of $3 trillion of monetary stimulus an d $6 trillion of fiscal stimulus, lackluster business investment and unusually slow productivity growth have been chief reasons for the slow recovery . Financial speculators, many who borrow short to buy long -term financial assets may be sensitiv e to short- term rates, doubly so given the amplifying effects of herd mentality . But financial arbitrage is a zero sum game that does nothing to grow the economy . Quantitative easing doesn't work in theory . That's why it doesn't work in practice either . After $4 trillion of quantitative easing, Ben Bernanke has reconsidered his view . Last month in the Wall Street Journal, he admitted, ""The Fed cannot print its way to prosperity because the Fed has no control over l ong-term economic fundamentals."" Don't let these guys fool you. There's no free lunch. Don't give reckless monetary policy a Band -Aid . Only hard work, investment, innovation, successful risk taking create prosperity . Side with Ben Bernanke and vote against the motion, Central B anks Can Print Their Way to Prosperity . Don't let these guys hijack the debate and make it a debate about whether the Fed should have bailed out the banking system . I was on TV last week telling everybody that the Fed needed to bail out the banking syste m. There isn't a serious economist on the planet who disagrees with that. And the reason why they've taken the debate there instead of to QE -infinity, what has occurredfor the six years after the bailout in the crisis is because it didn't work, and they know it. Vote against quantitative easing will create prosperity . It has created no prosperity."
for,"I think that's a fascinating and completely false claim. Milton Friedman was the preeminent monetary -- Edward Conard :Ben Bernanke said it, I might add. R oger Bootle : He did not say that. So Milton Friedman w as the preeminent monetary theorist of his or any generation . He's the person who created the way we think about money in the world today . And his central argument regarding the Great Depression was that the Federal Reserve should have printed money . And he's got plenty of theoretical papers that back that up. So it's the claim that there's no theoretical basis for this approach to thinking about money and credit is simply false."
against,"We can -- in a bank run, people run to the -- they get scared, they run to the bank to pull out their money . We can let the whole financial system collapse, or the Fed can print money, hand it to depositors, let them hold it for a second. The panic goes away . They redeposit the money in the bank, and we burn the money . If that's what we're going to debate, there's no debate here. The reason why we've gone there instead of to $4 trillion sitting -- 3 of the $4 trillion sitting in the bank unused is because it's much more difficult to win a debate about whether this can create prosperity . It's like stick a gun to my head. And I say, ""I could kill myself, but I didn't."" See? It creates prosperity, okay ? Yes. Milton Friedman was right, okay ? We did stupid stuff. We did stupid stuff in the 1930s that we all agree should not be repeated. What we want to debate today is whether or not, after that happens, and we bail out the banks,can we, through radical monetary policy, quantitative easing, which h as increase d the monetary base from 800 billion to 4 trillion because the Fed didn't burn the money after the money was returned to the banking system . They tried to create prosperity that way . The question is -- -- whether or not it worked."
for,"Yeah, you're spewing out all these numbers as though you're a central bank printing money . Actually, you completely misrepresente d Ben Bernanke's position. He has not recanted. The notion that he's given up on what he spent his life's work writing and doing , it's quite frankly absurd. What he meant by saying, if those were exactly the words he used, about Central Banks not being able to print prosperity was exactly what I was talking about earlier on . That's to say the contrast between the real sources of economic growth and the notion that Central Banks can't change those things dramatically . Of course they can't conjure up ma ssive amounts of technological progress or whatever . We all know that. That's not the issue . The issue is are there times when the monetary and financial system is on the brink of collapse ? Answer . Undoubtedly, ""Yes."" I'd like to know the answer . Un doubtedly, ""Yes."" E dward Conard : Don't let these guys go there . There's no -- R oger Bootle : And the second question is -- E dward Conard : -- data on that by any means . R oger Bootle : -- the second question is when those occasions happen, what do you think you should do ? Sit there and do nothing?E dward Conard : No."
against,"So, I mean, I was sitting there . And I was money printing . So, I mean, let me just tell you, I think we -- I -- R oger Bootle : --bully for you. I think we really need to be clear about what we're debating because I think we could go on for half an hour to having this same debate . Are we talking about the first $1.75 trillion of Fed monetary policy of quantitative easing or are we talking about the whole kit and caboodle? Because the -- Yeah, I mean, I -- if you look at my writing or speaking, I've always said it should have been QE1 and done . So the reality is the fact is the Fed ended QE1 at the beginning -- during 2009, and then it said, ""We're done . We're about to perhaps start raising rates very shortly."" And then a few months later when the stock market fell another 20 percent, the Fed came back and printed another -- over the next five years another $2.5 trillion of cash . So QE ended in America at the end of 2014 . I would not argue that the financial crisis ended in 2014 . We've had successive quarters of political economic growth . The Fed was actually advocating that a QE was a way to create jobs and create economic prosperity . And that's why I think we can start with one part, but I think we really need to go to the next. E dward Conard : This is a very thing he w as saying when he said ""It doe sn't work in theory --"""
for,"So the motion is, ""Central Banks Can Print Prosperity."" Andrew just conceded the motion on the QE1 . Now we'll work on Ed."
against,"I conceded that banks -- that the Fed can help stabilize banks but ultimately that in terms of a larger prosperity, in terms of central banks aroun d the world having printed over $7 trillion and still printing more money, we are not doing the job in terms of actually helping the average person . We can go on more about distortions, but I think we just first need to get the key players -- S imon Johnson : Andrew, what did Milton Friedman say about the Great Depression and ab out the monetary cause of the Great Depression ? And are you saying that Milton Friedman was wrong about the monetary cause of the Great Depressi on? Andrew. A ndrew Huszar : I don't think-- S imon Johnson : Andrew -- E dward Conard :- believe in Milton Friedman's theory anymore , I to tell you the truth. And, by the way, when you really go back to the 1930s, why did employment go up? We conscripted every body and sent them to the Second World War. We really got lousy growth throughout the 1930s no matter what we did, because when we talk about monetary policy, after we solved the bank run, it is highly deb atable about whether it works . And Ben Bernanke was talking about ""It works in theory, not in practice."" He was talking not about bailing out the banks . He was talking about ""Afterwards will it stimulate growth?"" And even in his book today he argues, because he's trying to justify his position, that ""In an economy that is not at full capacity can we scare everybody with inflation into spending their savings in order to get back to full capacity?"" He was not debating bailouts, okay ? And the reason why these guys are going to stick to bailouts and stay there is because they don't have a good argument on the more interesting part of this issue . The audience can let them hijack the debate . I predicted in the first sentence of an opening befo re we even started this d ebate."
