side,script
for,"The question before the house is, “Is a booming China, does a booming China spell trouble for America?” The answer, in my view, is a resounding yes. In the next few minutes, I’m going to explain why. But first, what I call “the China threat,” which is something that Beijing likes to refer to as “the China threat theory,” is in fact real. Uh, it is a danger and it is growing. Um, as a, as the late CIA analyst and White House National Security Council official, Constantin Menges put it in his book China: The Gathering Threat, he said the reason that China poses a threat is because, despite its economic reforms, it is today ruled by a nuclear armed Communist dictatorship. This is the source of, of the trouble. I’ve identified what I call eleven sources of trouble for the United States from China, and I’m going to list them for you, and then talk briefly with the time remaining on, in some detail on it. The first is China’s military buildup. Number two is the danger of war over Taiwan. Number three is expansionism over energy resources. Number four is the proliferation of weapons of mass destruction and missiles. Number five is massive intelligence operations to steal U.S. secrets and technology. Number six is influence operations and so-called money diplomacy. Number seven is unfair trade practices, including currency valuation manipulation. Number eight, intellectual property theft. Number nine, human rights abuses. Number ten, religious repression. And number eleven, environmental degradation and global warming. To start with, the most serious trouble for America from China is China’s military buildup. On January eleventh of this year, China conducted an unprecedented anti-satellite missile test. They fired a missile that traveled through space and hit a low Earth orbit satellite, a Chinese weather satellite, destroying it and creating, uh, sixteen thousand pieces of debris, which pose a threat to other satellites. U.S. official were shocked by this development because U.S. intelligence estimates of China’s military have been stating for years that China is ten, fifteen, maybe twenty years behind the United States. That it is so far behind that there is no way China’s military could pose a threat. What the Chinese ASAT test showed was that China is not seeking to follow the U.S. missile for missile, ship for ship, submarine for submarine. They’re going after niche weapons, they’re trying to leap ahead with special technology, and they’re doing this in a number of key areas, one of which is anti-satellite weapons. Officials in Washington estimate that by, within the next, uh, six years, China will have the capability of destroying all U.S. low Earth orbit satellites. Basically, this could be the modern day equivalent of a space Pearl Harbor against the United States if there were a conflict over Taiwan. Regarding Taiwan, the danger of war over the Taiwan Strait continues. China has not renounced the, its plan to use force to retake the island. It is applying pressure, across the board, uh, to pressure this democracy. It is succeeding in many ways to influencing U.S. policy in ways that would diminish support for this traditional ally. The danger of China expanding to gain resources is kind of a new, uh, source of trouble that has been identified by some studies in the Pentagon one of which was called the so-called “string of pearls strategy.” It shows that China, uh, is developing a string of pearls, bases, alliances along a path going from the Middle East, where all of its, much of its oil comes from, all the way to China. There are very much concerns that because energy is so, uh, integral to China’s modernization effort, that China at some point will have to expand militarily, perhaps the Russian Far East, perhaps Southeast Asia, uh, to take over, uh, places that have, uh, valuable oil and gas resources. Intelligence operations. Uh, this is a subject that I have focused on in my recent book. It also, uh, highlights the case of Chi Mak, who was a Chinese intelligence agent, recently convicted in California of uh, of being an unregistered agent of the Chinese government. It’s part of a, a mushrooming spy case, more of which will be coming out in, in the coming weeks and months, uh, which shows that China has been very successful in stealing some of the most advanced U.S. weapons technology, including the next generation quiet electric drive for our war ships, uh, secrets about our submarine force, and as well as the AEGIS battle management system, which is the heart of the, the modern Navy. As for influence operations, this is another area where China has been extremely successful in influencing policies, uh, against the United States. We see this through so-called, what one Chinese defector called “money diplomacy,” uh, buying up former U.S. officials, and using those officials to lobby against policies that China doesn’t like. Uh, this is having a, a deleterious effect on the U.S. economy and U.S. policy because it’s preventing the United States from truly understanding the directions and goals of China’s military modernization and its, uh, its general modernization as well. Representative Randy Forbes, the chairman of the China caucus in the House of Representatives estimates that China spends upwards of one hundred million dollars annually, uh, on these influence operations. Unfair trade practices and currency issues, as well as, uh, uh, intellectual property theft. These issues are fairly well known, but I would like to highlight one issue surrounding the whole trade question. The main policy for the United States towards China has been to trade with China as a way to seek a liberalized Chinese government and political system. Unfortunately, the idea of trading with China as a liberal, a liberalizing factor is not working. In fact, just the other, just the opposite is happening. Uh, many feel that China’s buildup, its military buildup is being benefited by its economic growth, but yet we have seen little or no political reform in China. This is a, a very serious source of trouble for the United States. On human rights abuses, I would also point out how, at its core, China has never fully resolved that the Tiananmen massacre in 1989, when pro-democracy protesters… …occupied the square. Um, as well, religious re-, repression is also in this field, as well as environmental degradation. Uh, as many as seven out of ten Chinese major rivers are now dead. This debate has often been couched as, as between engagement and contained, but really, the, the issue here is that what China needs is Democracy, and that is really the, the solution to mitigating these sources of trouble for the United States."
against,"Good evening. Let me begin with a dangerous confession. I love Fu Manchu novels. I have read them all, I have seem every movie version that I can get my hand on. Nothing sends shudders up my spine so much as contemplating sinister Chinese scheming to control the world. So when I was confronted with the question of whether a booming China spells trouble for the United States, my natural instinct was to think of Fu Man Chu, and to give a resounding yes. But then I remembered that I had majored in History in college, not in the world’s great literature. When you look at what’s happening in China in terms of history and not in terms of fantasy fiction, you are forced to a very different conclusion. I grew up in wartime China, I was in China as a high school student at the time of the Communist revolution in 1949, I visited China three times during the turmoil of the Cultural Revolution. When I visit China now, the situation is so different and so much better than China was in those days. Nevertheless, the question before you is a serious one. Any country of 1.3 billion people can spell trouble for us or for the global system. I have dealt with China professionally for over thirty years, it has been troublesome throughout that period, our relations have improved, we have done well. But this is true that China can cause trouble, whether it’s in boom or bust. A China that is floundering with a sense of grievance against the world and disaffected with the international system would be a greater danger than a booming China that can feed and clothe its people, educate them domestically and abroad, buy vast amounts of U.S. goods and services, and benefit from the international system. That’s a far preferable outcome. Can we handle China’s troublesome aspects? Of course we can. We’re the world’ premiere military power. We have the most large, we have the largest and most productive economy in the world. We’re improving our military technology at a rate faster than China is. We have the world’s, I mentioned the economy, we’re a global leader in science and technology, our schools and graduate schools are the envy of the world. The one requirement for handling any trouble that China causes is that we manage our domestic and international affairs so that we don’t squander the enormous advantages that we have. Remember, trouble for us spells even bigger trouble for China. The advantage is on our side, not China’s. Seven successive U.S. presidents over a space of thirty-five years have discovered that contain-, that containing troubles and developing common interests with China benefits us. Three successive generations of Chinese leaders have come to the same conclusion. Such a track record should give us confidence. What’s more, experience over the last fifteen years of China’s rapid growth shows clearly that a booming China offers enormous opportunities for the United States, and holds out the prospect of positive change in the future. China’s rapid growth has created an enormous middle class, concentrated in China’s coastal provinces. This new middle class enjoys a level of affluence unthinkable in the 1970’s. These middle class Chinese are educated, entrepreneurial, and outward looking. They have more in common with the middle classes elsewhere in Asia than they have with the on-, the backward parts of their own country. They represent the building blocks for China’s eventual transition to a more representative form of government. China’s society is remarkably more open than it was before. Hundreds of thousands of China’s best and brightest have been sent to the west, and primarily to the United States to study, the work, and the spend years here. Western educated Chinese now occupy significant positions at all levels of government, business, and education in China. Totally absent thirty years ago. In essence, China has abandoned Marxism and Leninism and class struggle in favor of Marxism eco-, uh, market economics , and promotion of a harmonious society. Obviously, as China’s economy continues to grow, and as its military capabilities improve, we have to consider the possibility that a more powerful and prosperous China will become a security threat. A highly nationalistic China under poor leaders or under bad leaders would pose serious problems for us and for the global community. Two aspects are of particular concern. China’s military spending has been growing at double digit rates for the last fifteen years, China’s defense forces are preparing for Taiwan scenarios, that include the possibility of U.S. intervention. Does this mean we should sound the alarms, and assume that conflict with China is inevitable over Taiwan? The answer is no. The situation calls for vigi-, vigilance, not for alarm. U.S. military leaders are not sitting on their thumbs. They’re constantly improving our force posture, they’re pointedly confident that we can handle any challenges and they believe that conflict can be avoided. Such confidence is warranted. We in China have developed an effective framework from ma-managing the Taiwan issue. Both countries, the United States and China have stated that they are opposed to unilateral changes in the status quo with respect to Taiwan. In addition, enormous common interests have developed on both sides of the Taiwan Strait, interests missing, before we befriended China. Taiwan has brought over a hundred billion dollars of investment into the mainland. Millions of Taiwanese visit the mainland. Taiwan exports more across the Taiwan Straits now than it does to the United States. In the meantime, Taiwan runs its own affairs, it elects its own presidents, and it benefits from membership in the World Trade Organization and in the Asia Pacific Economic Cooperation Forum. In per capita GDP terms, Taiwan ranks just behind the European Union and ahead of countries such as Spain, New Zealand, and South Korea. It would require ineptitude on a massive scale in Beijing, Washington, and Taipei for this situation to generate into a military conflict. To conclude, an alarmist view of China exaggerates the dangers and obscures the opportunities. China’s economy is now ten times larger than it was in 1978 and our relations with China are better. And China has significant defense liabilities. Its most modern, advanced military equipment comes from Russia, an unreliable source. After years of rapid growth, China now in defense spending, China now spends approximately the same percentage of GDP that we do, but its GDP is much smaller than ours. Its, its defense budget is less than half of the combined defense budgets of the UK, France, Germany, and Italy, all part of the European Union with a common defense policy. My experience in Asia has made me an optimist. I lived in Taiwan under an authoritarian regime. It’s now a thriving democracy. I lived in Thailand twice under military-dominated governments, only to see it move to, for a period uh, to thriving parliamentary democracy. I was in Indonesia when an authoritative – Gave way. To sum up, the troubles produced by China booming are manageable, the opportunities are encouraging, the outlook is hopeful if we display the traditional qualities that made us a great country – Dragons are mythological –"
for," As all of you know, here in sophisticated New York, State Department and Defense Department often don’t get along. So it may come as a surprise to you – it certainly comes to a surprise to me – that I agree with every word of what Stapleton Roy just said. In fact, I believe our team wants to adopt him as a fourth member of our team, because he essentially is speaking in favor of the motion uh, as we see it. And I want to ask for your support for the motion in the way we define the two key words in the motion. The first word is “beware.” And we take that to mean be wary, be wary. The second key word, Bill Gertz went over eleven examples, is “trouble,” “spells trouble.” In other words, the burden on the other team to earn your vote is to say you should not beware, you should be blithely sort of confident that there will be no problems at all with China. They have to sustain that case. Then they have to sustain the case that there will be no trouble from China, forever. It seems to me it should be unanimous tonight that our team is going to win, especially since Stapleton Roy essentially is working for us. I do want to say he characterized the Defense Department’s view of China quite correctly, that’s very accurate. Uh, going back for fifteen years now, Secretaries of Defense and chairmen of the Joint Chiefs have said over and over and over that China is not a threat to the United States. In fact, often they embellish and say China, for the foreseeable future, will not be a threat. So that’s the public position of the Pentagon. It’s not looking for a war, there’s a very high level of confidence uh, that we will prevail in any conflict with China. Um and what you actually get is a series of factual reports each year that come out that list the eleven examples of trouble that Bill Gertz gave as factual matters. But Mr. Roy, Ambassador Roy is correct that there’s a sense of confidence and not seeking any sort of conflict from China in the Pentagon. There’s a sense of , that China is not a threat. And frankly, I have, since we’re telling autobiographical stories, I have had about thirty-five years meeting with Chinese generals uh, from the first meet up here in the United Nations not far from here all the way to last week when the Delegation of Generals was hosted by us in the Pentagon. Enormous changes have taken place but not necessarily for the, for the better. If you go back all the way to the beginning of the U.S. Military relationship with the Chinese Communists, it’s really 1944 that we began to do some intelligence cooperation against the Japanese in the middle of World War II. That came out of something called the Dixie Mission that some of you, I think in the audience, look like you remember it. But six years later, six years later we’re at war with China. Tragic, tragic war where the Chinese to this day claimed they warned us. They used this strange phrase about “we won't put our hands in our sleeves” and that was supposed to mean we’re going to send three hundred thousand troops in and destroy American forces. We didn’t understand it that way. And a tragic, avoidable war took place. Twenty years of containment passed, another cycle began of military cooperation between the U.S. and China. Uh, our generals and theirs have met hundreds of times. We in the eighties, under President Reagan, who certainly would yield to nobody in his anti-Communism, President Reagan authorized the sale of six American sophisticated weapon systems to China. Again a peak, by the end of 1944 when we were cooperating closely with the Chinese. You almost couldn't have had more security cooperation than we did under President Reagan with China. Three years later, 1989, it had to all be canceled and not far from here out in Bethpage, Long Island, two Chinese jet fighters sort of MiG23 jet fighters had to be crated up and sent back to China. And we refunded part of their money because of the Tiananmen incident and the heart wrenching effect it had on American hopes for democracy and human rights in China. Then in the last fifteen or sixteen years, there have been ups and downs as Stapleton Roy correctly pointed out. But we’ve never gotten a pledge from China not to use force against Taiwan. We’ve never settled, we’ve never really gotten credit for what Henry Kissinger did. Uh, President Nixon withdrew American nuclear weapons from Taiwan. President Nixon severed the military connection. President Carter severed the fact that we kept two American generals there, one for arms supply, one to plan war with the Defense of Taiwan in mind. The Chinese take that, those major concessions from us as though they never happened. And the Chinese rhetoric today continues to talk about how the U.S., if it even sells one bullet to Taiwan, this somehow strengthens the independence forces on Taiwan. It’s simply not true. We have enormous self-imposed restrictions on our arms sales to Taiwan. So across the board, we have a lack of progress in Chinese nationalistic attitudes toward America. If you pull out an average Chinese Youth Daily article today and you look up what does it say about the United States, it’s not very friendly. We have fifteen major programs now in foreign aid, in helping their banking system through our Treasury Department. Our Labor Department has a mediation service, going to help them with labor disputes. Every department of the U.S. government has what, in my view amounts to an aid program, a program of engagement with China. Very seldom mentioned in the Chinese press. If you're a young Chinese, you have the impression that America is trying to dismember China, that America poses a military threat, that America’s working with India and Japan to somehow crush China or contain its rise. All of this nationalistic rhetoric ought to be banned in the Chinese press. We don’t say these things in our press, but it hasn’t stopped the worst was 1999, I might point out, when the front page of the Communist Party Daily, People’s Daily, carried a long article called “The Seven Ways America is Worse than Nazi Germany.” And it went into detail about which kind of gas the Nazis had used in their camps, and then there was a paragraph, I’ll never forget it, saying the Americans are even worse than that. So to support our side of this debate, you have to be wary, that is look for possibilities that might happen in the future where things may not be as rosy as we may have hoped. And you have to admit there’s trouble. That’s, that’s all we, we ask for our side. And I hope it will be unanimous, but we don’t, we don’t have to be, our side doesn’t have to be extreme. We don’t have to be alarmist about China, we don’t have to forecast an inevitable war. We don’t have to say that we should break off all relations. I mention to you the fifteen aid programs, I want to close my last sentence with just one of the most impressive, to me, we have more than fifty agreements, governmental agreements to transfer American scientific findings to China for free. Our National Science Foundation, our White House Office of Science and Technology Policy are in charge of this—Chinese don’t really make a big deal out of it, but it’s an amazing program… Thank you."
against,"Thank you very much James and uh, it’s a pleasure to be here this evening. I want to start by saying welcome to New York uh, to those supporting tonight’s proposition. While neo-cons and liberals alike uh, down in the Beltway in Washington and from other places around the country debate the theory and these concepts of grand strategy to do with China, we here in New York have been working very, very hard of course in our many professions to try to understand the nature of its reform, its growth, and make sure that we benefit as a nation from what’s the epic changes taking place in this country, making sure that we don’t gauge China against the uh, abject failures of thirty, forty, fifty years ago, some of which have already been cited. But instead, recognize that China is not at all standing still uh, and is very much a work in progress. So I for one, very much look forward to the chance to debate these issues here tonight, the notion that China’s strengthening is bad news for us, which is really what we’re talking about of course. China’s boom is essentially economic at its core. So the role that uh, has been cast for me is to lay out three critical economic arguments uh, for why, whether you're a New Yorker or not, uh, you should be very much against the motion that we have on the table before us this evening. First argument, China’s boom is benefiting others in a big way, not just China. Secondly, that its growth is very much helping its people, not repressing them, and thus mitigating, in an important way, many threats that we’d have to deal with if China were not growing. And thirdly, that we the United States together with China, have larger economic responsibilities of a global nature that demand our mutual respect and our enthusiasm, in fact, instead of confrontation with China over its growth and strengthening. Which indeed is what uh, is what we’re, we’re here to debate. Let me exch-, uh, explain each of these very briefly. First of all, China’s growth is benefiting the economies of rich and poor nations alike. Japan, with merely forty percent of the labor force that the United States has, exports ten billion dollars worth of goods to China every month. The United States only exports half that amount. Germany, with a mere one-quarter of our labor force, has run a net trade surplus with China over the period 1992 to today. The point of this is China is not an economy that is closed to rich-world exports at all. It’s very much open to them. Developing nations, in Southeast Asia, in Latin America, in Africa, are also benefiting in a way the World Bank couldn't have imagined a few years ago from China’s dynamic growth. It’s embracing China as a new destination for exports. Even Taiwan, that’s of such concern to us all here at this table, is in fact enjoying a sixty-six billion dollar a year trade surplus with its archenemy uh, the People’s Republic of China, a trade surplus which has grown from fourteen to forty percent every year of this decade so far. Taiwan in fact is moving away from the attitude behind the motion on the table this evening, away from confrontation and toward a working out of things in a peaceful manner, a deepening and integrating its economy with the mainland’s. Bottom line: our fortunes here depend on what we do, on how we compete with China, not on what China does. We should spend more time competing with Germany and Japan, in fact, for the Chinese market, and less time blaming China for all of our troubles. Of course the United States is already a major beneficiary of China’s economic activity. If we cut off all trade with China tomorrow, we would create very few American jobs, we would import practically everything we import from China, but from other countries at a higher price, which wouldn't really benefit anybody in this country. Second major argument I want to make: China’s growth benefits its people and by doing so, mitigates profound troubles that would eventuate, if that were not the case. The real threats, the existential threat, threats to the United States today come from impoverished and stagnant states writhen by discontent and insecurity. North Korea, Iran, Iraq, the Middle East in general, stagnant economic situations in Sudan, in Venezuela, these are what, these are the engines that breed terrorism and nihilism which are the true threat and trouble we should be concerning ourselves with. China could have been among those. In fact the China of 1978, before the dreaded boom that we’re here to debate this evening, would have been one of those, by embracing our economic model in fact, which is what they’ve done, they’ve grown beyond that danger. And though eight hundred million Chinese are still poor by our standards, they’re striving toward prosperity and not toward extremism. Those people, those toiling Chinese are the boom that we’re here to pass judgment on this evening. And while their toil brings competitive challenges for us, we would be gravely mistaken to try to turn back the clock to the failed state China was before this boom began. Prosperity is not an alternative to political change in China. In fact, it’s been the handmaiden of it. The totalitarian government ruling two hundred dollar per capita China in 1978 bears practically no resemblance to the Chinese government managing a two thousand dollar per capita economy today. Likewise, the Chinese government that runs ten thousand dollar per capita China tomorrow will be vastly different than the one we deal with today. Third major argument: beyond our narrow economic interests – and theirs – lie global economic responsibilities that must be addressed cooperatively. Tonight we’re debating whether the benefits of a stronger China are worth the trouble it brings us along the way, or rather, whether the troubles of a stagnant China would suit our interests better, because that’s really the question. It’s which set of troubles suits the American interest and which does not? It’s a reasonable question, but such a narrow-minded calculus of self-interest alone does not befit a great power and certainly does not befit the United States. Economic success, foremost ours and now China’s as well, is creating a great economic, political, and indeed security challenge, climate change and an environmental crisis globally. The U.S. has refused to address its responsibility to carbon, on carbon emissions. And the reason given: China. A con-convenient fits-all-purposes ex-excuse not to act when you don’t want to act. China, interestingly enough, has refused to exact uh, except carbon commitments for the same reason. The United States should go first. This log jam is fueled by the mistrust that tonight’s motion puts forward, and indeed it cannot be permitted to stand. We have an economic responsibility to the planet to deal with this together or we’re going to lose more than anybody does. To finish, let me say this, I have a private practice in addition to being a think tanker and professor. And my customers are troubles. They’re troubles I’d like to have more of, frankly. I don't have a problem with troubles, we have more troubles with Canada economically than we do with any other country. Is that bad news for the United States? It’s not, it’s part of a mature relationship. Those in favor of tonight’s motion counsel a strategy meant to leave China in ruins using a play book last used in the Cold War, building up our military instead of our economy. Who will join us in such a strategy? I urge you to vote against tonight’s motion. The troubles of a stagnant, unbooming China – Far, far outweigh – The challenges of its growth. "
for,"The question on the table is does a rising China spell trouble for the United States. Or in slightly different words from an American perspective, is a powerful China likely to be bad for the United States? I think the answer is axiomatically yes. And I say this not because I feel any personal hostility towards the Chinese, which I certainly don’t, or because I think China is particularly aggressive because it was or is a Communist country or it is run in an authoritarian political form. I think that matters very little and I don't say it because I think China’s likely to behave irrationally in the future. My argument is that the best situation for the United States from the perspective of maximizing its security is to be the most powerful state in the international system. The bigger the gap between you and everybody else, the more secure you are. To put it in Pentagonese, you don’t want a peer competitor in your national system. To give you two examples that highlight this point, think about the United States and its two immediate neighbors, Canada and Mexico. As you know, we are much more powerful than either one of those countries. None of you go to bed at night worrying about Canada or Mexico attacking the United States tomorrow, next week, or next year. That’s simply not going to happen because we’re so powerful. Would you trade the present situation for one where Canada and Mexico or Canada or Mexico was twice as powerful as the United States? Of course you wouldn't, it’s much better to have a situation where we’re the most powerful state in the Western hemisphere. Same basic logic applies to China. If China has two choices, one it can have a Japan in Asia that’s five times more powerful than China, or a situation where China is five more, five times more powerful than Japan. Which one of those alternatives do you think the Chinese will choose? It’s an open-and-shut case. They’d much prefer to be five times more powerful. And the same basic argument applies to the United States and China. Today, tomorrow, or at any point in time. If you have a choice of being as powerful or less powerful than China, or being more powerful, which would you choose if you're interested in maximizing your security? An open and shut case. Let me spell out the logic that underpins my argument. Principal goal of any state in the international system, it’s not the only goal, but the principal goal is survival. And the reason is, if you don’t survive, you can’t pursue any other goals. The problem that states have is they operate in an anarchic system. That’s political science speak for saying that they operate in a system where there’s no higher authority that you can turn to if you get into trouble."
against,"Well I, my name is Jim McGregor and I’ve lived in China for twenty years. And I'm just grateful that I did not make Bill Gertz’s list of eleven threats from China. Um it’s kind of intimidating being here among all these Ph.D.s and well studied men. I ended up in China because I was expelled from high school. Um, I joined the army when I got expelled from high school, they sent me to Vietnam, that turned my head towards Asia, led to me becoming a journalist. And as time went on, I wanted to get back to Asia as a journalist, so I went to China in ’85 and backpacked through the country. Um, ’87, I moved to Taiwan to learn Mandarin and I’ve lived in Beijing since ’90, both as a journalist and a businessperson. All of the theories that I’ve heard tonight, I’ve read many times. My view is more kind of grass roots what China looks like on the ground and what I’ve seen. Um, when I first moved to China as a reporter, I had secret police following, my phone was tapped. Even the maid who took care of our nanny who helped us with our daughter was from the foreign ministry and made reports on us. Um and this was a country that was just really emerging from the forest fire of the Cultural Revolution. And what I’ve seen since then has been kind of documented by other speakers here tonight on the fast growth. I’ve watched, the first uh, financial person I met in China was a guy named Milen Xiong who was a, a steel worker who had cornered the market on the four stocks on the illegal Shanghai stock market. Um and now China’s um, doing the world’s largest IPOs and in fact Chinese stocks were the top performers on NASDAQ last year. When I first got to Beijing in the fall, you had big piles of cabbage on the corner because that was the only vegetable they got. People would bring it home, they’d shove it under their bed or in their cabinets and over the winter, you’d tear away the rotten leaves and you could eat the fresh leaves inside. Well as you know, now, if I don’t see a new high rise everyday, I get a little jittery, it’s moving so fast. Um international sophistication, when I went there in ’85, people would come up to me on the street and show me around for the day because they were so excited to learn about the outside world. While we’ve had six hundred thousand students alone from China come to the United States, Chinese people are very international, traveling the world, doing business um, and even being involved in uh, academic uh, endeavors in the United States. So we’ve learned that China’s a very formidable country tonight and we better be scared of them um, because why? Well China has grown very fast and it’s moving very fast, but what has happened during this period? China has been shoving all kinds of problems under the carpet. The carpet’s getting lumpy and the country will trip on these problems and it’s going to be very busy for the new few decades fixing this. Environment, China is trash. Sixteen of the twenty worst air-polluted cities in the world are in China. I’ve traveled every province of China and I’ve never seen a clean body of water that was not in a bottle. Um, healthcare, from a fairly decent healthcare system has become very commercial. Two-thirds of people don’t have healthcare. If you're a peasant and your kid gets cancer, what do you do? You beg, borrow, and steal money to get them to a hospital in a city. Uh, you have to deposit the money for your kid to be in that hospital. If you run out of money, they kick your kid out of that hospital. Um the have and the have-not issue is growing and growing. There was eighty thousand demonstrations two years ago. Last year they went down because they realized they better not be reporting on how many they had. Um and on and on party corruption, etcetera. So this is this uh, colossus that’s going to take on the United States. What does China really want? From a military standpoint, China wants to protect its wealth. It’s been a country that’s been colonized. It also wants to have the military projection to be able to protect it, protect its own sea lanes. Um from natural resources, China, the rocks have not been kind to China. They’re as dependent as we are or more on imported oil and other mat-, in iron ore and other raw materials. Um the government. The government is running scared of its own people. You’ve got to realize when you have ten, ten, ten percent economic growth for twenty years and kids are growing up under that kind of growth, they expect exponential improvement every year forever. And the government has really no credibility other than economic growth and giving people a better life. So where does the United States have to worry? Where do we really eclipse China? You can’t be a global leader without a leading ideology and China right now has no leading ideology other than getting rich. Uh, right now the United States isn’t so popular around the world uh, with Iraq and other issues. China is out working the world, but I’ll tell you, people are looking for U.S. leadership. We will not have trouble competing with China diplomatically. Financial world. New York um, you can walk down the street here and throw a rock in any direction, you're going to hit a trillion dollars in hedge funds. Um the Shanghai Bank still don’t have check-clearing mechanisms for private accounts. China’s moving ahead in, in the financial world. They’ve got a trillion dollar foreign exchange surplus and they’re in fact putting together a hundred twenty billion dollar hedge fund. But they are going to have to dependent on the U.S. and our financial system and cooperating with us for their money to be deployed well as well as the capital they need.  China’s built seven hundred universities in the last fifteen years. However, it still has stuffed ducks-style education where people are taught to memorize, not to think for themselves and not to analyze. The world, the world comes to America as long as we give them the visas to have the best in the world education system. We can absorb the brains of the world and stay ahead of anybody in the world. Um finally, I'm looking at my opponents here. I'm on the good guys team here on the left and uh, my opponents here, these are all learned men, they’re all PhDs. But take a look, there’s not a bit of suntan on any of those heads. Um they have, they have been sitting in offices in Washington and Chicago um, reading reports and putting together the world under, under theories. And that’s quite good, I'm happy to say that. And I'm not here, I'm not here to defend China. I'm here to defend America because um, if you say that we can’t handle the rise of China um, then you're voting against America tonight. I believe that you really have to vote no because if you vote yes, then you're voting against America. America can handle the rise of China. China’s got a lot of problems. And we’re going to, we’ve, we’ve handled many things in, in the life of this country. And we will handle this quite well. "
for,"Uh, the question of whether or not China can rise peacefully is a somewhat different question than the one that is on the table, and there’s no question, as our moderator said, that I’ve bumped into the question of whether China can rise peacefully. Now he said in effect, aren’t I creating a self-fulfilling prophecy here, because China wants to rise peacefully in the story uh, but yet the United States, because it’s being prudent, is creating a situation where you’ll have a clash down the road. It’s not uh, necessarily that you’ll have a shooting war. But you’ll certainly have an intense security competition as a result of my story. There’s no question about that with the possibility of the war. My argument is that the United States really has no choice. Because as China gets more and more powerful economically, the United States constantly bumps into the question of what China’s intentions will be ten, twenty, or thirty years down the road. And he says, the moderator, that China wants to rise peacefully. But he can’t assure me that China wants to rise peacefully or will rise peacefully. There’s just no way of knowing. And in a world where you have a state that’s becoming increasingly powerful, nearly as powerful as you, you have to assume worst case about its intentions to protect yourself in case there is trouble. Because as I said to you before, if you do get into trouble, there’s no 911 that you can appeal to. And in a very important way, it is a self-fulfilling prophecy, and this is why I titled the book that I wrote on this subject, the tragedy of great-power politics. This is a tragic situation. The United States simply has no choice but to assume the worst about China and the end result is that you’ll get that for sure. May I, may I just say I still consider Ambassador Roy to be the fourth member of our team. Thank you, thank you very much for those comments. A balance of power is in fact the right approach. My… 01:0? :35 The point that I tried to make in my comments was that the state can have a variety of different interests, and promoting human rights, or protecting human rights and promoting democracy can be, and often are legitimate goals of states, especially the United States. But the highest goal always has to be, uh, protecting your security, maintaining your survival. And the point that I tried to make clear here is that the best way to maximize your chances of surviving in the system are to make sure that you are by far the most powerful state, because then nobody can fool around with you. And once you have ensured your survival, you are of course then free to pursue those other goals."
against,"Hong Kong tells us a lot. Uh, the, the motion we’re debating tonight, with regard to the meta-phenomenon of China’s strengthening, uh, and coming back into a position, uh, of relative strength after a century of relative weakness could easily have been debated in the more narrow context of Hong Kong ten years ago. About ten years ago today, in fact, uh, almost. Uh, or, or a month away. Uh, people assuming that China’s reassumption of control over Hong Kong would necessarily bring, uh, a cauldron of concerns and troubles about Hong Kong’s fate. In fact, uh, things have played out entirely differently than that. Uh, China has left Hong Kong to manage its own affairs, in the same way at Beijing, to a great extent, is allowing many regions of the country within mainland China to manage their own affairs. Probably too much so. We probably need a stronger Beijing rather than a weaker one, in fact. Uh, Hong Kong is prospering. Its success or failure stands on its own competitiveness. This is precisely what we should learn form the situation. Hong Kong can do better or worse, it has less to do with Beijing than it does to do with Hong Kong. The United States can benefit or be at a relative loss as a result of China’s economic growth. It has everything to do with the choices we make, and how we choose to respond, instead of trying to adjust our game to respond to what China wants to do instead."
for,"Uh, I prefer a wealthy China to a poor, angry China. Uh, I think the, the issue though… think the issue is really democracy, and a wealthy democratic China is a better partner for us, a better ally, a better friend than a poor, than even a poor democratic China. The problem is how to get from here to there without being foolishly naïve in building up China’s economic strength in a way that they also maintain their nationalism. They maintain their anti-American views, and they, uh, it ends, the situation ends up that we have been gullible and naïve over a fifteen or twenty year period. And this has happened before. If you read John Mearsheimer’s most recent book, it really chronicles a number of times this has happened in world politics. So if you really want to support our side of the resolution, you need to be thinking about this phrase the moderator used, which I love, I think he’s working for us too, “Don’t worry, Be Happy.” Because that’s what their side really is advocating. What I am saying, be wary in the following four or five ways. We need to continue our military exchange program with the Chinese military, and let them see that we’re not their enemy. We don’t want to call that off because “don’t worry be happy.” We need to continue the embargo on arms sales to China. We shouldn’t sell weapons to China. We should continue the Eur-, our support that the European Union has its embargo on arms sales to China, until human rights improves significantly. We should continue to do something about Taiwan’s defense. We don’t have to arm them to the teeth, but we shouldn’t just walk away from Taiwan. And finally, we need to have technology limits on our most advanced technology that we transfer to China. Right now, it’s very generous, but there are a few things we hold back, and some people say that was part of their successful test against the satellite in space, is that they had some western technology, uh, at their, at their service. And frankly, I don’t know if all of you know as, perhaps as civilians, ninety percent of your military forces go through satellites. Communications, intelligence, also and every time you use an ATM card, that’s a satellite conveyed transaction. So we are a highly vulnerable society with our four hundred satellites in space. This test is very serious in January, and the Chinese government after repeated requests has no explanation for it. They just say, “Oh, don’t worry about it. Don’t worry, be happy.”"
against,…let me see if there’s….
