side,script
for,"That's right. Well, I will be happy to answer that. Let me first tell you that I must say in response to your discussion about the title of this debate, about the proposition itself, I was a little bit uptight about it originally because, after all, we are debating this issue here in New York City a few miles from Ellis Island. And I have been -- I have participated in things in the past that have been a little bit skewed, and I can recall a spoof of me, a debate -- or actually it was supposed to be a little discussion between me and Vincente Fox, but it was a spoof on ""Saturday Night Live,"" and so they had someone who looked like -- and I knew it was biased from the beginning, from the very beginning because the guy playing me looked like me and the guy playing Vincente Fox was Antonio Banderas -- No fair, come on, guys. Frankly, I -- you look at it and begin to think about the ramifications of immigration, both legal and illegal, and they are fascinating. It is really one of the most intellectually stimulating areas of public policy I think we can possibly talk about. A great deal of mythology has built up around the Statue of Liberty, around the Emma Lazarus poem, and a lot of that mythology, of course, is just that. It's mythology. But unfortunately we have a tendency in the United States, we look back sort of nostalgically at a period of time because most of us are either children of or grandchildren of immigrants, and so the whole idea of immigration has a sort of a nostalgic appeal to us, and that's our first thought usually. And I am the same way. I am the grandson of Italian immigrants, came right here into Ellis Island. And my parents being first generation Americans were very, very strict about one thing and that was to become an American, to become -- and it meant a lot of things to them in different ways, and I'll get to it in a minute, except that I do want you to understand I have that same nostalgic opinion to a large extent of what our immigration policy was, but we can't confuse that and make -- and develop true policy today based on mythology and, you know, some of the myths that we have to dispel. I think tonight's a good place to do it, it’s -- first of all the Statue of Liberty was not a gift from France that was designed to explore the wonderful idea of open immigration. Indeed it had nothing to do with immigration policy. It had everything to do with extolling the virtues of a republic. In fact, the statue was called “Liberty Enlightening the World.” It was not called “Liberty Inviting the World.” As for the Emma Lazarus poem, it was added 30 years after the statue got here. And it was about that time that the author of the poem, Ms. Lazarus, was talking about the need to limit immigration to various groups. Remember also that a lot of the tired, and poor, and huddled masses got stamped “return to sender"" here at Ellis Island. There were people with dangerous elements and ailments like pinkeye or a cough or fever, and if anyone exhibited any degree of exhaustion by climbing the very steep stairway over at Ellis Island which was purposely built that way, that was one of the things that could get you sent home. It was not a take all comers time in American history. As for the poor, well, long before the Ellis Island experience, the colonies had enacted very, very stringent regulations about this particular aspect of immigration policy. In New York in 1691, it required an immigrant to have, quote, ""A visible estate or manual occupation or give a sufficient surety that he shall not be a burden or a charge to the respective place that he shall come to inhabit."" In 1996 in the Congress of the United States, they tried to actually expand on this and say that you had to have an affidavit signed by someone if you’re coming here, you had to have an affidavit of support. They put it in, it was part of the Welfare Reform Bill, never, not one time, never has it been enforced. And so the fact is we are in a -- unfortunately, we are importing a large degree of poverty into the United States. The National Academy of Sciences along with the Center for Immigration studies shows that welfare use, the rates for welfare use, are significantly higher for immigrant households than they are for nonimmigrant households. Federation for Immigration Reform could identify a net cost, net cost after taxes were paid by illegal immigrants, they were just focusing on that one part, a net cost to American taxpayers of over $150 billion annually. Now, my point here is to show that for a long period of time in American history, we had what I would think was, and believe, is a rational policy. It was rational for us to bring in a lot of people, especiallyduring the hay-day of American immigration, the 1890s and 1900s, a lot of people who were low-skill, low-wage people.  Because, of course, we were building the Industrial Revolution here. They were fueling it. That was appropriate. It was right. It served purpose for the people coming and it served a purpose for the people here. I hope -- well, also, as I see we’re getting toward the end of that 7-minute period, there is another myth I want to try to dispel quickly. And that is that immigration has always been sort of a straight-line increase from the time America started until today, that it’s always just been going up. Absolutely untrue. About 1830 is when immigration began to be statistically relevant in the United States. It started to climb. By 1850, it started to go down. Around 1880, it grew. Around 1890, it declined. It rose dramatically right before the First World War, but declined dramatically after the First World War with the Immigration Act of 1924. It stayed relatively low for a long period of time until, as a matter of fact, 1965, when everything changed with the Immigration Act that was pushed by Senator Kennedy at the time, Senator Teddy Kennedy. And we’ve had now really massive immigration, low-skill, low-wage workers ever since that period of time. Now whether or not those -- that cyclical movement and that cyclical characterization I just gave you of immigration was purposeful or not. It had and served a good purpose, I think. We had periods of high immigration. We had periods of low immigration. And you know what happened during the periods of low immigration? People used that time to assimilate. And let me tell you, from my point of view, this is by far the most important aspect of the debate. Assimilation -- we can have massive amounts of immigration to this country, the right time and the right type of immigration, especially, as I say, depending upon our needs here as long as we have assimilation along with it. Or, if it doesn’t happen along with it, it has to happen at that period of time that we take a break, which is not a bad idea for us to think about even now, because assimilation is not occurring. It’s not occurring to the extent -- I mean, I know you can’t categorically say that, but it is certainly not occurring to the extent that we need it to in this country. We desperately need, perhaps more than any country in the world, we need things to hold us together, to think about as being Americans, to connect together, not pull us apart. And I’m afraid our immigration policy is doing just that.  Well, I'm making plenty of noise there too.  My work in terms of immigration policy at the national level began in 2001 when I served as counsel to John Ashcroft at the Justice Department. And after I left the Justice Department in 2003, I left with a very important idea in my head and that was that the rule of law has broken down in immigration, and much had to be done to restore it. But it had to be done not only at the national level, but also at the state level. And that's why I got involved helping states like Arizona and many other states. In 2007 for the first time, every state in the country saw legislation introduced into the state legislature to, in some way, restrict or slow down the pace of immigration into that state. Not all of them passed, but that's an important point. Every state is a border state now. The reason that nearly all of the states on the map are trying to take steps to discourage illegal immigration is several-fold. But the number one driver is a very important point in this debate, and I'd like to start there. The fiscal cost, fiscal cost, the cost to governments, to taxpayers to the illegal immigration in particular is unsustainable. My point can be summarized in one sentence by Nobel laureate, Milton Friedman. He said, it's just obvious. You can't have open immigration and a welfare state. You can't have open immigration and a welfare state. Now, my guess is that there are a few fans of the welfare state here in the audience. I am not a big fan myself, I accept the reality that it's here to stay. And given that reality, there is an important distinction that needs to be made between the current wave of immigration, which started in the '80s and has been going unabated for three decades, and all preceding waves of immigration. They were not immigrating into a welfare state. They were immigrating into a situation where they rose or they fell based on their own merits. There was no safety net to catch them. That is a critical distinction that changes everything. When Emma Lazarus wrote that poem, she spoke of a lady holding the golden -- the lamp by the golden door. Now, the golden door she was referring to was a golden door of opportunity. You come here, you're free to do whatever you can. You make it or you lose it, but it's all up to you. Now that golden door represents goodies, public benefits, services that are available to people who come to the United States more than any other nation in the Western hemisphere. The golden door represents something completely different. Now, aliens are consuming those benefits far more than U.S. citizens are doing so. Now, the average per household consumption -- that consumption of public services and benefits, is estimated, from a 2007 figure, not 1993 numbers, 2007, to be $19,400 per year net. They're consuming -- and this is all immigrants, the illegal and legal combined. 19,400 per year more in services than they're paying it in taxes. So that's a net drag on the fiscal status of the country. Now, Julián mentioned this 1993 study. I have not seen that study. That is so old I wouldn't even know where to begin because the numbers are so different back then. Now we're talking 11.3 million illegal aliens in the country. There was also a study that came out last month based on census figures from 2010, and the number was generated by the Center for Immigration Studies, crunching the numbers, 71 percent of illegal alien households are consuming some form of welfare, 52 percent of lawfully present alien-headed households are consuming some form of welfare, in contrast to only 39 percent of the U.S. citizen-headed households are consuming some form of welfare. Now, the explanation for this is obvious. It has nothing to do with ethnicity or nationality, it has everything to do with economics and demographics. Poor people are more likely to consume welfare. And immigrants coming into the United States, especially illegal immigrants, are almost in all cases having less than a high school education. If you look at all immigrants combined, about two-thirds have a high school education or less, and so we are importing a very impoverished set of immigrants, both legal and illegal, into the country. Here's another fact to chew on. The Mexico-American border has the greatest disparity in income levels of any border on the planet. There is no other national border where the difference between the rich country and the poor country per capita is greater. That fuels a lot of this fiscal cost, too. So since 1996, Congress has passed laws trying to discourage this handing out of public benefits because it exacerbates the problem. Most states have ignored that law. New York is one of the states that continues to give public benefits to illegal aliens. New York also gives in-state tuition rates to certain illegal aliens. Think about that if you are a -- -- well, I don't think any of the out-of-state students who are at a public institution are clapping right now because they're paying out-of-state tuition rates. Now, the -- nationwide, as Tom mentioned, it's over $100 billion a year net that is flowing out to illegal aliens, that is to say, they're consuming that much more in benefits than they're paying in taxes. And the burden falls overwhelmingly at the states. Indeed, I like to say illegal immigration is the ultimate unfunded federal mandate because the federal government, which is chiefly responsible for enforcing the laws, fails to do so, and then the states have to pay the burden. You can think of story after story about this. Hazelton, Pennsylvania, one of the cities that I'm representing, they saw their population explode from 20,000 in the year 2000 to about 30,000 five years later, 50 percent increase in population, but they get most of their revenue from an earned income tax and their revenue remained flat. Population goes up 50 percent, no additional tax revenue, that was because most of the additional people coming in were working at a meat packing plant nearby, were illegal aliens, and they were either earning too little income to pay any taxes or they were earning purely cash income. And the city wasn't getting any revenues. Look what happened. All the costs to the city went up 50 percent, all the costs contingent on population. The school districts, the budget was breaking, English as a Second Language, the expenditures in 2002 were 136,000 that year. In 2006, they went up to 1.1 million. Talk about that kind of burden on a small town school district. The same thing is happening at the national level. And as a result, we have to recognize that there is a fiscal cost. Or take it on the individual level.  There are 14 million Americans out of work. A vast majority of the 11.3 illegal -- million illegal aliens have those jobs, about seven million are in the workforce. Many states are realizing the simple truth, if you want to create a real job for a U.S. citizen tomorrow, deport an illegal alien today. It actually works. But of course many of you are probably thinking, and I'm sure we'll hear from the other side, that those are jobs Americans won't do, that those are jobs that are too low on the totem pole for Americans to do. Well, the statistics don't bear that out because in every single one of the industry -- industrial sectors where illegal aliens are prominent, U.S. citizens still have the majority of jobs there, 74 percent of construction workers, U.S. citizens, 76 percent of food preparation workers, U.S. citizens, 56 percent of agriculture laborers, U.S. citizens.  citizens are there, and they're working right alongside the illegal aliens who are depressing the wages or taking their jobs outright. So if we care about our fiscal health, and if we care about the Americans who are struggling to put food on the table, we should look very seriously at our immigration problem in the United States."
against,"You too can go into politics. Thank you so much, and thank you so much to the sponsors of this event. So, like all of us, I’m a descendant of immigrants. In my case, there were two kinds of immigrants. On one side were the Eastern European Jews, and on the other side were the people who came on The Mayflower. So, I grew up in a house where I had two lessons. One was that difference was really kind of what made us great. It’s certainly what made the two sides of my family great. And I learned to understand later it was what made the country great. But I also learned that, in many ways, what we have in common -- this was another lesson in my household -- what we have in common is more important than our differences. And so I see the challenge for the country going forward, as it was in my family, is to make sure that balance is in the right -- is in balance, that we’re getting the benefits of the difference, but we’re also holding together as one country. And that’s where I start when I’m considering immigration. It’s not -- there have been words thrown around here: nostalgia, generosity, I’m not sure anybody mentioned rights, but that’s another way that a lot of people come at it. I don’t come at immigration from any of those perspectives. I come at it from what is in America’s interest. What’s really good for us, for our economy, for our security, and for our future? And that’s why I’m dead set against this motion. I don’t think it’s good for our economy or for our values. So let’s start by being honest. Immigration is about economics. It’s driven by economics, for the people who get up in their home villages and come here, and it’s driven by economics for the Americans who hire them. And the bottom line is it turns out to be an economic win-win. Immigrants create jobs. And contrary to what you’ve just heard from Kris Kobach, it’s counterintuitive, I know, but you heard me right. Immigrants create jobs. It’s easy to see how that works on the high end. The 25 percent of the patents in the United States that are taken out by people who are foreign-born, the 25 percent of the doctors in America who are foreign-born, the 25 percent of the nurses, the half of all of our science and engineering Ph.D.s who are foreign-born. And you heard it from my partner, Julián, the quarter of the tech startups that were started by foreign-born. As in the past, countries competed -- powerful countries competed for coal and iron-ore in colonies. Today, countries around the world are competing for high-end engineers and smart immigrants. But it’s true at the low end, too, that immigrants create jobs. And again, I know this gets even more counterintuitive, but, you know, I’ll never forget here -- and this is really what partly brought me to do exactly what I’m doing now -- -- hearing the man who ran a seafood processing plant on the Eastern Shore of Maryland talk about his company. He came to the floor of the Senate and he did this. He talked about how he had a 100-year-old family company. The native born people on the Eastern Shore no longer wanted to do the hard seasonal work. Americans like full -- year-round jobs. No one wanted to do the hard seasonal work of picking the crab out of the shell. So he brought Mexican women every summer to pick those crabs out of the shell -- very low-paid, uneducated people, seasonal workers. You know, that’s the low end of the economic totem pole. But because he had those seasonal workers, he could actually keep his company open in a way that he wouldn’t have been able to if he didn’t have them. And because he kept his company open, there was a job for the manager in the company and the people who packaged the seafood and the accountant in the company. And because he could keep his company open, there was seafood for the restaurants in the town where the tourists came to eat seafood. And because those restaurants and the seafood, hotels, gas stations, insurers, you can get the picture -- up and down the food chain, those lowly, lowest bottom-of-the-totem seafood pickers were keeping an economy going. And the point is that on both the top and the bottom end of our economy, the bottom of the skill ladder and the top of the skill ladder, we have holes that needs filling by a foreign workforce. The American workforce is changing. We’re getting older. People are -- we’re having smaller families. People are retiring sooner. We’ve created -- we have holes at the top and bottom of the workforce, and we’re lucky that they’re filled by immigrants who, because they’re different from Americans, either more or less skilled, they’re complementary, not competitive. They create jobs for Americans. Of course, there are costs, and we’ll talk more about the costs in this -- I don’t deny there are costs to immigration, but in the long run, ultimately, the good far outweighs the bad. Our need for workers also changes. That’s not so -- in a bad economy, we need fewer foreign workers and in a good economy, we need more. But ultimately, the point is the patents, those PhDs, the startups and the jobs for U.S. workers up and down the food chain. And the 64 million question for me is how are we as a country going to handle what I think is a given of the interconnected world. We're lucky immigrants are coming to fill these niches at the top and bottom of our economy. And how are we going to handle it in a way that's consistent with our values, that maximizes the benefits, minimizes the cost and is consistent with our values? And this is really where I differ from my opponents in this debate. I too am for the rule of law. I too am for security and effective enforcement. But I also think we need to be honest about our needs. It doesn't really work I don't think to have two signs at the border, one that says, ""Help wanted,"" -- one that says, ""Keep Out"" and one that says ""Help Wanted."" I don't think that's an honest standup way to go about our business. I don't think we want to treat the people who come to work for us -- I think we want to treat them in an honest, standup way. We don't want to say, ""Wink, wink, nudge, nudge, come on in"" when times are good and then harass them with policing laws when times are bad to so that they leave. Ultimately, that's what I think today's debate is about. It's about how to do we deal with the reality of our economic needs in a way that's consistent with our values? And if you listen tonight, what I think you should be asking yourself is whose way is more likely to lead to a successful immigration and successful integration or assimilation? Is the best way accepting reality, allowing people to be here legally, treating them with dignity, or is the best way pretending that we don't need these workers, pretending that we can drive them out when we can't and driving them further underground?   And that concludes round one, opening statements of this “Intelligence Squared” debate. So here's where we are. We are past opening statements, and we're about to go into round two, and that's where the debaters address each other one on one. They take questions from me. And after a little bit, we'll take questions from you as well. And I want to, again, urge you, when you're formulating your question, to really think in terms of something that's terse and on the point and that really is a question. So if it has a question mark at the end of it that's there appropriately, that's the telltale sign that it's functioning as a question. What I'm trying to discourage is your debating with the debaters, but to throw something in here that would actually make them continue to hash out the issues. So I've got to do this part for radio. And I'll do this from time to time. I just need to do a little make believe welcome backs kind of thing, and we're taking a break, even though we really won't. So it would be a great help to me if you could do a round of applause that -- that will play coming back from a break in the radio broadcast, and then I'll start talking. Thanks very much for doing this. Go ahead. So we are back, and now on to round two where the debaters address each other directly. I'm John Donvan of ABC News. We're at an “Intelligence Squared U.S.” debate at the Skirball Center for the Performing Arts at New York University. Our motion is “Don't give us your tired, your poor, your huddled masses.” We have two teams of two members each who have been arguing it out. The team arguing for the motion says that we're working under an out-of-control immigration system where the wrong people are getting in the wrong way and exploiting America's generosity, while also, in some cases, diluting America's American-ness. The other side is arguing that immigration may need some fixing but that it is vital for the U.S. economy. And they're also arguing that immigration actually is the American story. So I'd like to go to the side that is arguing for the motion, arguing don't give us your tired, your poor, your huddled masses. And Tom Tancredo, you were talking about the notion that right now we're importing poverty. And I want to ask you, who is welcome? Who are the immigrants that are welcome?"
for,"Well, certainly, you could establish an immigration policy based upon the needs of the country in an economic sense. And that is a determination I think that we have mademany times during our past. Are our needs primarily low-skill, low-wage workers, or are they with high skilled. The people that Tamar and the mayor referred to as being these startup companies, these affluent -- or at least people who became affluent, had all these skills, great, fine. It's wonderful. But I'm telling you that that's not what our immigration policy is today. Today it is based almost entirely on something called family unification. And because we've had so many people coming into the country over such a long period of time from such low-skilled, low-wage backgrounds that that's who we get. Well, sure. It's, if you get here, once you get here and get status here, status as someone here legally, you can begin the process of bringing in your family, bringing in the immediate family then bringing in extended family. Being it's coming exactly from the same group of people, the same economic group, especially, that is predominantly low-skilled, low-wage workers when we have, right now, at least -- by the way, this is also legal -- I'm talking legal immigration. Let alone the people that are coming across the borders illegally. Not many of those people have these kinds of skills that you're talking about that are so desperately needed. It's interesting that you mention that because, of course, when we also start talking about the taxes that immigrants and even people who are here illegally pay, there is -- your side suggests that they're paying their fair share. But in reality, they pay nothing in terms of income taxes. Most of the people we're talking about end up getting income tax credit and therefore money back from the federal government because again, it's low-skilled, low-wage work. And low-skilled, low-wage people don't pay income taxes. They usually pay -- they pay sales taxes and that sort of thing. But it never balances off with -- -- the costs we incur for the infrastructure we provide. They do. That is true. And economic impacts are not positive. Which, by the way, they'll never be able to claim. But the fiscal impact is undisputed. Now, there are some economic studies that look at the overall impact. Have we cheapened the price of some goods? Have we given some economic benefits? But if you narrow it to the fiscal impact, it is undisputed. Every single study in the last 10 years, whether you're talking about Robert Rector's study in 2007 or the Census Bureau numbers that I related just a moment ago where you have seven, eight percent of illegal aliens consuming welfare programs, 51 percent of legal aliens and 39 percent of U.S. citizens, which, by the way, matches up well with that 40 percent figure. It shows statistically that they are consuming the fiscal benefits. And if you just look at in terms of the benefit to us as taxpayers, we're losing on --"
against,"I mean, again, it all just depends on how you measure it and how you look at it. If you look at it most immigrants pay their taxes to the federal level because they have their income tax withheld from their paycheck. So if you look not just at the state level, but the federal level as well, and you look over their whole lifetimes, they actually pay in about as much as they take out because what costs is health and education -- Let me finish. Let me finish. The cost is health and education. But then they turn into earners and taxpayers. And so if you look over their whole lives, if you look at the federal story as well, it's about an even-even. Social Security, they pay in every year about $7 billion that they don't take out because they pay in on -- illegal immigrants pay in on Social Security numbers, and they don't recoup the costs. So they get to keep the --John Donvan: But your opponents have made the case that in other ways that immigrants and illegal immigrants especially are drawing on the welfare system. Well, they're exaggerating their welfare numbers. But let me just make my -- Let me just make a closing point. The point is that what you're leaving out is growth, is the growth they make possible. And let me just give you a couple numbers. So in the State of North Carolina, they measured over the '90s, what an immigrants -- what was the fiscal cost and what was the growth made possible in consumption and adding to businesses. Fiscal costs over 10 years, $61 million. Now, that's real money, that's those costs by Latinos coming to the States -- growth, growth, 11 billion -- Growth, 11 billion."
for,"That rightwing organization, the National Academy of Sciences, I mean, will you accept that as a legitimate entity that assesses these issues? I mean, it doesn't have -- to the best of my knowledge, it doesn't have a dog in this fight, it doesn't have a political bone to pick with anybody. It's the National Academy of Sciences. You can argue with the -- with CIS and other studies, but the National Academy of Sciences shows that you're not correct, Tamar, when you suggest that this isn't a fiscal drain on this country. It most certainly is.Tamar Jacoby: That's not what that study found. It is also just common sense, it's not even something that you have to go through reams of statistical evidence to prove it is common sense. If you come here without an ability to provide a service that is well paid for you are not going to be able to pay the income taxes you're talking about, but you are undeniably going to require the services, the services for your children, the children who are in the public school system, the services for the -- the social services --"
against,And I consider educating the workforce of the future --
for,-- the social service benefits.
against,I consider educating the workforce for the future not as a welfare benefit but an investment.
for,"Yeah, or in the day today . Sure, an investment. Well, okay, how about the investment in our prison system? I with that study, that Texas Comptroller study looked -- it didn't just look at fiscal income and outgo, then they went on and considered, ""Well, have there been generations in second and third degree effects of extra businesses or extra -- -- consumption that might have occurred?"" Now, that's fine, and look, let's get this straight, the fiscal debate is clear, they are a fiscal drag. Now, I will agree that there are -- we get cheaper vegetables because of this, but you have to realize there are winners and there are losers. The winners are the employers who are able to exploit the illegal labor, the losers are the consumer -- the winners are the consumers of some goods who really want that extra two pennies off the price of a head of lettuce, but the losers are the U.S. citizens who lose their jobs, the U.S. citizens who are still working in those fields and are getting paid a lower wage, and the taxpayers. There's no doubt the taxpayers are the losers."
against,"None of this is true, that no economists -- -- no economists looking for a wage effect, there’s been people studying it for 20 years, even the most --"
