side,script,round
for,,
for," First of all, thank you all for coming in this weather. Really good to see everybody. And thank you, Hunter College, for having us. Yeah, I accredit everything to my parents. My parents are from Haiti. They are immigrants. They came here decades ago. At the time, Haiti was a dictatorship. And they -- they wanted the American dream. They had heard about the American dream. And So, through that -- through their travel, they ended up here in New York City.  And they've worked So, hard, and their heart and determination, their love for this country and the country where they were born really gave me kind of the fuel to do everything that I've done as John was listing in my career. And without them, I don't think I would have ever ended up in the White House. And because of them, I still continue the work that I do through Moveon. And So, it's my parents and my daughter that really fuels me today. And my hope is that not only will she go for the American dream, but that she will realize the American dream because So, many people in this country are trying to realize the American Dream themselves.",
for,,
for,"Well, Bernie did win. If you look, Medicare for all is now supported by 80 percent of Democrats and 52 percent of Republicans. The minimum wage is being raised to $15 all over this country. People are talking about free college -- free tuition in public colleges and universities. And we're having a debate like this tonight, and this is a testament to how Bernie won.",
against,"You know, it's So, interesting to think back to 2009 and the idea that that was actually a debatable subject because I think the last nine years would eliminate any debate as to whether his policies were effective. And if you need any proof of that, Donald Trump is trying to take credit for it pretty much every day.",
against,"""Moderate"" Democrat to me means a commitment to bold, modern ideas and a willingness and a conviction to think outside the blue bubble.",
for,"I want thank you all for coming out. This is a very important question at this very difficult time in our nation's political history. Every day we are reminded that in many ways our country is on the edge of a knife. And we can slide either way. I think all of us recognize the great harm that Trump is doing in this country, the type of hateful rhetoric he's injecting into our country and the way he is changing the mindset of So, many people in this country toward a more divisive and destructive mentality. And it is our job -- but I -- you'll hear some allusions from me later, like comments about the 1930s in America. But in many ways, we are confronting something that our allies confronted in western Europe in 1930s in Europe. And they failed in their attempts to strike down sort of ultra-nationalism and xenophobia and racism, and we cannot afford to fail. There's no one to come. There's no greater -- greatest generation somewhere else to come here and protect us. What does that mean? That means we have got to galvanize the American people, the grassroots of the American people. We've got to unify the American people and create a country that, as Bernie says, that in a government and an economy that works for everyone. And I think as we go through this tonight and we talk a little bit about the history of the Democratic party and where we are today, I think you will see that not only is the sort of neoliberal corporatist view incapable of confronting and defeating Trump, but in many ways, it is responsible for its rise in this country. Our great party, the Democratic Party, the modern Democratic Party, was born in the crucible of the New Deal. FDR came into power at a time of great economic calamity, as all of you know. It was a worldwide depression. And against great opposition from Republicans, from business interests, and frankly, from many inside the Democratic Party, put together a coalition -- created Social Security, created workers' rights, created a lot of investments in this country that we still see today -- the TVA and other things -- that created dominance by democratic politics in this country for decades, this coalition, this grand New Deal coalition. And our job in this country is to rebuild that grand New Deal coalition. This cannot be a party of only upper-middle income people, of only well-to-do suburbanites. This has got to be a party that represents also working-class people and marginalized communities. And what those people understand is that we have big problems in this country and we need bold solutions. And the solutions that are being offered by people in the sort of progressive, populist camp are not unrealistic or undoable if we have the political will in this country. We live in the richest country in the history of the world. All of our western democratic allies have universal healthcare. We do not. We used to have free tuition at public colleges and universities in this country. That's not a new thing. That's kind of an old thing. We used to have that. And we have lost it. The value of the minimum wage has degraded over time. The working people need to have a decent standard of living in this country, whether that's through legislation or putting pressure on companies, as we've seen recently -- Senator Sanders got a third of a million people a raise at Amazon.com. So, we have got to energize and excite people. And what has happened is, after this period of dominance, we had the Reagan Revolution. Although we did not lose the House during that time period; we should remember that. We had the Reagan Revolution. And then a group of folks came along and said, ""The problem with the Democratic Party is we're not really enough in the pocket of Wall Street and financial interests. And if we do that, we can really win."" And they did win. In 1992, Bill Clinton won with 43 percent vote. It was a three-way race, as people may remember. And going down a path of neo-liberal economics. We had NAFTA. We had Most Favored Nation status with China. And we destroyed the relationship between the Democratic Party and its historic working-class base in this country. In 1994, we lost the House of Representatives for the first time since 1952. Seeing that kind of loss and the disconnection between working-class people in and the party, they turned to a very ugly set of policies. DOMA, who attacked the LGBT community. Welfare reform, which was a pared-down version of Reagan's ""welfare queen"" program. The crime bill, which created mass incarceration in this country. We forget that Bill Clinton and Joe Biden are the fathers of mass incarceration in America. And since then, we have been trying to find our way. And in 2016, the grassroots of this party said, ""No more. We want to stand up. We want to reclaim our New Deal heritage. We want to be the dominant party in this country again for decades to come. We want to bring people together and not divide them up. We have got to serve the interests of working people, marginalized communities, and not the rich and the powerful."" And I hope you vote for us at the end of this process.",
against,"The question before us is this. If Democrats run on the ideas of the progressive populists, will that save the Democratic Party? Will these ideas win elections everywhere So, that we can defeat Trump in 2020? The answer is no. Let's start with what we -- all of us on this stage -- have in common. We are all excited about the new generation of candidates hailing from all ideological wings. Young people, women, and people of color are adding dynamism and diversity to the Democratic Party. But where we disagree is over the ideas these candidates should be carrying. The evidence is overwhelming that populist ideas will not help Democrats regain the White House or majorities. They might look good on a bumper sticker. But when voters hear about the details, support crumbles. Take their centerpiece idea: Medicare for All. It has been tested and it has failed. In 2016, the purple state of Colorado had a Medicare for all style initiative on the ballot. It was decimated. Seventy-nine percent voted no. It lost in liberal Boulder. In deep blue Vermont the state passed single-payer in 2011 and gave up on it just three years later because the costs and tax increases were simply too high. Now, I admit that during these mid-term general elections there have been lots of Medicare for all ads on the air, but here's the rub. They're not being aired by Democrats. They're being aired by Republicans as attack ads on Democrats. The GOP knows that if they can label every Democrat as a backer of Medicare for all, as well as other far-left ideas like abolishing ICE, they can retain the House. So, yes, their signature ideas are politically potent for Republicans. Progressive populist ideas are not going to elect Democrats and save us from Trump and democratic voters agree. Bernie Sanders and his allies proclaimed that this would be their year and to prove it they backed a lot of democratic primary candidates carrying his agenda. Well, the primaries are over and how did they do? Twenty-three million people just voted in the democratic primaries. They were our most energized and committed voters turning out in historic numbers to put a check on Trump and they represented a bit tent democratic party, young and old, urban, suburban, and rural, white, black, Hispanic, and Asian. And most of them voted for the more mainstream Democrat and against the democratic socialist. Yes, there were notable exceptions. Alexandria Ocasio Cortez and Rashida Talib won by running inspired races in cobalt blue districts, but mainstream democrats won almost everywhere else. In the house non-incumbent candidates aligned with the moderate new Democrats won 32 of their 37 primaries, a stunning 86 percent win rate. Meanwhile, our revolution, the group formed by supporters of Bernie Sanders had a dismal 39 percent win rate. So, if running on a Sanders style platform is the way for Democrats to regain power someone had better tell the 23 million democratic primary voters who felt otherwise. And if candidates carrying these ideas can't win primaries, that agenda clearly has no chance of delivering victories in a general election. In June of 2017 Bernie Sanders published an op ed titled, ""How Democrats Can Stop Losing Elections."" In it he proclaimed that his ideas were the key to victory, but on the very day it was published democratic primary voters in Virginia had to choose between Ralph Northam and Tom Periello as their gubernatorial nominee. Periello, a talented former congressman, proudly embraced a populist agenda and even featured Bernie in his ads. Northam ran as a proud moderate. So, it was a great field experiment for tonight's debate motion. If progressive populist ideas are the way to win, then especially in a democratic primary it must be that the populist Periello won handily. The reality? Northam crushed him by 12 points and went on to easily win the general election. That Virginia win by a moderate kicked off the primary season. Andrew Cuomo's resounding victory over Cynthia Nixon marked the last. With a handful of exceptions primaries in the 48 states in between delivered similar results. Democrats chose moderate nominees who fit their districts in states and were best positioned to win in a general election. So, remember, if you vote for this motion, you're not saying the democratic socialist ideas and the candidates carrying them can win in Queens. You're saying that these populist ideas can win and save the democratic party everywhere. Twenty-three million democratic primary voters just weighed in on this question. And if they were here tonight, most of them would once again vote no on this proposition. I hope you'll do the same.",1.0
for,"So, let's step back for a second and actually define what we're here to debate. First, populism. Populism is defined in the dictionary as ""support for the concerns of ordinary people."" But I would say everybody here on stage probably agrees with that. Now let's go down a little deeper and really get into the discussion. Populism is not about right versus left, but it's about top versus bottom. Populism actually offers up solutions.  Well, one of the solutions that's it offers up is how do we fight against a society that benefits the privileged, the elites? Now, there are many forms of populism. Donald Trump has his form of populism rhetoric, but his populism is right wing, white nationalist populism. He chooses to divide the country using race, religion, immigration status, and gender. Progressive populism unifies and brings us all together. The late Senator Paul Wellstone used to say, ""When we all do better -- we all do better when we all do better."" Now, economics is key. It's the key tenet of progressive populism, but it's not the only thing. We also have to talk about the systems, the power of systems that are created to help to benefit the privileged and the elites. And I'm talking about white supremacy. I'm talking about patriarchy, Islamophobia and also heterosexism, which is what -- which -- what progressive populism does, it fights against that. It says, ""No,"" to that. So, we also need -- we need inclusive populism and also multiracial populism. Now, many of our opponents would say what we're talking about is identity politics. And identity politics divides people. But then I would say, how are we supposed to get justice if we don't know the reality of our identities? How do we not define who's at the top and who's at the bottom? How do we move forward? As I mentioned earlier in my opening, my parents were immigrants. My dad was a New York City cab driver, my mom, a home health care aide. And I would argue, and I think I would be right to say, that what they -- the issues that they -- that matter to them also matter to their white working-class counterparts. But, look, I'm not here to define, really. That's not the role that I'm supposed to do. But I wanted to give you a sense of populism and progressive populism, what that means. I'm supposed to give you an argument as to why progressive populism is the future of the Democratic party. Jeff did a good job giving the history of populism. I'm going to give you some data points. Progressive populism, as I mentioned, has solutions. Our solutions are actually incredibly popular. For example, Medicare for all. Blake Research did a survey back in April and asked voters in -- in the -- in battleground congressional districts how they felt about Medicare for all. Fifty-four percent strongly support Medicare for all. But I think the most interesting thing about that survey was that Democrat who are infrequent voters, it was more popular with them. So, progressive politics favors debt-free college, which is popular. It favors universal childcare, which is popular. Affordable homeownership, which is important. And we also believe in the auto bailout, which was incredibly successful, thank you, Steve Rattner. And it was a great example of how activism -- how government, when they step into activism can really help the markets and intervene in the markets. That's what it did. But now I want to talk about the successful candidates who are progressive populists that are currently happening right now, and not in blue states. I'm talking about deep red states. The first one is Beta O'Roark. He's running in Texas. Donald Trump won Texas by nine points. Mitt Romney won Texas 16 points. Beta O'Roark is authentic. He's fighting for the people. He's progressive. He's not taking PAC money, he's not taking corporation money, and he's doing really well in that race. Wendy Davis, who lost that -- who lost the governor's race a couple years ago by 20 points, said that she would won -- would run a more progressive campaign, a more authentic campaign if she were to do it again. Andrew Gillam, incredibly progressive, making history. And in the naysayers, in the primary had said, ""Oh, he's too progressive. He's too liberal. There's no way."" He came out in the general election, has been leading in all of the polls in Florida. Trump won that by one or two points. All the past Democratic candidates who were -- who were in the middle have never done as well as he's doing right now. And the irony of that is he's probably going to, on his coattails, help Bill Nelson win, who is a centrist. Look, it's not going to be up to us who are on stage that's going to decide what the -- what the Democratic party is going to do. It's going to be up to activists and voters out in the country, across the country. And they're making it loud and clear. They want the Democratic party to be -- to challenge, I should say, status quo, and to fight for the 99 percent, not the 1 percent. So, progressive populism is the future of the Democratic party. ",1.0
against," Let me start by echoing what John said. I am a Democrat, and I consider myself a progressive, and I consider myself as a fighter for the 99 percent as I think it should be defined. I believe that our tax system excessively favors the rich. I believe that income inequality in our country is at reprehensible levels and must be addressed. I believe that the federal government should lean in and try to solve the pressing problems of those who have been left behind. I believe that America has an important role to play in the world, including by imparting our values of democracy and human rights. But I don't believe that endorsing policy ideas that are either unaffordable or make little economic sense or will do more harm than good, or all three, would somehow be good politics for the Democratic party. Let me do my historical review. There has not been a single Democratic president-elected in our history espousing the kinds of policies that the proponents of this motion advocate, not FDR, Jeff, who ran in 1932 on a platform of balancing the budget; not John F. Kennedy, who, by the way, cut taxes for the rich; not Jimmy Carter, who ran as a self-styled New Democrat; certainly not Bill Clinton, and not even Barack Obama who Senator Sanders attacked as weak for not pushing more robust, i.e., progressive policies. Then there are the losers. George McGovern, who carried just one state and the District of Columbia in 1972. In 1984, Walter Mondale suffered exactly the same fate. Just four years after that, Michael Dukakis was trounced, 426 electoral votes to 111. All of us up here agree that the election of Donald Trump was one of the saddest days of our lifetime. And with an approval rating hovering around 43 percent, there's no way he should be re-elected. But if we want to make the unimaginable imaginable, just nominate someone out of touch with the mainstream of this country. We can talk about all we want about energizing the base. But remember that only 33 percent of Americans are even Democrats at all. It's also worth noting that the share of Independents at 37 percent is the highest in 27 years. Last I looked, you needed around 50 percent to win. You've heard the suggestion that Bernie Sanders could have beaten Donald Trump. We'll never know. But we do know a few things. For starters, it has historically always been very difficult and rare for someone of the same party as a two-term incumbent to win the presidency. After -- after eight years, voters generally want to change, as they did in 2008 and again in 2016. We won't have that impediment in 2020, but we will have a more important problem that hurt Mrs. Clinton, the fact that Democratic voters are increasingly concentrated geographically, particularly in big blue states like New York and California. That's a large part of why Mrs. Clinton lost, even though she got 3 million more votes than Donald Trump. So, to win, we must reach out to more moderate voters in Pennsylvania, in Michigan, and in Wisconsin, three states that we never should have lost. Lastly, you've heard turnout blamed for Secretary Clinton's loss, but at 60.1 percent, turnout was higher in 2016 than it was for Barack Obama's re-election in 2012. Now, let's turn to policy. John made a compelling case for why Medicare for All is bad politics. The same would inevitably be true of some of the other ideas that Senator Sanders and his sympathizers have put forth once the electorate understood the implications. Guarantee a $15 an hour income to all. That would cost in the order of $680 million annually. How about providing a $12,000-a-year basic income to every American? The bill for that, a whopping $3.8 trillion per year. And given that our tax revenue runs about 3.5 trillion annually, paying for that would require doubling taxes. Expand Social Security? That sounds pretty good, until Americans understand that the trust fund is on track to go broke in 2034 and jeopardize the benefits that we've already promised. Just wait until the voters go to Sanders's website, as I did, and find him absurdly claiming that Social Security has a $2.8 trillion surplus. Make public colleges and universities' tuition free, as Jeff suggested. It's a great goal for the underprivileged. But if any of my kids were to go to a public institution, I have no idea why they should get a free ride. Break up the big banks? That sounds appealing, although apparently not to Mr. Sanders's Senate colleagues, none of whom have signed on as co-sponsors of his bill. Abolish ICE? Only 32 percent of voters of that, while 53 percent understand that Immigration and Customs Service, albeit with reforms, is something that we need to have. Even among Democrats, only 44 percent want to abolish ICE. As I close, I want to re-emphasize the extent to which I share the goals of the populists. I share everything that has been said before me as a goal. But we should address the critical issues facing our nation by putting forward responsible, prudent policies that will attract the coalition of voters that we need to keep Donald Trump from another four years of destroying America. ",1.0
