side,script
for,"Well, I will not divulge his name, but the secret is a good bottle of single-malt Scotch. Works every time. It did."
against,"Yes, I did. It was not a purpose of my travel -- -- I’m sorry to say. That’s right. I earn it -- It is a confidence that problems can be solved, that people make choices and choices make history instead of a deterministic conclusion of that question. I always wear it."
for,"Thank you, ladies and gentlemen. Before you get boisterous, because John told you to be, I should tell you that Frank and I will sound a little bit like Grinch at a Christmas dinner. And the reason for that is who wants to hear, after all, that humanitarian war does more harm than good? This is a project that saves lives, that ends atrocities, and invokes universal human rights. It is an idea that should unify the world. Alas, it has divided it and divided it deeply on fundamental issues. Who has the right to intervene? Under what circumstances? With what objective? To stop atrocities, and end there, or to then overthrow the regime -- as happened in Libya -- or to stop atrocities and midwife the birth of a new state -- as happened in Kosovo? These issues have not been resolved. Now, critics of humanitarian intervention worry about something else, and that is, ""Will this ostensibly universal principle be applied universally in practice or bent and twisted by the powerful and applied selectively?"" They're -- they have good reason to be worried. If you are a great power -- the United States, China, Russia -- you do not have to fear intervention directed against you no matter what you do. Consider Russia and Chechnya in '94. If you are a middle power -- India, Pakistan, Saudi Arabia, Israel, Egypt -- you don't have to worry about intervention either, because you've got the military muscle to make an intervention costly. So, who does that leave? A miserable gaggle of friendless, isolated states. They, ladies and gentlemen, will be on the receiving end of this universal principle. I'll give you some examples. Saudi Arabia today is waging a ruinous and vicious war in Yemen. Let's put the strategic issues aside. Hundreds of people have died in air strikes by the Saudis. They have put down a blockade that has contributed to a cholera epidemic that has afflicted 1 million people -- 1 million. 10 million people are on the brink of starvation. Have you heard anyone -- even from the humanitarian intervention camp -- calling for penalties against Saudi Arabia?  They're arming the Saudis. And as we speak, the crown prince is being received by Her Majesty's government. Let's look at another example.  The government of Myanmar has killed 7,000 Rohingya, and the toll is amounting, and chased 600 others out of their homes. Do you think the government of Myanmar is worried about the hoofbeats of humanitarian intervention, the generals lie in bed worrying? Not at all, because they have China in their corner. Now, I wanted to speak about another problem that humanitarian intervention faces, and that is the law not just of unintended consequences, but uncontrollable consequences -- uncontrollable consequences. Only one example because the clock is ticking. And that is Libya. Libya post-intervention is a violent, anarchic mess -- two governments, a multitude of militias, Al-Qaeda and ISIS, with chapters newly created in Libya. The entire neighborhood is threatened. Tens of thousands of refugees -- tens of thousands of refugees have fled across the Mediterranean, pumping up the power of right-wing populist parties in Europe. Look at what is happening in Europe today. Now, I want to finish with Bosnia and Kosovo -- that I haven't talked about. They teach us one lesson. If you want even a modicum of stability post-intervention, you have to keep tens of thousands of troops on the ground, spend billions of dollars to do it right. I submit to you, ladies and gentlemen, that in the body politic of the West, and certainly the United States, there isn’t the political support to do it. Now, are the paragons of humanitarian intervention worried about this? Not at all! They have overweening confidence in their idea. That overweening confidence, ladies and gentlemen, slides sometimes into hubris, and that is yet another reason why this project, this noble project, does more harm than good. "
against," Does humanitarian intervention do more harm than good? Not at all. You were talking, and this is a big mistake, about military intervention, not humanitarian. It doesn’t mean anything in humanitarian intervention. Let me give you some examples. The first one. Yes, sir, you were talking about Rwanda, April ’94. Sorry to say, I was there during all the genocide with my people, doctors and medical staff, and we did a lot. Compared to the genocide -- compared to, let’s say, 800,000 of dead people massacred, it was nothing, but believe me, humanitarian intervention is not a problem of numbers of dead, of victims. If you can save one, and if it is your daughter or your sister or your father, this is a very important one. Humanitarian means human being. Human being; you have to count one after one. So, it’s not a question of military intervention. You were right in some of your examples. But we were before in Kosovo; we were before the humanitarian people, working with the people, not with the government. There was no government; it was the Serbian government. So, this is easy to counterattack all your examples. Afghanistan; we were since 20 years working with the people, and there is still an hospital in Kabul, bombed every day, with explosions every day in Kabul. But the French hospital is still working without the government’s help at all. So, humanitarian intervention is not a military intervention. Neutrality is the rule. When we were working in Lebanon, we were working on Christian side, and on Muslims’ side, and on Shi’ite’s side, Sunni’s side, et cetera. We -- there is no choice for a medical doctor or a humanitarian doctor. You don’t have to -- the good deaths and the bad deaths; the good victim and the bad victim. Not at all.  So, we did. And the neutrality is absolutely necessary. And don’t mix up military -- sometimes military intervention to protect -- to protect -- some particular project is good, but usually we are not, and we are never asking about military intervention. Don’t mix up. And I can give you a lot of examples. You were talking about Mali. Mali; the humanitarian French involvement -- but French doesn’t matter -- international involvement was very -- I mean , it was . The people were a necessity who is calling . In humanitarian intervention, you have to understand that somebody was calling, some victim, some group of victims, or a nation. We are not just, let’s say, choosing our victims and choosing our nation. Not at all. Rohingya is a good example. We were there, not enough to alert the people, and I agree with your example. It was necessary to intervene, and I asked my government. Unfortunately, I was not in charge of the government at the beginning. And of course, it’s a good example. We had to. Humanitarian intervention has to be before, close to the victims after a victim’s call, but not because the government or the military people are asking us.  This is a neutral intervention, and this is, according to my opinion, the proudness of human beings, and the proudness of the international community. If we are stepping back, and if I understand your slogan, we have to stop the humanitarian intervention and development intervention, and everything, and wait for the -- so, we have to let them die. I don't accept that."
for,"Ladies and gentlemen, it's simply not good enough to reframe this debate as humanitarian intervention. For those of us who have been involved in these failed efforts over the last 20 years, the predominant effort has been brutally militarily -- military and bloody. Ladies and gentlemen, let me take you down to Basra, to Iraq in 2004, command group meeting . Middle of the night. The general showed up. It was a pep talk. Things weren't going so well. And the general said, ""Guys, I want you to be aware of one thing, and here's what I want you to be aware of. We are the biggest and best gang in the province, and don't you forget it."" And ladies and gentlemen, that was true. There were 7-and-a-half thousand of us heavily armed, well-trained, well-equipped, and with a reasonably clear idea of our vision and our mission, which was to secure 1-and-a-half million people. We failed to do that. We ended up hunkered down in a military base, defeated, after some months. Cut now to Bosnia, the poster child for real humanitarian intervention. I was in that mission too. 60,000 of us there were, four armed divisions. We had complete military dominance across the spectrum. No one would touch us. But ladies and gentlemen, that was in a country of four million people. Kosovo, very similar. We had complete dominance. What I would like to hear from our opponents tonight is where we are going to get 60,000 troops to secure a relative -- even a relatively small country not so far away, let alone one of the invadables that Rajan was talking about, which are likely to be much further away. And the kind of war involved in -- let's be brutally frank about that. Non-international armed conflicts, internal strife, call it what you will -- civil wars. And they are the most brutal, complex, and difficult operations that can be conceived. You are involved, when you're in operations such as that, in a three-dimensional chess match in the dark, against multiple adversaries who tomorrow may be your allies -- others, your allies today, may be your adversaries or your enemies tomorrow. Against a background where, if you are not absolutely certain of where your objectives lie, ladies and gentlemen, you have no business in being in such an environment unless you're absolutely sure that you can secure yourselves and the people you are there to protect. And nowadays, the will, the means, the material, are no longer present within our polities, within our governments. We simply do not have the resources any longer to be able to sustain this kind of complex, deeply, deeply difficult operation. And now I turn, possibly, to the most important aspect, and one which I think most of you will be intimately familiar -- with which most of you will be intimately familiar, the politics of all this. Because, let's be frank, who is going to be doing these interventions? Is Britain going to do it? Britain ran out of bombs after a couple of weeks in Libya. Is France going to do it?  In all of the missions that we have sustained over the last 15 or 20 years, the United States have borne between 60 and 90 percent of the effort. Do you detect in the United States any political will for long, bloody, indeterminate poorly planned operations at the ends of the earth? Even if you assume there is some objective to them? Now, one of the themes of this conference is an increasing sense, I think, of insecurity in Europe. This is a final question I want to put to you. Is this what our armed forces should be doing at a time when, sooner or later, they may be -- our defense forces -- required to fulfill their advertised function of defense? I'm going to leave you with a thought. Just before I came here, I spoke to a friend of mine, one of my young officers in Iraq, badly injured, and I said I was coming to talk on humanitarian intervention. He said, “Well, there’s a contradiction in terms for you. It’s war.” And he's quite right. No matter how you dress it up, when you conduct this kind of intervention you are fighting a war. And there’s one thing the last 20 years have taught us. It’s that you don't control war; it controls you. Ladies and gentlemen, support the motion. "
against,"So, Bernard and my opponents in this argument make a number of good points, but they conflate warfare and humanitarian intervention in a way that I think -- Thank you for that . In a way that I think confuses the subject some. Iraq and Afghanistan aren’t humanitarian interventions. They’re wars. We fought them for a reason, and that reason wasn't protecting the people of Iraq or Afghanistan. The reason was protecting the people of the United States and Britain and other -- and whatever you think about those wars, you should not -- and the fact that we had humanitarian components to them, as, I think, Western powers ought always to have in their warfare, that doesn't make them humanitarian interventions. Humanitarian interventions are not always conducted by the military, although very often they need a military component in order to make them successful. And the reason that is, is because humanitarian crises aren't natural disasters. They're not earthquakes; they're not acts of God. They're acts of political malevolence. That’s why -- that’s why violence is used for political purpose. That's what causes humanitarian crises. It's not a famine. It's an act of political violence by a government or another political actor. When that happens, that means a society is broken in some important way. So, I think we ought not to set the standard that humanitarian interventions very often fail to solve the underlying political problems, that they very often have unintended consequences, that they very often are complicated and get bogged down, and you lose your focus. The undertaking is intrinsically extraordinarily difficult. It's a society in transition, where political violence -- where violence is being used for political purposes in order to gain political outcomes. But that doesn't mean they never work. So, even if you don't buy Bernard's impassioned appeal that even one life deserves defending, there are practical, hard-edged policy reasons to engage in humanitarian interventions, and I will just offer two to you. One is that humanitarian interventions are often -- humanitarian crises are often the prelude of worst humanitarian crises, and there the example is Syria, where if we, external actors, had taken action in 2012 or 2013, you would not -- you may have seen a bad outcome, but it is unlikely to be worse than half a million dead Syrians, 11 million people refugees. the tottering of the surrounding governments of Jordan, Iraq, Turkey, and the fracturing of political dialogue in those countries as a result of the pressure that the violent collapse of Syria brought about. So -- Thank you. So, it -- it's not true that doing nothing should leave us with a clear conscience. It's also not true that doing nothing has no strategic consequences. Russia's return to a power broker role in the Middle East, for example, is a direct consequence of us not intervening in the terrible humanitarian crisis in the Middle East. So, humanitarian interventions are seeking to address a political crisis that has resulted in violence in societies. It's difficult to get it right. We very often get it wrong. But sometimes we get it right. I would argue that Kosovo is a success story. Did it require military force? Yes, it did. But did it also prevent Slobodan Milosevic and Serbs from doing a terrible, brutal injustice to people who were ostensibly citizens of their country?  That's a great outcome. We ought to celebrate that. And I think it is a mistake to believe you can -- that we can exist in innocence and purity in our own societies in our values. And this I learned from Randy Shinavan and the McCain campaign in 2008. You strengthen our values at their ragged edges. People don't make brave choices when they are in danger. You need to stand next to them and help them make good choices.  Yes, and yes. It would have made a difference then because it would have helped adjudicate the divisive, difficult political debate internal to Syria. It would have restrained the ability of the Syrian government to use brutality as a weapon of political control. It -- the fact that we have done it poorly, in some instances, doesn't mean we haven't also done it well. Sierra Leone is a great example, where the British government engineered an intervention."
for,"Well, I sense headwinds from the audience, but I think it would have been complete madness to intervene in Syria. I hold no grief for the blood-drenched Assad regime. But here's what happened. A peaceful demonstration was set upon by a savage government. Very quickly, the operation -- the opposition was radicalized. And within a matter of months, the groups with -- -- on the ground were either Islamists or people who wanted to create a Salafi state in Syria; Arar Al-Sham ; Jaysh Al-Islam; Jabat Al-Nusra. Now, if you send -- -- weapons into a society where alliances are shifting, borders are shifting, corruption is existing. Do you have any guarantee that the weapons are going to go to the good guys? And who are the good guys as time rolls along? Look, let's not have a competition for compassion and tragedy here. That's not what this is about, whether Frank and I care about dying people. Of course, we do. The question is, how do you make a very difficult decision that balancing -- -- ethics and strategy?"
against," Another time we're talking about military intervention. You are right, the first scene of massacres was --"
for,You should be on this side.
against,"No, no, on the contrary. You should be thinking about what I’m going to say."
