side,script,round
for,Uh-oh.,
for,I'm too modest.,
for," Seems to me a good way to start would be to define with examples what are productive policies toward China. My own bias is to look at things through the Chinese point of view, to have empathy with China, to be in meetings with government officials, including presidents in which I say something like this is how the Chinese see it. So, from their point of view what is productive if we use our empathy to understand how they see what has been productive, you have to begin with the very first most important what the Chinese call the foundation of U.S./China relations and there is an incident during the Trump transition that I'll tell you about that tested this foundation. It's usually known as our one China principle or our one China policy. It was worked out in great secrecy through a series of meetings with Henry Kissinger in the second phase. There was even an earlier phase. And the idea generally speaking was to recognize Beijing as the only China and to turn Taiwan into a non-country. Now, you may not know what a non-country is. It means you cannot visit the United States on your own passport. If you're a military officer coming here to dream you can't have on your military insignia. It's a long list of things that were done to start the one China policy. The Chinese made it clear if you don't do this, they'll be no relationship. You can have no embassy in Beijing and we're not going to have an embassy in Washington. We're prepared to wait, one of the quotes involved said, 100 years until you come around. And Dr. Kissinger knew that Barry Goldwater would sue if he agreed to this and that's in fact what happened. So, there's a lot of issues we don't have time to get into that are all under the title of one China policy. Part of the deal is we would not transfer Taiwan to China. They're a non-country, but China cannot have them. They cannot claim sovereignty over them. And the Chinese vociferously said we could never agree to that. So, the compromise was both sides would never mention it again. And that’s held since 1972 until the president of Taiwan quote unquote, remember it's a non-country, so she's a non-president. She called up to congratulate Donald Trump. He took the call. He was on a list. He was on a call sheet of many, many other so-called heads of state assembled by some young staffers. He had a long chat with her, eight minutes. They put out a press release in Trump Tower. ""I just spoke for eight minutes with the president of Taiwan."" You never can imagine the Chinese reaction. So, to make up for that the president said, ""I'd like to meet Xi Jinping one-on-one in Mar-A-Lago soon, the sooner the better."" So, this second great productive policy was started, one-on-one meetings. Again, Kissinger pioneered this. Have a small staff. Have one-on-one meetings. Don't tell the rest of the U.S. government what you're doing. Have things conducted one-on-one and kept very secret. President Trump bought into that idea. Then at Mar-A-Lag in April of 2017 he, at the request of the Chinese, he terminated the entire U.S./China framework that had been in place for 10 years. The framework was created by Hank Paulson. The basic idea was half of their cabinet ministers, half of our cabinet ministers would meet every year or so, and do business that way. From now on, two cabinet ministers would meet. Two others, they would channel all business through those cabinet ministers. Much more effective, much quicker. Very effective. For the Chinese to be told ""Yes"" by Donald Trump, you could see that was productive. That's the way things have been running since 2017. The third thing, direct telephone conversations and meetings between Xi and Trump. Again, this was established by Nixon in the beginning, continued -- I must say -- by Jimmy Carter, long meetings with Deng Xiaoping, when he came to Washington. Extended by Ronald Reagan. But the idea was, the rest of the government is not involved. It is a president-to-president dialogue about the most sensitive matters in the world. Covert action, security cooperation. This became the fourth example -- to me, anyway -- of productive policy towards China. The CIA was authorized to buy $2 billion -- that's billion with a B -- of American weapons and transfer them into CIA covert actions programs. The CIA and the Chinese worked together to expel the Vietnamese from Cambodia. You might have seen this in a James Bond movie. It was true. So, security cooperation became the topic between the two presidents and their intelligence services. I think President Trump has consented -- continued this. However, something that's, I think, very productive -- that you might not think of -- is the Obama administration, if you look carefully -- in the last two years of the Obama administration -- they began to change their views of China. I first saw it in this Tony Blinken speech, the Deputy Secretary of State -- the return of a great power competition. And before Trump arrived in the White House, I believe at least 10 of our great departments of government -- State, Treasury, Commerce, Defense -- certainly USTR staff -- all began to realize our earlier policies towards China had not been productive.",
for,"I've built some suspense up, maybe.",1.0
against,"So, good afternoon, and let me begin my thanking the organizers for hosting the discussion, and say what a pleasure it is for Jake and me to participate with two distinguished colleagues from whom we've learned a lot over many, many years. For debate about China, I know that the purpose is a debate, but this quartet on the stage is an odd quad -- -- since we agree about more than we disagree. So, what -- specifically, what do we agree about? First, that China is not just an issue on the foreign policy agenda, but the issue -- the defining issue for as far as any eye can see. Secondly, that the rivalry between the meteorically rising China and a ruling U.S. will test the presumption that most Americans now take for granted, as if great power wars were obsolete. And third, and most importantly, that America's success or failure in mounting an effective response to this challenge will be decisive in shaping the future -- not just for Americans, but for the global -- so, what then do we disagree about? We disagree in one line about whether the Trump administration's policy is succeeding, not just in Michael's terms in beginning to engage, but in fact in mounting an effective response to this reality. In the words of the resolution, whether the Trump administration policies towards China has been productive. So, the key word here is productive and to avoid a semantic debate we went to the dictionary to clarify its meaning. According to Webster's productive means producing beneficial results. So, in this context producing results that advance American interests. So, ask yourself, has what the Trump administration has done in relations with China over the past two and a half years successfully advanced American interests? Or in terms that are more familiar to most of us in our own lives, if a member of your family were sick and went to the doctor, is this doctor's prescribed treatment working? Since all the vital signs shout no, it's understandable that Mike and Kori will try to shift the focus of the debate. As a debate manual counsel's when the facts support your case pound the facts. When they don't, change the subject. So, in preparing for this debate I actually -- I read their writings in general but I reviewed what they've written recently. Among China experts whom the Trump administration listens to, no one has been clearer in sounding an alarm about the dangers of recklessly and emboldening Taiwan, as Michael was just mentioning. Or acting in ways that lead the Chinese to conclude that we believe that there our enemy, that Mike Pillsbury. As he said in a speech last week and I quote, ""If Beijing perceives the U.S. -- perceives America is treating it like an enemy, it would fuel nationalistic fervor and the response would be much harsher measures from China."" And then he goes on to warn, ""Down that road lies a certain risk of war."" To whom is he issuing this warning? Among the four of us, who's offered the most stringent critique of the Trump administration's foreign policy? Including their policies towards China. Read Kori's Schake's article in the current foreign affairs. After giving Trump credit for quote ""Poking holes in pieties"" and asking questions about longstanding principles, she concludes and I quote, ""His answers to those questions have been self-defeating at best and dangerous at worse."" So, self-defeating and dangerous and on China specifically she says, ""China's economic and military power has significantly expanded."" So, given what their -- what they've written, my suspicion is if the organizers took a secret ballot here in the resolution before the four of us at least three on the stage would vote no and maybe even four. So, to conclude -- So, to conclude, let me identify five questions that all of us have to answer -- To make a serious assessment of whether the Trump administration's policies towards China are advancing American interests, questions that Jake will say more about.  Security first. Is America safer than we were before the Trump administration began administering ? Has the erosion of a military advantage in the Pacific slowed? Has the risk of a third-party action that drags us into a war we don't want been reduced? Are we stumbling into a new version of Cold War 2.0, as some members of the administration put it, without understanding how different the world is today than in 1950? Second, the long-term economic competition with China. Has the American balance sheet strengthened? Indeed, what Trump has made the central issue -- the bilateral trade balance. During the Trump administration, has the deficit ? Third, on the geopolitical chessboard. Have the ties between the U.S. and our allies in allying countries -- that will be crucial in building a correlation of forces that China has to respond to -- strengthened or weakened? And there's two more questions which Jake will break up after. Let me -- just to conclude. We wish, dearly, that the answer to these questions was ""Yes,"" because we care about the answers. They'll be decisive. But I think, if you look at the facts, they're stubborn, and they answer ""No.""",1.0
for,"So, as Graham pointed out, I am not the administration's strongest advocate, but I do believe the policies -- the approach they are taking to China needs to be taken. Not in its specifics -- which, as Graham said, I'm quite critical of. But the United States has had the right policy towards China for roughly the last 30 years. And it was best said by Robert Selleck -- which is that what the United States is seeking to do is have China a prosperous, powerful China -- be a responsible stakeholder of the international order. That's what we wanted; that's what we want now. The problem is that, over the last 30 years, quite a lot of data has accrued that that's not what China wants. So, they are -- Xi Jinping stood in the Rose Garden and publicly promised President Obama that they would not militarize the islands they were building in the South China Sea. They have militarized the islands they've built in the South China Sea. They are behaving in a predatory way towards their neighbors, many of whom are American allies. They are not honoring their promises not to hack American businesses. They are forcing Communist Party commissars onto the boards of American businesses that operate in China, thieving intellectual property from American businesses, threatening American allies. What has changed in American policy -- and I argue it would have needed to change whether President Obama continued, whether President Clinton had been elected, whether President Trump -- was that China's behavior argues for a different, a sharper-edged American approach. And President Trump is right to take a different and sharper-edged approach. The second thing is that -- what does the United States need if we are actually having to confront a rising China that’s rapidly growing more prosperous and rapidly growing more aggressive. We need allies willing and capable to stand shoulder-to-shoulder with us. We have those kinds of relationships, but we have allies who over the last 30 years have allowed more and more of the responsibility for our common security to migrate to the United States.  The United States constitutes almost 80 percent of NATO defense spending and the South Korean military is strong and broad-shouldered and capable and that is not how they view themselves and they're not cooperating with Japan, our two closest allies in the region. And so while I would not advocate the needless antagonism of America's allies that President Trump has engaged in, the fact that allies are worried about whether the United States will honor our obligations to join in their defense has caused a strong uptick in activity by those allies in policy fronts, in defense spending fronts. So, the government of Japan, for example, is cascading coast guard ships to the Philippines and to Vietnam to help those countries strengthen their ability to defend their fishing waters from the Chinese. The Australians have just announced a military training program that they're going to train pacific allies forces. You begin to see the middle powers of the international order take more responsibility for outcomes. I wish they weren't doing it because the United States was unreliable under President Trump, but in the long run we can fix the reliability problem with a different president. The improvements in capability actually are a gain for the United States in managing a rising China. And the third thing that the president has chosen to do, which other American presidents have also chosen to do, I personally think it's a mistake but as Mike pointed out the Kissinger approach of not leaning on American values, not pressing our support for those brave young men and women in Hong Kong because they are -- Yeah, they deserve if from us. I agree. The United States government has made a choice that with a rising China growing so much more powerful so quickly we need to prioritize making that relationship work because as has been pointed out, we have a lot of work we have to do in cooperation with the Chinese, on climate change, on many other issues. So, the president's approach is cost inefficient and it pains me to see that he's not doing it in a way that -- where we can play team sports and work -- build a common front with countries that share our concern about a rising China being brought into playing by the rules. But what the president is succeeding at is driving up the cost to China of not playing by the rules and resetting China's sense of how it needs to engage the international order and that's actually a productive American policy.",1.0
against," So, those are three tough acts to follow. And I'm an IQ2 rookie, so I'm hoping for some moral support from the audience over the course of the next six minutes. I'm not above it. I want to return to the resolution -- as Graham laid out -- the recent U.S. policy towards China is productive. And basically, what you heard from Kori over the last six minutes -- well, it was, first of all, damning the Trump administration's policy with faint praise, for sure, but what you also heard was essentially a single argument. And that argument was, because Trump has gotten tough, it is, therefore, a productive policy. And what Graham and I are arguing is that not good enough to win this debate, and that is not good enough to guide U.S. policy. Getting tough is not, in itself, productive. And that -- -- that, by the way, is not some grand lesson of geopolitics; that's something that we tell our kids and our grandkids every single day. So, what we have to look at is what productive actually means. It means, as Graham said, getting results that advance America's interests and values. And on this front, the Trump administration has failed time and again, and I want to talk about four areas where the administration's policy has not just been unproductive, but counter-productive. Now, in debate, normally, you're supposed to only have three points. But unfortunately, the Trump administration didn't confine itself to three shortcomings, so I'm stuck arguing for four. The first of these is that the single most important thing the United States could do to have a productive approach towards China is invest in ourselves, in our sources of national strength. And here, the Trump administration's record is severely lacking. No investment in infrastructure. Massive proposed cuts to our science and research budget -- while the Chinese are racing ahead and have, in fact, surpassed us on research and development. We spend one dollar for every three the Chinese spend on clean energy. And when it comes to investing in perhaps the greatest source of American strength -- immigration -- the United States is putting out a not-welcome sign to the talent of the world, and thereby squandering, perhaps, our greatest advantage over China. And as long as our immigration policy is broken, it's very hard to see how our approach towards China overall can be considered productive. So, we come to this competition with fewer tools and resources. The second area, which Kori mentioned, is that a productive approach to China leverages our friends, our allies, and American-led institutions and partnerships. Now, Kori argues, well, we're beating up on our allies, but that's good, because now they're stepping up and doing more. Never mind the fact that, actually, the reason NATO is doing more is because of what happened with Russia in Crimea in 2015, and it started long before Trump. But to take an example she offered, Australia -- she said Australia is now stepping up. As Kori herself wrote in the Atlantic a week ago, they're stepping up by excluding the United States and pursuing a strategy in the region that is pushing the United States out. The question for us is, why wouldn't we be rallying half to two-thirds of the world's economy -- which is all of our like-minded friends and democratic partners around the world -- to step up and challenge China on its trade abuses? Why are we going it alone? That, to me, seems like a fundamentally unproductive approach. So, what has the Trump administration done instead of that? They pulled out of the Trans-Pacific Partnership, which was our effort to right the rules of the road in the Asia Pacific. They declared our own allies a national security threat over steel -- Canada. And they've come to the point now, where, in Germany, more Germans believe China is a trustworthy trading partner than the United States. How do you square that with arguing this approach has been productive? Even beyond that, though, when it comes down to it the rules of the road on all of the important questions facing us today from technology to trade to the future of the internet are going to be written and they're going to be written in institutions the United States used to lead. We have walked away from those institutions and guess who's filling the gap?  So, that leads me to the third issue, which is that we're not in some kind of battle to the death over ideology with China, far from it. However, we are in something of a contest of models. China is presenting an alternative model to the world and if more countries followed them it would be adverse to American interests and values. So, I ask you in terms the American approach to China, has the last 30 months made democracy as a model look better or worse? Has America presented a more or less appealing face to the world? A recent poll showed two things. Number one, that China's leadership is now more respected globally than America's and number two, that for the first time in a long time America is actually seen more unfavorably than favorably across the Asia-Pacific. This is at a moment when we're trashing our democratic friends and allies and embracing every dictator that we can find giving more voice and more support to China along the way. And then finally, a productive U.S. approach to China necessarily, necessarily has to balance competition and cooperation. We've completely thrown cooperation out the window in turning China into an enemy and pursuing a self-defeating struggle and on the single-most consequential issue facing not just the United States but all of humanity, climate change, we have to work with the Chinese and the Trump administration's approach on this has been the very opposite of productive, cutting off the channels of cooperation indeed even denying it exists in the first place. So, I will close with a simple proposition. A productive U.S. approach would not just be all anti-China all the time, it would be pro-us, pro investing in us and our values and our allies, in our sources of strength. That would be a productive policy. That's what we should be pursuing instead. ",1.0
for,It's supposed to be no.,2.0
against,"I don't think that everything that Trump has -- does is wrong, just because he does it. I point that out to the people in Cambridge, Massachusetts. A broken clock is correct twice a day. So, the fact that somebody said something doesn't make it necessarily incorrect. If the resolution before the House were, ""The Trump Administration's Policy Towards North Korea Has Been Productive"" -- -- I would be -- I'd be wiggling. The Trump Administration policy towards China has made it more difficult, more difficult to deal with the North Korean issue. So, it's been essentially no. But the Trump Administration has tried very hard -- and Mike Pompeo, the Secretary of State, who -- has tried very hard, despite everything else that's being done to China, to explain to them that, because they have an interest in the de-nuclearization of North Korea, they should be cooperating with us. But they're cooperating less than they would if we were taking this as a joint problem -- -- between --",2.0
for,"Well, the Acting Secretary of Defense, last spring, Pat Shanahan -- I thought actually did a really useful thing to try and get the Chinese to be more cooperative on North Korea. He handed his Chinese counterpart a book full of pictures of Chinese ships violating the U.N. sanctions on North Korea. And using the tools of free societies to force the Chinese to play by the rules, I think, is one of the best, most cost-effective strategies that we could be undertaking. And that's a good example, how, as Graham says -- like, the president's so obstreperous that it's hard to ignore him. But on China policy, help -- every American administration has tried to get China to be more helpful than they are on North Korea. Frankly, I don't think the Chinese care. They think it's great that North Korea is absorbing so much of our time and effort, and becoming a threat to us and our alliances in the region, because that advances China's interests. It detracts from us being able to focus on them. And so, they're in favor of it. I think the way that the administration has appointed a special representative in the form of Steve Beacon who is an excellent negotiator on these issues, that the Defense Department is pushing strongly for the Chinese to have to be accountable for what they are doing in breach of sanctions is also really helpful. So, I don't think -- I don't think it's as bad as it sounds.",2.0
