side,script
for,"That's true. No. I think that it is a -- it is a part of the dialogue that you try to get attention. And that was an attempt to gather some attention. Thank you very much, John. And thank you to the audience. You play a key role here tonight. I want to thank Intelligence Squared for sponsoring this debate. And I want to recognize my opponents, one of whom has written more than anybody else in the world on this topic. And most of all, I want to thank my debate partner, Douglas Holtz-Eakin, former CBO director and a senior policy advisor to Senator John McCain. My partner, Douglas Holtz-Eakin is a numbers guy, and he will focus on the numbers. And I believe he will be able to clearly show you that Obamacare both won't work and perhaps more importantly, will put a critical strain on our nation's fiscal stability. Let me begin, however, by refuting two arguments. First, supporters of Obamacare will say that Republicans simply don't believe in healthcare and indeed that they favor the status quo. That is simply wrong. I believe in my tenure in Congress I had written more healthcare reform bills than any other member of Congress. I wrote a number of patients rights bills in the early debate. But I was also joined throughout this with the help of Paul Ryan and Tom Coburn and Jim DeMint and Richard Burr and Dr. Tom Price and Dr. Burgess and on and on. And you would find countless proposals by Republicans to reform our nation's healthcare. Second, supporters of Obamacare will tell you that it will actually save the government money. And they will tell you that repealing it will cost the government money. Now, Douglas Holtz-Eakin will demonstrate with the numbers that those claims are unfounded. But I urge you to begin by just looking at this question with common sense. Obamacare insures roughly 32 million additional Americans, most through Medicaid. That will increase costs. It creates a massive new bureaucracy, some 150 plus agencies and bureaus. That's got to increase costs. And it extends dramatic new mandates over health insurance in America. And that will increase costs. Now, let me move on to one point that I think is very important to understand. The current system is in fact broken. As I said, I have written numerous bills to try to fix it. Costs are way too high, and they're going up too quickly. There are too many uninsured and too many Americans have pre-existing conditions and cannot get affordable coverage. I have a pre-existing condition, and I have an older sister who has -- who is a breast cancer survivor, probably the worst kind of pre-existing condition.One aspect of the current system is in fact indefensible. It's the provision that says your employee-provided care is tax free. It costs them no taxes and you no taxes. But it punishes those without employee-provided care. Indeed, it tells them, we want you to get insurance so much we're going to force you to pay for it with after-tax dollars, making it a third more expensive. That is simply outrageous and indefensible. And stunningly, Obamacare does not fix that problem. Obamacare is simply the wrong answer. First, it addresses symptoms, namely the uninsured, which are too high. But it does not address, I do not believe appropriately, certainly not with incentives, cost. Second, it will not only increase the cost to the government, but it will drive up your premiums. And the experts agree on that point. It moves -- and perhaps this is most important--healthcare decision making away from employers and the insurance companies they hire, and they're making lousy decisions, and they shouldn't be deciding. But it doesn't give those decisions to you and me. It gives them to the government. What we need to do is take decision making away from employers and insurance companies and give it to people. Give it to patients, individuals and their families, and let them consult with their doctor and make those decisions. Republican proposals in Congress do exactly that. Why? Because if the health insurance is yours, not your employer's and not the government's, it's personal, and it belongs to you. You can make the changes. You aren't trapped in a plan your employer picked. You can force the insurance companies to compete, which they don't do now. You can hire the plan of your choice. And because it's yours, you can fire it, meaning you can hold it accountable to you. Briefly, let me touch on why Obamacare will drive costs up. By its terms, Obamacare institutes lots of mandates. One is guaranteed issue, meaning nobody can be turned down. That will increase cost. One is modified community rating. That will increase costs. And a third is an array of new benefit mandates. All of those will increase costs. Indeed, in every state, with guaranteed issue and community rating, and in every state where they mandated more and more benefits, costs have gone up dramatically. In Massachusetts, after adopting a plan very similar to Obamacare, costs have continued to go up at a rate faster than the national average. Let me touch on some of Obamacare's broken promises. The president told us over and over, and quite frankly, over again, that if you like your plan, you can keep it. Not true. He said if you like your doctor, you can keep it. You can keep him or her. Not true. And he said that Obamacare would send the cost curve down. None of those promises, as we examine the plan, turn out to be true. The Medicare actuary has already estimated that some 14 million people will lose their current coverage. Leading experts say few plans will actually survive. How could they survive? They have to meet benefit mandates that haven't even yet been written. In fact, thousands of Americans will lose their employer-provided healthcare because their small employer or large employer cannot afford to continue to offer it. They will lose their healthcare. AT&T, a study was done and provided to the commerce committee that showed AT&T will save $2 billion, $2 billion if they cancel their employees' care and pay the fine. John Deere will lose $150 million a year. Caterpillar, $100 million a year. 3M, $90 million a year. The numbers go on and on. Those employers will have no choice to their stockholders but to drop that care. They'll be forced. And think about their workers. Their workers will lose their current plan, and they'll lose their doctor. We simply have to do better than that. The new, indeed, one provision of the law is outrageously unfair, as unfair as the tax code is now. It provides, in the new healthcare exchanges, that if you are uninsured, or if you buy in the individual market, you can enjoin the exchange. And if you join the exchange, you can get a government subsidy. But if you have employer-provided care, you cannot join the exchange. That simply isn't fair because it means the cost of your care is subsidized, some with the exact same income cannot get subsidized care. Thank you very much."
against,"Well, I think one of the big differences this time was more consensus. Might seem strange in the light of what Congressman Shadegg has said, but more consensus among Democrats in Congress, consensus between the White House and Congress, more consensus also with the stakeholder groups in healthcare who realize that the current course is unsustainable, that we need to change and -- Okay, well, because -- All right. Thank you. We should uphold the Affordable Care Act because it is morally the right thing to do and it is in our common interest. And when I first began work on the healthcare back in the 1970s, the official number for the uninsured was 26 million, 12 percent of the population. By the early '90s, it was up to 37 million. Now it's reached 50 million. And if we were to do the kinds of things that the Congressman has advocated, the number will go higher. Fifty million, that's already a lot of people for whom illness is devastating, who may lose everything they have because of illness. For years surveys have shown that anxiety about not being able to pay for the healthcare you need ranks at the top of Americans' anxieties. And Americans are more likely -- much more likely than people in the other rich democracies to put off getting medical care for fear of the cost. Still, the majority of Americans, and I guess most of the people here tonight, do have insurance, and it's tricky to figure out how to help the millions who get a raw deal while protecting the interests of those who already have protection. The Affordable Care Act is an intelligently crafted effort to do that. It extends coverage in two ways, by expanding Medicaid for poor people who've been cut out of that program, and by creating insurance exchanges where other people can easily and efficiently buy a private insurance plan under a new set of rules that, for example, prevent insurers from excluding preexisting conditions, and where subsidies are available to keep the premium for a medium leveled package at no more than eight percent of income. Now, the insurance exchange is not just a hypothetical concept. Massachusetts has a working exchange, The Health Connector, adopted as part of the reforms introduced by Governor Mitt Romney and passed overwhelmingly by both parties. If you move to Massachusetts, you can use The Connector's website and, in half an hour, sign up for an insurance plan, no broker's fees, no hassle. No wonder brokers don’t like the idea of the insurance exchange but we don’t kill off Expedia or Travelocity for the sake of the travel agents, do we? And currently, if you buy coverage individually or through a small business, and if we all bought coverage individually the way the Congressman wants, 30 cents or more out of every premium dollar gets sucked up in administrative and marketing costs. The exchanges are just one way the reform squeezes out costs from the system. In regard to coverage, the Affordable Care Act is modeled on the Massachusetts reforms. It does a lot more on cost containment, and far from being a government takeover, the program aims to create a better functioning market for private insurance. The origins of this idea go back to old Republicans -- Republican proposals, to a plan that Richard Nixon proposed in 1974, and to a bill introduced by Senator John Chafee, with 20 Republican cosponsors, back in 1981 -- 1991, a bill by the way that had an individual mandate in it. And substantively, the Affordable Care Act is bipartisan legislation. We just don’t happen to live in a bipartisan political era. Consider the law's moderate responsible approach to financing. The basic idea is to find most of the money to expand coverage from within the healthcare system. We spend enough on healthcare, we just don’t allocate it well. Healthcare providers and insurers will get more than 30 million new paying customers, and since the law's purpose is not to provide them with windfall profits, it claws back some of the revenue, for example, by reducing the future growth in Medicare payments, and by cutting excessive payments to private Medicare plans. The law also imposes a taxon high cost health plans that really should bring a smile to Douglas Holtz-Eakin because he defended a proposal that was functionally identical when he was John McCain’s Health Policy Advisor. Our Republican friends will tell you that this legislation will explode the deficit, even though the CBO tells us it will reduce the deficit. Now, Jon is my partner in this. Jon Cohn is going to talk more about cost. But while you're listening to the other side, please bear in mind that when Bill Clinton left office we were looking at a $3.1 trillion surplus back then. And Bush came in, cut taxes, passed a Medicare prescription drug benefit with no financing, sent us to war in Iraq without taxes to pay for it and, of course, the deficit exploded. It exploded on their watch leaving us in the end with a financial crisis and the great recession. What happened to health care costs in that period, in the years between 2001 and 2006 when Republicans had control of both the White House and Congress? What did they do about health care costs? Here are the facts. Family health insurance premiums went up 87 percent compared to 20 percent increase in general inflation and a decline of three percent in real median household income. Faced with a potential death spiral in the individual and small group markets, many of the interest groups that opposed healthcare reform in the past, the American Medical Association, the hospitals, the for-profit hospitals, too, even many of the insurers decided that the current situation had to be changed. And that’s why we got legislation in 2010 and not just because of the Democrats but because so many in healthcare saw it was wrong and worked to make it -- to change it. Now just a word on Mr. Shadegg’s proposals. We have low-regulation states, states that don’t regulate the insurance industry. His own state of Arizona is one of those states and their costs are just as high as elsewhere. Arizona has 20 percent uninsured. The high deductible insurance policies combined with tax-advantage savings accounts that he and other Republicans favor and put into law haven’t shown any sign of reducing costs or extending coverage. They are, however, a great tax shelter and in fact if you’re in a high tax bracket, it’s great to have a health savings account. You can put money in the account, don’t even use it for healthcare and withdraw it after age 65 without penalty. So those are proposals that are great for people who are healthy and well-off. They just don’t happen to do much for the low-income workers and the others who really face the difficulties in paying for healthcare."
for,"Not very profitable but I own it. Not exactly right but I have a pre-existing condition. Actually, I have two kidneys on my left side from some extensive work before the 21st Century and I was left on COBRA coverage and the solution, of course, is to start your own employer so I started a think tank to get insurance. I am covered. So thank you very much for the chance to be here tonight to our sponsors and to our opponents. You know, I’m going to ask you to support the motion but in the end, you’ve all realized that what we’re debating tonight is about getting healthcare reform in the United States because there is no dispute about the need for healthcare reform. My own history, John’s history, probably the histories on the other side of the table of which I’m unaware are stark tribute to the need to do things better in the United States. Real healthcare reform has two pieces. Number one, it extends healthcare coverage to Americans, gives them options for insurance and insurance is a product which shifts around the cost of your healthcare. In the end, an insurance system takes the nation’s health care bill and shifts around who picks up the ultimate cost, moving it from some people who are unable to shoulder the full burden of the cost of their care to some others who may be able to. The second piece, the piece that drives everything, is the overall healthcare bill. And the United States has a health care bill which is far too large and certainly far too large for what we get. At one-sixth of our economy, it’s one of the most inefficient pieces of economics that one could imagine. And the key fact to remember in thinking about this debate is that over the past four decades. If you look at income per person in the United States and healthcare spending per person, the resources versus the costs, costs have been winning at two to two and a half percentage points every year for four decades. Republicans, Democrats alike. It is the costs and the spending on healthcare that ultimately has to be covered by insurance premiums. And if you don't control costs, you cannot control insurance premiums, and you cannot deal with extending coverage to Americans, which is ultimately what real healthcare reform is about. I favor repeal because this reform flunks the test of healthcare reform. It does not deal with the cost problem. Now, I don't need to say so. Many people, far more qualified than I, have said so. The Congressional Budget Office, in the aftermath of passage of the Affordable Care Act, put out its new long-term care -- or its new long-term budget projections. Did health spending in the federal budget grow more slowly as a result of this? No, it does not. You can look at the CMS actuary, the administration, the Obama administration's own chief actuary, Richard Foster, who estimates that the affordable care actually will raise national healthcare spending, not lower it, and will actually endanger the future of Medicare, not make it more solid. You can ask Jonathan Gruber. Jonathan Gruber is one of the architects of Obamacare. He's one of the architects of the Massachusetts reform on which Obamacare was founded. And in his article in the Journal of Policy Analysis and Management, he says, “This isn't about cost reform. This is health insurance reform. There's nothing in it. Much like Massachusetts, it's just about covering people. It doesn't control costs.”And you can look at the experience in Massachusetts where, prior to reform, Massachusetts had costs that were 25 percent higher than the national average. And after reform, they were at 30 percent higher than the national average, no improvement in the fundamental requirement of healthcare reform. So we need to get the healthcare reform. And without that, we will never control the budgetary costs that threaten our nation. Now, I'm a former CBO director. It is my obligation to stand up in public and say apocalyptic things about the budgetary future. I'll spare you the numbers tonight because I like you more than my children. But the bottom line is this nation, looking forward -- forget re-litigating the past. Mr. Starr is good at that. But looking forward in the administration’s budget 10 years from now, after the financial crisis is in memory, after we’re soon to be out of Iraq, out of Iran, after the economy is back at five percent unemployment, we are running a deficit of a trillion dollars. Nine hundred billion of it's to pay interest on previous borrowing. We are headed to that magical position where we're borrowing to pay previous borrowing and nothing else. Along the road, we will pass the criteria for downgrade as a sovereign nation. We will no longer be a top-rated borrower. This act makes that situation worse, not better. It says that two new open-ended entitlement programs that will grow, according to CBO, at eight percent a year, as far as the eye can see, the economy is not going to grow at eight percent. Revenue's not going to grow at eight percent. The only way you could make that kind of a move add up budgetarily is smoke, mirrors and gimmicks. And that's what the Affordable Care Act is riddled with, in which the CBO was forced to acknowledge in its score. If you give them handcuffs, they'll come up with any answer that you might want. So we can't afford this as a nation. It is dangerous because it doesn't control costs. It's not really healthcare reform. You need to vote for healthcare reform, not Obamacare. One sixth of our economy is underperforming. If we care about economic performance, we should repeal Obamacare. Forget the mandates, forget the taxes. We had a system that was broken to begin with. One-sixth of our economy is broken. Why not fix it instead of writing checks and papering over it? But you hear some other arguments from the other side, the popular ones, now, the issues of fairness. Let us stipulate this is one of the most unfair pieces of legislation ever passed. There are the inequities between two people similarly situated, making $70,000. One's going to get $7,000 in federal subsidies, 10 percent of their income. The other's going to get zip. That is grotesquely unfair. And if any future Congress acts pass one, it'll get solved in a nanosecond. They'll give everybody the money. And my first problem will blow up even worse. Terrible idea. And for every young person in this audience, this is a disaster. Through the individual mandate you'll be obligated to be in the pool. The purpose is to put you in there to pay the healthcare bills of people who are older and sicker than you. And at the end of your life, you get to pick up the debt that's been incurred through Obamacare. You'll get it at the front end. You'll get it at the back end. It is one of the most inter-generationally unfair things that has ever been scripted by the United States Congress. Should be repealed on those grounds alone. There are other sort of detours along the way. The insurance companies, that's where all the costs come from. Oh, my God, there are administrative costs. There are profits. The top 10 insurance companies in 2009 made $260 billion. That's a lot of money. I'd like to have it. The cost growth problem every year is $175 billion. So go for it. Nationalize the insurance companies, confiscate their profits. You get about a year and a half's worth of relief, and we're right back where we were. This isn't about insurance companies. This is about fundamental changes to the delivery system so that we coordinate care so that we deliver high quality care at lower costs. And the greatest missed opportunity here was the chance to fix Medicare, which is at the root of our problems. Medicare pays doctors. It pays hospitals. It pays some insurance companies, and it pays drug companies. And it has silos to pay them all. And nowhere in there can you find a beneficiary. Nowhere in there can you get coordination of care. Nowhere in there is the kind of healthcare Americans deserve. We should fix that first. We should repeal this now. Thank you."
against,"Thank you. I want to thank the audience. I want to thank the foundation. I want to thank my opponents. I want to thank Doug Holtz-Eakin in particular for some of the comments he just made about the dire fiscal straits of the country, the importance of trying to get healthcare costs under control because if we don't get healthcare costs under control, we're not only going to bankrupt our government, we're going to bankrupt our entire society. And you know, I agree with all of that. I do. Where we differ you may -- as you may imagine, is that I happen to think the Affordable Care Act, Obamacare, helps us in that regard. Now, you listened to this team over here. You've listened to their argument. And they painted a very dire picture of a program out of control that's going to cost more than anybody thinks. It's going to leave us all paying tons in insurance premiums. And you know, they have to paint an apocalyptic picture because I think the honest truth is most of us, when we hear that -- about the benefits of the plan, that we'll be able to guarantee coverage for people who have pre-existing conditions, the right to appeal treatments when their insurance company turns it down, subsidies for people who can't buy coverage now. People like that. They think that is a good idea. So they focus on this cost question. And, you know, during the healthcare debate, we had all this scare talk about death panels and other things that just were simply not in the -- with all due respect to my -- to our debating opponents here who I know have spent a lot of time talking about it, I think they're giving you, well, I don't want so say they're making things up out of whole costs , but I think they're giving you a slightly, let's say, one-sided picture of things. So I did two things here. First, I want to explain why I have faith that the Obama healthcare bill will in fact reduce costs. And I want to specifically go through some of the arguments they have made and tell you why they are misleading. Now, why do I have faith that this healthcare bill will save money? I mean isn't -- Congressman Shadegg said, isn't it common sense that it won't? I don't think it's common sense. I look around the world. I look at countries like France and Germany and Switzerland and Japan, countries that get just as good healthcare as we do or better,people who have easier access to healthcare, and yet they spend less than we do. Now, is there something about the United States that we're not capable? We're not innovative enough? We can't do that? I don't think so. Certainly it is possible, certainly, to get excellent healthcare, cover everybody and save money. So the question is, will this bill do it? And I believe it will. Let me take a second to explain how the bill is designed to do that. It has three basic approaches. One is to get the low-hanging fruit of healthcare, the waste. A lot of it's corporate welfare. Right now, for example, insurance companies that provide benefits through Medicare, study after study has shown that we pay them too much. They're making too much in profits. So we say we're going to take some of that back. We're going to take back that corporate welfare. Another source of offsetting revenue for the healthcare program is to go and ask people who have benefited the most from our economy, the people who are the very wealthiest in our society, to pay back a little more in taxes. And we get money from there. Now, I don't think either of those propositions are in dispute in terms of that those things will generate money to offset the costs of the healthcare plan. Now, they may not like those ideas. And that's fine. And maybe in the question and answer period they can tell us why they think we need to keep giving insurance companies corporate welfare. Why the richest people in this country, who are enjoying far lower tax rates than they had during the Clinton administration, can't afford to pay a little more. But it's the third part of healthcare reform, the third part of cost control that's the most important. And this is where we really look at the way the American medical care system works. Everybody who is -- every expert left and right says we waste a ton of money in our medical care system. Some of this is administrative waste because everyone's dealing with 10 different insurance companies. Some of this is duplicative treatments because Dr. A doesn't know what Dr. B is doing to patient C. Some of this is the fact that we pay tons of money for treatments that don't work. The Obama healthcare bill, what it does is it tries to attack those, and it tries dozens of different approaches, and it's not a liberal takeover, it is not something crazy extremists cooked up on one side, it's actually the best ideas of the left and the right. It's ideas like not paying hospitals if they run high rates of in-hospital infection. It's things like developing electronic medical records so we can keep track of what patients are getting as they move through the medical system. It's about giving financial incentives to doctors and hospitals that coordinate care and focus on prevention, and efforts like this that together, the smartest people have stated this, all believe will help control healthcare costs. Now, Douglas Holtz-Eakin got up here and said these numbers are crazy, that of course this is going to explode the deficit, and again, commonsense, well, the most reliable authority we have on this is the Congressional Budget Office. Congressional Budget Office is the gold standard of accounting. The CBO -- my reading of the CBO report is that they looked at the healthcare bill and they said, ""You know what? This bill will reduce the deficit. It will reduce the deficit in the first 10 years, it will reduce it by a lot more afterwards."" And by the way, the rate of growth in healthcare spending is going to start to slow down. Now, it is true that the CBO, you can say, ""Well, the CBO ought to use these rules,"" or whatever. Well, what the CBO rules mean is that we are assuming that the laws that we have passed are going to be implemented, and that is the way -- and that is the way the government accounting system works. Douglas Holtz-Eakin says, ""Well, that never works because we've never seen it happen."" Well, you know what? It's happened before. During the late 1990s we tried to control costs in Medicare and we did for a while. We passed very large cuts to Medicare during the Balanced Budget Act. It was the late 1990s, and you know what? Those cuts stuck, and we were able to reduce the growth of Medicare from where it would’ve been otherwise. It’s entirely possible to do this. Now, in order to do this you have to actually stick with a program. As my colleague mentioned, during the Bush administration they passed a different -- they tried to approach healthcare in a different way. They said, “All right, let’s try a different approach, and let’s have a healthcare bill, let's not pay the cost for it.” Well, that did increase the deficit, and that is the sort of choice we’re talking about facing here. Now, my colleague -- my opponent, Mr. Holtz-Eakin, cited a number of authorities he believed, and he said, “Well, John Gruber of MIT says this is not good,” or he said, “The CMS actuary said this."" Well, in fact, if you look at the written record, the people -- the list of experts who have endorsed this, it’s not just the Congressional Budget Office, it’s people like David Cutler, a professor at Harvard University, who won the John Base Clark Medal for the most accomplished economist under 40. It's people like Jonathan Gruber from MIT -- I know he quoted Jonathan Gruber -- Jonathan Gruber has said many times he endorses this bill. He thinks it's our best shot right now to get healthcare costs under control. It's people like Mark McClellan, who hasn said that he believes the Affordable Care Act will start to reduce healthcare spending, and why do we care about Mark McClellan? Because Mark McClellan ran Medicare in the Bush administration, and it’s people like the Simpson-Bowles Commission, the bipartisan fiscal commission said, ""The cost control in the Affordable Care Act will be affected, and we need if anything to double down on it."" This is not my opinion, it’s not some crazy opinion, it is in fact the opinion of the best experts of left and right.John Donvan: Jonathan Cohn, your time is up. Thank you."
for,"I’m thrilled to have that question because I think it’s vitally important. I think we’re already -- we’re a nation that does support taking care of those who can’t care for themselves. We’re a nation -- and my legislation covers every single American -- we’re a nation that thinks it’s outrageous that anybody would lose coverage because there are pre-existing condition like my heart condition or my sister’s breast cancer. But we’re also a nation that honors limited government and honors individual choice. I think on theone hand what you hear from the other side is that the government can manage this issue better. And what I would suggest to you is we are in this problem because the government made changes that took you and I out of the equation. The government said health insurance is available only if your employer buys it and you get a tax deduction. But if you go out and buy it, it’s one-third more expensive. If you can’t hire and fire somebody’s who delivering a service to you, you can’t hold it accountable including its costs. Absolutely. The individual freedom is tied back to the cost of the service and because we can’t control it, you are controlling its cost."
against,"I do think this is a question of our public philosophy and the obligations that we owe to one another. And it is, I think, a sad commentary on us that we remain the only advanced country that doesn’t provide protection to all of our citizens. Now the reason that we have -- let’s go back to why we have this employer-based system. If you don’t have government share, spread the costs of healthcare, there needs to be some organization that serves as the pool for risk. And the employer is the most convenient way to do it. That’s actually why this first developed in the 1930s and ‘40s before we had the tax advantages. It’s simply going to default from the government to employers. It’s not as though the government took this away from individuals. That individual market that the Congressman loves is phenomenally inefficient."
for,"All the Republicans are arguing is that you ought to give that choice to people. I do not favor individual purchase. That was the attack made against Senator McCain throughout the campaign and it was absolutely unfair. I favor a plan which says I as an individual can buy an individual plan, I can take my employer’s plan or I can buy from a whole group of expanded choices. We could have my social club. The Kiwanis Club can offer a plan. My university alumni can offer a plan. Give me that choice, force those insurance companies to compete. They don’t compete right now. They don’t care what you and I pay for health insurance and they don’t, quite frankly, care whether it treats us well. They only care that our employer bought the plan."
against,"Well, I would say I think all of us favor choice. Choice is a wonderful thing. We want to give choice. People who buy, I mean, we need to realize that the employer -- people who are getting private insurance are now divided into two groups. There are people who get it from their employers and there are people who buy it on their own. Neither of them has choices right now. You’re buying insurance on your own? Good luck buying a coverage policy. You’re going to have trouble finding one, particularly if you have pre-existing conditions."
for,You’ve got to shop across state lines.
against,"We’ll talk about that in a second. This Affordable Care Plan, what it does is it says, all right, let’s create a market, a real market, a place -- kind of like Expedia, like they have in Massachusetts now where everybody who’s buying one actually gets a choice ofinsurance programs, a set of plans that they know they can afford that will be made available to them regardless if they’re a cancer survivor and let all of those people shop. Meanwhile, employers who have insurance for their employees will continue to provide that. Look, at some point it is very easy to say we want to open up exchanges for everybody and let everybody shop. You can build on this system to do that. You can do that. But you’re never going to get to that system you’re talking about. You will never get to a system where people have choice and a choice of actual plans that are available to everybody, that cover what they need, until you build these exchanges that are in the affordable care act."
