side,script,round
for,"Well, I work in the Cato Institute, so that puts me at the opposite end of the spectrum. I think the minimum wage is zombie economics.",
for,My partner is the great rapper Russell Roberts.,
for,"=t’s called “Fight of the Century.” :ow many people have seen that? We actually -- with John Papola, we produced two of them, two rap videos. And I want to make it clear on the record =’m not singing in either one of them. And 6.3 million people have viewed them on YouTube, or maybe a few less than that, because people have kind of seen it 4- or 500 times.",
against,"Well, I was also a rapper. No. = was social worker in New York City, and as =’ll comment later throughout the discussion that was where I first learned how important the minimum wage is to low income working families.",
against,"Very much -- very -- I mean, if I had my way, every economist would have to be a social worker for a couple of years before they got to be an economist.",
against,"My partner is my old friend and wonderful policy analyst, Karen Kornbluh.",
against,"Yes, my dad was involved in local politics. He served in a couple local positions in New York City.",
against,That fascinating.,
for,"We need to abolish the minimum wage. And there's only one argument that matters on this issue, and it's the moral argument. Does the minimum wage make the world a better place? And does it improve or hurt the lives of the poorest American families and the workers who are in those families? Now, those Americans with the least education and the lowest skill levels have struggled tremendously over the last three decades. They find themselves in competition with machines, computers, automation, with foreign workers. Their job opportunities have shrunk. Their standard of living is mediocre at best, but the minimum wage is the wrong way to help those people. It attacks the effects of economic change rather than doing anything about the underlying causes. And by doing so, it hurts the people that we're trying to help. You don't need a special theory of the labor market or a degree in economics to understand that making workers artificially more expensive makes it harder for them to find work. Now, those who support the minimum wage will tell you it's necessary to create a level playing field between employers and employees, that workers need the bargaining power that they are -- that they're missing, and the minimum wage makes that up. But in reality, most of us don't need that extra help. 95 percent of workers who are paid the hourly wage, which is about 75 million Americans -- 95 percent of those make more than the minimum wage already. And that includes my cleaning lady, who I pay over two times the minimum wage. Now, why do I do that? Because I'm an incredibly nice person. Well, that's what I like to think. But I really know better, because I'm an economist. The reason I play my cleaning lady almost $20 an hour is because if I don't, she doesn't show up. She has other alternatives that she will turn to if I don't meet her market wage. It is those alternatives that protect her from the greed of employers. And alternatives force employers to treat employees well and most of us don't need legislation to protect us in the labor force. But the minimum wage does boost the salary of about 3.5 million Americans. About half of those, 1.7 million, are young people, 16 to 24. They get helped by the minimum wage as do those who make a little more than that, because it boosts the attractiveness of those workers relative to what it would otherwise be without the minimum wage. But those artificially high wages, that boost in wage discourages employers from hiring other workers who are low-skilled and have little experience. This is particularly tragic today, when the unemployment rate among 16-to 24-year-olds is 16 percent. And for African Americans -- young African Americans,it's over 29 percent. Almost one in three. Now, many who support the minimum wage will argue that somehow you could raise wages artificially and there'll be no net effect on employment. But who believes that employers don't respond to incentives to higher wages and try to find ways to save costs? That's why employers replace workers with machines. That's why they send factories overseas. And that's why manufacturing employment has been falling steadily in recent decades, not just as a proportion of the total, but in absolute numbers, because fewer and fewer low-skilled workers who used to do those jobs are needed to produce the goods that we still make and manufacture. And by the way, the U.S. manufacturing sector, in output terms, is thriving. But in employment terms, it's struggling. And those are the places that people without a college degree used to find a good job. Those opportunities are shrinking. Why would artificially increasing the wages of workers, especially those who don't go to college and who don't finish high school -- why would artificially increasing those wages make those workers better off? Why would it have no effect on their employment? Consider my favorite exemption to the minimum wage: the internship. The internship is a very special kind of violation of the minimum wage. You pay zero. You're allowed to pay zero. You're allowed to pay less than the minimum wage as long as it's zero. How strange is that? But we all understand that, for our kids, that's a glorious thing. It's what's needed because their skills aren't often worth $7.25 an hour, and we want them to get that experience at the bottom of their -- at the beginning, at the bottom of the economic scene, so they can get the experience, and the mentoring, and all the things that come with being in the workplace. And thank goodness that there is a special exemption for zero. Does anybody think that if we got rid of that, there'd be more opportunities for young people? Others justify the minimum wage by saying the effects are small -- the employment effects. Small? When you lose your job or can't find one, the effect isn't small, it's 100 percent. So it's nice to give 1.7 million young workers a raise, but what about the 3.4 million unemployed workers 16-to-24, last month, who can't find work? We're increasing the wages of 1.7 million and making it harder for 3.4 million to find work, twice as many. I don't accept that tradeoff. That's a tragedy. I reject it. It's a bad bargain. The irony of the minimum wage is that it reduces the bargaining power of the people at the bottom end. It reduces the number of opportunities they have while increasing the number of people who are trying to find them. The best argument for the minimum wage is thatour school system is a failure, so we have to do something to help those at the bottom. But this is the wrong way to fix it. It's an additional barrier to the least skilled workers of America, making it harder for them to find work, those who have the least education, the least ability, the fewest connections, the ones who desperately need that first job to start their career. I beg you to consider that the best intentions don't always lead to good results. Abolish the minimum wage. Let young people and the least skilled have a better chance of getting the experience they need to thrive and prosper. Thank you very much.",
against,"Well, I'm glad to see all of you here and that you've chosen this over other D.C. options you had tonight. You could be looking at the cherry blossoms or seeing the Nationals play, but you've come to talk and debate the minimum wage, so you're my kind of people. So I'm glad you're here. Here is my main point. Luckily, for our side, strongly against abolishing the minimum wage, almost everything you just heard from Russ is shown to be false by a large body of compelling research. So let me start with my main point. Abolishing the minimum wage would be a terrible policy mistake that would needlessly hurt millions of low wage workers. It's not a policy, this idea of abolishing the minimum wage. This policy is nowhere near the current agenda. In fact, as you've heard, the current debate asks whether the minimum wage should be increased. Now, it is true that during the Republican primary, Michele Bachmann and Herman Cain endorsed the idea in the Republican primary of abolishing the minimum wage, but that idea of abolishing a policy that's been in place since the1930s, helping low wage workers, is about as far out of the mainstream as you can get, and let me explain why. Now, this gray hair I have, I got through a lifetime, as was mentioned earlier, of analyzing social and economic policies, beginning as a social worker in New York City with the poor, and I worked my way -- I don't want to say up, sideways, wherever it is I am now -- to whatever it is I'm doing today. And, you know, over those decades, I focused on two things, what's gone wrong in our economy and which policies could help give less advantaged folks a shot, a fair chance? It's through that simple agenda that decades ago I became interested in minimum wage policy. As globalization, and technological change, and a lot of other stuff that we can talk about throughout the evening have evolved, economic growth no longer reaches working families the way it used to. And the further you go down the pay scale, the less growth you're likely to see. The minimum wage partially helps offset that problem. And, in fact, you will be hard pressed to find a policy that does what it sets out to do, raising the pay of low wage workers, more effectively or more efficiently. And importantly, and this is why I stressed it when I started, and we'll have lots of time to get into this, I hope, reams of high quality research shows that it does so with the minimum of the type of side effects that you heard Russ emphasize. Consider this, just start here with a little commonsense thought experiment. The American minimum wage, as you've heard, has been in place since 1938, 75 years ago. It has been raised 22 times. Nineteen states now have their own minimum wages above the federal level. If this policy was so damaging, as damaging as Russ claims, that it needs to be abolished, how could it be that citizens and legislatures in 19 states decided not to abolish it, but to raise it above the federal level? If it was anywhere near as damaging as our opponents claim, how could the minimum wage not only have survived this long, but have flourished and expanded? The answer, once again, is because it's widely understood and accepted by mainstream economics, policymakers, and perhaps most importantly, low-wage workers themselves, who overwhelmingly support the policy -- that's very important, I'll come back to that -- as doing what it's supposed to do, steering a bit more of the economic growth their way. Now, to do what our opponents advocate, to get rid of the minimum wage, would figuratively take the wage floor out from under millions of low-wage workers, many of whom -- and Karen will emphasize these points -- depend on the minimum wage to support their families. =t's very misleading to say that this is just a teenagers’ issue. =t's not. For these reasons, as you've heard, the president has proposed an increase in thefederal -- in the federal minimum wage. Now, that's what we ought to actually be debating. I firmly believe that economists can and should have good, robust debates about that kind of a proposal -- should the minimum wage be increased or not? But that's not what we're arguing about. That's not what you're voting on on the resolution. Our opponents think that America should have no minimum wage at all. To me, a better question than that -- than the one on notice tonight, should be -- should the minimum wage be abolished? The better question is why anyone would even suggest such a bad idea? So, why would you -- why would you even think that? And I think the answer comes down to two factors. First, common misconceptions, ones that should have been banished by the research. And second, because of a laissez-faire market ideology that trumps common sense and empirical evidence. Now, a word about this evidence. There's probably no question that's been analyzed more carefully by economists than this one, about the impact of the minimum wage on low-wage workers. And the conclusion is that it raises the pay of low-wage workers without hurting their jobs prospects. Of literally thousands of estimates on the impact of the minimum wage on job impacts of affected workers, the vast majority find that the benefits to low-wage workers -- the benefits to low-wage workers -- exactly the opposite of what's -- of what Russell claims -- the benefits for low-wage workers far outweigh any costs in terms of reduced hours or job loss. Now, recall that I mentioned all of these states with their own minimum wage levels exist. That's provided something that minimum wage researchers have found very rare in economics -- pseudo-experimentation. The best way to test the impact of an intervention like this is to compare places that are as like -- as -- in terms of economic variables as you can find. Yet, one has the economic intervention and the other doesn't. These studies, this pseudo-experimentation, comparing states and places across borders, have consistently found results, job loss effects, that hover around zero. Sometimes a little bit below. I will grant the other side that. Sometimes slightly negative, sometimes slightly positive, but hover around zero. So we have here a simple policy that for 75 years, has been doing what it's designed to do with little fanfare and minimal, if any, negative side effects. Abolishing it makes absolutely no sense at all. Thank you. John Donvan:Thank you. Jared Bernstein. Thank you, Jared Bernstein. And a reminder of what's going on. We are halfway through the opening round of this Intelligence Squared U.S. debate. I'm John Donvan. We have four debaters, two teams of two, fighting it out over this motion, “Abolish the minimum wage.” You have heard two of the opening statements, and now onto the third. Debating in support of the motion, to abolish the minimum wage, the vice president for academic affairs at the Cato Institute, editor of the Cato Journal, and professor of economics at Towson University. Ladies and gentlemen, James Dorn.",1.0
