side,script
for,"Shannon Brownlee: Thank you. It's absolutely essential. The system isn't going to change itself from inside. And it's going to need outside pressure. And that should be communities. It should be activist physicians. It should be patients. It should be everybody who's involved in healthcare. And that's everybody. Oh, my partner is my friend and esteemed colleague Robby Pearl, an author a great book, ""Mistreated"". There is so much. It's the scientific method of analysis. It's the importance of innovation. It's the mission driven foundation for everything that's successful. It's why I teach at both the Stanford graduate school of business and medical school."
against,"Thank you. No. I’m living a very full and fulfilling life, and I haven’t had my first grandchild, but I haven’t changed my mind one iota. No, not a foolish consistency. Seventy-five is still a full life. Oh, David Feinberg. He’s CEO of Geisinger healthcare and one of the more brilliant leaders in American healthcare today. Thank you. Thank you."
for,"-- here is senior vice president of the Lown Institute. Ladies and gentlemen, Shannon Brownlee:. I think this is my one opportunity to feel like a model, is walking down that runway. So you’re going to vote on a single premise, but in fact there are two ideas in that premise, and one of them is you have to ask yourself the question just how broken is the system anyway. And my partner Robby Pearl and I agree that it is incredibly broken. If it were a patient, if the healthcare system were a patient, we would have put it in the ICU long ago. But the second thing you must decide is whether or not the reforms that are in place can revive that patient. And we agree again, Robby and I, it can’t. They can’t. It is in worse shape than our opponents are going to argue, and we think the reforms are less than adequate. So my job is to paint a picture of the system that is, and Robby will lay out a great system that could be, and what it will take to get there. Now I warn you the picture I’m going to paint isn’t very pretty, and some of you, especially those of you who work in organized salaried group practices like Mayo, like Kaiser, like Geisinger, may think I’m exaggerating. But you are islands of excellence in a sea of mediocrity, and out there it’s a bit of a warzone. We have fragmented care. We have burned out physicians and nurses. We have three -- a quarter of a million patients die every year of errors, nosocomial infection, and adverse drug events. We’ve had a record number of drug recalls in the last decade, in part because we have an FDA that is a captive agency. It’s bought and paid for by the industry that it’s supposed to be regulating. We have -- and don’t get me started on medical devices. We have tragic care for the elderly. We’ve almost killed primary care. And we’re still paying fee-for-service even though we know that fee-for-service rewards more care, not better care. It’s kind of like paying for a car based on the number of parts in the car. And we still do not have universal coverage. Meanwhile costs are out of control. They're out of control because prices are out of control. And it's not just drug companies that are the problem. It's that everybody is charging what the market will bear. Costs are also out of control because of how much we waste on fraud, on administration, on inefficiency, and on my special interest overtreatment. We spend about $300 billion a year on services that patients don't need. And when you add it all up the waste is about $1 trillion, $1 trillion. So costs are also out of control because we have massively overinvested in the hospital sector and underinvested in primary care and community based care. It's because -- and hospitals are now consolidating as fastest that they can in order to capture market share and drive up prices even higher. They are investing in technology and specialty care, not because that's good for the community, because it's good for their bottom line. So I'll give you an example. I live in Washington, D.C., and two hospitals have proton beam machines and two more are building them. Now this is a $100 million machine that has been shown to be effective -- more effective than standard radiation therapy for a handful of cancers. At most we need one proton beam machine in Washington. In fact really we don't need any because we've got two in Baltimore which is 30 miles away. So hospitals are saying to heck with the evidence. If it's good for the bottom line we're going to invest. As long as we keep paying free-for-service, hospitals are going to be thinking more about margin than they are about mission. Now are ACOs going to right-size our hospital sector? So in 2012 we had 32 pioneer ACOs. Today we have eight. The other 24 dropped out because they didn't like the risk. And you can't blame them. When most of your book of business is in feefor-service and a small part of it as risk it's like having one foot in two different canoes. So every one of these problems is fixable. But they should be seen not as isolated ailments. They're kind of -- they're a kind of sepsis. They're systemic failures requiring systemic solutions. But the majority of actors out there, what Robby calls the legacy players, the hospitals, the drug companies, the AAMC, the device makers, the insurers, they aren't going to like systemic solutions very much. And they are resisting a lot of these solutions. And they won't fix the problems that exist until they have to. So hospitals bundle payments. They're not going to change hospital costs appreciably. They're going to -- they're going to be an incentive to deliver more bundles. And then there's Medicare for all. Now I hate saying this as a card-carrying Bernie supporter and a supporter of single payer. But if we do Medicare for all that just pays fee-for-service or worse pays fee for service and has Medicare fees go up to what private pay we're in trouble. Now our opponents are going to give you examples of incredible care, fantastic primary care, fantastic -- fantastic medical records. Many many wonderful innovations. But the problem is these are million dollar solutions to a trillion dollar problem. And they are not going to scale up. They are one-offs. So given this I think that you have to vote in favor of the premise. The American healthcare system is terminally broken. Thank you."
against,"Everyone agrees that the US healthcare system is broken. There's $800 billion, $1 trillion of waste, at least $200 billion of unnecessary care, and $130 billion of inefficiently delivered care. The quality of the American healthcare system is not great almost no matter how you measure it, whether it's infant mortality, survival for acute myocardial infarctions. Even cancer treatments that we pound our chest on as being the best in the world. Childhood leukemia we're exceeded by Germany by four percentage points. Breast cancer France does better than us. We are generally underperforming. No doubt about it. But the key word in the proposition is terminally broken. Are we terminally broken? Are we beyond fixing? Now let me just say, Dr. Pearl there is a reconstructive surgeon. My partner, David Feinberg, is a child psychiatrist. I’m the only one who’s an expert in terminal. I’m an oncologist. And I will tell you, we are not terminally ill. Sick, but not terminally ill. If you go around the country, there are multiple points of light, much more than Shannon says, and not only reserved for places like Mayo Clinic, Geisinger, and Kaiser. There are many, many places. You go to Care More, which is a Medicare Advantage plan in South California, and has now branched out into Medicaid and other programs around the country in places like Tennessee and Iowa, they care for chronically ill elders, much sicker than the average Medicare patient, and they do phenomenally well. They have 45 percent fewer hospital admissions than Medicare -- regular Medicare. Their readmission rate is, if you control for risk, 10 percent compared to Medicare’s average at 17 percent, and in their dialysis patients they have 85 percent fewer bed days. Just one example. If you go to a small group in Hawaii, they’ve addressed behavioral health problems by co-locating a lot of psychologists in their offices. This is a 15-person primary care group with a couple of surgeons and a couple ob-gyn doctors. For four days a week, they co-locate psychologists in their practice, and they treat depression, anxiety, smoking cessation problems, insomnia, and even patients who are noncompliant with medical disorders, and have substantially improved their performance. Palliative care, another area where we have underperformed for many years. I’ve been studying it for 35 years. We now have interesting groups. A company -- for-profit company based in Nashville, Tennessee, Aspire, that begins palliative care not in the last month or the last two weeks of life, but 12 months before they identify patients, send out a nurse to the home. And they’ve seen 25percent savings and keeping patients in their homes over that period of time. Hoag Orthopedic Institute, again, in Southern California, they have done performance measurement and transparency correct. They have looked at all their data. They’ve done time motion studies and got out every bit of inefficiency in their system. They flip ORs in 22 minutes. They have dropped their surgical site infection almost to the zero level. They publish all their results on outcomes, on the web, including patient-reported outcomes of pain relief and getting back to activity, and they offer people -- not just in Medicare but everywhere -- a fixed payment for their service, and they publish it right on the web and you can get it for that price. These are but a handful of thousands of examples around the country. So how do we scale them? Well, let’s be honest. The key is behavior change -- behavior change of doctors and behavior change of patients. How are we going to get doctors and hospitals, skilled nursing facilities, home healthcare agencies and all the rest to change? We know. We have to change the financial and nonfinancial incentives. There is no disagreement between our side and the affirmative side, that we need to change off the fee-for-service system. The fee-for-service system rewards doctors for doing too much. I’m an oncologist. It rewards us for giving chemotherapy. The question is, can we move off the fee-for-service system. We already are moving off the fee-for-service system. Shannon downplayed the accountable care organizations. Actually, today there are 32 million Americans in ACOs through Medicare and commercial plans, and we know that the longer a group stays in the ACOs, until the fourth year, then they begin to see real transformation. Bundled payments. We’ve seen tremendous change in bundled payments, in creating efficiency, in bringing down the cost, and actually bringing down -- making quality the same. We don’t sacrifice at all. We have Medicare bundles, we have private insurance bundles, and we have states like Arkansas and Tennessee introducing bundles broadly. They are going to expand because they actually bring returns relatively quickly. And most importantly, we have MACRA, which is a bill passed by -- a bipartisan bill passed, and it is financially incentivizing doctors. Either they take these alternative payment methods, which moves them off fee-for-service, or they have very, very high pay for performance up nine percent or down nine percent to actually improve quality, but also being responsible for the cost of care. Yes, we can transform the American system. It's not terminally ill. But we need to be careful about the timeline. We are not going to transform it overnight. It takes four years before you begin to see change and then ten years before change sets in. 2030 is the right timescale. This is not like flipping the switch. This is change over time of a $3.4 trillion industry. We are not terminally ill. We can save the American healthcare system."
for,"The American healthcare system is terminally broken. Shannon's told you the magnitude of the problems. And the solutions that exist are simply inadequate. I think of them as a patient with systemic infection from bacteria. Give it a couple of penicillin pills not powerful intravenous antibiotics. The reason is simple. What's in place today is a compromise, a political compromise to get the Congressional votes and to avoid the ire of the hospital systems, the health plan systems, and the drug industry. It is simply inadequate to be able to overcome the shortcomings -- shortcomings that led to the premature death of my father. My father Jack Pearl was an amazing man. The son of two immigrant parents he worked his way through college and dental school. When World War II came around he could have stayed behind American lines. He volunteered for the 101st Airborne. Parachuted on D-day. He and his unit were captured by the Germans. He led a daring escape at night. Brokaw would call them the greatest generation. Later in life he developed a hemolytic anemia. He needed to have his spleen taken out. The operation went well. My brother and I -- my brother's the chairman of anesthesia at Stanford -- handpicked the doctors, the half in New York and the half in Florida where he lived for each six months of the year. They were excellent physicians. They all knew that after a splenectomy you're at much higher risk -- much higher risk for infection called pneumococcus. They all knew that there was a vaccine that could have prevented the complications. But the ones in New York thought Florida gave it to him. Florida thought New York. Primary care though specialty care. Specialty -- he never had it. He came out to visit my brother and me. Dinner at my house, with my brother's house in Palo Alto. Next morning at 5:00 my brother finds my dad on the floor unresponsive. Four days in the ICU. Three weeks in the hospital. He survives the admission but never the complications. The diagnosis? Pneumococcal septicemia. One of 200,000 people that year and every year including this year who will die from preventable medical errors. Embedded in a story is much that is wrong -- much that is wrong with American medicine today. It is still paid. Ninety-two percent of physicians get paid on a fee for-service-basis. They get rewarded for a splenectomy. They don't get rewarded for thinking about how they can make sure he got the vaccine that is needed. If we're going to address not just quality but also address cost we have to move from fee for service to capitation. It's difficult but anything less will be incomplete. Zeke talked about bundled payments. The evidence says in bundle payments costs come down on a unit basis but doctors do more. When hospitals and doctors consolidate what do we see happening? They don't use it to improve efficiency and effectiveness of care. No. They use it to raise the price by controlling the marketplace. And the alphabet soup of current Medicare, MACRA and MIPS and APMs, doctors don't even understand this. Yeah, they'll meet the bundle -- the requirements to get paid but they will never change the way they provide care under the current rules. His doctors didn't have the information they needed. Every American needs to have the totality of the medical information available to every physician, hospital at every point of contact. It can be done. It's called ATMs. But it won't get done. Why is that? Because the people who manufacture and sell the electronic health records are not going to open up what's called APIs, the application processing software that's necessary for third party developers to come in, because they know it will break the stranglehold they have on those who have purchased the systems already. And we need to make sure we address the issue of drug prices. Drug costs are rising three times more rapidly than medical inflation, five times more rapidly than overall inflation. It used to be that drug companies spent all their money on R&D. That’s not happening anymore. A lot of them are simply acquiring competitors, creating monopolistic control of that marketplace. And as a consequence of doing that, they’re able to simply raise price. Just look at all the things that happened with EpiPen. And primary care. My father’s primary care physician was overwhelmed, as physicians are across the nation today in primary care. Twenty, 25, 30 patients being seen every single day. We talk about primary care, but we still train more specialists than primary care physicians. The 15-minute has got to become a thing of the past. The changes that are happening, the Medicare changes are making the life of primary care worse. I asked a friend the other day, I said how come there are 80 separate measures to evaluate primary care performance. He said because that’s all the columns that exist on an Excel spreadsheet. There would be twice as many as they could have as many in place. The government needs to intervene in the drug world. They need to increase competition. The government needs to intervene and use Medicare to buy drugs on behalf of patients. Every other nation in the world does it. Our Congress has prohibited our government from accomplishing it. What we know today is that the American healthcare system is terminally broken. All the small fixes you heard about from Zeke will make a small degree. But one-offs, people in one area will do it, but not another area. We’ve got to change all of American medicine, how it’s organized, how it’s reimbursed, how it is led, how it’s technologically supported. It is terminally ill. It does not have to be. I urge you to vote yes on the motion so that work can begin. Thank you very much."
against,"Thanks, John. So this -- I’m not a professional debater, so this may be suicide, but I’m going to start with disagreeing with Zeke, okay? So Zeke is an expert on terminal illness. But, hey, I’m a psychiatrist. I’m the expert on behavioral change. So let’s talk about behavioral change. We could fix every problem we have in healthcare immediately – 50 percent of the cost -- if we ate right, we didn’t use illegal drugs, we drank alcohol in moderation, we wore our seatbelts, we didn’t shoot one another, and we prevented adverse childhood situations that we know we can prevent. Overnight, we fix the healthcare debate. And all we hear about -- ACOs and MIPS and MACRA -- that’s mumbo jumbo. And when -- I’m sure that our opponents will tell you that the United States spends more on healthcare than most industrialized countries, and our outcomes aren’t as good. But that graph is actually misleading, because the United States spends the least amount on social services compared to those other countries. And when you combine social service spend and medical spend, we’re kind of just in the middle. So we have an option. We can either start spending as a country on social services, or it’s up to the healthcare system to fill that gap. So can it be done? Well, I would ask all of you in this audience -- I mean, if you look at the graphs that they will talk about, if you have crushing chest pain right now, and that graph shows that it’s better for you to get care in Uruguay, are you not going to go across the street to the Mayo Clinic? So acute care in America is actually excellent. We’ve designed our system to do that. And I take really offense by what Robert says, because Robert represented an organization that has showed our country how to do this the right way. Kaiser Permanente, which starts in Oakland, California, Geisinger Health System, which starts in Danville, Pennsylvania, are examples that health care reform does not start in Washington, D.C. It starts in communities that are committed to the people that are living there, that understand the problems, and engage in creative, innovative solutions to make things better, so that every patient gets care that's compassionate, safe, dignified, and low cost. So we've done some things at Geisinger. We've sequenced 100,000 people's entire DNA for free. We look at their DNA, and about 4 percent of those people have medically actionable conditions that we could intervene with before the bad thing happens. And on those cases, there's probably about four first degree and second degree relatives that are also affected. So that's genetic code. It's health care is not just about getting to the doctor and getting to the hospital. It's understanding your genetic code and also your zip code. And what we looked at zip codes where we provide care, we have towns like Shamokin , Pennsylvania, where 80 percent of the kids are on subsidized lunch. The rates of diabetes are 1 in 4 to 1 in 5. Food insecure people with great health care through Geisinger still have measures of blood sugar that are out of control. Guess what happens when we bring those people in and we say to them, ""Here is food, fresh fruits, vegetables, lean meats, legumes. And if you're living in a motel, we've got spatulas for you, and we have microwaves and hot plates. We're going to teach you about your diabetes, and you're going to give you and your food -- you and your family this food to eat. Every single patient has had a decrease in their hemoglobin A1C, in their blood pressure, in their weight. If this was a pill, it would be a multibillion dollar pill. We can use food as medicine. And it's a hundred percent -- if a pill decreases your hemoglobin A1C by one point, it gets approved. We've seen patients have decreased in hemoglobin A1C of four or five points to the normal range. I think together communities can say, we're going to eliminate Type II diabetes. And Kaiser has been a star at this. They've been a star at making sure that every patient that comes in -- when you go to the dermatologist at Kaiser and you check in, they say to you, ""Mr. Feinberg, we notice you haven't had your colonoscopy. Can we get that scheduled for you?"" They're closing care gaps on every single patient so these primary preventions are saving millions of lives. And they’ve published. Now, the question that Shannon says, are these just pilots, and can they scale? I got news for you. People call us, people call Kaiser every day. About 10 or 12years ago, we did the first heart surgery with a warranty. The New York Times said if you had a -- the New York Times called it a warranty. If you had an infection or got readmitted, we didn't charge you extra money. Hey, guess what? Bundles -- and we can debate whether they're good or bad -- have now spread across the country. So I believe health care reform begins with the docs, the nurses, the patients, the moms, the brothers and sisters, the communities coming together, taking care of one another, scaling these great ideas and making sure that every patient gets the exact kind of care that you'd want for everyone in your family. Thank you very much."
for,"and Robert Pearl, who are arguing for the motion. They’re saying that, yes, there are reforms in place, but they cannot make the system work. The costs are out of control, too much emphasis still on paying fee-for-service. They don’t think that the islands of excellence, which both sides concede are out there, can stand up to the overwhelming sea of mediocrity. They don’t think that these things are ultimately scalable. They think also the government does need to get involved in some of this. But basically, their position is that metaphorically, the system is so sick right now that it will not yield to a couple of penicillin pills. The team arguing against the most, Zeke Emanuel and David Feinberg, they concede also that in fact the system is broken, but they say it’s not terminally broken. They are pointing to numerous points of light. They’ve talked about palliative care, various technological advances. They’re saying we are sick, but we are not terminally sick. They say there are thousands of examples of things that are working and that these can be scaled given behavioral change on the parts of stakeholders in the system, and they think that those behavioral changes can be brought about. Basically, they are saying that the solutions for the future, which probably both sides agree upon, in the end game they’re saying that those solutions for the future are already baked into the present -- a rather radical forecast from Zeke Emanuel that he thinks we’re going to be in very decent shape in the year 2030. I want to take the argument to the side arguing for the motion and start with you, Your opponents taking issue with your argument that the points of light, the islands of excellence cannot be scaled, and they are saying sure they can. Argue that point with them. Well, you know, I’ve been around a long time and reporting on healthcare for a long time when I was a reporter, back when I was a reporter. And we’ve seen periods of ferment in healthcare before, and each time there are these incredible points of light, and I don’t argue them at all. They are fantastic, and there are a lot of them. But somehow, the existing legacy players somehow manage to beat it back. Why is this time different?"
against,"So I think let’s look at the mid-90s, we had a big push to control healthcare costs after the failure of the Clinton healthcare reform, and it was managed care, and it basically was 1-800-justsayno. And the public did revolt against that and did want more choice and not drive-through deliveries. And the consequence was we got rid of any management, and cost did go up. Now we have a different problem. Now the problem the public is upset about is affordability, it is the inefficiency and unnecessary care of the system, and the public -- the various people who can control the system are responding. We do have very powerful -- I know that they dismiss them -- but they agree that bundled payments are making the system more efficient, and we have to get the per-unit cost down. There are many ways to do that, shared decision -- I’m explaining it. You have the public that is pushing, you have employers that are pushing and you have changes in policy throughout the system. Not just -- not just in Medicare, Medicaid, but also in the private sector through employers and through insurers. And that push, altogether, is going to drive the system. And we have something else that we didn’t have back then. We have data. We now have an electronic health record, as clunky as it is and tough as it is. We now have data to help make these decisions that we didn’t have in the 90‘s."
for,"Yeah. So a couple of things. First, in terms of bundled payments, what does the data show? Bundled payments work very nicely to lower your price. What have we seen? We’ve seen two things. Physicians doing more total joints now, and on spine surgeries that are more complex, the cost increase for the complexity that has been put in place in response is more than the dollars that have been saved -- in an article published this month, Zeke -- published this month on the outcomes. But I want to address something that David said, which is, he’s absolutely right. We have places like Geisinger and Kaiser and Mayo that do things very well. They’ve been at it for a hundred years, Mayo -- over a hundred years, 70 years. The question is, how do you take a broken fee-for-service system, a 19th century cottage industry with doctors scattered across the community, small hospitals in every town, and now put that together into a Geisinger or Kaiser? We believe that that’s not going to happen without major force. Dr. Ezekiel Emanuel Let me cite -- let me cite Kaiser Mid-Atlantic, just to the former CEO of Kaiser Northern California. He knows this well. Kaiser went into Washington, D.C., Virginia, and Maryland. And like many times before it wasn't going well. And it almost went bankrupt in 2007 and 2008. And then it got a very important leader, instituted the Kaiser practices correctly, and now it's the most popular health system in Washington, D.C. It's keeping costs down, quality up, and its enrollment has gone from -- gone up by 50 percent from about 400,000 a few years ago to 600,000. It's a five star Medicare plan. His case himself shows that you can --"
against,-- transform the -- -- far away from home.
