side,script
for,"I'm eager. Do you think that's provocative? Well, I think provoking people and ridicule and satire is incredibly important in the world today. Nothing should be above ridicule because it gets people to think and least of all, religion. Michael Shermer. Well, I'd be happy to talk to her about it for you if you like, but --John Donvan: She passed on, which I think would go to the other side. Well, I was a born-again Evangelical. I went knocking on doors to doors to tell people about Jesus. And then later when I became a born-again atheist, I went back to those same houses and knocked on their doors… I was wrong."
against,"Well, I think science is a -- can be a tool to help us understand God. And so far from science refuting God, I see science as a wonderful instrument for helping us learn about the world and thus learning about its creator. My partner is Ian Hutchinson. Well, I guess that is the question, isn't it? But most seriously, I am a scientist, and I'm also a Christian. I think both are very important parts of the way that we understand the world. And I think that's why this debate is so important."
for,"Yeah, you bet. You can take all the time you want. Thank you. I actually wore this t-shirt for the subject of the debate. And it's the center of the debate. And it's clear. The motion is science refutes God. And Michael and I have the distinct advantage here of arguing in favor of the motion because in fact we have evidence, reason, logic, rationality, and empirical methods on our side, whereas the opponents have vague hopes and fears, and they're arguing in favor of a motion that's hanging on for its existence by mere shreds of emotional and ideological spaghetti, much like this type provided by the flying spaghetti monster, one of the equally irrational gods which science provides no support for. But I first want to begin by clarifying the nature of the motion, because the motion isn't science disproves God. It's science Refutes God. And that's very important because you can't disprove a notion that's basically vague and unfalsifiable. I could not -- there's no way to disprove the notion that God didn't create all of us 15 seconds ago with the memories of the amusing comments we heard before that. There's no way we can disprove that, okay. And that's really important to recognize that those kind of unfalsifiable notions are unfalsifiable, as I say. But we can ask, is it rational to expect that that's likely. And tonight I want to emphasize that 500 years of science have demonstrated that God, that vague notion, is not likely. It's irrational to believe in God. Now, to refute God means refuting several claims. Onethat are all based on faith, not evidence. One, that God is necessary, two, that there is evidence for God; and three, that that belief is rational. And the point is that the progress of science has shown over and over and over again that the answers to all those three questions are no. No, no, no. Now, my own scientific field is cosmology. And that's the study of the origin and evolution of the universe as a whole. And it's where science and religion sort of confront each other. And creation myths have abounded throughout human history, and science confronts those creation myths. And we'll talk about that, I'm sure, at some point in the debate. But I want to point out that our opponents, I'm pretty sure, aregoing to argue first that one aspect of science that supports perhaps the belief in God is this notion that the universe is apparently fine-tuned for life. I hear that a lot, and because it was fine-tuned so life could exist. That is a remarkable and, in fact, cosmic misunderstanding, because it's the same kind of misunderstanding that led people to believe in special creation for life on earth before Darwin. It looked like everything was designed for the environment in which it lived. But what Darwin showed us was that a simple proposition, namely that there's genetic variation among a population combined with natural selection meant that you didn't need supernatural shenanigans, that in fact all the diversity of life on earth could arise from a single life form, by natural law. And he didn't know -- what he showed was it was plausible, based on the evidence -- he didn't know about DNA. He didn't know about the details of genetic replication, but he showed it was plausible. And as I'll say, that's where we're at now as far as the understanding of the universe is concerned. Now, our -- my opponents, I suspect, will argue the universe is equally fine-tuned for life, and they -- in fact, they will point out that certain fundamental parameters in nature, if they were different, we couldn't exist. Or they may boldly assert that, in fact, certain of these parameters are so strange and unnatural that they must have been established with malice aforethought to ensure our existence. This too is an illusion. Just as bees need to see the color of flowers but they're not designed to do it, if they couldn't see them, they couldn't get the nectar and reproduce. So what we're seeing is a version of cosmic natural selection. We would be quite surprised to find ourselves living in a universe in which we couldn't live. In fact, that might be evidence for God. But I want to point out that in fact the universe isn't particularly fine-tuned or conducive to life. Most of the universe is rather inhospitable to life. And in fact -- perhaps the biggest fine-tuning problem in my own field of cosmology, something I'm, in fact, very proud to have proposed in a sense is that the energy of empty space is not zero. The weirdest thing you can imagine, that empty space weighs something, but remarkably the energy of empty space is 120 orders of magnitude smaller than we would naïvely predict. And if it were much bigger than we measure, it's true that galaxies couldn't form, and planets couldn't form, and Intelligence Squared Debates couldn't happen. So theuniverse appears to be here because Intelligence Squared is here. Now, that suggests religion perhaps, but the point is not that that claim of fine tuning is ridiculous because, in fact, if the energy of empty space was zero, which is a -- by far a more natural value, the universe would be a better place for life to live in. We all thought it was zero when I was a graduate student, because that was a natural value. If it was zero, the universe would be a better place. In fact, you can show the value that it has now makes the universe the worst of all possible universes to live in for the future of life. So, so much for a universe created for us. Now, once Darwin had removed the apparent need for God in evolution of life, the last bastion for God was the creation of the universe, how you can get something from nothing. And what -- we're in a remarkable situation of being in is precisely the same situation that Darwin existed in 150 years ago, namely, we have a plausible explanation of how a universe could precisely come from nothing. If you asked, ""What would be the characteristics of the universe that came from nothing by natural laws?"" it would be precisely the characteristics of the universe we observe, and it didn't have to be that way. It could have been another way. And by nothing -- and it -- the -- my opponents will say that by nothing, I'm not talking about nothing, but I'm talking about nothing, no particles, no radiation, no space, no time, and even no laws of physics. Our -- my opponents might argue that the multiverse, which our universe might have spontaneously been created in, was created by physicists because they don't like God, because it's eternal and exists outside our universe, those same characteristics that God is supposed to have. But it wasn't created because we don't like God, although I don't like God. It was -- we'd been driven to it by measurements. In fact, I don't even like the multiverse, but I've learned to force my beliefs to conform to the evidence of reality. That's where science differs from religion. There do remain deep philosophical and seismic questions that are unanswered, but God is not required or useful to explain any of them. And, therefore, to conclude, science has taught us that we don't need God to create a universe, that there's no evidence for God, that the specific sides of the claims of those who require God disagree with empirical evidence, and it's irrational. Science refutes God, so clearly you should vote for our side. Thank you."
against,"Thank you for the opportunity to be with you tonight and to explain why science does not refute God. Let's agree that this motion is not about whether, for example, the latest sociological theories disprove the gods and goddesses of ancient Greek mythology. No, it's about whether modern natural science exemplified by things like physics, chemistry, biology, geology, and so on rule out thoughtful theism. The god I'm going to discuss is the God of Christianity, because I'm a follower of Jesus, but my side's job is not to convince you of the truth of Christianity, although I think it is true. Our job is just to show that Christianity's God is not refuted by science. Now, obviously there are some religious beliefs that are ruled out by science, for example, the belief that the earth is stationary and orbited by the sun, moon, and stars. That is disproved by science, and perhaps prior to the 17th century, most Christians held a belief like that, as did most other people. But that stationary earth belief is not in the least central to the Christian message and doctrine. To establish the motion, what our opponents have to do is to show that some central tenet of what Christians believe about God is impossible or at least highly implausible in the light of science, and that's a tall order. Actually, they can't even come close. But let me dispense with a couple of the most plausible sounding arguments. I'll illustrate one common argument from the writing of an MIT colleague, Alan Lightman, who wrote in the Salon magazine last year, he said, ""The central doctrine of science is the view that the laws of nature are inviolable."" He said, ""Science and God are compatible as long as the latter, God, is content to stand on the sidelines once the universe has begun."" Now, I certainly shall not shrink the God that I advocate down into a deistic, non-interventionist first cause. No, the God I'm interested in is personal and active in the world. So the question is, ""How do I answer Alan Lightman?"" It's straight forward. The presumption that the laws of nature are inviolable is just not a doctrine of science. Alan and a lot of other people are just wrong about that. Science's method and its programis to describe the universe insofar as it is repeatable and follows universal laws, but science hasn't got the slightest need to extrapolate that method and program into a presumption that everything that happens must be so describable. And the majority of the scientific heroes of history did not make that presumption. Great scientists like those that were recited before, Newton, Boyle, Dalton, Faraday, Maxwell, were Christian believers who saw their science as compatible with a God who is active in the world and, on occasion, works miracles that go beyond the laws that they were discovering. So the notion that for science to function, or in order to be a successful scientist, it is necessary to believe in universal laws, is indisputably disproved by history. A second frequent critique of belief in God is that it is based on irrational faith rather than evidence. And this, of course, is a fallacy. Belief in God is often highly rational. The universities that were established between, say, the 14th and the 18th centuries, were places of explicitly religious rationality and learning. Actually, evidence is just one type of reason for belief in God, and there is a loss of evidence for Christianity. But what the critics mean, I think, is -- they're saying there's no scientific evidence for God. And that goes to the heart of this question and the myth that science has somehow refuted God. Actually, there are some things we've learned about the universe through science that are highly suggestive of a creator, but for the sake of argument, suppose that the scientific evidence for God were non-existent. Would that mean that science refutes God, or would it even mean and support the more modest claim that there's no evidence for God? Not at all. God is mostly not a scientific question, and so the evidence for God is mostly not scientific. If you insist that scientific evidence is the only type you will count, then you put out of business not just religion, but a vast range of other human knowledge, like history, or the law, or politics, or philosophy, or literature. There's no scientific way to prove that Caesar crossed the Rubicon; there's no scientific way to judge the justice of a verdict; there isn't even a scientific way to detect a true thought. But all of these things are real cognitive questions whose answers are important and often indisputable. And questions about God are usually of the same type, not scientific. About 50 years ago, Yuri Gagarin became the first human in space. Soviet President Nikita Khrushchev told the Communist Party, anti-religionist, ""Gagarin flew into space but he didn't find any God there."" Well, what a silly argument. But most of thearguments behind the view that science has refuted God are of much the same type. If science, in its endeavors, fails to detect God, so what? Thoughtful Christians don't believe that God is a natural phenomenon or a law of nature to be established by scientific investigation. Science, for all of its power, is utterly incompetent to refute God."
for,"Thank you. Thank you. I'm going to start off with a thought experiment. Imagine you're a hominid on the plains of Africa 3.5 million years ago. You're a tiny little Australopithecus afarensis, little brain. Your name is Lucy. Thank you. A lot of people in the Midwest don't get that. Evolution, what? Not that Lucy, the other one. And you hear a rustle in the grass. Is it a dangerous predator, or is it just the wind? If you think that the rustle in the grass is a dangerous predator, and it turns out it's just the wind, you've made a type one error in cognition. A false positive. You thought the wind was connected to something, and it wasn't. A was connected to B, and it wasn't. So that's a false positive. But that's relatively harmless. But if you think that the rustle in the grass is just the wind, and it turns out it's a dangerous predator, you're lunch. Congratulations. You've just been given a Darwin award for taking yourself out of the gene pool early before reproducing. And we are the descendants of those who are most likely to make type one errors, false-positives, versus type two errors, false-negatives. That is to say, why can't you juststay in the grass and collect enough data to get the answer right? And the answer is that predators don't wait around for prey animals to collect more data. That's why they stalk and sneak up on their prey animals, so they can't get enough data. So we evolve the propensity to make snap decisions and make one kind of error more likely than another kind of error. And that kind of error, that false positive, that's superstition. That's magical thinking. That's assuming A is connected to B. It's a true pattern, and it isn't, and you're wrong. That's the basis of finding false patterns like gods. Now, what's the difference between the wind and a dangerous predator? The wind is an inanimate force. A dangerous predator is an intentional agent. And his intention is to eat me, and that can't be good. So what we also do in addition to finding these meaningful patterns is infuse in them agency. That is, it's alive. It's real, it has intention, and its intention is not good, so I better assume it's real. And this is the basis of animism and spiritism and polytheism and monotheism and the belief in angels and aliens and demons and spirits and poltergeists and gods. Gods are invisible agents who run the world, who control things, who create these patterns, who are these patterns that we use to explain things. All cultures everywhere in the world have created god beliefs. Gods with these intentional -- that are intentional agents. So my question tonight is not like in my book, why do so many people believe in God, here is a theory, which I just outlined for you. But for tonight, I want to ask, what's more likely, that our opponents here happen to pick the right God and the right religion among all the -- about 10,000 different religions and about a thousand different gods the humans have constructed socially, anthropologically, psychologically in the last 10,000 years. 10,000 different religions, a thousand different gods. Our opponents agree with us that 999 of those gods are false gods. They are atheists like we are atheists. What I'm asking you to do is just go one God further with us. So here's what happened. About 5,000 to 7,000 years ago, these small bands of hunter-gathers began to coalesce into chiefdoms and states. As long as the numbers are small, informal means of behavior control and moral enforcement operate quite well. As soon as the numbers are too large for these informal means, shunning, making people feel guilty, gossiping about them, making them feel embarrassed for their bad behavior, assoon as the population are big, there's too much opportunity for free riding and for cheating the system and taking advantage of it and getting away with it. So two institutions evolved, government to set up a set of rules, and everybody gets a copy; and religion in case you think you got away with it, you didn't because there's an eye in the sky that those all and sees all and keeps track of this. So this is the second part of how humans construct religions and gods, because we need it for moral enforcement. It just so happens, by contingency and chance, religion and government was the first on the scene. Now, what's happened in the last several centuries, since the enlightenment, in addition to the trajectory that professor Krauss outlined for you, science displacing religion as the primary means of explaining how the world works, something else has also happened. We've slowly but ineluctably replaced religion as the primary source of our morals and came up with the clever idea that you actually have to have a reason why you have certain moral principles, and we're going to write certain laws. You actually have to give evidence for why you think this is a good law or a bad law or a good moral principle or a bad moral principle. And that has been the trajectory of the enlightenment since about 200 years ago. And so again, what's more likely, that one of them happens to be the one true religion, and the one true God, and all those others that have been constructed are false gods or that, as we can clearly see, anthropologically, socially, psychologically and so on, this is what people do to get along. They construct religions. They construct moral systems and so on. We now know that we can do this without gods. In fact, we do it quite well without gods. Northern European countries do just fine with much lower rates of religiosity than we have. It is possible to do it, and that is what we've been doing. Now, I want to finish with just one comment on the resurrection since Ian brought that up. Let me just -- leaving aside the scientific evidence for this, just think about what it is that is being said here. They are monotheists. They believe that there's just one God and that Jesus is God manifest on earth. And he is your savior, and you accept him for redeeming us for sins we never committed. Somebody else in the past committed them. So as I understand this, God sacrifices himself to himself to save us from himself. If that sounds as incomprehensible to you as it does to me, I urge to you vote for our side. Thank you."
against,"Thank you very much. How would one go about refuting the idea -- establishing the idea that science refutes God? First of all, you'd have to show that belief in God was, if not impossible, unreasonable. And, therefore, you'd have to show that all the people in the world who believe in God are also being unreasonable and that science has established this not at some point in the future, but has established it already. Science has refuted God right now. Now, on the face of it, this is such an odd and difficult and preposterous enterprise. Why? Because actually the questions to which God is the answer are really fundamentally not scientific questions. Here is what I mean. Here we are as human beings. We're thrown into the world. And we can't help if we're curious, if we're thoughtful to say, first of all, why is there a universe? Second, what's our purpose? What are we doing here? Third, what's going to come after? We're going to die, but what next? Now I ask you, what are the scientific answers to those questions? And in fact, the answers are, from science, don't have a clue, don't have a clue, and don't have a clue. Why? Because none of those questions is amenable to being decided empirically. Science can show how we got a universe but not why. On the question of what our purpose is here, science is completely silent. Moral issues are in a way outside the province of science. Why? Because science deals with what is, and morality is what ought to be. And finally, under the question of what comes after death, what possible empirical evidence can science provide on either side of that question? So because science is in no position to refute God, what we get from the other side is pop psychology. And we've been getting pop psychology from atheists for several hundred years. It's an effort to explain why people believe instead of providing any kind of a real refutation. You remember a few decades ago Freud basically said that God and religion could bedismissed as wishful thinking, ""We wish for a better world and so we make one up."" Well, that would kind of explain Heaven which satisfies wishful thinking, but it really wouldn't explain why major religions have invented Hell. Who would wish for that? Hell is a lot worse than diabetes or the suffering we have in this life. And then you've heard here people like Richard Dawkins say, ""Well, belief in God depends on where you're born. If you're born in Afghanistan you're going to be a Muslim. If you're born in Tulsa, Oklahoma, you're likely to be a Christian."" Michael Shermer alluded to that a little bit when he talked about multiple gods. But the sociology of the origin of belief says nothing about the truth of a belief. I'm sure that people who are born in Oxford, England, are most likely to believe in Darwin's theory of evolution than people who are born in Oxford, Mississippi. I'm sure people who are born in New York are more likely to believe in relativity than people who are born in New Guinea. What does that say about whether evolution or relativity is true? Nothing. The genesis of a belief, how you came to it, has nothing to do with whether or not that belief can be sustained as a matter of argument. The reality is, and we keep hearing a lot about Darwin because the last good argument against God came out in 1850 -- in the 1850s, science has made a whole bunch of discoveries since then but they point in the opposite direction. And, therefore, what you find very often from atheists is now highly complicated defensive maneuvers to account for things that atheists resisted all the way. When the discovery of the big bang came -- this, by the way, was at a time when most scientists believed the universe was eternal, the steady state universe was the prevailing doctrine of American and Western science -- so it came as a shock that the universe had a beginning. Why? Because, in a way, it wasn't just that matter had a beginning, but space and time also had a beginning. In other words, this was something that the ancient Hebrews had said thousands of years ago and without conducting a single scientific experiment. By the way, this is not the same as other cosmologies. Other ancient cosmologies posited the universe being fashioned by a kind of carpenter god who made it out of some preexisting stuff, but the ancient Hebrews said, ""No, first there was nothing, and then there was a universe."" By the way, that's almost identical to what Lawrence Krauss said, ""First, there was nothing, no particles, no energy, no laws, and then there was the universe,"" completely consistent to what -- with what Christians believe, and exactly said by the ancient Hebrews thousands of years ago without doing a single experiment but solely on thebasis of, ""God told us."" And the astounding fact is that 2,000 years later, modern science, after climbing round and round the mountain, has arrived at the top only to find a bunch of theologians who have been sitting there for centuries. Now, the fine-tuned universe is -- has become now a tremendous embarrassment to atheism. Why? Because ultimately it shows that the laws and constants of nature are fine-tuned, not only for the existence of life, but specifically for human life. I want to note that this is an argument completely immune to Darwinian attack. This is not about whether the horse, the dog, and the wolf had a common ancestor. Let's remember that evolution, powerful theory as it is, is not a theory of life. It is only a theory of transitions between life forms. It's not about the origin of life, it's simply about how life form A gave rise to life form B. And the fact is that there have to be certain conditions, self-replicating cells, an old universe, an old earth that are necessary for evolution to take place. In other words, the fine-tuned universe is a precondition of Darwinian evolution itself. We are living at a time when religious believers do not need to be afraid of science; they should, as I do, embrace science and welcome science because correctly understood, far from pointing away from God, science thrillingly points to God. Thank you. So what we call the laws of physics, from a Christian point of view, are the way that God normally orders the universe. It's the normal behavior of things around about us. And Boyle, who was one of the founders of the Royal Society, wrote a whole a book about what nature is, and what he advocated was that what we mean or should mean by ""nature,"" is the normal course of events. Now, of course, miracles are not the normal course of events. And, by the way, it didn't take science to tell us that; you know, people in the first century knew that people don't rise from the dead when they've been hung on crosses, and people knew that women don't bear children unless, well, you know what. You know, this is not something that modern science has been necessary to tell us. So, yes, miracles are abnormal events; usually, abnormal --"
for,"That's ridiculous. In fact, it's ridiculous to the science that you do. When you do science, you're presuming that the results of an experiment in your laboratory apply in another laboratory. The fundamental claim that -- if you just -- miracles in your particular religion -- it's kind of remarkable that these violations of the laws of nature only occurred before video cameras and Intelligence Squared and the internet, and that you have these remarkable violations of the laws of nature in a book, which I was really surprised to hear Dinesh call a scientific document, the bible. I hope he really didn't mean that. St. Augustine would be very upset with you, because he said the Bible wasn't scientific. But these violations of the law of nature -- laws of nature only occurred at a time when there was no evidence for them -- And you believe them. Our logic is determined by nature, not by what we'd like. And nature has told us that miracles don't happen. That's it. It's not what I want or what I think should be rational. It's, do they happen? And there's no evidence that they've ever happened.John Donvan: Dinesh D'Souza."
against,"I think we have here a deep fallacy. And the fact that it remains a fallacy shows that what is being called science is actually hiding behind a philosophical principle. It was the philosopher Hume who pointed out 200 years ago that from no amount of empirical generalizations, however large, can you draw a general law that is true as a matter of logic. What I mean is, it doesn't matter how often you measure something. Let's say you measure the speed at which this pen falls down. You can measure it a million times. But you don't know that on a star ten light years away or in some other condition where you haven't measured it, that if you drop this pen, it will fall at the same speed. Science presumes it. It doesn't prove --"
for,We measure. I'm sorry. We measure it.
against,"Let me finish it. Right. But you can't measure it always and everywhere. And you haven't measured it 10,000 years ago. You're assuming that --"
