side,script,round
for,Okay.,
for,Right.,
for,Been changed.,
for,Right.,
for,"And, but -- and there's a reason for --",
for,Right.Philip Gourevitch: -- that you think that they -- that they said that we should.,
for,"Not all of them, yeah. No. I think in answering in terms, I think more descriptive of actually what we're doing, more limited description of what counterterrorism efforts and procedures actually are. There's a difference between counterterrorism efforts and actions and war. And it's –",
for,-- be descriptive in that sense.,
for,"Well, then that's my -- I viewed the war on terror as so expansive and defining so many authorities, including a commander in chief by all -- any means necessary to protect us. That explains a 10-year or eight-year trajectory. I'm not going back to say, oh, look how horrible they are. I'm going back to say, that's what the war on terror was. Aren't we glad that we have moved away from that? They moved away from it. We moved away from it.",
against,"I talked about one dimension of expansiveness. You know, war on terror, whatever the rhetoric was, it was war on al-Qaeda and its affiliates. I'm sorry to repeat myself. I did not have the authority to do against Hezbollah and other terrorist organizations who are unaffiliated with al-Qaeda and not responsible for the attack of 9/11, the authorities I had to deal with this well, clearly defined enemy. So the expansiveness in that dimension wasn't expansive. In addition, the expansiveness in this direction, what is it you could do against this enemy force, was controlled by U.S. law, by the Constitution. On our site, we're hoping to extend these conversations in both directions. We're going to run pieces, articles to help frame the subjects in advance; and we want to continue the conversation after the event is over. This isn't the only debate we'll be covering, but we have a reporter here tonight in case you want to read tomorrow and read a journalist's take on what took place. I should say we've had a terrific time already working with Bob, with Dana Wolfe and their amazing team to help craft the propositions for the fall season; and we hope we've got a roster of ones that will prove both urgent and engaging. So the subject we're starting out with tonight, which Bob framed extremely well, couldn't be more vital in its importance to the city of New York, to the country and to the world. So I don't want to delay it any further. I will turn it over to get things under way. It's my privilege to give you John Donvan.",
for,"Well, are going to have to reduce the number of people in our Intelligence apparatus. We are going to have to reduce the number of people, if we are going to draw down in Afghanistan and Iraq, and by saying that the War on Terror is over, that’s going to help those decisions.",
against,No,
for,I do.,
for,"Thank you. First of all, Juliette and I wanted to acknowledge the three and a half decades of public service that General Hayden has done and also Richard Falkenrath's more than a decade of public service. I also wanted to acknowledge Juliette Kayyem's decade and a half of public service where she became the highest ranking Arab-American in the Obama administration, the assistant secretary to the Department of Homeland Security. She also had three kids that she raised at the same time, putting home into Homeland Security in a meaningful sense -- -- and is one of the world's leading experts on the question of homeland security. My own connection to the story came when the Trade Center was bombed for the first time in '93. I traveled to Afghanistan, produced a documentary about the threat we face from Afghanistan and then, of course, interviewed bin Laden. I've written three books on the subject of Al-Qaeda. I've embedded with our troops on multiple occasions in Iraq and Afghanistan. From a self-interested point of view, I have every incentive to say the threat that Al-Qaeda and terrorism poses to us remains very serious. And it merits on open-ended conflict against them; but in good conscience, I simply can't make that argument. War is no longer the most appropriate way to look at the problems we face today. Our singular focus on terrorism also masks many more pressing problems. Our crumbling infrastructure, our decaying schools, deeply serious economic problems. Another national security problem is managing the future of the Arab Spring, for instance; preventing nuclear war between Pakistan and India; preventing a nuclear war between North Korea and South Korea; managing the rise of China which, while we’ve been distracted by the War on Terror, has quietly expanded its influence in Africa and in Southeast Asia. Our opponents want to prolong the War on Terror, an open-ended conflict against a tactic that is already America's longest war. We're saying it's time for war to end. President Obama correctly redefined this conflict downwards from a global open-ended conflict against the tactic to the more precise formulation of a war against Al-Qaeda and its allies, which both names the enemy and narrows the focus of the conflict. When we say it's time for the War on Terror to end, we don't mean we should precipitously pull out of Afghanistan, but we do mean that it's time to stop conceiving our principle national security goal as the defeat of terrorists when putting, for instance, our own economic house in order will do far more to prepare us for the next real war we'll inevitably face at some point in the future. The War on Terror, as everybody in the audience knows, has caused the American public at least a trillion dollars in expenditure and wars around the world and, of course, got us into the catastrophic Iraq War; further trillions on our -- both our Intelligence and Homeland National Security apparatus resulted in policies such as coercive interrogations and extraordinary renditions.And you'll hear from my partner that the government has for years anyway moved away from the War on Terror and what it entails, not because there was no threat. We're not claiming that at all but because the threat has changed and has adapted and so we must -- we as well. Key American National Security officials now say that Al-Qaeda's on its last leg. John Brennan, who, of course, is President Obama's chief counterterrorism adviser, said that just last week. Leon Panetta said that the strategic defeat of Al-Qaeda is within sight. General David Petraeus has made the same sort of comments recently. None of these gentlemen can be considered to be defeatist or soft on terrorism. So is this premature triumphalism the claim that Al-Qaeda is on its last legs? Well, I think the claim is well-justified. I mean, the leadership of Al-Qaeda's been completely decimated in the campaign of drone attacks. The most dangerous job in the world right now has been Al-Qaeda's number two. There have been about 20 of them since 2008, including most recently, the group's number two out here, Atiyah Abd al-Rahman, who was killed just a few weeks -- just about a week ago. Al-Qaeda hasn't carried out a successful attack in the West since the 7/7 attacks in London six years ago. Al-Qaeda hasn't killed a single American in the United States since 9/11. And think about the real wars we've really confronted. The Civil War threatened to tear this country apart. World War II, we defeated an enemy that instigated a global conflict to kill tens of millions, and if the Cold War had ended with a bang instead of whimper, we'd all be not in this debate because we'd all be dead. Those are serious threats. The War on Terror -- the threat we faced from Al-Qaeda doesn't come close; and in fact, only 17 Americans have died as a result of Al-Qaeda's ideological ideas in this country, 13 of them, of course, at Fort Hood and others in other places. More Americans accidentally die in their own bathtubs every year by considerable numbers around 300, and we don't have an unreasonable fear of bathtubs; so we shouldn't have an unreasonable fear of Al-Qaeda. And by terrorism , we're terrified, by the way, of course, and we're doing the job of the terrorist for them if we live in this state of constant fear that our opponents wish us to live in. And everybody in the audience knows very well that the threat from terrorism is actuallydramatically receded in the years since the 9/11 attacks; and that's in part because Al-Qaeda and bin Laden have been losing the war of ideas in the Muslim world for years. Their founder and leader was killed, as you know, in Abbottabad on the evening of May 1st. In the Arab Spring, there's not a single revolutionary who's carrying a single picture of Osama bin laden. Bin Laden's ideas have been completely absent from the Arab Spring. There hasn't been a single flag burning in the Arab Spring of an American flag or even an Israeli flag; so bin Laden's foot soldiers, ideas and leadership are simply absent from this enormously important phenomenon in the Arab world. Our opponents may claim that we're still threatened by terrorists armed with weapons of mass destruction. This claim, of course, follows simply the disastrous war in Iraq; and in fact, the 188 jihadi terrorist cases in this country since 9/11, not a single one of them involved chemical, biological, radiological and nuclear weapons. We will no doubt hear from our opponents that to argue the War on Terrorism is overly soft or unrealistic or weak -- and they make claim that, at some point, we will decide we no longer need to define it as a War on Terror, but we aren't there yet. I would submit to you in the audience, if the death of the founder and leader of Al-Qaeda isn't the point where we can say the War on Terror is over and then add to that the destruction of almost its entire top leadership, its absence in the revolutions across the Middle East, its inability to mount any kind of attack on the United States for a decade isn't the point to end the War on Terror, when will that point be? We say it's now.",1.0
against,"I do? John Donvan:-- and that Pittsburgh returned the affection by naming a highway, a stretch of highway after you. Actually, it's a street right next to Heinz Field; and the first question I asked was ""Can I park there during football games?"" Take the grandkids -- Thank you. Well, good evening. Thanks for the opportunity to talk about such an important topic, and it really is an important topic. It's not something that we should just decide idly. It's not something we should decide because we're really in a celebratory mood. When I -- when I talk to audiences about the War on Terror, I generally refer to a speech I gave at the German Embassy in the spring of 2007. The Germans were in the chair of the European Union, and the German ambassador would have the ambassadors to the United States from the European Union over for lunch about every two weeks and would have an American come in to kind of be the lunchtime entertainment, and it was my turn. I decided that the German ambassador was a good friend, and he deserved a good speech; and I decided I would talk to the European Union delegates about renditions, detentions and interrogations that were being conducted by the CIA at that time. About page two or three of that speech, I wanted to make very clear to my audience what I thought, what my agency thought and what I think my nation thought. And I gave them four sentences. ""We believe we are a nation at war."" ""We are at war with Al-Qaeda and its affiliates"" -- the description that Peter just gave and that President Obama emphasized that reflected what we were thinking several years earlier. ""A nation at war""; ""At war with Al-Qaeda and its affiliates""; ""This war is global in scope""; and ""We can only fulfill our moral and ethical responsibilities to you, the citizens of this republic, by taking this fight to this enemy wherever he may be."" George Tenet was the DCI, the Director of Central Intelligence. In 1999, sent a note out to all of us in the Intelligence community, saying ""We're at war with Al-Qaeda."" And George was but America wasn't. America went to war with Al-Qaeda shortly after the attacks on September 11, 2001. Two successive American presidents have defined us as being at war with Al-Qaeda. The American Congress has defined us as being at war with Al-Qaeda; and the American court system, only a few blocks from here, has defined us as being at war with Al-Qaeda when a defendant, attempting to claim he had been denied his right to a speedy trial because he had been in detention for several years, his claim was rejected by the court, saying we, as a nation at war, had a right to detain him as a combatant. Now, we could discuss troop levels in Iraq, the rate of withdrawal from Afghanistan, a whole bunch of other details about this war, but that's not the point I think Rich and I want to make. The point we want to make is the legal construct -- the legal belief that we are a nation at war; that we are a nation in conflict; and we have a right, because we are in that status, to use the legal tools and the legal authorities that a nation at war is allowed to use. What it is we're supporting is to keep all available tools on the table -- to keep a menu of options from law enforcement, diplomacy, or to arm conflict in order to keep you safe. I would also add -- and I really want to emphasis this -- that conceiving yourself at war in addition to whatever it is you might do in a law enforcement channel is not somehow lawless. It is perfectly lawful. It is a different lawful approach than a law enforcement approach, but it is consistent with the laws of armed conflict that we have a right to resort to in order to defend ourselves. I assume everyone here is happy that Osama bin Laden was killed on the morning of the second of May in Pakistan. Let me give you -- thank you. Let me give you a slightly different description of that event. A heavily armed agent of the United States government was in a room with an unarmed man who was under indictment in the United States judicial system and was offering no significant resistance to the heavily armed agent of the United States government, and that heavily armed agent of the United States government killed him. If you do not think we are at war, there are some very troubling definitions that you might want to attach to that act. That's the kind of authority we have perfectly lawful -- and no way am I suggesting anyone acted inappropriately. We acted perfectly lawfully because we are a nation at war and generally recognized as such. You don't want to take those tools off the table while there are terrorists out there. If you let this tool go, you will be less safe. Okay. If you look at the scope of our constitutional system, the law enforcement approach is designed, if you look at the constitution, the Bill of Rights and the American statutory law, the law enforcement approach is designed to make the government weak because we don't want the government arbitrarily taking away your liberties. On the other hand, if you look at those sections of the Constitution that deal with armed conflict, they're designed to make the government strong so that it can protect you. You don't want to take that tool off the table. And quite perversely, if you take that tool off the table, you may actually threaten your own civil liberties. Bear with me. There's a tight connection here. If the options of a nation at war are taken away from your tool kit, you must then rely on the options offered by law enforcement. If you recall the events in -- on Christmas day a year or two ago, Detroit, Umar Farouk Abdulmutallab, the ""Underwear Bomber"" -- and he was Mirandized after about 50 minutes of interrogation, and I think everyone recognized that was probably a mistake. We should have interrogated him further. We had the attorney general talking to the American Congress about legislation that would make Miranda more malleable so that we could interrogate these kinds of people longer in our law enforcement approach. I don't want to make Miranda more malleable. Miranda defends me. Defends you. Defends your rights. And we're forced to contort the law enforcement approach when we attempt to make it answer and deal with questions it was never designed to deal with. This is one of those questions. Don't take that other tool, ""We are a nation of war"" off the table. Thank you.",1.0
