side,script,round
for,"Well ladies and gentlemen, it’s a great pleasure to be here with you, this is a fascinating topic at this particular moment in American history. And I would’ve thought maybe that people were tired of it by now but I can see that that is obviously not the case. Now as the chairman said, in fact I don’t think this— you can decide that question other than in the context of what it—whether or not you’re going to succeed, other than in the context of what American policy is and what the stated foreign policy of the President of the United States is with regard to this question. That’s— I had the fortune or misfortune to go to any number of Army service schools, one of them was the Army War College, where they taught me a lot about the strategy of planning… itself, you started with the mission, national purpose, you have a policy, and then you devise a strategy from that. then you implement that strategy. That’s how it works. Now, last March I listened carefully when President Obama announced that our policy in Afghanistan was to disrupt, destroy, and disorganize our enemies, our specific enemies who were a danger to the United States. That’s a nice… clear policy, you know, it’s not too hard to understand that. And to that end, General Stanley McChrystal was put in command out there, and sent out to make what is called a commander’s estimate of the situation. Which he did, with a lot of help from various people for several months and it is now as you know, the object of great contention in the Washington world. And the problem with his estimate, I think, that is causing so much trouble, is that it is normal in an estimate of that kind for a commander to propose several options to his superior, among which the boss can choose. To present only one option, in this case the option of a large-scale counterinsurgency campaign, across all of the really hostile parts of Afghanistan in the context of their ruined, if ever alive economy, and their obviously rather feeble political system, is a daunting task. But somehow it has become-- what we would call an implied task for General McChrystal, that the pacification of large parts of Afghanistan and the most hostile places are in fact a necessary thing. And for that reason, he has opted for counterinsurgency. Now, I am happy to see so many members of my generation out here in the audience. There are usually too many young people for my taste. But— I started in the counterinsurgency business —in the church of the counterinsurgents, really. In 1964, if you can believe that, when the Army sent me down to Fort Bragg to study this subject with intensity and at the feet of the most learned French and British exponents of this theory of warfare which had been created as a result of the experience of the former colonial powers in World War II in fighting against the wars of national liberation as they were called then. And the Communists had gotten involved in all these wars so we were against all this as well, so we studied up on this in a big way, and one of the most interesting of the guys who taught from the stage there was a great, a great scholar named Bernard Fall. Bernard Fall. Some of you undoubtedly know who that is. And I remember watching him, I—of course I had no real idea who he was at the time but I remember him, watching him write—write on a blackboard on the stage, “Counterinsurgency equals political reform plus economic development plus counter-guerilla operations.” “Counterinsurgency equals political reform plus economic development plus counter-guerilla operations.” And that’s really all of it right there, that’s all of it in a nutshell. And it is in that context that when you look at Afghanistan, this huge place that’s the size of Texas with 35 million people of very disparate origins, many of them speaking languages that are not mutually intelligible, and who don’t like each other, a lot of them, very much, in fact you can see, that this is a very difficult thing to do. We tried applying this theory of warfare, counterinsurgency, across the world in the 1960s and ‘70s and ‘80s and I did it myself in South America, in East Africa and Southwest Asia and all kinds of places, and of course Vietnam, how could I forget that. And we found that in places where the task wasn’t too big, you know, the country wasn’t too big, the problems weren’t manageable one way or another, or people weren’t thoroughly converted to some ideology that demanded revolution, that you could do this, by enough good works and suppression of guerillas you could turn this around, and I could name places if we had time. In places that were eerily big and where none of those conditions applied, we—you could struggle like the devil but you wouldn’t get very far, you know. And I—this is the problem I have with the idea of the application of counterinsurgency, those three things, to Afghanistan, I know that was four things. In fact, I think that is too big a task for us. We have been fighting for eight years, Afghanistan is a huge place, it has terrible problems, economic ones, political ones. And the combat problem, from the point of view of a guy who fought in several wars like this including Vietnam, is really very difficult. And I would submit to you that if what we’re going to do as General McChrystal says, we’re going to try to protect the people, which means essentially, control the population because that’s what counterinsurgency is about, just like insurgency is about controlling the population either with positive means, or means not so positive, sometimes, you’re going to have to have a lotta troops to do this. I mean General McChrystal evidently wants 40,000 more people. Well I would say to you that that’s just the beginning. That’s how we started in Vietnam too. This is a big problem we’re facing in Afghanistan. And in fact, this slice of the pie will be followed by further slices of the pie. And my objection to all this is, and the reason why I don’t think we can win with a counterinsurgency strategy, is in fact because I think that, three or four years down the pike, if we apply that strategy, all you good people, and your fellow citizens across the country are going to look at this, going to say, are the Taliban, or whatever it is we’re calling the Taliban, are they really our enemies, in the sense that al-Qaeda was? Is this really what we want to do? And when that happens, I suspect that what’s going to happen is you’re going to tell your members of Congress that you’ve had enough of this, and then they will vote the end of the war as they did in Vietnam. So I don’t think we can do this, I don’t think we can do counterinsurgency in Afghanistan, there are other methods that could be applied, that would control the situation there over a long period of time, I don’t think we can withdraw altogether. But counterinsurgency in Afghanistan I find to be a very difficult idea. ",
for,"Thanks— Thank you, while I have a chance to pay tribute to my boss and colleague, Steve Coll, on the blogging front, Steve writes the blog “Think Tank” for The New Yorker, you should go check it out, I hope Steve writes about this. Steve was commended the other day by Senator John McCain at a forum in Washington. John McCain said to everyone go read Ghost Wars, and as it turns out Barack Obama’s been carrying a text of Ghost Wars around for about 11 months. I think it’s the most carried-around book that Obama has had, if he would just finish it we might get somewhere. I also want to take a moment to pay tribute to Kati Marton who’s a member of our board of directors and happens to be married to one Richard Holbrooke. Richard Holbrooke is in my view one of the most tenacious and effective results-deliverers in the global justice community. I put myself somewhat in the realist community, but I don’t—I generally criticize some of the goals of the global justice community, for not being able to set priorities, not being able to set plans, not being able to pursue things to their end. And Richard Holbrooke does do this. My problem, and why I’m on this side of the aisle from my friend and colleague Steve Coll, is that very few people in the Obama administration are like Richard Holbrooke, or can frame the debate in Pakistan and Afghanistan like Steve Coll just did. And this concerns me. If you speak to people of responsibility within an administration, clarity of objectives and how you’re going to get there, the game plan, being not only able to explain to the American public why we’re doing something, but to be able to create internal plans that help you execute consistent direction is vital. And that clarity of direction has not been in place and it wasn’t until the leak of General McChrystal’s report, in my view, that you began to see higher prioritization of the Afghanistan question. That is a lousy way to tell the world that we’re under good management in the United States. A few years ago I was in China. I went to see the equivalent of the policy planning staff in China, said what are you folks working on. And they said how to keep you guys distracted in small Middle Eastern countries. And as we’ve moved from the problems in Iraq, we now have moved to a problem in South Asia, and very often we talk about as Steve Coll did, the drama that envelops the South Asian region, the very important promise the United States has in possibly trying to achieve a new equilibrium there. But let me ask you all a question, how many of you look at China, whether you’re concerned about its security forces or indebtedness, as a major issue for the United States, just raise your quick hand. Okay, how— hands down. How many of you look at in the Middle East, what is unfolding with Iran, Iran’s nuclear intentions, as a significant, really giant hurdle for the United States. How many of you look at Russia, some of you look at Russia and what’s been unfolding in NATO as a major issue. Probably a fewer number, but they’re out there. ",1.0
against,"Thank you, it’s a great pleasure to be here tonight to argue about a subject that I think should concern us all and I’m very pleased that the American people are so closely engaged in this discussion that concerns the safety of the country, the safety of all of us, as well as the fates of many of my friends and I’m sure many of your sons and daughters and friends as well, so, it is well worth the time to invest in thinking hard about these questions and what it is we’re trying to accomplish in Afghanistan and Pakistan. Steve focused on why it is that we should succeed in Afghanistan and Pakistan, and talked to a certain extent about why it is possible for us to do so, that the situation is not as dire as perhaps has been presented. It is my task then to talk about part of the way we can succeed, part of the how. And I’d like to start off if I can by pointing out that, there has been an acceptance so far in this debate of what it is we’re trying to accomplish, of what success means. And success has been defined as a pretty minimal standard. An Afghanistan and a Pakistan that are not ruled by terrorists, a Pakistan that still has security over its nuclear arsenal. I would contend, that if we cannot as a nation achieve that success, if it is impossible for the United States to ensure that Pakistan retains control of its nuclear weapons from terrorists…that that is a very, very dire situation. And that’s why we have invested so much as a nation to date, and why I believe we need to invest even more, because the stakes are so very high, the consequences of failure are potentially so catastrophic. That’s the bad news. The good news is that we can in fact succeed in this endeavor. And this book tells us how. This is the Counterinsurgency Field Manual written under the direction of General Petraeus and General Jim Mattis. For those of you who didn’t bring it along, I’m not going to read the whole thing. But to quote from Chapter 5… the way to conduct a counterinsurgency campaign is to do a number of different things, to do them all well, to coordinate them together. Our opponents say that it is impossible for the United States to help our friends and our allies do this, I would disagree, I would say that it is enormously difficult, but that we have a learning army, a learning State Department, we have adapted and we have developed the capability to do this reasonably well. We have a number of extraordinarily talented people, continuing to try to help our Afghan partners. And they do it by conducting combat operations against our enemies. This is a component of counterinsurgency, this is the counterterrorism part, killing or capturing identified enemies of the government of Pakistan, the government of Afghanistan, and that happens and that will continue to happen, and we are in fact, getting far better at that. Training and equipping host nation security forces is an essential part of a lasting counterinsurgency strategy, and it is essential for us not to have to conduct counterterrorism forever. So, if you want at some point the United States to be able to depart from Afghanistan, then you have to support raising and training Afghan security forces who in time, will be able to secure their country on their own, something we have not done very well to date. We have to provide essential services to the population, water, electricity, most of all security. We have to provide them with good governance, something that, we have not helped with as much as we should. We have to provide them with good economic development and opportunity to have their sons and their daughters earn a decent living, so that they cannot be attracted away by the insurgents, many of the insurgents I fought against in Iraq in 2003 and 2004, many of the Taliban insurgents today, are economic insurgents. That is, there is no other way for them to feed their families, than to take money from the Taliban, in order to conduct attacks against us, against the governments of Pakistan and Afghanistan. So, for a very few dollars, well-invested, we can peel away the less committed parts of the insurgency, and we can provide them with an economic opportunity. We were able to do this in al-Anbar late in Iraq. The process started early but really came to fruition in late 2006, early 2007, and large numbers of the insurgents turned away from fighting against us, and started fighting on our side against al-Qaeda. We’ve done this before, the same people who made that process happen, who inspired that process in Iraq, are working now to do it in Afghanistan. So you can peel away insurgents and reduce the number of people you’re fighting, gain additional support for your effort. So we have done this successfully in the past, it is not easy by any means, but we have a track record. It is also important to note that Pakistan is now succeeding in its efforts. In March the Pakistani government decided because of extraordinary American pressure, to fight against the insurgents who had taken the Swat River Valley, just 60 miles from the capitol of Pakistan. And in a not very sophisticated but very effective counterinsurgency strategy, they cleared the Taliban out of the Swat River Valley, and the people of the Swat River are now returning home. Pakistan is about to do the same thing in south Waziristan. They are conducting an effective counterinsurgency campaign to relieve the danger to their government, and to make their weapons, and, and, and their country more safe. The most important thing we can do to help them in this effort, is to continue to conduct counterinsurgency on our side of the Durand line in Afghanistan. It will be enormously difficult for us to encourage Pakistan to continue conducting its counterinsurgency campaign, if we decide not to do so in Afghanistan. And the implications of that decision are enormously important. The single most important step we have to take, to build a secure Afghanistan and a secure region, is to raise and train an Afghan army that is sufficiently sized, and sufficiently well-equipped, to secure Afghanistan on its own. In my last job on active duty in the Army, I worked with Afghan soldiers, I trained Afghan soldiers. These are people who are willing to fight for their country. They are disappointed that we have not provided the resources to get enough of them to fight for their country, in order to enable us to begin to depart. Putting more effort into that, is the single most important step I believe, to helping America succeed in Afghanistan and Pakistan. ",1.0
for," Looking out at this crowded house I’m really happy that I’m almost over my swine flu. Ladies and gentlemen. So far this evening, you’ve heard quite a range of opinions. Let’s look at the facts. We have been in Afghanistan for eight years. We have committed enormous amounts of treasure and quite a bit of blood. And eight years on, the Taliban have no trouble attracting volunteers…in fact their numbers are swelling. They are willing to take up primitive arms, and fight against the most powerful military in history, to stand with a Kalashnikov, or to attack a US outpost and stand and fight, despite the helicopters and the aircraft coming in on them, and killing them. And we can’t get the Afghan army to show up.  How much training does it take. Sophisticated weapons? What sophisticated weapons do the Taliban have.  The Taliban are willing to give their lives for their cause. The Afghan army and police are not willing to die for the woefully corrupt and incompetent government of Hamid Karzai. That is simply a fact. Now my Army colleague John Nagl said, well, the Taliban are hiring, they’re economic soldiers. Ladies and gentlemen, you do not sign up to stand against the greatest army in history, and give your life, for the Afghan equivalent of a minimum wage. And we pay better than the Taliban. Why aren’t they lining up, to join the Afghan army and fight? Why do our soldiers and Marines have to go into battle alone? Or, worse, watching over their shoulder to see if the Afghans with them, are going to betray them or shoot them in the back, as has happened repeatedly. This matters. How many Americans should die for the government of Hamid Karzai? And we can—and Steve Coll said, well, you know, we’re going to fix that. When, how?  Ladies and gentlemen, we have the power to stay—and the wealth—to stay in Afghanistan forever. Certainly beyond our lifetimes, if we wish. But strategy is about asking what we get out of it. And is it doable, strategy isn’t about what’s nice to do, it would be nice to turn Afghanistan into Vermont. But it is not going to happen. Because, one thing we cannot do— we can fly in in our helicopters, dismount, arrive in an Afghan village and get the elders to nod their heads, until we leave. We can bribe them for a while, they won’t stay bribed. But we cannot make Afghans want what we want. A brief history. We’ve been in Afghanistan before. We had major development projects, in Helmand Province, down where they’re fighting now, in the 1950s and ‘60s. Nothing came of it. The Soviets, had at their peak 140,000 troops, tens of thousands civilian advisors. Their interagency process worked because they could order people from other departments to go. They have thousands of Dari and Pashtun speakers. They built hundreds of clinics and schools and factories, it’s not like just the bad Soviets killing people in the movies. Their Afghan army was over 300,000 trained with helicopters and tanks. And they lost. Because the people of Afghanistan didn’t want what the Soviets wanted them to want. Now think of this as an investment. We’re investing our blood and treasure. What is the possibility of a positive return, for that investment. For the past 200 years, every foreign investor has lost. Are we truly exceptions to history? Is it worth the gamble? Afghanistan is not a country, it is an accident of where other people’s borders to ended. You cannot nation-build where there is no nation to build. In a tribal society, you work with tribes. Now we may know that it would be wiser for all the tribes to get along. But we do not want what Afghans want. General McChrystal’s report is fascinating. In many respects it’s an objective view. But you know what it leaves out. Religion is barely mentioned. In the Counterinsurgency Manual, religion is barely mentioned. This is even more foolish than trying to deal with the war in Europe in World War II—and ignoring Nazis. Religion may be politically incorrect to talk about. It’s difficult, it makes us uneasy. But to write a 66-page report about the Taliban, and not mention the power of religion and fundamentalist Islam, seems to me that we are living in a dream world.  This debate-- Thank you. This debate, the terms of it make me uncomfortable. Because I’m in the middle. In a world of very strange bedfellows, I find myself aligning with Vice President Joe Biden, or, I’d like to think he’s aligning with me. But the choices aren’t all in or all out. There are rational choices. Ladies and gentlemen, why did we go to Afghanistan in 2001? Because of al-Qaeda. To punish them, to smash them, and to punish those who harbored them. Afghanistan was a low-budget terrorist motel. So the feds raid the motel, kill some of the bad guys, capture some, and others escape. And instead of going after the ones who escaped, we decided to renovate the motel. It… Now, I would just close by saying, I believe there is still a purpose in maintaining a compact, lethal force, focused on destroying our enemies, helping Pakistan to the extent Pakistan deserves the help, but not allowing ourselves to be blackmailed by the Pakistanis, as we have allowed ourselves to do. But at the end of the day, this is about flesh and blood, Afghans of course, and our young men and women in uniform. Now, I am not a pacifist. Wars have to be fought. But let us ensure that they are true wars of necessity, and not wars of inertia, and bad habits. Let’s—when we ask our young men and women in uniform to die…if they must die, let it be for sensible strategy, and attainable goals. Not because, we’re out of ideas.",1.0
against,"To convince you on your second vote, to support this motion, I think the other team has to convince you of either one of two propositions. The first is, that we don’t have any serious interests in Afghanistan and Pakistan, and therefore we should walk away. Or, they have to convince that we do have interests in Afghanistan and Pakistan, but they’re too costly to achieve. And therefore, we should walk away. Although I just heard a new one from Steve Clemons who says, well, we may have interests, they may be costly but we can achieve them, but we should walk away perhaps because the President can’t make up his mind. I think that Steve and John together have made a very persuasive case, for the interests that we have—we have, in Afghanistan and in Pakistan. That these interests are not just America’s interests but these are shared by our allies. And that we have the capacity, through the intelligent application of counterinsurgency doctrine, to achieve those. And listen very closely to Ralph Peters’ argument, the smash them and leave argument, I believe, and to still vote for this proposition requires you to go through a kind of a contortion known as remote-control counterterrorism. Remote-control counterterrorism, that’s where, presumably, you track and you deter al-Qaeda from offshore, maybe with precision munitions, maybe from satellites, maybe like that. I think that’s a fundamentally flawed proposition, I would submit to you. And it’s flawed for a couple of reasons and let me share those with you. With some realistic talk about how you actually have to deal with al-Qaeda. Counterterrorism operations require two things, it requires intelligence, and it requires the ability to offensively strike against them. You need to know where they are, what they’re up to, and you need to be able to strike at them. There are only two sources of intelligence, if you’re tracking al-Qaeda folks up in the borderlands between Afghanistan and Pakistan. And I’ve spent a good deal of the last two years, in those two countries. One is by signals intelligence, where you try and track where they are by their cell phone. Even as texting New Yorkers have found out that cell phones can be dangerous to your health, the al-Qaeda guys have gradually stopped revealing themselves by the same notion, which leaves you, really, relying upon human intelligence. Spies, in other words. We don’t have a lot of spies on the border areas between Pakistan and Afghanistan, the intelligence that we get about al-Qaeda and their fellow travelers compassed from the intelligence networks run by the Afghans, and the networks run by the Pakistanis. If we walked away, why on earth would they share that intelligence with us. Let’s assume for the moment that you did have the intelligence about where a cell was who were planning another attack in New York or in a London subway. How do you strike at them. Right now the way we do it is with UAV Predators. They have a flight range of about 400 miles. It’s 600 miles from Waziristan to the Indian Ocean. Which leaves you the option maybe like the Clinton administration did in 1998, with launching a Cruise missile at them, but in the hours that it takes to target and launch a Cruise missile, the target’s probably gone, and worse, since it’s not accurate, you have a lot of collateral damage, a lot of dead civilians, and the cycle continues. Fundamentally, to protect this national interest, that I believe even the other team agrees, to protect ourselves from terrorism, we need access, and cooperation, in Pakistan and in Afghanistan. We don’t need Vermont. We don’t need to stabilize the whole country, you don’t even need to engage in counterinsurgency activities across the whole landscape. But you do need cooperation, you do need access, and this is about as stark a statement of national interest that I can think of. ",1.0
for,"Well, to begin with, it was, I did appreciate the fact that sacred scripture was brought to the meeting here so it could be read to us. In fact these words inscribed in that manual are in fact the same doctrine that we used in the 1960s and ‘70s across the world. And as I said, we had a varying pattern of success depending on how tough the opposition was and how long we were willing to stick with it. With regard to Iraq, with the greatest of respect to Colonel Nagl, I would submit in fact that whatever it is that people call the surge, people are creating these fanciful concepts with single words as a public relations gimmick. The surge, what was the surge, an increase of 30,000 troops or so, in Iraq for some period of time? That was certainly useful in the Baghdad area in the context of Iraqi neighborhoods that had been largely cleansed ethnically or at least in a sectarian way, and then a lotta walls were built to separate these people, that worked very well indeed. But I would submit to you that what really worked out in Anbar, in the places where he said-- in other places in Iraq--was the fact that we adopted a very simple, old-fashioned tool that has been used in the Middle East from time immemorial and often by the colonial powers. And that is in fact that we looked at our enemies and instead of believing that they were all one thing as had been advocated for three or four of the first years of the war, we actually looked at them and decided they were many different things. And that some of these people were only, as it was said economic insurgents, and that they could be split off and used against the other ones. And that had a devastating effect once it was put into effect against al-Qaeda—",2.0
against,"And why would that not work again in Afghanistan, Patrick.",2.0
for,"No, it would work. That would work very well—",2.0
against,It would work.,2.0
for,"Yeah, I actually think it would—I’m not in favor of withdrawing from Afghanistan.",2.0
