side,script
for,"Fifteen cent hamburgers and 28 flavors of Baskin Robbins. Well, don't you know his name? I don't know how to pronounce it. Peter, that's easy. Ziehan or Zeihan on Geopolitics. Better lucky than good."
against,"We are your friends. We love America. And it's the job of the best friend to say, “You know what? You need to raise your game a little bit.” I do know my partner's name. I love my partner and his work and he is the brilliant Jim Rickards. They are worried about it, but unfortunately they have very little to say about it. That's left to the Treasury and the Fed. So, the people who are most concerned are the least involved."
for,"America as a has-been is the oldest story in the book. Even right after the Revolution, the famous American -- French statesman Talleyrand dumped on the United States by saying it's a country with 30 religions and just one dish to eat. Little did he know that a bit later, like today, that one dish would blanket the world with 35,000 McDonalds. Decline is not a real serious diagnosis. It's repertoire theater. Today, we are in decline 5.0. We've had four before. And various candidates -- Russia, Europe, Japan -- were about to overtake the United States, leave the United States in the dust, and now it is the Soviet -- it is China. These prophecies did not pan out because they confused the headlines with the long-term trend. Exhibit A for every declinist is the economy, where others are always said to be growing faster. But here's the surprise. For the last 50 years, the U.S. share of the global GDP has held steady, around 25, 26 percent. In the same period, the E.U. lost 11 points, Japan more than two. And Russia has cut its share in half. So, who's declining, if I may ask? Let's put it this way. If Rome, starting some 2000 years ago, had been declining at America's rate, we would be debating in Latin today. Now, a certain measure of power is military spending. The U.S. is in a league of its own. It spends almost four times more than China, seven times more than Russia, 12 times more than Japan. It spends as much as the next nine countries together, five of whom, by the way, are allies. What does all this cash buy? The short answer is that the U.S. navy is as large as the next 12 navies together. In its heyday, Britain only wanted to be twice as strong as the next one. So, only the United States can intervene anywhere in the world, nobody else can. Like those B-2 stealth bombers that took off in Missouri, dropped a load on Libya, and returned home in one trip. Now, that's a snapshot, our opponents will say -- will say. The others will inevitably overtake the United States, because they're growing -- they're rising. Do you mean Russia, with an economy that's one-tenth the size of America? Or China, which has a per capita one-eighth of America? China -- China, you will say, ""Look, they came from nowhere. They're now number 2."" But the days of China's spectacular growth are over. It's one half of what it once was. And this is no accident -- the Chinese growth model is like Japan's, and Taiwan's, and South Korea -- all of them have come down. The -- and so, there is something inherently wrong with this model. We'll talk about it later. So, the -- the -- they would say, ""But what about the Chinese labor force?"" Well, the Chinese advantage is gone, too. Productivity has not kept up with the explosion of wages. In manufacturing, the wage gap with the U.S. has almost disappeared. And worse, this year, the Chinese labor supply will begin to shrink due to rapid aging. The U.S., on the other hand, will be the youngest nation in the industrialized world. Let's think about future. What drives growth in the future? Well, factor number one is higher education. Did you know that of the top 20 universities, 17 are American? The first Chinese university shows up in the 100 to 150 bracket. You look at -- you look at citations in scientific journals. You look at patents. The gap between the U.S. and China is just as wide as the Pacific. So and but the greatest -- the greatest American advantage is the power of immigration. China and Russia, closed societies, don't even think about immigration. But here, as you know, from the very beginning the tide continues to flow in. Why do I harp on immigration? Because it keeps the country not only young but also from freezing up. Immigration breaks privilege and fuels competition. There's always another group that pushes in, works harder, and rises to the top. The newcomers keep bringing ambition and skill as they have done for the -- for 300 years. Try to become a Chinese. I want to become a Chinese. It's easy to become an American. Here, I'll tell you how to do it. I celebrate 4th of July and Thanksgiving. I joined the PTA and coach Little League. I stopped smoking. I buy an SUV and shop till I drop. The serious point is anybody can sign up to the American creed. And, ""Where did you go to school?"" beats, ""Where do you come from?"" any time. As a Chechnyan you'll never become a real Russian, but Sergey Brin could come here from Russia and start Google. Did you know that one half of Silicon Valley's engineers were born abroad? Two-fifths of all startups in the Valley built two years ago were founded by immigrants, Vladivostok or Kyoto or even Madrid. Immigration is the inexhaustible source of rejuvenation, bringing in the world's best and brightest. That's the moral of this tale. Let me ask -- end with a surprise confession. I actually like this American obsession with decline. It’s part of the country's religion of self-improvement -- -- an offshoot of the prophetic tradition. Isaiah: Beware of sloth, pride. Look at your own flaws, and keep on hustling. Declinism is the best antidote to decline. But declinism is repertoire theater, like a good scare, like another sequel to ""Nightmare on Elm Street."" Where are Soviet Russia, Europe, Japan today? Where is 15 percent growth of China? The truth is, only one nation can do an America, and that is America itself. And that's why I like this declinist agitation. It will make sure it won't happen. So, to repeat from -- I've been going downhill at the American rate, we would be debating in Latin today, like “Gratias ”, which means, ""Thank you, and see you in the next round."""
against,"Thank you very much, John. It's great to be here tonight. As John said, I'm an MP. I debate in a Westminster-style parliament. So, I am used to all sorts of rhetorical dirty tricks from the honorable members, the opposite side of the aisle. And I wanted to start by warning you about what I thought were going to be the fiendish rhetorical moves tried out by the other guys. So, here are the three things I want you to beware of and not to be misled by. The first one is -- and it's the tough thing about debating our side of this question -- that in voting for our side, which is the correct one, you are going to be accused of being insufficiently patriotic. And efforts are going to be made to impugn your love of the United States. Don't fall for that one. The highest form of patriotism is to see clearly what's happening in your country. The second one, which I'm sad to say we've already heard a lot from in Joe's beautiful, eloquent presentation, is what I call the cleanest dirty shirt argument. And this is the defense of the United States which basically says, ""Okay, we may have our problems, but everybody else is worse. Look at those Europeans. Look at those Japanese. Look at those Russians. Look at those Chinese."" We're not debating here, ""Is the U.S. in less trouble than the world's other countries?"" We're debating, ""Is the U.S. in decline, relative to where it has been?"" And you know what? You guys have a responsibility to be super good. You are the last remaining superpower. We need you to be morally, intellectually, and, in terms of world authority, better than everybody else. So, just to be a little bit less bad, that's not good enough. So, why do we believe -- and we say this with real sadness -- why do we fear that America is in decline? The first evidence is what's happening internationally. In the Cold War era and then following the collapse of the Soviet Union, we lived in a time of what you might call the Pax Americana. And as a Canadian it was a great time. It wasn't just a great time for America. It was a great time for the world. Unfortunately, we're seeing America pulling back. We're seeing that on big issues like climate change, a huge -- there's lots of kids here. We need to be fixing this for you guys. Where's American global leadership on this issue? We're seeing in a place like Syria, there was a red line, the red line was crossed, what happened? And we're seeing it most acutely -- and this is something I'm just so terrified about -- in Russia and Ukraine. Joe pointed out, and he is quite right, the Russian economy is one-tenth the size of the U.S. economy. So, how come Putin is getting away with redrawing the borders of Europe and no one, least of all the United States -- the U.S. isn't even at the Minsk peace talks right now. Is that not a superpower in decline? And this is bad news for the whole world because superpowers, as Bob Kagan wrote very brilliantly, are not allowed to retire. Second argument is your political gridlock. And here I think we would all agree that the genius of America is the ingenuity of the American people. It's what each individual person does, and that is fantastic. But I think we would all also agree there's a role from time to time for government to do a few things. Joe talked movingly, and I totally agree with him, about immigration being such a strength in America. You guys have a few problems to sort out with that, and you're going to need government to act, and I don't see government acting. Now, you may say, ""It was ever thus. Washington has always been a mess."" I'm a politician. I know what people say about politicians. But Sarah Binder of Brookings did a study last year, and she found that the likelihood of Congressional gridlock on a given issue has doubled over the past 65 years. Your government is ineffective at a time when you need effective government for yourselves and for the world. Finally, and this to me is the biggest problem, this is the thing that really keeps me up at night, democratic capitalism, that great U.S. model, isn't working the way it used to and the way it is supposed to. For the past 30 years, the U.S. middle class has been hammered. Wages have stagnated, and wealth has stagnated or declined, while the people at the very top have seen their incomes and wealth skyrocket. That is a huge problem for the United States because the U.S. promise, as Joe so eloquently said, is ""If you work hard and play by the rules, you can succeed."" But that is not what the U.S. economy today is delivering, and that's why gridlock is such a problem because it is going to take a massive, united social effort and really inspired, brilliant leadership to resolve this economic conundrum, which I believe is a challenge comparable to the challenge presented by the industrial revolution. Now, you may say to me, ""Well, but isn't this a problem that all the Western industrialized economies face to some degree or another?"" And I would agree with you. It's a thing we're worried about in Canada, too. But this income inequality is worse in the U.S. than in any other Western industrialized country. Your elites are doing better, and your middle class is more hammered. Did you know that working men, so men between 20 and 50, the employment rate of men in that group in the U.S. is lower than in France? That's a problem. I want to conclude with a quote. This is from Thomas Jefferson. He wrote, ""We have no paupers. The great mass of our population is of laborers. Our rich, who can live without labor, either manual or professional, being few and of moderate wealth. Most of the laboring classes possess property, cultivate their own lands, have families, and from the demand for their labor are entitled to exact from the rich and the competent such prices as enable them to be fed abundantly, clothed, and to raise their families."" I'll finish it next time."
for,"I considered declining this invitation when it was made. NPR intellectual is not really my crowd. I live in Texas. But then I realized that the word “damn” was in the proposition so I'd be allowed to swear. On NPR. A lot. Oh, it's like a third of the total, but we've got a lot of youngsters up top. So, you know, it's a swarm. Most of your consumption, however, is behind you. Your kids have left home. The house is paid for. You're at the height of your tax-paying experience, which means that the government's like, “I'll take some of that, and then I'll take some more.” Today's budget battles, that's the start of our debate about figuring out not how to pay things with your money, but about how to pay your retirement without your money. Something to look forward to. Which sucks for this next group. Where are my Gen-Y? Or excuse me, Gen-X. Gen-X. Oh, we're all here. Yeah, we're the smallest generation as a percentage of the population. So very soon it will be up to us, all 11 of us, -- -- to pay for 75 million retiring boomers. Taxes are going to be awful, but it's not quite as bad as it seems. Because while the boomers are so convinced that they're so special, there's actually a boomer class globally that relative to the population is about 20 percent larger than it is here. So, yes we do have a boomer donculous [spelled phonetically] tax bill just around the corner, but it's actually considerably less than what everyone else is going to have to pay. So, you know, not exactly hope, but you know, schadenfreude. And then there's Gen-Y. Gen-Y folks, you know, the millennials. Oh, a few of you showed up tonight. That's great. Your age group does the consuming. Kids, houses, cars, pot. It's -- -- spend, spend, spend. Your purchases, especially the pot, by the way, are why the economy is doing so well right now. Because of you, because of your bulk, the United States is going to be the youngest developing -- excuse me, developed country in the world in just four years, younger than China. And in 15 years when you have matured, and I use that term in the loosest possible way -- -- you will swarm into the taxpaying class with a fervor that Gen X just could've never matched. And Gen X will be settling into the tardis-like space that the boomers will be vacating and America's 20-year effort to digest the boomer demography will finally be over. Now, as an X-er it really pains me to say this, but you Gen-Y-ers are special. Because there are no German Y's or Japanese Y's or Italian or Canadian Y's. It's as if the entire developed world forgot how to have kids around 1975 and I think we've all traveled enough to know they got the basics down. This combination of bigger global Boomer cadre, but no global Y cadre spells disaster. Consumer activity and tax income will shrink every single year. Retiree costs will increase every single year. It's a deflationary spiral with no escape and it will happen everywhere but the United States. And that's the good news. Let's talk about the bad news. Let's talk about trade. The idea that you can trade with a country a quarter, a third, halfway around the world, that's a very strange idea. Until recently, major countries used their navies to protect trade between their colonies and their mainland. You didn't trade with your neighbor if you could avoid it, because you never knew when someone might throw a war, and you lose access to everything. These separate imperial systems clashed, and those clashes culminated in World War II. Now, at the end of that war, the United States forced all of its allies to sit down, and we imposed a new economic system upon the world. We called it free trade. We told them they didn't need navies. We would patrol the global oceans and allow them to send whatever they wanted anywhere to anyone at anytime. In addition, we would open our market -- the only consumer market survived the war -- so, they could export their ways back to affluence. In exchange, there was one demand. This alliance would fight the Cold War our way. You heard that right. We bribed up an alliance to take on the Soviets. And it worked. Free trade created the free world. Europe united. Japan rebuilt. China modernized. The global population tripled. Global GDP increased by a factor of 10. One-third of the Chinese and Italian GDP -- export-driven. The EU? The Chinese Communist Party? All of that would have been impossible without the safe and reliable access to the global oceans and the U.S. market. Which leads us to the world's most inconvenient truth -- the United States didn't create free trade as an economic plan, but as a strategic gambit. We don't use free trade's economic features. Our exports -- 9 percent of GDP, the lowest in the world by a significant margin. We are the least integrated country out there. America's economy, and future, are not dependent upon the global system. It's the global system that is predicated upon America's willingness to sublimate its market and its military in order to fight a war that ended a generation ago. That is not a safe bet. I mean, really, have you met Americans? We kind of shoot from the hip. The world is now dependent upon our mood. And even should we stick to our Prozac regimen, the majority of the world's Boomers will still retire around 2020, which just as surely will trigger a Great Depression, if we're lucky. There are many other reasons, similarly inevitable, why the U.S. will remain the global superpower well beyond our lifetimes. The shale revolution has pushed North America within 2 million barrels per day of outright oil independence. And we now have the lowest electricity prices, nonsubsidized -- in the world. The U.S. is home to nearly half of global consumer spending, double that of the combined BRICs. The Navy has a 10:1 ratio, conservatively, in terms of global firepower. And the commitment of that imbalance to the global commons is why trade works. And the dollar is the sole denomination for every commodity in every country, especially for those export-driven rivals who are utterly dependent upon free seas and open markets. So, when you think of the U.S., it doesn't matter if you feel a swelling pride, a loathing, or a resigned sigh. Your conclusion is as singular as it is clear. Bet on America. Declinists be damned."
against,"Thank you, John. I want to begin with a simple declarative statement, which is, I love America. I pray for her. And I wish her well. And it's precisely for that reason that I'm here arguing this side, because when you love your country and you see it in decline, when you see a disaster coming, as you do, you really just stand up and say that. And I appreciate the opportunity to talk about that tonight. The second thing I want to say is that almost everything -- practically everything our opponents said is correct, but I would suggest irrelevant. Joe was exactly right. No one knows more about the diplomatic history of the last 50 years. But if you had been an observer at the Battle of Hastings in the morning, you would have said the English had the advantage. They had more troops and higher ground. If you had looked at the battlefield at noon, the English were still winning because they withstood a barrage of arrows from William the Conqueror. If you looked at the battlefield about 3:00, the English were still winning because their lines had held. They only had to wait until sundown. It wasn't until shortly before sundown, at the end of the day, in a desperate move, that William the Conqueror pulled out some new tactics. The English lines broke, and the course of history was changed forever. My point is, take no comfort from the fact that prior prognostications have not played out, because I think -- I'll explain in a minute why we're in a much more dangerous zone. Joe talked about -- described a declinist view involving rhetoric, agitation, and religion. What I'd like to do is -- there's nothing – I have no problem with rhetoric and religion, but let's talk about science for a minute. The most important question in economics and geopolitics today is ""Are capital markets and is our society a complex system?"" If it's not, then maybe our opponents win. But if it is, we have serious problems ahead of us. What do I mean by a ""complex system""? A lot of people think, you know, your watch might be complex. It's -- the technical name, ""It's complicated, it's not complex."" The complex system has the following characteristics. It has diversity, lots of points of view. It has interconnectedness so that those different points of view are in touch with each other. It has communication, so you're communicating, you're transacting, you're interacting with each other. And finally it has adaptability, which is other people's behavior affects your behavior. So, those are the four defining characteristics of a complex system. There is no question, capital markets, finance is not only a complex system, it is the complex system, nonpareil. And this -- again, this is physics, but it applies very carefully, very closely to these economic systems. So, let's just take -- let's just do a thought experiment. We'll use the -- use the audience. We'll use all of you. There are about 500 people in the room. Let's say that right now a third of you got up, screamed, and ran out the door as fast as you could. What would the rest of you do? I daresay you'd be right behind them. You wouldn't know what was up. You would say, ""Well, they know something I don't. The place is on fire. There's a bomb scare. I'm not going to stay around to find out. I'm right behind them."" Let's say a third of you were particularly nervous. You're more nervous than the rest. For you, it would only take 20 people jumping up, screaming, running out the door, and you would be right behind them. Now, let's say there are 20 of us who are the most nervous of all, very, very -- very, very much on edge, and for you it would only take five people standing up, screaming, and running out the door, and you would right -- you would be right behind them. How many people do I have to persuade to empty the whole place, to cause a panic, to cause this whole place to run out the door? The answer is five people, because if five people run, 20 more will run. If 20 run, a third run, and if a third run, the whole audience runs. I like to say when it comes to the collapse of the dollar, Paul Krugman will be the last guy to leave the room, but that's his problem. But the point is, what I just described, there's a technical name for it, hypersynchronous ising model, but the point is that's a cascade. That's how complex systems operate. It takes very small changes in initial conditions to completely, catastrophically change the outcome. What kind of complex system do we have right now? We have got more debt than we had in 2008. You all remember 2008, too big to fail? Well, the biggest banks in 2008 are bigger today. They have a larger concentration of their total financial assets. Derivatives books are bigger. In a complex system, when you increase the scale, and that's what I'm talking about, the risk goes up exponentially. So, let's say I increase the derivatives books -- I triple the derivatives books at the major banks, how much did the risk go up? Well, if you ask Jamie Dimon, he would say, “You know, very little because, you know, it's long, short, long, short. It all pairs off. You net it down, it’s a tiny little amount."" If you ask my 84-year old mom, she might use intuition and say, ""Well, if you triple the system, maybe you triple the risk."" The correct answer in a complex system, it's exponential function. If you triple the scale of the system, you've increased the risk by a factor of 100 or 1,000. You've made it much more dangerous, and I just showed you how it takes a very small change in the initial conditions to cause the entire thing to collapse. So, that's the system we're living in now. We're right on the knife-edge. Very small preservations, very small changes could cause a catastrophic financial collapse. And I'm not talking about the kind of long, slow, gradual decline that Joe is expert on. And, you know, Peter, no one knows more about this sort of geography of geopolitics than Peter. But what are we talking about in the world today? We're not talking about an amphibious invasion on the beaches of New Jersey or Long Island. Peter's analysis might have been certainly pertinent in 1860, probably as late as 1960. Admiral Rogers, who's the head of the United States cyber command, said the next war will be in cyberspace. And my only quibble with Admiral Rogers is that, that war has already begun. We're in a -- we're in a cyber war with Russia right now. In 2010, it was disclosed that Russian intelligence had penetrated the NASDAQ market operating system with an attack virus. These are not hackers trying to get your credit card numbers. This is -- this is the military intelligence unit getting in the operating system of our second largest stock market. In August 2013 NASDAQ was closed for half a day. We've never been offered a explanation as to what happened there. I want to suggest if the explanation was an attack, there would be good reason not to tell us because it would panic investors, start those people running out of the theater exactly as I described. So, this is the situation we're living in today. One last point, what's the R&D budget for fire? How much did it cost to invent fire? The answer is, ""Zero."" The R&D budget was -- somebody had a bright idea someday, maybe they saw some lightning, who knows what, but they invent a fire. What's the payoff to humanity from the invention of fire? Incalculable. What was the R&D budget for the Boeing 787, the Dreamliner? It's $32 billion. What was the improvement? Well, I've flown on a 787. I can't tell the difference. It looks like a 767 or a 777. The point is this is characteristics of complex systems. You get to a point where you have larger and larger inputs for no pay off. Fire was free, huge benefit. Boeing spent $32 billion on a new airline, very hard to see if there's any benefit at all. How are we paying for this? We're printing the money. We're using derivatives. We're creating a dynamically unstable system. It would take very little to cause it to collapse almost overnight. Thank you."
for,"Well, actually, the data doesn't support that. But it's my debate partner that is in command of the data on that topic, so I think I'll punt that one to the right, here. Well, we heard this number about the -- declining middle class for a long time. I don't think it has anything to do with the issue whether the country itself is declining, but let's go with the issue of equality. The way to measure inequality is not by anecdote, but by something called the Gini coefficient, which measures inequality around the world. And lo and behold, you'll be surprised. Once you take into account taxes and transfers, the United States has a Gini coefficient of 0.37. Total inequality will be one. Zero will be no inequality. The great state of Canada has a genie coefficient of 0.34. The great state of Germany, the model of the wealthiest state, 0.35. Italy almost 0.4. So, if you want to talk inequality, talk the right numbers. Do not talk anecdotes and repeat what you read every other day in ""The New York Times."""
against,"The Gini coefficient point. Joe said that that was after you take into account taxes and transfers. That's a little like saying it's a nice day except for the three feet of snow. The problem is if you include taxes and transfers this is moving very strongly in the direction of a government run society. So yes, with taxes and transfers. Without them, without them our Gini coefficient is worse than Mexico and when I grew up Mexico was a classic oligarchical society. But not taking into account taxes and transfers, we're actually worse than Mexico. That's something --"
for,"You can’t argue both sides. Either you talk inequality or . If inequality comes down by government action, isn't that what the welfare state is all about?"
against,"No. Let me -- So, it is a truth universally acknowledged, including I am sure by you, Joe. That what we have seen over the past 30 years is an increase in inequality in the United States, an increase, a huge increase in the share of income taken by the top 1 percent and 0.1 percent and a stagnation of incomes and wealth of people in the middle. Now, I warned you guys he would use the cleanest dirty shirt argument and say well yeah, but it's bad all over. In this case America isn't the cleanest dirty shirt on the stagnate middle class. It is a problem for everybody. I completely agree with that, but it is --"
