side,script
for,"Well, it does echo it. Goldwater at that time saw a crisis of conservatism in his day. I believe that we're experiencing a similar crisis of conservatism today. And so, my book was a rather modest attempt, after Goldwater's, to explain this and to explain a better path forward. It was very much an homage to Goldwater, Arizona's favorite son. When I was young, I was editor in chief of the Jerusalem post. And shortly after I took the job, I took an irate phone call from Shimon Peres, the former prime minister. He was then the leader of the opposition. He claimed that we had missed his side of the story in a piece we reported. It was all I could do to stutter out, ""No, we -- story in a piece that we've reported. It was all I could to stutter out, ""No, we have your side. It's just on the inside pages, after the jump."" The phone went dead. And a couple days later, I received a letter from former Prime Minister Peres apologizing to me for missing it. And to me, it was a reminder that small graces should never be beyond the reach of great men. And I'd love to see that in our own president."
against,"It means that, in a political race, you don't slow down. You don't turn a different direction. You don't stop. And it's a counter to what we sometimes see in politics, with someone who will talk one way in a primary, and then, as soon as they get to the general, they do the famous pivot. And then, when they get in office, they govern something -- in some other form, completely different. And it happens on the right as well as on the left. And so, it's really about honesty with voters. It's telling voters where you stand from the very beginning and staying on that path. I'd rather win and be -- I'd rather lose and be honest than win and have deceived voters in the process. Thank you. Thank you. I was very lucky to be able to take a break from my career to stay at home and raise our three young children. And secondly, I grew up in a literary household. My father was a Pulitzer Prize-winning novelist, a long-time writer for The New Yorker. I thought that was pretty cool. I always wanted to write. So, now I am. And very fortunate on both sides. Yes. It is. Thank you."
for,"Ladies and gentlemen, good evening. Kris, buenas noches. Onstage tonight, you have four people who identify themselves politically as conservatives. Some of you in this audience might also identify as conservatives. Welcome to the Borough of Manhattan Endangered Species Club. Others here in this theater are not conservatives. Maybe you're looking at this debate the way you would one of those old Star Trek episodes, observing the weird customs of an alien world. But I want to -- what I want to tell you is that all of you, no matter what your political opinions, all of you have a profound stake in the outcome of tonight's debate. Whether you like it or not, there will always be a conservative party in any democratic society. Republicans aren't going anywhere. And the question we need to decide tonight is what kind of party should that be. Will it be the party of Abraham Lincoln, Teddy Roosevelt, Ronald Reagan, George H.W. Bush, John McCain, and Jeff Flake? Will it be a party that believes in opportunity and freedom, openness, and free trade, global engagement, and fair dealing, and the importance of moral character in our leaders? Or will it be the party of Pat Buchanan, Steve Bannon, Donald Trump, and Kris Kobach? That is the party that believes in border walls and Muslim bans, truculence toward our traditional allies but ingratiation with Vladimir Putin and Kim Jong Un, conspiracy theories about the so-called deep state, nativism, and birtherism . Those are the options, and while nothing we say here tonight is going to change the course of history, what you have an opportunity to say with your votes is, ""It should not be -- it must not be the second option."" Now, I can already guess what some of -- what our opponents are going to say. They're going to tell you that Jeff and I, so called never Trumpers, that we're losers, that we speak for nobody in the Republican Party. As you evaluate that claim, please note that Kris just lost his race for governor of Kansas. And we now have a democratic senator in Alabama because Donald Trump endorsed an accused child molester, Roy Moore, for that position. A republican congressman has been wiped clean from places like Orange County thanks to the orange man in the White House. But it's true. Our opponents have a point. Donald Trump definitely owns the Republican Party right now. He will probably get north of 90 percent of the Republican vote. And yes, he could win the general election, depending on who the Democrats nominate next year. You know who else once owned the Republican Party? Richard Nixon in 1972. If the -- if popularity of the moment were the only criteria in this debate, Kris and Liz would win it hands down, but anything who thinks that popularity should be the chief criterion of political principle is someone who has no principles. And people without principles will eventually be found out, and when they are found out, they will be voted out. Kris and Liz will also tell you that Trump has delivered on his promises, that he's governing as a conservative. And, again, there's some truth to this, and both Jeff and I have been willing to give the President credit where it's due. These days, I especially give him credit for the leadership that his administration has shown toward the dictatorship in Venezuela. But I can tell you right now that, on the things that matter most, Donald Trump is no conservative. Let me ask you, ""Would Ronald Reagan have recognized a republican president who takes every opportunity to trash NATO, and who unilaterally ends our military exercises in South Korea, and who endorses the word of a KGB agent over his own intelligence officials? Would George H.W. Bush have recognized the Republican president who demonizes Latin American immigrants and mocks the handicapped? Would George W. Bush have recognized a republican president who calls our free press the enemy of the people, or forcibly separates children from their parents at the border? And would any Republican ever seek to question the courage, much less besmirch the memory, of an American hero like John McCain? Do you, Kris? Do you, Liz? But that's the Republican Party that Kris and Liz, here, not only accept, they extol it. They think it's great. They want not more -- not just four more years, they want four more decades of this. Ladies and gentlemen, heaven forbid. Jeff and I are not naïve. We know that the chances of the GOP not re-nominating Trump are slim, but we are not here to argue about what will happen. That's beyond our control. We are here to argue about what should happen. Republicans must not re-nominate Donald Trump because, to do so, will indelibly put his foul stamp on the party. It will turn the party that once stood for opportunity and enterprise into the party of exclusion, and the party that stood for courage and optimism into the party of fear. Tonight, together, we cannot let that happen. That is why you must vote, ""Yes,"" to the resolution. Thank you very much."
against,"Good evening. Kris and I are here to argue against the notion that Republicans should not re-nominate Donald Trump as the party's candidate in 2020. It's a head scratcher but stay tuned. First of all, we have a favor to ask of you. Our arguments will only make sense to Republicans. So, tonight, we need you to suspend your political proclivities, and imagine, just for tonight, that you are a Republican. I know it's difficult for tonight that you have Republican. I know that it's difficult. This is not Trump country. It is not even Rockefeller country anymore. But please try to look at it from the point of view, what makes best sense for the Republican party. We often hear that the next election is the most consequential of our lifetime. This time, Republicans think that is true. Democrats have taken such a hard-left turn that we think the American dream is under attack. What does that mean? The American dream is the belief that anyone in this country can raise themselves up, do hard work and endeavor, they can take advantage of our free enterprise system to provide a comfortable and secure life for themselves and their families. Elizabeth Warren and Bernie Sanders don't believe in the American dream. They think it has been profoundly corrupted by billionaires and big corporations. They think they need to fix that by imposing on American society the kinds of programs that will lead us down the road to socialism as it is practiced in Europe. They haven't looked around to figure out that for decades, the United States has outperformed Europe, and there's a reason for that. I believe in the American dream. I believe in a society that allows someone from the projects to become the head of Starbucks. I believe in the American dream that means that my doorman in my building, who barely speaks English, has daughters on the way to Harvard. That is something we cannot afford to trash in this country. I've met so many people with these stories, people living the American dream. Republicans believe that individualism, capitalism, and freedom are essential to that dream and that those things are under attack in 2020. The left uses ""millionaire"" and ""billionaire"" as a slur today. Since when did becoming successful become a bad thing in our country? We all need to be worried about this. That is not a bad thing. Success is what has driven this country. Interestingly, while the left says the American dream no longer exists, Americans think it does. Pew polled Americans last year and found that an astounding 82 percent think they've either achieved the American dream, or they're well on their way. That's an amazing number. We have to make sure that everyone believes in that and that they all have their shot. And there is no way that we're going to guarantee that if a Democrat takes the White House. So, who can take the White House for the GOP? Obviously, only President Trump. Bret mentioned, and he's completely correct, that Donald Trump has enormous standing in the Republican party. 92 percent of the people who voted for him say they'll do it again. Ninety-two percent of Republicans are in his camp. Why? Because he has indeed followed through on his campaign promises. He has had an incredible list of accomplishments. And in fact, those were listed by Bret Stephens in a column at the end of 2017, from which I'll quote: ""Tax cuts, deregulation, more for the military, less for the United Nations, the Islamic state crushed, Assad hit with cruise missiles, troops to Afghanistan, arms for Ukraine, a tougher approach to North Korea, Jerusalem as Israel's capital, the Iran deal decertified, Title IX kangaroo courts on campus condemned, yes to Keystone, no to Paris, Wall Street roaring, and consumer confidence high."" Bret, I could not have done it better. That was just year one. He could now add ""pressuring China on intellectual property theft, remaking NAFTA, rising wages, productivity and workforce participation on the increase, record low unemployment for blacks and Hispanics, half a million new manufacturing jobs, banning bump stocks, criminal justice reform."" Trump supporters will turn out in 2020 because of those accomplishments. They will also turn out because they're angry. They're angry at the liberal -- excuse me -- media that has slimed their president. They're angry because for two years, a false Russian narrative hung over the White House, casting a cloud of suspicion. And they're angry that Democrats have gone to unprecedented lengths to undermine the administration. By the way, Trump supporters will not turn out for anybody else. They will stay home and feel aggrieved. Recent models show that if the economy stays on track, Trump will win. But we don't know who the Democrats are going to run. It appears likely they are going to nominate a candidate who will hike taxes, renew regulations, and energetically grow the government's role in our society. They will do in short exactly what Bobby Jindal warned of in 2016, replace the American dream with the European nightmare. We ask you to vote no and indeed support Donald Trump because we need the Republicans to win the White House in 2020. Thank you very much."
for,"Thank you, John. In true senatorial fashion, I'd like to yield to the gentleman, Mr. Stephens, for six minutes if that's okay. But maybe not. No. 30 years ago, I was a 20-something young kid in the country of Namibia in Southern Africa, 1989, 1990. I was there to witness Namibia receiving its independence, drafting their constitution, having their first elections. It came at a great time. The Namibian election was the same week that the Berlin wall came down. The Soviet Union was in glorious free fall, shedding republics seemingly by the day. Freedom was breaking out everywhere. Free markets, liberal democracy was spreading across the globe. It was a heady time, and people looked to the United States for leadership. I remember clearly being in Namibia at that time, and a few months after it happened, receiving Time magazine -- this is before the internet came along -- to read Vaclav Havel's address to the United States Congress. Vaclav Havel of Czechoslovakia had just been in prison for years. He was now the newly minted president of Czechoslovakia. He poured out his soul and gratitude to the United States, not just for liberating his country once again, he said, but for being the moral example to the world. No replacement, he said, for the United States leadership. Around that time, Natan Sharansky, famous Russian or Soviet dissident who was released from prison. He talked about how he and his cellmates were inspired by Ronald Reagan's speeches where he clearly identified the enemy, clearly identified those that he was with and who the United States stood for, those like Sharansky and his cellmates, searching and looking for freedom. The United States, particularly, since World War II, has been that beacon to the world. We helped establish, we molded this international order that has led to untold freedom and prosperity the world over. We have trade relationships, security arrangements that have given to this kind of freedom and prosperity. Fast-forward to today. What would a young 20-something kid in the country of Namibia think of U.S. leadership and what our leadership is saying? I don't have to imagine. By fate, my third son spent the last two years in Southern Africa, part of that in Namibia. While he was in Namibia, he heard our president refer to that country that he was in and other African countries as S hole countries. He heard our president refer to the press in the United States as the enemy of the people. He heard our president refer to his political opponents as losers and clowns. Around that same time, what are political prisoners still in Russian thinking? Who do they look to? They've seen our president stand with their leader, Vladimir Putin, and take his word over the word of our intelligence agencies. What do political prisoners in prison camps and labor camps in North Korea think when they hear our president refer to their president as a ""great leader"" -- a great leader for his people? Who do they think that we affiliate with? What people in the Philippines, when they see our president stand next to their leader, Duterte, as he refers to the media in the room as ""spies,"" with our president laughing along with him? There is no replacement for U.S. leadership. We mean a lot to the world. We need to keep that. This president has not. We cannot go another four years this way. Those arguing for the resolution will argue that this president can be re-elected. They're right; he can. And he might. But the question that we're trying to answer here, as Republicans, as conservatives, is should he be re-elected? Should we go another four years? I think that four years is difficult enough -- to unravel some of the damage that has been done internationally to our role, to our leadership position. We cannot -- should not go another four years. You know, we hear -- and we'll talk a lot about the economy. It's doing well. As a conservative, I cheer de-regulation, lower taxes, things that make us all more prosperous. But we are more here than the sum of our gross national product. We present and project values to the world, and that matters. That matters a great deal. That's why I hope that you'll vote for the resolution that the Republican Party should not re-nominate this president for another four years. Thank you."
against,"Thank you. Tonight's resolution concerns what the Republican Party can and should do in 2020. and as Liz has reminded you, we have to address this from a Republican perspective. So, the party's top objective at the nominating convention in 2020 is going to be one objective only, and that is to win in 2020. Now, if that is our objective, there is no question that we as a party must re-nominate Donald Trump. This is empirically true, statistically true, and true in terms of the electoral college, as I will soon explain. Let's begin empirically. Since 1900, there have been 19 presidents who have sought re-election for their party -- both parties combined. Of those 19, 14 have won. That's a 74 percent winning record for incumbents seeking re-election. That is extraordinary. Indeed, it has been 30 years since someone fail to win re-election, and that was Bush 41. And his loss to Clinton can largely be attributed to the presence of Ross Perot in the race. And you may recall, Perot took 19 percent of the vote. So, it is an extraordinarily strong trend in American politics. It would be foolhardy for either party to give up the advantage of incumbency. Incumbency gives the president a bully pulpit. He can get the whenever he wants. Incumbency also allows the president to run in front of voters who have already voted for him once before. Second reason. Trump right now is the only Republican candidate who can thread the needle and win in the electoral college. I think it's undeniable that the reason President Trump won in 2016 is he was able to hold onto Ohio and Florida in the Republican column, and break through the blue wall in Pennsylvania, Wisconsin, and Michigan. And it was a slim victory. He won Pennsylvania by only 0.7 percent of the vote. He won Wisconsin by only 0.8 percent, and he won Michigan by only 0.2 percent -- or, to put it in raw numbers of voters, 80,000 people in those three states voted for Trump, and in so doing, made him our president. That's how close it was, and that is the only path to victory for the Republican Party. If we are going to win again, the Republican Party has to have somebody who can win in those three states all over again. And although we do have a strong bench, I don't think there's anyone in our party, at this time, who can do it. And so, that is an important reason why we have to have Donald Trump. Now, look, if you're a liberal Democrat sitting in this audience right now, you should be jumping up and down, rejoicing. Because I don't have any doubt about 2020; we're going to win 2020 with Trump on the ticket. My doubt is about 2024. I don't know if any Republican can do what Trump did in those blue-collar states and break through the Rust Belt. We -- the party -- after Trump, we might be toast if we don't find somebody who has his special sauce, that can connect with voters in those three states. Now, why is it that I'm confident that President Trump can win again in those three states? It's because he delivered on one of his main promises, and that was to look out for the American working class, blue-collar voter. And he has done so. The numbers are pretty staggering. In terms of wages in the last 12 months, we've seen 3.4 percent increase in nominal wages. That's extraordinary, the largest wage gains in the last 12 years. It is a massive achievement for the working, blue-collar voter, and that's why blue-collar voters in exit polls voted 66 percent for Donald Trump in the last election. He's the only one that can pull it off again, and that's a direct result of his position and his policies on the signature campaign issue, which of course is immigration. President Trump has done what no other president -- presidential candidate has done in recent years, made that a centerpiece issue, and has governed with that as a centerpiece issue. He has recognized that illegal immigration really does affect all of us. Every state is a border state now. Indeed, the -- we're all paying for it right now, everyone in this audience. The cost falls overwhelmingly on the taxpayers. No matter what you think about open borders, or immigration, or illegal immigration, you're paying for it whether you like it or not. The net cost of illegal immigration per year is $100 billion at state, federal, and local levels combined. That means net -- after you take into account the taxes that the illegal aliens pay, we're still paying for $100 billion in public benefits. And then, of course, there's the cost in terms of human lives, and this is something that President Trump recognizes. He repeatedly has the angel families beside him at the White House or wherever. In a typical year, about 6,000 Americans die, either through homicide or vehicular accidents caused by illegal aliens. Both are deaths that would not have occurred if our immigration laws were fully enforced. President Trump realizes that this is important in the American public, people of both parties or of neither party recognize that this is important. So, he has connected there. And one further point on the immigration issue, that has helped drive up wages. By reducing illegal immigration, you drive up wages, especially in unskilled labor categories. And so, therefore, he -- they have seen those wage gains and he has delivered. I want to talk about another issue where he has delivered, and that is, of course, on the issue of judges. President Trump said that he would nominate conservative judges, and he did so, and he's done so much better than past Republican presidents. Remember Bush has the Harriet Myers hiccup? Remember the elder -- the elder Bush had David Souter, Nixon had John Paul Stevens. In contrast, Trump has nominated people who have held to a constitutionalist line and have been consistent. In terms of appellate court justice, he's gotten 30 judges through in his first years in office. That's better than any of the previous five presidents, and that's largely due to him. And no thanks, of course, to Jeff, who helped to freeze 21 of them in committee. Some of them were also district judges and helped to derail one on the Senate floor. He has pushed through, and he has gotten his White House very effective in doing so. That has helped. So, he has delivered for conservatives. And finally, I would note, in terms of delivering on issues he promised, the Heritage Foundation 13 months into the presidency said President Trump had delivered on 67 percent of his promises. They looked back to Ronald Reagan at the same point. Only 49 percent of his promises. So, in -- finally, in response to Bret, I won't stoop to an ad hominem argument, but I will say, to put it in your terms, if we don't re-nominate Trump, the Republican Party, or America, can say to the Republican Party, ""Hasta la vista, baby,"" or as we say in Kansas, ""Hasta la winnebago."" But the point is the party is going to fade very quickly from the electoral stage if we don't not only re-nominate Trump and try to find somebody else after Trump who can capture those three states because, if we don't, we will be a party of the past like the Whigs. Thank you. Okay. I don't agree because the list of accomplishments that I read off started with tax cuts, deregulation and went on for a whole series of things that he has done, including what Kris talked about, appointing conservative justices. I would argue he has had the most consequential conservative agenda of any president in my lifetime. I think what our opponents dislike about Donald Trump -- and I think probably everyone in this room could talk about this -- is his manners, his personality. I don't think -- so does it matter, to answer your question? I prefer outcomes. At this point, as I have mentioned, I think, really, this country is at a crossroads. We always talk in that terms. But when you have people out there really proposing socialism or European-style socialism, this is not a time to be finicky about someone's language or about someone's coarseness, which I think is really at the heart of it what offends a lot of people, including our opponents. So, yes, I think he's a conservative. I think his actions show that. No -- and yes, I do think that's important, but I think winning is more important. Right, I know that."
for,"And the reason is that policies come and go. Many of what you described as Trump's accomplishments, and I might agree with accomplishments, will vanish when the next Democratic administration inevitably comes to power, as it will, whether it happens next year or five years later. But principles last. Principles define a party. When I was young, I was inspired by the sight of Ronald Reagan at the Statue of Liberty talking about the value of immigration for a very personal reason. My mom is a refugee to this country. Not one of you in this room is more than two or three generations away from someone that Donald Trump would rather not have in this country. Think about that. And think about what it says for the Republican party that the message is that immigrants are a threat, not an asset to this country, which is a large part of what Kris was talking about. you know that immigrants, legal and illegal, commit crimes at a much lower rate than native-born Americans? That's a fact. Do you know that immigrants start businesses – -- at a much higher rate than native-born Americans? That's a fact. And do you know that if we didn't have the kind of immigration we had in this country, one out of three Nobel prize winners who are Americans would never have made it here. So simply -- -- to have a president whose stock-in-trade is to demonize people from so-called S hole countries -- my family's from Moldova, that's an S hole country, okay -- is not Republican, not conservative, and fundamentally not American."
against,"Okay. Can I respond? Okay, so let me start with that immigration briefly, and go to that. So, the point Bret has made is one that is one of the biggest fallacies -- factually incorrect statements out there that immigrants generally commit crimes out of -- they always conflate it -- at a rate less than -- lower than U.S. citizens. CIS, Center for Immigration Studies, recently broke this down and showed it very clearly using the actual percentages that, yes, legal immigrants do commit crimes at a lower rate because, guess what? We get to screen them before they come in, and so you screen out those with a criminal history. Then you have U.S. citizens who are -- were here, some are criminals, some are not; and then you have illegal aliens who commit crimes at a higher rate even if you don't count the crime of coming in illegal, which is a crime if they came across the border. Still commit crimes at a higher rate. So, you have to break it down that way. And then Texas did another study with the Department of Public Safety. Same conclusion. Okay. So, the larger point of packaging and conservatism, I think the conservative position's clearly on that issue, the one that Trump has taken. But look at all of the other issues, taxes, Constitutionalist judges, the reducing regulations. These are all core conservative principles that Trump has embodied. And he got them --"
for,"Well, that's only part of the equation. Let's take taxes. We get lower taxes. I think that's a good thing. In particular, we need it to lower the corporate rate in order to be competitive globally because we compete globally. And hopefully, we'll continue to compete globally with free trade agreements. But -- but -- but the point is, tariffs are also taxes, and the president has imposed tariff after tariff right now in ways that have put soybean farmers in Iowa, for example, basically having to receive federal assistance now because they would like to trade, but they can't because of counter tariffs that are imposed because we imposed tariffs in the first place. Starting a trade war is not conservative. Republicans have, if there's any defining, animating principle that we have had in the party for generations now, it's free trade. And the president has really tossed that overboard. So, there are certain elements that the president -- that there's -- that are conservative, but ."
against,"Okay. But I would argue that we don't have free trade. I would argue that the United States, over two decades, has gradually lost ground. The playing field is not level. The tariffs on goods that are made in the United States and exported to Europe even, our closest allies, are two to three times higher on average than our tariffs on those goods that are coming in for Europe. In China, there's not even any comparison. China, once it became a member of the World Trade Organization, has perennially cheated on all kinds of aspects of their dealing with us, including, obviously, relying on the state-owned enterprises and subsidizing those enterprises to export goods into this country at cheap rates. So also -- -- imposing very high tariffs . Yes. Yes, absolutely. It's protecting the -- It -- protecting the United States' interests, which is what Donald Trump has over and over said he wanted to do, includes protecting our trade relationships, yes. That is a conservative -- -- principle. Well, actually, we just re-did NAFTA. We are not doing that."
