side,script
for,"If you need more time I’m afraid I can’t help you. I’d like to thank Bob Rosenkranz and Intelligence Squared. I feel like I’ve spent most of the past year watching Presidential debates, it’s nice to finally be in one. Please don’t change your minds, Bush was obviously the worst President of the past 50 years. Yet the task Simon and I have tonight is extremely difficult. We have to convince a small fraction of you, at least if you’re anything like the people who have given Bush the lowest approval rating of any post-war President, who still resist that conclusion. And to be honest I’m not sure that people who still defend the Bush Presidency are entirely open to persuasion. But I wanna try, by talking a little about how much Bush has done wrong and how little he’s done right. Let me first just tell you a little bit about my own perspective on this, I am not a Bush hater. I’m not someone who can be described as a partisan Democrat, the way Mr. Kristol and Mr. Rove are partisan Republicans. I’m a centrist liberal, I’m fairly hawkish on security issues, I’m in favor of limited government. And let me just state up front, I think George W. Bush was a fine governor of Texas. I think Ronald Reagan was a successful President, and I think George"
against,"And Pakistan? I loved it, being lectured about undermining the government of Pakistan. After all, haven't we just elected a President who promised to invade Pakistan if it didn't comply with America’s wishes? Now look, I will defend the President, and I will defend the record of the last eight years. Not always successful, but enormously successful over the long term and the long sweep of history. Karl Rove, thank you very much. Thank you for having me here tonight. Thank you, Karl Rove. And that concludes the opening statements. In a minute or two we’re going to come to you, the audience, again, reminding you to keep your questions focused and brief and have a question mark at the end of it. But we now have the numbers that tell us your opinions as you came off the street tonight. On our motion that George W. Bush is the worst president of the last fifty years, that Bush 43 is the worst president of the last fifty years, sixty-five percent of you are for the motion, seventeen percent against, and eighteen percent undecided. And again, as we said at the beginning, we tend to judge success in this debate by how much you can actually move those numbers. So, if that sixty-five percent goes up, the side for will have prevailed, if the seventeen percent that is against goes up, that side will be seen to have prevailed."
for,"Well I disagree with that. Every president until, through Bush’s father, had to manage the Cold War which was infinitely more threatening to the existence of civilization than September 11th was. And in particular, if you want a particularly specific example, John F. Kennedy and the Cuban Missile Crisis, which probably brought us closer to Armageddon than we’ve ever been. And the way Kennedy personally managed that crisis, if you’ve ever seen the movie Thirteen Days, or listened to any of the tapes, is an amazing story, because he rejected the advice of very powerful people in his administration who claimed to know a lot more than he did. But his instincts were very good, and he made the decision that saved us all. Audience questions. I'm going to collect a couple. To the right here, and then I want to get to the other side, I see a white sleeve halfway up, keep that hand waving and we’ll get a microphone to you."
against,"Yeah, well look, we’re asking, it’s an unpopular war, and we’re asking the country to do tough things for a long time. And the economy’s bad. I would remind you, not to correct Mr. Weisberg, but there have been three presidents who have had lower approval ratings that I'm aware of, Carter, well actually four, Carter, Nixon, Johnson, and Truman. Truman left office with numbers lower than this President’s. History has judged each of these men differently after their departure. If I could respond to the second one, rule of law. First of all, I'm not aware that I’ve refused to testify in a criminal investigation. You may know something I don’t know. You want to elucidate? I think what you may be suggesting is why will I not testify in front of the United States Congress? And the reason is because I believe in the rule of law. The rule of law that says there’s a separation of powers between the executive and the legislative branches, and that the President of the United States has a right to receive confidential advice form his assistants, which has been upheld by the United States Supreme Court. Now, right now it’s being re-litigated again, because the United States Senate did not like the answer the White House gave them in the summer of July, in the summer of 2007. If I'm called upon, and a court of law says that the President has no such right, I’ll testify. In the House of Representatives and in the Senate, we have made numerous attempts to provide the Congress with the information that it’s requested, in a way that protects the right of a President and his prerogative to receive that kind of advice from his staff, from his confidential advisors. The Senate has refused to take any one of the options. The House refused to take five separate options that we gave them, until finally, some members of the House Judiciary Committee asked the questions that were being asked by the Committee, and sent them to me. And under penalty, I responded to those, and if you like, you can find my answers at Rove.com. So, I’ve answered them. But, there is a rule of law, and we ought to respect that rule of law that says there is a separation of powers between the branches, and that’s exactly why I’ve been directed by the President not to testify in front of Congress on these issues. Simon Jenkins, I want to bring you into the conversation. We, the issue, that question was premised on the notion that America’s image has always rested on its adherence to the rule of law, and that the years of the Bush administration have, to some degree, to seem to have been a disintegration of the value of the Constitution. With Barack Obama now taking over, does the fact that he has this terrible image with which to compare himself, give him a boost, or does the fact that American leadership have been so diminished, respect for America has been so diminished, give him a terrible starting point? Well, I think the origin of this whole part of the discussion is the response to 9/11. 9/11 is the starting point of almost everything that we’ve been talking about. And I think many people in Europe, and around the world, simply feel that America over-reacted, and so did Britain, I may say. So, this is not something peculiar to America. It was a feeling that some new force had been unleashed on the world to which we had to respond by restricting our normal customary defenses and liberty. I'm a libertarian, and I feel that was, I’ve always felt that was simply unnecessary, the reaction was an overreaction. The consequence of it, however, is that we have, in a sense, played the terrorist’s game. We’ve done what they wanted us to do, which was restrict our liberties, curb our liberties, behave in a certain way towards other States and other peoples that we would not normally have done before. And—"
for,Would that they were on the run.
against,"Well, they launched one series—"
for,…on Osama bin Laden—
against,One series of—
for,"They missed. Bush hasn’t got him either. They started a little later. Anyway… Bush turned that around. But I just don’t buy this premise that we’ve radically curved civil liberties. Bush has done less after the 9/11 attack than any other President has done, much, much less, he’s much more responsible than Franklin Roosevelt was after we were attacked in World War II. He’s been much more solicitous of civil liberties than, if I might say, John Kennedy and Lyndon Johnson were during, and Richard Nixon were, during Vietnam. We’ve had, you know, some controversial calls, and some tough calls. There were a couple of over-reactions which the Bush administration itself walked back, Jack Goldsmith and Attorney General Mukasey have, I think, corrected some controversial interpretations that probably went too far— Bill, can I interrupt you—"
against,Yeah.
