side,script
for," Not necessarily. I thought to make this interesting, I'm going to do the debate both inYiddish and actually -- -- I was the first person to do that in a Federal Reserve speech, but I also used Latin in this speech. So I'll do it in both languages and see how it goes. I sure do. They were fun. I'm a wild and crazy guy."
against,"Why the Gold Standard worke and why Rick and John are now in favor of it. There would be fewer employees at the Fed. John Donvan:Fewer employees. Ladies and gentlemen, James Grant. And I like that we're seeing a certain economy in the words tonight and the language so far tonight. So our motion is ""America doesn't need a strong dollar policy."" As always, we ask you, our live audience, to act as our judges. By the time the debate has ended, we will have asked you to vote twice, both once before the debate and again after you've heard the arguments and the team whose numbers have moved the most will be declared our winner. So let's have you go to our preliminary vote. Let's register your preliminary vote. If you go to those keypads at your seat, our motion is ""America doesn't need a strong dollar policy."" If you agree with the motion, if you think America does not need a strong dollar policy, you push number one. If you disagree with the motion, you push number two. That means that you fell America does need a strong dollar policy. And if you're undecided, which in our forum is a perfectly reasonable starting position, push number three. You can ignore all of the other keys. They're not live. And if you push the key incorrectly, just correct yourself, and the system will lock in your last vote. And what happens at the end of the debate, soon as the debate is -- the third round is over, you vote again, and then about one minute later, thanks to the miracle of computing, we instantly are able to declare a winner. So let's get on to round one. Our motion is ""America does not need a strong dollar policy."" And here to argue first for the motion, Frederic “Rick” Mishkin, professor of banking and financial institutions at Columbia Business School and a former member of the Board of Governors of the Federal Reserve."
for,"So just to start, I have to tell you I went to Oxford for a year, and my mother, of course, I was a New Yorker, she said, ""How come you still talk like a New Yorker?"" So it didn't work. But I never actually went to Oxford Union debates. And this is actually styled after it. I wish I had. So what I'd like to do first is just to talk about the way that we're going to branch out in terms of my teammate and I. I'm going to focus first on the domestic economy. And actually because of what I do for a living, both in terms of the research I've done and the fact that I was a policy maker at the Federal Reserve, and my teammate John Taylor is going to focus on the international ramifications of a strong dollar policy. So let me actually go out and make two points. And the first point is that when we think about what is good policy, I'm going to say what is a good policy for the American economy. And in particular, the first thing we have to do is ask where are we right now? And two things that I want to talk about is where are we in terms of our business cycle, where are we in terms of unemployment? Not very good. We have unemployment rate of 7.7 percent. People are out there struggling. And furthermore, we're in a situation where we also have inflation which is actually too low, so inflation right now is actually running in the preferred measure, 1.2 percent, which is below their target level. So in fact we're in a situation where we're not doing as well as we'd like on either component of what we think s important in terms of stabilizing the economy. Furthermore, the economy is not growing that fast. It's been growing very, very slowly, hasn't really picked up yet. So we're in a situation with a weak economy and actually inflation, which is on the low side. So now let's ask what would a strong dollar do? Well, a strong dollar would actually mean that the currency would go up in value; that would make American goods and services more expensive; if they're more expensive people will buy less of them; that foreigners are not going to buy our goods and services the way they did before. What will that do? That will actually end up lowering the demand for our goods and services; as a result, our economy would actually weaken further. Is that what we want? Absolutely not right now, because we'd actually get an economy with higher unemployment and actually inflation, which would be even lower, which has been trending down, it'll go actually down lower. So it's not the right policy at this particular point in time. And so, in that sense, I think that it's a very bad policy to think that what we need to do right now is to strengthen the dollar. So that's point one. Point two is a little bit more subtle and I'm going to be a little more academic here, that I'm actually going to argue that it's a mistake to have any dollar policy, whether a strong one or a weak one.  Because what policy should focus on is stabilizing the economy; we should use our tools, both in terms of monetary policy and also fiscal policy, to actually stabilize the economy. At the current juncture we're in a situation where inflation is on the low side, we're actually in a situation where unemployment is on the high side, so in this case, actually, we would think that we don't want to have a strong dollar. In fact, if our policies are expansionary, they might actually produce a weaker dollar; however, there are other circumstances where, in fact, a strong -- having tight policy would be the right thing to do. In particular, we raise interest rates rather than keep them low. And that would be a situation where we have a lot of inflation. And we've been in periods where, in fact, we've had high inflation, very worried aboutit, and in that situation we would want to have tighter policy, either higher interest rates for monetary policy or tighter fiscal policy. That would also result in a stronger dollar, then that would be okay, that would work in the right direction. A stronger dollar would weaken the economy, actually help lower inflation, and indeed in periods where we actually had to go out and control inflation we actually needed to go to policies that result in a strong dollar. The point here is that in a situation where you focus on the dollar, you may very well get it wrong because that's not the ultimate objective for policy makers. The ultimate objective for policy makers should be to have a very strong economy. So I'm going to end a little early, I'm told I get a little points for ending a little early. But I made those two points and clearly there'll be a lot of other discussion on these issues, maybe even the gold standard, which would be fun. I have bad news for you, Steve, your wish is not going to be fulfilled. I'm not a big fan of the gold standard. I'm sure we'll discuss that later. But with that, why don't I leave it to the other side?"
against,"I forget it -- I forget it sometimes myself. What a strange proposition we are wrangling over this evening, ladies and gentlemen, a strong dollar, a not so strong dollar. The dollar is a unit of measurement. It measures the price of everything and anything. It preserves us from barter. It stores the value of work. The sine qua non of any unit of measurement is that it be fixed exacting, unwavering, true. My teammate and I, Steve Forbes favor a stable dollar so we oppose the motion in the same spirit we support the 12 inch foot, the well calibrated bathroom scale, and the more than 16 ounce serving of Mountain Dew. Now among the enumerated powers of congress is that to coin money and to regulate the value thereof and of foreign coin, and fix the standard weights and measures. The constitutional dollar was no placing of our monetary mandarins; it was a standard like the mile. Through most of the nation’s history, a dollar was defined under law as a particular weight of gold and silver, more often of gold, specifically of 23.22 grains fine. A little more than $20 was convertible on request into an ounce of gold, by and by the dollar was redefined. In the mid 1930s it was cheapened to 1/35th of an ounce of gold but still, still it was defined, anchored as something. Then came the fateful evening of August 15th, 1971, pre-empting the beloved popular horse opera, Bonanza, President Nixon announced that henceforth, the dollar would have no definition, no anchor. No longer would America’s creditors have the option of converting 35 George Washingtons into an ounce of bullion, that universal monetary medium that nobody can print. Henceforth said Nixon, lashing out against unnamed speculators, they always do, the dollar would be as good as paper. And that at least, is one political promise that Washington D.C. has faithfully kept. And what has this soft, undependable malleable post-1971 pure paper dollar wrought? Well in 1971, the gross public debt totaled 408 billion, or 38 percent of GDP. As of yesterday, the gross public debt totaled16.7 trillion, or more than 100 percent of projected 2013 GDP. Now think of the long-grade line of plans and resolutions to bring our national finances under control. The institution of the Congressional Budget Office. Gramm-Rudman-Hollings, the emergency deficit control act, Reaffirmation Act of 1987, and on and on, and now comes Paul Ryan. Will he be our messiah? Well maybe, but I doubt it. As long as the treasury can borrow at 2 percent and as long as the Federal Reserve can conjure hundreds of billions of what they are pleased to call dollars, with which to buy up these emissions of debt, the red ink will continue to spill. Alexander Hamilton himself might have succumbed to the temptation. Anyway, in 1971, the final year in which the dollar was anchored by something, anything, foreign governments held U.S. government securities on the order of $31 billion.  These holdings today top $3.3 trillion. They are the spore of our non-stock deficit on dirt goods and services. Consuming more than we produce, Americans remit dollars by the boatloads to our Asian creditors who obligingly return them by return mail in the shape of American investments in American IOUs. It’s as if the dollars never left the 50 states. Sweet it has been this privilege of America, the privilege of paying its foreign creditors in the currency that only it may lawfully print. But the unprivileged are fighting back. They too are cheapening their currencies through the modern techniques of ultra-low interest rates and that cut glass phrase, quantitative easing. You know, some years ago, the Financial Times published a letter to the editor concerning quantitative easing, that is to say in laymen’s language, central bank’s conjuring of new paper money secured by nothing except the good faith of the government that prints it. I finally think I understand the meaning of quantitative easing this correspondent wrote. What I no longer understand is the meaning of the word money. Under the rules of the true blue gold standard, governments tended to balance their budgets and international debtors and creditors tended in a timely fashion to square up accounts. I don’t have to tell you that no such constraints bind us today. Deficits grow and imbalances pile higher and higher, as you would expect them to, in a monetary sense. After all, we are playing tennis without a net. And for that matter, without baselines or sidelines and with imaginary green balls. Incongruous this is as well, volatile currencies, due to their mis-shift in a world increasingly and finely calibrated, the international system of units binds every commercial nation in a rigorous regime of weights and measures. And a good thing too, as 21st century engineering projects involve myriad interrelated elements which all must be measured alike, sometimes to an accuracy of up to one part in a million or more, as Robert Crease relates in his book, ""World in the Balance."" Well, well, it's an ill wind that blows no one any good. Unanchored exchange rates have created a cottage industry and monetary volatility. John Taylor. John Taylor, fromwhom you'll hear in a moment has built a thriving foreign exchange trading business on the ashes of the good as gold dollar. Well, just look at the quality of that man's suit. It's a fabulous business. The more the currencies dance and swerve, the better it is for Mr. Taylor and his hedge fund. To him, as to others in the forex trades, the very idea of monetary stability is -- it's worse than anathema. It's unprofitable. I would no more expect him to espouse a system of stable currencies and fixed exchange rates than I would an oncologist to welcome a cure for cancer. No, that is -- that's not my best one. Our post-1971 helter-skelter monetary system also favors the prodigious talents of John's sparring partner and my sparring partner, his partner, Rick Mishkin. The holder of a Ph.D. in economics from MIT, a prolific author, and coach at , Fred ought to be at NASA. He should, if for not his sake, for our sake. And so should every holder of a Ph.D. in the Federal Reserve Board. Ladies and gentlemen, we've alighted from the gold standard over a course of decades into something that we should all regret, the Ph.D. standard."
for,"My cottage business happens to be dealing with the world and the reality in the world, not like Jim's which is dealing with the world the way he would like it to be. I would start out by saying that, Jim, your first statement to Rick was that you would be cutting the number of employees at the Fed. I would say that if we follow any of your policies, we'd be cutting the number of employees everywhere. And, unfortunately, unfortunately, yes, the dollar is as good as paper, and every currency in the world is as good as paper. We're not worse. We're not better. But the fact of the matter is, is that your dollar that's as good as paper is convertible into anything. You don't have to hold those dollars. I give another speech trying to sell our cash management program where I tell people -- I hold up a Zimbabwean hundred trillion dollar note that's worth about 20 cents and tell people that ""You shouldn't just keep your money in the United States, you should put your money around the world. You should be free."" But the fact of the matter is, is that almost everybody wants to keep their money in the United States. Why can the Treasury borrow at 2 percent? They're not forcing you to lend them at 2 percent. They're not forcing the Bank of England to invest its money at 2 percent. They're not enforcing the Chinese to invest their money at 2 percent. But they do. And, therefore, the dollar has a value. Paper or not, it's got a value. And gold is not necessary. Also today everybody has the pleasure of borrowing with their own currency unless, of course, your currency is Zimbabwe and nobody wants to hold that. By the way, the latest figure I saw was that the National Bank of Zimbabwe had $210 in its account. That's the central bank.  The value's probably changed in the last week or two. But because everyone has the privilege of borrowing in their own currency, and that means Brazil, all kinds of emerging countries, we're no longer on this standard where the U.S. has a -- you know, there's power over the world, we borrow in our own currency, and everybody else is stuck. They have to, you know, balance their budget, do all the right things. No, unfortunately, in a way, from Jim's point of view, and I'm sure Steve's, as we'll hear, everybody has this ability to borrow too much. I don't think it's a good idea, I don't think it's necessarily going to end well. I believe in a lot of things that tend to be conservative, but the fact of the matter is that a strong dollar policy has a lot of impact on the United States, as my partner Rick has pointed out. It would hurt us dramatically if that happened, and also, the dollar has a very strong impact on the rest of the world. If you're looking at the easy side of this from the U.S.'s point of view, what impact does a strong dollar have? Well, for a start it has a lot of impact on jobs in Ohio, in Michigan, in places where we actually produce things in the United States, because the stronger our dollar is, the less likely it is we are to have a manufacturing sector. In 1985, when the U.S. had a strong dollar policy, and after a while a stated strong dollar policy under Ronald Reagan and Volcker, we began to develop something that we now call, and it came into practice then, ""the rust belt."" And the reason that was the rust belt is all of a sudden we couldn't produce anything that could compete with the rest of the world because the dollar was too damn strong. So now we all drive Mercedes and Toyotas and whatever, we do not drive things that come out of Michigan. Now, let's face it, Michigan has other problems, and if you were -- I know I'm going to get defeated on this, Toyotas are all made in the United States, Hondas are made in the United States, yeah, in Kentucky, Tennessee, Alabama. There are reasons for that. But the fact of the matter is that the strong dollar -- the weak dollar today has brought these European and Japanese companies into the United States, even Korean, and if we had a strong dollar they would go, too. One of the things that the Japanese are trying to do with their latest effort is to make the Toyota plants come back to Japan so that they can actually employ Japanese to make Toyotas instead of people from Kentucky or Tennessee. So the dollar is very, very important domestically for us, and basically if you have a strong dollar you end up with a situation where the rich get richer and there aren't a hell of a lot of jobs. How does the world do with the dollar? A strong dollar is bad for the world as well. And it's kind of perverse, because if you would argue that, oh, gee whiz, if you’ve got a strong dollar, then anybody can sell anything to us.  Because everything looks cheap to us, right? And I must say that, you know, in the 1960s everything did look cheap to us. Now a lot of things look quite expensive. In fact, one of the worst things about a weak dollar is the fact that we can't go to Europe on vacation; it's too damn expensive. If we had a strong dollar, Europe would be cheap and we could all go on vacation, but at the same time, all the New York City hotels would be empty, whereas now you walk around the New York City hotels, well, they're just loaded with people from places that I never thought could possibly afford New York. And it's always interesting for me to sit and talk with somebody and have him tell me how much more expensive Belgrade is than New York. That's like, ""What? You got to be kidding. But they were serious But overseas, it's a little difficult to understand, but if the dollar is declining, then it's very inexpensive to build a plant, to finance your trade, because a weak dollar, which is the global currency because the dollar has been out there for years -- a weak dollar is the thing that you finance your trade in. And if you know the dollar is going to be weaker in a year or two or three, you don't repay it. You might be paying 6 percent for your dollars, but hell, if the dollar goes down 10 percent a year, you're paying minus 4. So it's a gift. So when the dollar is weak, people borrow money from Citibank, from JP Morgan, from Goldman Sachs, the people doing these deals, and our banking system does very well. When the dollar is strong, all of a sudden these people are, ""Oh, my god, I now owe more for this loan, and my plant that I built in Thailand isn't as successful as I thought, and so I have to close it down and I have to lay off workers."" So when the dollar gets strong, all of a sudden the rest of the world economies go down, and so, actually, the United States is in a bit of a problem. Can we have a strong dollar policy? We argue strongly that we can't, because there is no place for us to do it. We have to support the world."
against,"  Thank you all very much for coming here tonight. I want to emphasize with Jim that we believe in a strong and stable dollar. We don't like inflation; we don't like deflation. We like ""flation.""  This -- so let's lead. What is money? Money makes it easier to buy and sell with one another, to do transactions with each other. It is through buying and selling that wealth is ultimately created, doing things, interacting with each other. Before we had money, in the old days we had barter. If I sold an ad in Forbes Magazine 3,000 years ago, how would I get paid? Perhaps with a herd of goats. Let's say I wanted to buy iPads for our writers, so I go to the iPad store 3,000 years ago with my goats. Store owner says he doesn't want goats; he wants sheep. So then I have to figure out how I swap my goats for sheep. Perhaps I have to hire a sheep herder so the wolves don't eat the sheep. Sheep herder wants to be paid in wine. I've got red wine; he wants white wine. So it becomes very, very cumbersome. Money makes all this easier, more convenient to do those transactions. So we got coins in Lydia 2,600 years ago. Then Athens picked it up, became a great commercial and cultural center. Got coins, and then paper, and then blips on a computer, but all of it means it makes it easier to do commerce, makes it easier to buy and sell with one another. That's the function of money. If we had barter today, imagine what it would be like, trying to deposit a cow into an ATM or take out a pig from an ATM. So we have money, and money is like anything, fixed weight and measure. If it has a fixed value, it becomes extremely useful. We have -- when you go to the supermarket, say, buy a pound of hamburger, you assume it has 16 ounces, not 18, not 12. We don't float that pound from the British pound. But you know when you go to the market, 16 ounces. Twelve inches in a foot, that doesn't float. Imagine building a house 3,000 square feet if the rule floats each day. Take -- what would your life be like if the Federal Reserve did to the clock what it does to the dollar? Float the clock. So it's 60 minutes in an hour one day, 20 minutes thenext, 22 the next, 90 the next. You'd soon need to have hedges, derivatives futures, to figure out how many hours you're working. So let's say you hire somebody, 15 bucks an hour, do you pay that -- is that a New York hour? New Jersey hour? Bangladesh hour? Let's say you're baking a cake. It says bake the batter 45 minutes. You have to figure out, is that an inflation-adjusted minute? So a weak dollar, unstable dollar, makes commerce harder, and it has very destructive impacts. First of all, it misdirects investment. Without investment, we don't get a higher standard of living. A weak dollar is like a virus in a computer, corrupts the information. When the dollar becomes weak, what happens to the flow of investment money? It becomes defensive. It goes into commodities. Try to preserve what you have instead of invest to grow in the future. You saw it in the 1970s. $3 oil went to $40 a barrel. When Reagan and Volcker stabilized the dollar in the '80s, crashed down to $10, stabilized to $20. From the mid-1980s to the early part of this last decade when the Fed went off the rails again, dollar average -- average price of a barrel of oil more than $21. And now look what it is today, $80, $90. You saw it with the housing. We had an artificial housing boom in the late '70s, even worse one this time. The housing bubble could not have happened without a weak dollar. So you get financial bubbles. Another thing that happens is, when you have a week currency, real wages go down, which is why the median income in the country's gone nowhere for 10 years. Your salaries go down in real terms, which is why after 40 years of this nonsense, of having floating dollars like a floating clock, it takes two incomes in the family to do what one income could do several generations ago. So when the dollar goes down in value, you pay more for food; you pay more for gas; you pay more for electricity, which means money -- less money for other things. And so U.S. median incomes, as I mentioned, went down. And so workers do better when you have, in terms of improving their standard of living, people do better when they're in countries where the currency is stable, and they do worse in currency -- in countries over time that have weak currencies. It also harms our security. Weak money, as I mentioned, has an artificial boost to commodity prices, particularly oil. That means vast transfers of wealth to commodity producers and the like, and also vast transfers lending trillions of dollars to countries unfriendly to the U.S. like Iran, Venezuela, and Russia. Weak dollar also has a moral dimension. It undermines social trust. It severs, or certainly weakens, the link between effort and reward. Wealth and progress is achieved less by hard work like gaining new skills, perhaps starting a new business, and more by speculation and gambling. Weak dollar means windfall gains, as I mentioned, for commodities and for exotic financial instruments and hurts small businesses and many start-ups. Faith in the future is undermined because it then suddenly becomes the present. Hard work is made a mockery of. You worry about whether you and your children, your grandchildren, are going to have a higher standard of living. The economy seems more like a casino rather than something where hard work can get you a better life. John Maynard Keynes summed it up very well. Keynes said, ""Lenin was certainly right. There is no subtler, no surer means of overturning the existing basis of society than a debauched currency."" That is, weaken the currency. The process engages all the hidden forces of economic law on the side of destruction and does it in a manner in which not one man in a million is able to diagnose. What this means is, what we see happening today, this feeling that something is not right, this feeling that speculation, doing exotic financial instruments, greedy oil companies and the like is the way to get ahead instead of hard work -- it all relates to a weak and unstable currency. So just as you want 60 minutes in an hour, just as you want 16 ounces in a pounds, just as you want 5,280 feet in a mile, you need stability, fixed measure of value. That's all the dollar is, makes it easier to do commerce when it's stable in value. You do more commerce, pure productive commerce. So bottom line is, wages suffer, investment gets skewed, we don't have a higher standing living that we would have had, and it weakens social trust. Stable dollar is what we need, not funny money from politicians who think they know how to do our lives better than we do. "
for,"So the first thing I should tell you is, I actually am proud that I have a Ph.D. and that I’m a rocket scientist. What can I tell you. But I, first I want to talk about, I think that there’s a sense jujitsu going on in that I actually strongly agree with the view that price stability should be the overriding long run -- overriding policy in the long run for monetary policy. And in that context, you’re absolutely right, that if you actually debauch the currency, if you have a lot of inflation, this is a very, very bad thing. I’m in no way advocating that. And indeed, when we actually look at the technology of actually producing stable inflation, the idea that in fact we should go back to the horse and buggy and go back to the gold standard, I think doesn’t fly. So let me give you reasons why. If you actually look at the gold standard period, one of the things that you see, is that when you tie the currency to gold and you say a dollar is worth let’s say 20 ounces, 20 dollars is worth ounce of gold for example, is what was done in that period. The problem is that you’re now in the vagaries of what happens to supply and demand for dollars. And in particular, this is a period where in fact there wasn’t a good dollar yardstick in the following sense, which is, the variability of inflation was much higher during the gold standard period than we have now. Now what did happen in that period and one of the problems here was, that you actually very much affected by acts of God. So indeed we actually had a deflationary period in the 1880 -- from 1880 to about 1896, because they couldn’t find any gold. Then we had the Klondike and South Africa and actually there was inflation, because there were huge amounts of gold found in the ground. So there’s really an issue of technology here. The question is, can you actuallyget states stable inflation so you meet the definition of price stability, which Alan Greenspan I think said rightly so, is it’s like pornography, you know it when you see it. It’s when you don’t worry about what’s happening to the price level in your day to day decisions. We completely agree that that’s the right way to run the economy."
against,"I think that’s - I can speak to the period of the 1890s. I’m older than you and I remember it very well. And your critique of the gold standard, if I may say, I think, reveals some of the weaknesses of the Federal Reserve’s approach to our monetary affairs of the present day. The Fed has its knives out for the thing they are pleased to call deflation. You, ladies and gentleman, might know this as every day low and lower prices. Most Americans spend most of the weekend looking for the thing the Fed deplores. The Fed means to create this amount of credit such that prices do not dwindle, fall, weaken. Now, what will you expect prices to do in a world of technological wonder in which hundreds of millions of willing new hands are added to the world’s labor force? In which digital technology breaks down the barriers to production the world over. In which marvels of engineering shove each other out of the news every day. We can’t keep up with the rate of gain in productivity. What will you expect price to do? Well prices, I would suppose dwindle, the supply curve is shifting downward and to the right. Therefore prices might benignly fall. The Fed will have none of it. The Fed insists on creating that amount of dollars that will deliver unto us that measure of inflation the Fed thinks we need, namely two percent, which by the way, they can’t really measure. So what we have is persistent credit bubbles, in the name of what they are pleased to call price stability. Which is not price stability, it’s --"
for,"Workers do better when there is low and stable inflation, that we agree on. And in fact, low and stable inflation means that it’s not fluctuating a lot. Because what he’s saying that’s different is that he wants a fixed value of the currency, the dollar, in terms of a commodity, let’s say gold. And that actually is not a situation where it produces stability in the price level. During the gold standard, the price level went up, went down. Now you are right, that over very long rises, over 40 year period, there was no change in price level. That’s the good news. The bad news is, that horizons are not 40 years. As Cain said, in the long run, we’re all dead."
against,"Well again, what prices do is, should be determined by a free market. We’ve had a huge fall in the price of memory. You take an iPod today. Memory costs what, $40, $50? Ten years ago, it would have cost $10,000. So as Jim said, with productivity prices might go down, which is good for us. So in terms of the free markets, prices may go up, may go down. You have a drought, they'll go up. Again, the money should be stable in value. The United States, from the time we went on the gold standard in 1789 right through -- some on and offs, through '71, had one of the most extraordinary growth periods in human history. We surpassed our neighbors in Latin America. We surpassed Europe in terms of growth, which is why we attracted more immigrants than any other country in the world where it seems a place of opportunity. And one of the key things that Hamilton and Washington brought in was realizing if you fool around with the money, what that does is hurts commerce. People hold physical assets instead of going out, and doing, and investing in the future. You know, when you invest something, John, you don't know whether -- you know, you might not get a return for three years, five years, seven years down the road. That's risky, but it's even riskier, and you're less likely to do it, if you don't know what you're going to be paidback in. Is it going to be a 100 cent dollar, an 80 cent dollar, a 20 cent dollar? If you don't know, get less of that productive investment and look at -- Well, you get an environment where people invest and things get done. "
