,Speaker,Script
0,Glenn Hubbard,"Well, I am always succinct. To the partisan, I guess I'm old enough to remember when Bill Bradley and I collaborated on an idea that's not too far dissimilar to tonight. And President Obama's housing plans follow work by me and by a colleague at Columbia."
1,Glenn Hubbard,My partner is Art Laffer.
2,Arthur Laffer,"Well, number one, the Laffer curve really is my profile. And the other famous thing about me is I am a little bit taller than Robert Reich."
3,Robert Reich,"No, not at all -- No. Actually, I don't know how Bill Reilly knew that I was a secret admirer of Karl Marx because it was a secret."
4,Robert Reich,Logic on that side of the aisle.
5,Robert Reich,My partner is the incomparable Mark Zandi.
6,Mark Zandi,"I'm nervous about this now. You're going to be nice, right? You're going to be nice?"
7,Mark Zandi,"Yeah, okay, all right."
8,Mark Zandi,"That was nice, yeah."
9,Mark Zandi,"Yeah. I'll take that. I'm a great guy, too."
10,Mark Zandi,"Yes, I was, yeah."
11,Mark Zandi,"I think the president's proposal is the appropriate proposal, allow the tax rates for upper income individuals to expire."
