,Speaker,Script
0,DAVID RIEFF,"Well, it’s always nice to have a logistics glitch, because it gives you a tiny bit more time to think about what you might say of any interest. Um, let me start by saying something that isn't in the spirit of these debates, which is that I actually think there’s quite a large middle ground on this question, and I'm, you know, I don’t mind a good scrap, as any one of you who knows my work will know. But I don’t think that it’s simply a question of saying all aid is terrible or, or um, all aid is good, I think to the, you know, in the way that I want to invite you to vote for this, uh, resolution, it’s that on balance aid is, has done more harm, the resolution is well phrased, than good. It’s not that it’s a great, vast, you know, right wing conspiracy, or left wing conspiracy, I suppose, in the instance. Um, it’s not that aid, some aid programs don’t work, and have not been shown to work. The problem, I think, and the reason that I, again, invite you to at least think hard about supporting this resolution, is that the whole discussion of AIDS avoids, makes a kind of moral and historical end run around the problem of politics. It becomes, if you like, a kind of technical question. There are these suffering people, as Mr. Rosenkranz and Mr. Lehrer both described to you. We do or we don’t have the modalities to efficiently succor them. That is the aid narrative, if you will. And that is a narrative that, largely speaking, deprives the recipients of aid of their agency, infantilizes them, and also make sour aid a super-political, extra-political, moral question. It becomes a moral imperative, therefore we can't talk about the politics, we can't talk about whether the UN system actually works, which in my view, palpably, it doesn’t. Um, that’s another, perhaps another debate, about which I would be more categorical. Um, it is, it doesn’t, but it most of all doesn’t reckon with the fundamental question that people are not saved from outside, people rescue themselves, fundamentally. They can be helped, there’s nothing wrong with aid at the margins. If aid were less ambitious, if aid has less of a kind of globalizing, dare I say it, totalitarian program, I would support it, as I support emergency relief, which at least in my understanding of emergency relief, is not long term development, but rapid entry and departure in major, usually war or refugee movement emergencies. The words are unsatisfactory, but that’s more or less what it is. I don’t, I, I’ve worked in that field, and I do not think there is anything wrong with it. On the contrary, I think if done properly, if it doesn’t become a stalking horse for some ideological position, say liberal human rights, which I would insist is not simply the way the world is at its just, at its most just, but an ideological position. That you, if it does what it’s meant to do, which is, as I wrote in a book on this subject, offer a bed for a night, but not hope to save people, to transform society, et cetera, then I think that, the value of that aid, assuming it’s honestly given, and competently given, is indisputable. What is not indisputable by any stretch of the imagination is the idea that foreign institutions and governments and inter-governmental organizations, notably the European Union and the UN system know how to fix other people’s difficulties. The problem with aid, in short, is that it sets itself up as the kind of know all and end all. Now of course aid people will tell you this is no, not the case anymore, that was true in the bad old days of Lou Preston and the World Bank, it was true when all aid workers were, in Africa were, were white, it was true when, if you like, the aid system was kind of a direct follow on both of religious proselytizing, missionary impulse, and uh, colonialism. But the truth of the matter is that that old Texas adage, the man with the gold makes the rules, becomes, that definition of the golden rule, I mean, is as true today as it was when the French flag waved over . And I don’t think it can ever be different. So that what you have with aid by definition is outsiders telling people in a place how to do it, and telling them if they don’t behave satisfactorily, that is the best practices that you now see in humanitarianism, if you're not democratic, if you are not transparent, fi you don’t do this, that, or the other thing, then we will withdraw the aid. Well, if ever there was an example of any unequal form of relations, I would submit to you that that’s it, which is why, precisely, in depriving people of their agency, aid does more harm than good. It does some good, I, again, I insist on the point that there is middle ground here, but it does more harm than good. Moreover, it does seem to me that the emphasis on aid is misplaced, and that if you want to talk about what can be done in a place like Africa, but not only in Africa, I mean, after all there are other parts of the world that are unfavored in this moment in history for many of the same reasons, you might talk about fair trade a lot more than talking about development aid. Thank you."
1,GAYLE SMITH,"Uh, good evening everybody, and David, you were supposed to say all aid is bad and should be ended forever to make my life much easier. Um… Thank you for inviting us here this evening, and I want to strongly oppose the motion for a number of reasons I’ll share with you. First I think it oversimplifies an issue that warrants our attention and our engagement over and above our opinions for the simple reason that a lot of lives are at stake, and more importantly, dignity is at stake. And I think the motion conflates aid and policy, aid and politics, while overlooking, in fact, how complex aid is. Aid is provided by governments, in the case of our own government, we have twenty different pools of assistance provided by different agencies, some of them more effective than others. It’s provided by philanthropists, including African philanthropists in Africa. And it is provided by NGO’s. it’s a very complex instrument, and to lump it all together, I think, is to obviate the, obviate the good it can do. Third, and I think very obvious, it implies that therefore we should stop it. Um, and I think that this would be a, a cataclysmic mistake for reasons I will get to. Importantly, it overlooks the many successes, and you’ll hear more about this tonight, but particularly in health and education, and also in areas of economic transformation. Let me give you three examples. Ethiopia today has the first ever commodity exchange. This is critically important for farmers to be able to determine what prices they can get, and for trade to, to speed up within Ethiopia itself and within the region. It’s a great thing that can transform agriculture in that country. In part it was initially funded by aid. Let me give you a second, wireless access in Africa has had a huge impact, it’s allowing farmers in rural areas to call and see what prices are being tomatoes in the market, and cut out the middleman that might undercut them and reduce the number of dollars they get. That wireless transformation has come in part from the private sector, in part from local governments, and in part from aid. Third, microfinance, something we hear an increasing amount about, as transformative in the immediate lives of their families and communities. A lot of that money is generated from microfinanced funds themselves but a lot of that has also come from aid. I think that it’s a very out-of-date debate, it kind of overlooks the many things that are going on now about aid that I think will change it, for example today, the majority of country directors for American NGO’s in Africa are Africans. That wasn’t true 10 days ago, that has an enormous…impact. The new awareness about aid among Americans, about a civil society in Africa, is forcing a new transparency which is critical, to hold aid providers and aid recipients to account. Dictators were many times supported in the past and—and I wish I could say they would never be supported again, uh, we can talk about the elections later but for now, I think we’ve seen an important transformation, consider Zimbabwe. Where Robert Mugabe I believe is trying to run the country into the ground. The bulk of foreign aid to Zimbabwe now is going to civil-society institutions, that are trying and doing a very good job of protecting the institutions that can serve that country well, in the future. It also obviates and overlooks an important debate that’s going on now that I think is, is critical for our future, and gets to a point David made about aid and politics, there’s no question that politics has affected aid and aid has often been driven by politics. The emerging debate now among policy-makers, among NGO’s, among Africans, uh, among many, is that foreign aid in the case of the United States needs to be elevated, number one, so that it is on par with some of our other foreign-policy institutions. But more importantly, protected, from the politics that would drive it in the wrong direction. That in other words we need to learn how and move towards ring-fencing development assistance, so that it can’t be used…for reasons other than development. I think to, to sug—to vote for a motion that said aid—aid is doing more harm than good, uh, undercuts that very important debate. The last point I would make is that I—I think the reason this, this motion is flawed is because at the end of the day development matters. And at the end of the day, the United States as a government, citizens of the United States, private companies in the United States, philanthropists in the United States, as around the rest of the world, I believe, have a responsibility and an interest in promoting development. I think it is a moral interest, it’s an economic interest, I think it’s a security interest, I think it has everything to do as well with our leadership. So I would also say in conclusion, that if we conclude that aid is doing more harm than good, and therefore we should get rid of it, what’s our alternative. Will we use the military as our primary means of doing our bit to contribute to Africa’s development in the future? I hope you will agree with me that that would not be the right way to go. Thank you."
2,WILLIAM EASTERLY,"Good evening. I wanna talk to you about two tragedies that have…are covered by this debate. The first tragedy we’ve already heard about, that there’s a lot of unnecessary human suffering in Africa. That for example, children’s lives could be saved for a 12-cent dose of anti-malaria medication, could save them from dying from malaria. And that is in—indeed a tragedy that children are dying for lack of a 12-cent medicine. Everyone here on the panels agrees that’s a tragedy and feels compassion at this enormous tragedy. There’s also a second tragedy and that’s—this is a tragedy that we hear a lot less about. And this is the tragedy that we’ve already spent as official donors $600 billion in aid to Africa over the past 45 years, and after all that children are still not getting the 12-cent medicines. So there were still between one and three million deaths from malaria last year. So aid would be a great thing if it worked. But the sad tragedy is that—and this is really one of the, the scandals of our generation is that mo—money meant for the most desperate people in the world, is simply not reaching them. $600 billion in aid to Africa over the past 45 years, and over that ti—over that time period there’s basically been zero rise in living standards. Zero rise in incomes in Africa. The money is simply not reaching the people for whom it is intended. And yet, the advocates of aid always focus their energies simply talking about this number, about how much we spend in aid, as if that in itself were an achievement of some kind. This goes back, it—every generation calls for an increase in aid to try to resolve the problem of development. It goes back to an advisor to John F. Kennedy named Walt Rostow who called for doubling foreign aid way back in 1960. In 1973 World Bank president McNamara once again called for doubling of foreign aid. Actually this is something that I noticed in my research which, uh, as a professor you’re always kinda proud when you discover an empirical irregularity that really fits the data perfectly. And that is that when people call for an increase in aid they always call for exactly double. It’s always exactly 100 percent increase. Never, you know, 117 percent or 83—it—it’s amazing. So this has continued to the present, the 2005 G-8 summit called for doubling aid to Africa. Barack Obama’s called for doubling aid to Africa, Jeffrey Sachs has called for doubling aid to Africa. Uh, even our President George W. Bush called for and has already implemented an—an increase in US aid of 50 percent. I did worry for a moment that that didn’t fit my law, but, uh, I checked with the White House staff and they explained to me that he thought 50 percent was double. So… So what—what—what good does it do to focus on the amount spent, uh, this obsession with the amount spent on aid, if the balance of the evidence suggests that the, the money is not reaching the poor--sure, there is the occasional success, which we will hear about from time to time tonight, but the balance of the evidence is simply that, $600 billion went into Africa and income did not rise. So where did the money go? Well, unfortunately a lot of it went to corrupt rulers, to corrupt and autocratic rulers. Today, despite all the talk of action against corruption, two-thirds of all aid today goes to rulers who have the worst rating on corruption. Two-thirds of aid going to corrupt rulers. This is actually getting worse over time. There’s no evidence of any sort of post-Cold War break, in which, you know, in the bad old days aid when to corrupt dictators and now it goes to good guys. And by the way, uh, Gayle, Ethiopia is a good example, the, the ruler of Ethiopia is a guy named Meles who is a dictator who shot down unarmed demonstrators in the street, this is a guy who has been a darling of the aid community. This is not the kind of aid that accomplishes good, this is the kind of aid that does more harm than good. And in fact, aid has gone into states that subsequently collapsed into warlord anarchy. There was a lot of aid that went into Sierra Leone, Liberia, Somalia, the Democratic Republic of the Congo, Rwanda, even up to the moment when the genocide broke out in Rwanda, there was still aid money going into Rwanda, in fact even after the genocide broke out the French were still supplying the Rwandan government, committing the genocide with aid dollars. Some of it military aid, obscenely enough. And so I say to you that aid, uh, and this is borne out by his—by statistical evidence, that aid worsens corruption, aid blocks democracy, aid is an obstacle to the freeing of Africans from predatory rulers… And I think we have no choice but to, to vote for the motion tonight, we, we cannot be satisfied with this record of aid, that has promised so much and accomplished so little. We must condemn the sorry record of aid for the sake of Africa, and for ourselves. It’s simply unacceptable that a system which is supposed to have the best intentions, is simply making things worse rather than better."
3,WILLIAM EASTERLY,"Uh, well, one sign of the rarity of success stories is that I keep hearing the same ones over and over again. The, uh, the smallpox example is given, is given so often and it’s—it happened so long ago that, I think it should be consigned to, uh, to history at this point, uh… I’m not—I don’t—I’m not going to say that everything fails, that there are no successes, small—smallpox was a success, uh… But the fact that we keep citing the same thing over and over again suggests just how few successes there have been, the measles success, unfortunately was, until this new announcement was actually on the ledger side of failure. Uh, the measle—cheap and inexpensive measles vaccination had been available for decades, and yet had not—had not been used to save millions of lives from measles. So I’m not sure I would count that as much of a success at this point."
4,WILLIAM EASTERLY,"No, I’m not…I’m not sure that we’re voting tonight on whether to stop aid, I think we’re voting on whether the existing aid system has done more harm than good, the, uh, the existing aid system I think we’re arguing is ineffective, it’s—has bad political effects in propping up corrupt autocrats. And I think that system does more harm than good, uh, I, I could imagine other aid systems that would do some good, that could save lives. If aid agencies were held accountable for results, which they are not now. If they were held accountable for failure which they are not now. But we don’t have that system at the present, we’re voting on the system we have now and that’s the system that has failed us unfortunately."
5,GAYLE SMITH,"Well, I—I think aid systems can be, uh… improved, no question, I think that one of the problems though with this argument is that it suggests that none of that is happening. I think there are other successes out there, uh, John didn’t mention, uh, HIV—or did mention, excuse me, HIV and AIDS which I think is significant and the fact that, success in measles is later than it should’ve been, uh— I—I don’t think therefore writes it off as a success, but I think we’ve also got a problem with terms here and I think this is a bit too important, uh, to be slipshod with. For example, when you talk about $600 billion in aid, that conflates development aid and a lot of aid that was given for reasons having nothing to do with development, let’s not pretend for a minute that the aid the United States gave to Zaire during the Cold War was given for development. Everybody knows it wasn’t, so to hold it accountable for achieving development aims, I think is—"
6,WILLIAM EASTERLY,And the U—US has no—
7,GAYLE SMITH,"—let me finish, please let me finish—"
8,WILLIAM EASTERLY,"—strategic motives, at all now—?"
9,GAYLE SMITH,"Please let me finish. My point is, that that aid was not given for development purposes, and you are judging it on the basis of whether or not it achieved development purposes. I suspect we would agree that the purposes for which it was given, were not very good. But I don’t think it’s, it’s right to suggest that money that’s given for security reasons should be held to development outcomes, second, I—I think you’re suggesting that the fact that poverty still exists in epidemic proportions in Africa, is because of aid. What about the terms of trade. What about commodity prices. What about war. What about drought. What about governments that may be…ineffective. What about colonialism and the Cold War, I think the notion that the fact that poverty still exists in Africa because of aid, is way oversimplified, last, I—I— Or, excuse me, that, that two-thirds of aid goes to corrupt rulers. The example I used of the commodity exchange in Ethiopia, is not aid to the government of Ethiopia, it’s a private-sector initiative. So I—I think you need to be careful about suggesting…that two-thirds of aid goes to corrupt rulers, that’s not in fact the case today—"
