,Speaker,Script,Round
0,AMY L. FRIEDMAN,Okay.,
1,SALLY SATEL,"Thank you. Today there are 75,000 people waiting for kidneys. I would still be one of them, but thank goodness, a wonderful friend of mine gave me her right kidney two years ago. But thousands of others are not going to be as lucky as I was. In New York City in fact, patients suffer on dialysis, can suffer for up to eight years before getting a transplant, and so many of them can’t survive that long. Despite decades and decades of public education about the virtues of organ donation, the waiting list just gets longer, and the time to transplantation just gets longer. So it’s no surprise that desperate patients take matters into their own hands and try to find their own organs. They rent billboards begging people to give them—to save them. They join on-line matching services to find a donor, in fact I did that. Some of them go abroad, and maybe if they go abroad to a place like China, they have to live with the sickening knowledge that the organ they got came from an executed prisoner. But you can’t blame these people. They are just trying to save their lives. Now bless all the altruistic souls who have donated organs. But it’s past time to face the fact that altruism is just not enough. Many people need more of an incentive to give. And that’s why we need to be able to compensate people who are willing to give a kidney to a stranger, to save a life. Here’s one proposal. The government should sponsor a regulated system for living donors. Compensation could be something as simple as a contribution to a retirement fund, a tax credit, tuition voucher for the children, possibly health care, all kinds of creative things we could do to benefit people who are willing to give a kidney. And as I said, since the government will be paying, not the patient, everyone can benefit. Now what about the donors. Would the promise of a reward exploit donors whose poverty makes the offer seem impossible to refuse? That’s an important consideration. But a distinction needs to be made. It’s not low-income people who will rush to judgment, and make rash decisions. It’s desperate people. No one wants someone giving up a kidney because they’re in such financial desperation. But, this is something we can guard against. For example we simply don’t offer what desperate people want. Which is immediate cash. So you can build in several months of a waiting period, you can offer the kind of in-kind compensation I mentioned before. I mean, I can go on and on about details of how a system could be constructed. But, you get the idea, I mean you’ve heard the basic idea. Now, what I want to do, is have you hear some of the misguided objections that our opponents are going to wage. You may well hear that any effort to legalize rewards for donors, will end up creating a system that will look exactly like the corrupt organ bazaars that permeate the Third World, in this donors are almost considered no more than cattle, and their organs go to the highest bidder. That is exactly wrong. We are talking about a transparent, regulated system of exchange, under the rule of law, in which donor protections are paramount. In fact, what we’re talking about is the exact opposite of a black market. The donor is free to decide if participating is in his best interest, and then if it is, something miraculous happens. He saves someone with his kidney. You may also hear that the transplant list is really not that bad, it’s kind of bogus, it’s inflated. Really, we don’t have to do anything drastic. Well, we do have to do something drastic, because, of the 75,000 people on the list, it is true, not every one of them is eligible to get a kidney tomorrow. About a third of them are what’s called inactive, meaning that right now they are too sick, if a kidney became available to them tomorrow, they would have to be passed over, because they’re not ready to—they’re too fragile for surgery. But why did that happen? It happened because they waited years and years and deteriorated so far during that time, that now they couldn’t get an organ. Tragically these were people who were healthy when they were first listed. So if anything, the glut, the one-third of folks who are ineligible to get a kidney today, is a sign for urgency, not complacency. You’ll also hear that the transactions involving organs, any transaction involving organs, is an affront to human dignity. But no one can ever explain to me how a fair, safe, and respectable implementation of incentives is an affront to anyone. But what is a disgraceful assault on human dignity, is to sit by and let people die when we have the means to save them. You’ll hear that organs and material gain don’t mix. Well, I reject this. Beautiful acts are performed every day by people who are moved by a combination of humanitarian and financial motives. Are firemen who rush into a burning building any less heroic in our eyes because they were paid to save us? In the end, our critics have a chilling message for patients. Shut up, wait on line, and pray that you’re not one of the 14 people who will die today because no organ became available for you. Now don’t get me wrong, altruism is a beautiful virtue. It should and will continue if there is a parallel system—",
2,SALLY SATEL,"—of compensating donation. I know it’s a beautiful virtue because I’m a poster girl for it. But I also know the deadly consequences of following the same failed policy. It’s something we can’t do, and why you must vote for our side. Thank you.",
3,JAMES F. CHILDRESS,"Defenders of markets for organs often charge that the opponents of a market appeal to the emotions of repugnance, and disgust, the yuck factor. They often imply that the only grounds any reasonable person could have for rejecting a market would be such emotions. Well tonight, we, the opponents of an organ market, will not appeal primarily to emotions. Indeed, I suspect that the proponents of a market will do so. Instead we will offer solid ethical, social, and cultural reasons not to legalize a market in organs. We ask you to consider very carefully, the reasons, the arguments for and against organ markets. Defenders of organ markets also tend to represent an extreme form of what I would call market fundamentalism. They suppose that, any time there’s a problem, such as shortage of organs, we should just throw that problem into the marketplace, and magically, miraculously, the problem will be solved. Market fundamentalism neglects the full range of relevant social values, especially justice and fairness which I will emphasize, and the probable negative effects of a market in organs, which my colleagues will stress. Markets are truly wonderful mechanisms. But they may not be the best mechanism, for organ transfers. Defenders of organ markets appeal to two great social-ethical values, very important ones. Liberty, people should be free to sell their body parts if they want to. Utility, a market in organs would produce the greatest good for the greatest number. Libertarians affirming liberty, utilitarians affirming utility, take these values and join together in an unstable alliance, in support of a market in organs. But both neglect another equally important value, justice, or fairness. As a result they ignore or downplay the injustice or unfairness of exploiting poor and disadvantaged people, as sources of transplantable organs. An illegal or legal organ markets, the main vendors or sellers, and yes, that’s what they are. They’re not paid donors, they are vendors and sellers. They tend to be poor and disadvantaged, or desperate. Of course we could devise a system of compensation for organs that would avoid some injustice and some unfairness, by separating procurement from distribution. Take the unfairness of a rich person’s purchase of organs. We can eliminate that, by having a single purchaser of organs, who would then distribute the organs according to a fair scheme, for example, to patients most in need. But we cannot avoid the poor, disadvantaged, desperate person’s sale. And we should not introduce an organ market into a society with major and increasing inequalities in wealth and advantage. If we did so, we would not, should not expect a positive outcome. Why not. Well consider two possibilities. One possible target of an organ market or compensation system, would aim to increase—would be to increase the number of organs from dead people. Let’s call those cadaveric organs. Another would be to increase the organs from living vendors. Some of the same objections apply to both, for example financial compensation may crowd out donation, especially altruistic donation. But there are differences. Take first a cadaveric organ market. There are strong reasons to believe that compensation for cadaveric organs won’t increase the supply. Imagine a futures market in organs where individuals contract to provide their organs after their deaths, and in return receive a payment now, or designate the payment to be provided after their deaths to their families, or to a charity. Why wouldn’t that work, it seems so obvious. Well, consider that many people don’t sign donor cards now because of distrust or mistrust. They worry about being declared dead prematurely, or even having their deaths hastened, if they have signed a donor card. Well they would certainly be reluctant to enter a futures market, to sign a futures contract, when the only barrier to the delivery of their organs, is the fact that they’re not dead yet. Or consider the family sale. Individuals would have similar reasons to block families from making decisions because of conflicts of interest. And many families would be reluctant to be viewed as profiting from a family member’s death. We do not need to try such a futile market. There are other options for obtaining cadaveric organs. Our current system works fairly well, and can be improved. Indeed, we’re second only to Spain in the number of deceased donor organs obtained per million population. And there are several potential improvements that we can make, some are already underway. We can increase education and the use of donor cards and donor registries. And, when an individual’s not made a decision, we can do a better job in approaching—approaching families after their deaths. Some institutions now obtain consent to donation, from 70 to 75 percent of families of patients declared dead by neurological standards, who are potential candidates for organ donation. And we can consider other sources including those declared dead by cardiopulmonary standards. But now let’s consider a living organ market, mainly for kidneys since people can live, usually live and function well with only one of their two kidneys. In 2007 there were roughly 7250 deceased kidney donors, and 6000 living kidney donors—",
4,JAMES F. CHILDRESS,"living organ market would probably work better than compensation with cadaveric organs, but there are other problems that my colleagues will emphasize. In conclusion…a market is not an idea whose time has come. A market in organs is a bad idea. It is unnecessary, probably ineffective, possibly counterproductive, and would breach our sense of justice by exploiting poor, disadvantaged, and desperate members of our society. Hence we should not legalize a market in human organs.",
5,AMY L. FRIEDMAN,"As a surgeon, I view the body with reverence. The rights and dignity of every patient are paramount. My expertise is to—is sustaining lives by transplanting organs. It is my inability to do so, because I don’t have the organs to offer, that has persuaded me that rewarding the donor is appropriate. Our opponents tonight would have me tell patients to stay the course. Wait with dignity for the organ that may never come. This message is poorly received, as it should be. Our opponents may tell you, that the waiting list is too long, because it includes the wrong people. I don’t see wrong people, I see human beings, each of whose lives might well be lengthened and improved if I could give them an organ. Desperate patients unwilling to die waiting have fueled a black market, whose magnitude is inadequately quantified, though certainly disturbing in scope. What is known, is that organs are purchased, third-party brokers siphon funds away from donors, and safety is uncertain for both the recipient or the donor. Efforts to shut this market have been as unsuccessful as Prohibition was in inducing an end to the use of alcohol. I agree with our opponents that the black market must be closed. I disagree with asking patients to accept death gracefully, instead of resorting to the black market. My position is that development of a legal, regulated mechanism for donor compensation is the only means of effectively eliminating the demand for this covert activity, closing down the black market, and improving safety for donors and recipients. Today, we educate the kidney patient and family, hoping that a volunteer donor will step forward to surrender a kidney. Most transplant surgeons agree, there would be no justification for ever removing a kidney from a living donor, potentially causing harm to this healthy person, if there were sufficient organs from deceased donors. Why? It may surprise you, that we still cannot tell this volunteer donor about all of the risks that kidney donation entails. Sure, the early risks, such as death, are known, but the long-term consequences are not, particularly for some of the more marginal donors being used in some cases. Nevertheless, we allow and celebrate such a healthy person’s choice to donate, and allow him to accept unknown risks for which there is no compensation. Why are we surprised that more donations don’t take place? Transplanters share nearly universal agreement, that these genuine heroes need lifelong health insurance and intermittent medical supervision. Dr. Delmonico has written that all living donors should be provided with life and disability insurance. But in today’s reality, we have no mechanism for providing these protections. Yet we are not deterred from removing the kidney. The operation itself, and our fees, are covered by the recipient’s insurance. The opportunity to save a life persuades us and the donor to proceed. Compensation for the organ donor’s time and risks, by providing life insurance, lifelong health insurance, and even a direct monetary fee, is more appropriate than for the donation of an egg, the rental of a uterus for a surrogate pregnancy, or the participation in clinical experimentation, all of which are legal. We are talking about saving lives. Let’s also recognize that everyone else involved in the transplant prospers. The recipient gains the organ, life itself. The surgeons, transplant center, and for kidney transplants, even the American taxpayer, you and I, have direct financial benefit when a patient comes off dialysis. Isn’t it disingenuous to exclude the donor from sharing in the tangible benefits resulting from his gift of life? A reasonable system must include protection from nefarious third parties, and be guaranteed by centralized, independent oversight, that ensures equal accessibility to those in need, regardless of their economic means. Lastly and most crucially, a transparent, informed consent process must be the mandatory condition of participation. Our opponents may suggest that payment would be so coerced, as to prevent the donor from giving informed consent. This is paternalistic. Why should financial need prevent one’s ability to consider the balanced presentations of risk and benefit that donors consider in the currently regulated informed-consent process. This is an insult to the poor, in suggesting they are incapable of balanced thought and self-determination. Reasonable people rationalize risk daily, by personal prerogative, at times subjecting themselves to unhealthy conditions, and making unsafe choices such as working deep in the coalmine. Any informed decision balances risk against the prospect of benefit. Though real, the risks of organ donation are likely substantially lower than those assumed by coal miners seeking their livelihoods. Despite the dangers inherent in both cases, the miner but not the donor is legally compensated for these risks. The key difference is dependence on the participation of medical providers, White House are dedicated to doing no harm, to facilitate payment for the gift of life. Therefore, according a donor—",
6,AMY L. FRIEDMAN,"—the highest degree of protection throughout necessitates the involvement of the most highly-trained individuals, and the conditions of greatest safety. This is precisely what does not happen on the black market, where transplants and donations are conducted covertly. There is no dignity in dying without a transplant. Don’t blame the patient for listening to his internal will to live. We must offer protection to the donor who answers the recipient’s call, in a way that is currently legally prohibited. Vote with us to legitimize compensation for the donor’s acceptance of risk. Today, the choice is not whether compensation will exchange hands, but whether or not transplant operations and the sale of organs will be regulated and safe.",
7,FRANCIS L. DELMONICO,"So I’m a transplant surgeon, and I’ve been involved in transplantation care, oh, for more than 35 years. And, I’ve had the opportunity to travel around this world, to know about transplantation practices, and what we’re discussing here tonight. I mentioned to Robert, wherever he is, that there’s a global impact, of what would be from the United States. What we do here, has a profound influence on the rest of the world. Now, I say that because I’ve been to Manila. And Amy, I should say, it’s not a matter of balanced thought, when a 14-year-old has to sell a kidney, to an American that comes there. It’s not a matter of balanced thought in Pakistan, or in Egypt. What’s been missing, in what you’ve heard, is what would that system look like. Legalize the market for human organs, what would that be. Amy has mentioned that…shouldn’t be a black market. Shouldn’t be covert. It’s not a black market in the sense of covert in Manila, or in Lahore, Pakistan, or in Egypt. It’s very well-known. It’s very transparent, and aware what the situation is. What’s been missing in the debate thus far is, what would this look like, or have to look like, in the United States. And is that indeed attainable. So, if we are to go down this road of a market, what might that be that—we haven’t actually heard, what might that be, to make it transparent, or regulated. Well, there’d have to be a fixed price for the kidney. Now I wanna say something that comes across my mind… I wish to provide care for donors. There should be no mistaking that, and I wish to expand every opportunity there can be, in providing for the people on this list. And that entails care for live donors, that does not exist. But it can’t be a cash payment. It can’t be a market, given the global context of medical tourism and markets. So let me take you back to…what would this be. Well, those that have written about this say it would have to be a fixed price. There’d have to be a prohibition of brokers. There’d have to be a prohibition of Internet arrangements. The kidneys would have to be distributed along with deceased donor kidneys, by the UNOS system. The kidneys would only be available by this, quote-unquote, market system. The vendors and the buyers would have to be restricted to the country of residence. It would only be that the vendor could be within the United States, and so too the recipient. Now just for a moment, I want to ask of a reality check about all of those issues, and whether or not you all could conclude that that in this global environment, of medical tourism, would indeed be attainable. Do you think that such a market could be with a fixed price and a prohibition of brokers and a prohibition of Internet arrangements and only distributed through this system. And that the vendors and buyers would have to be restricted to the United States. Now, in the interest of time—we can’t go through all of those—let’s just start by thinking of that. Fixed price for a kidney. Fixed cash payment. That’s impossible. It’s impossible because there’s no market justification to fix a price. Markets deal in best prices, in cheapest prices. Patients go from the Middle East to Manila because it’s the cheapest price. And, why shouldn’t there be a cheap price, if we’re going to condone markets in the United States, what is the expectation that insurance companies, brokers and patients would simply wait here, why wouldn’t they, with now a legalize market in the United States, go and shop. Shopping is Manila, shopping is Pakistan, shopping is India. Shopping is South America. There are plenty of cheap prices. The prohibition of brokers in this regulated market. The insurance companies become brokers, when they send patients from Israel to Manila. It’s the cheapest price. About 20 patients a month go from Israel to Manila, because of cheap prices. If there’s a market legalized in the United States, in the global context of medical tourism, do you think that the 72—",
8,FRANCIS L. DELMONICO,"—72-year-old patient on the list, would wait for a kidney here, versus going to buy a 20-year-old kidney in Manila? I want to bring to attention something about the list, and we’ll do more about this and we can amplify this in our discussion. But there is this piece that I want to just very carefully ask--we better evaluate this wait list. The contention that all on the list would have lived had they gotten a kidney, may not be a reality either. And I’ll wish to amplify that, one other piece…to say that it’s unethical not to permit kidney sales because kidney patients are dying on the list overlooks the unethical development of committing heart and lung and liver and pancreas and intestine patients to die because kidney sales will impact deceased transplantation in this country. It does it around the world. Go to Hong Kong.",
9,FRANCIS L. DELMONICO,"Thank you, Ira.",
10,FRANCIS L. DELMONICO,We’ll talk more about this aspect—,
11,FRANCIS L. DELMONICO,Thank you—,
12,AMY L. FRIEDMAN,You’re going to ask a physician what role the insurance companies should have—,
13,AMY L. FRIEDMAN,"No role. No, it’s— You know, in general—",
14,AMY L. FRIEDMAN,"Because in general the insurance companies generally follow Medicare and government guidelines, and as long as the—we set up something that is reasoned, logical and supportable, it’s hard for them to not follow.",
15,FRANCIS L. DELMONICO,So do we get to respond to that—,
16,AMY L. FRIEDMAN,"Well I—I shouldn’t comment on that. But I will say that, you know, the concept of how this system would be created requires, um, involvement of multiple parties, in a similar manner to the way UNOS is set up. That there are not just providers, there are not just patients and family members, there are clergy, there are social workers, and yes, I think it would be reasonable to have some representatives from the major insurance companies for example to be part in the development of these multi-disciplinary panels as they agree on what is the best policy for doing this. It has to be a uniform policy, and the way the law would need to be written, and we do need a law written, this is obviously currently an illegal activity, so we definitely need legislative change, would be to require that these activities go through the single processor.",
17,FRANCIS L. DELMONICO,"Fine, yes I do. I think that…here’s how I think it. Medical tourism is going to be a very important aspect for all of us in this room. Countries are now seeking rich patients to come to that country for care. It becomes a very big industry. And, the social inequity of that is, on two ways. If you go to a South American country that is attracting patients to come there, they do so by then making it—patients within that country, unable to receive that care. Because there is an internal brain drain of sort, that is intended for the rich patients to arrive there. Deceased donation has been impacted in the Middle East, because you can go to Asia to buy a kidney. So, in this global context of medical tourism, I think our Presidential candidates are gonna have to think about this, yes indeed.",
18,LLOYD R. COHEN,"Ladies and gentlemen, I want to make the question before you as authentic and personal as possible. Imagine that when you leave here tonight, you learn that your child’s kidneys are failing and that without a transplant she will die. The problem for you is how to obtain an organ for her. She could receive one from a living donor, but she—and both she and the donor can live quite well with one healthy kidney. But what if no relative or friend is both compatible and willing to donate. Well, you look to be, a reasonably well-heeled, group, so perhaps you might pay someone to supply her this superfluous kidney, and thereby save your child’s life. Alas, that would be illegal. You, the vendor, and anyone who aids you in this will be subjected to imprisonment. Odd, isn’t it. That if she were attacked by an assailant, you are permitted to use deadly force to save her life. But when she is attacked by disease, you may not pay a willing vendor to provide an organ. Perhaps this rests on the principle that the rich should not get what the poor are precluded from obtaining. Well then. A private charity or government agency should step in and purchase organs from willing donors, and distribute them on the basis of need. No. That is also forbidden. No one, no institution, no government agency may pay a living donor. Well then, perhaps she can receive a deceased donor organ. Yes, if she is lucky. Now as it happens something between 25 percent and 60 percent of organs suitable for transplantation, are recovered from the deceased. What happens to the rest. They are buried and burned. Why doesn’t a private party or a charity or the government step in and purchase those life-saving organs. Bizarre as this may sound, the law draws no distinctions between organs from the living and organs from the deceased. Here too, offering or accepting compensation for a deceased donor organ, is a felony. Our position, is not that every conceivable market in human organs is ethically acceptable. Rather, it is that at least some are. Our opponents on the other hand, object to, and would prohibit, any and all personal reward being offered to providers of organs. They oppose payments for living donation. They oppose payments to next of kin for the organs of a deceased relative. They propose offering an options contract to healthy people for delivery of their organs after death. They even oppose the life-sharer system of giving a priority to transplant organs, to those willing to make the commitment to their own deceased organ donation. Though in this debate we are not arguing in favor of any particular proposal to reward providers, I will outline one such proposal, the one with which I am most closely associated—an options market in deceased donor organs. I do so in part because I crafted his proposal precisely to try to accommodate every ethical objection I had heard, whether I thought it worthy or not. I leave it to you to judge if there is any substantial ethical objection that should bar its adoption. The market I propose is one in which healthy individuals might contract for the sale of their organs and tissue for delivery after their death. If the vendors’ organs are received and transplanted, a payment in the range of $5000 for each major organ would be made to a person or institution chosen by the donor. What of the objection to the poor being coerced by poverty to endanger their health by selling their organs? I repeat. In an options market, organs would only be acquired from the dead. No one need be induced or even permitted to sacrifice his health or bodily integrity for money. The donation of the organs of the deceased by both rich and poor is currently strongly encouraged, precisely because most of us believe that surrendering the organ represents no sacrifice to the donor. But doesn’t employing a market mean that organs will be allocated on the basis of willingness to pay, and so the rich will be able to buy organs that the poor are precluded from obtaining. Some things it is believed are literally too vital to permit their allocation by ability to pay. Had I the time, I would challenge this objection, and argue that there are fewer ethical problems in allowing people to sacrifice their own treasure to save the lives of those they love, than exist under all—what I, but not my colleague Dr. Friedman, view as the self-righteous yet cramped and craven and misguided UNOS system of allocation. But alas, time does not allow for that. For now I must underscore that my proposed options market does not speak to the question of to whom the organs will be allocated, only how they will be acquired from the original owner and possessor. My proposal is consistent with and can accommodate any conceivable system of acquisition and allocation, including, purchase by a government agency, allocation solely on the basis of medical criteria, and provision to recipients at no charge. Note also, that the options market does not require next of kin to traffic in the flesh of their loved ones. Instead it is one in which people contract to sell their own organs when they are healthy for delivery after their death, thereby taking the next of kin out of the decision-making process. The central premise not merely of my proposal, but of all the others as well, is an obvious, even banal economic proposition. If you compensate people for something, they will provide more of it than if you don’t. Every economist who has written on the question including Nobel Prize-winner Gary Becker, has argued in favor of using personal incentives to increase the supply of transplant organs. The price of the prohibition on the sale of human organs, is the death of many thousands of people each year.",
19,LLOYD R. COHEN,"Were the suffering and death of the victims of this pernicious policy more visible, the stale and empty pieties about the sacred human body being despoiled by the profane market would be revealed for the vacuous moral posturings that they are. Such moralizing rather than reflecting an adherence to noble principles, instead bespeaks a fanatical adherence to abstract, inapposite principles, by those who are well isolated from the horrific human consequences of their folly. It is not the payment for organs that offends human dignity, but rather the fanatical unwillingness to save thousands of lives by permitting such payments, that is a great offense to human dignity.",
20,DAVID ROTHMAN,"The question that’s on the slide behind me, “We should legalize the market for human organs,” is a very prominent one, becoming more prominent over the last year or two. And you’ve heard from our opponents some of the reasons for the prominence. I want to focus you clearly on what this one means. It’s not what you just heard from Lloyd Cohen, about a futures option. That’s a wrinkle with building on cadavers. What this is really about, is the sale of organs from living donors. When you go to vote, you’ve got to think not about the cadaver, not about, you know, giving the family a little bit of a burial expense. You have got to think about, do we want to be in a system where we pay people to give us their kidneys. That’s the question. Now I’m going to propose a variety of reasons to you, why I think that would be totally misguided, indeed maybe even self-defeating. Let me start with the first problem. And that is that although it seems very commonsensical to think that if we make a market it will increase the supply, there are very, very good reasons, many drawn from behavioral economics, some drawn from past experience, that suggest that in fact, to create a market might diminish the supply, not increase it. In the first instance, if I can buy it why should I give it. All right, a family member comes down with kidney disease—please do remember there is dialysis as well, this is not just simply life-death. Family member comes down, yes, I could give it, but I’m, you know, I’ve been pretty well-off these days, I can buy it. Yes, the risk is minimal, but why should I take any risk, if I can go out and put down X-teen thousands of dollars to purchase a kidney. It wouldn’t make any sense, I wouldn’t have my children donate if I could purchase. Don’t think easily that, if you create the market, altruism will not dissipate. There’s a wonderful example of this, the name should be familiar to some of you at least, Richard Titmus, English sociologist who studied blood donations in England and the US. What he discovered is that in England, where the sale of blood was not allowed, rates of donation were considerably higher than the US, where the sale of blood was allowed, eventually we move away from sale. The Titmus data’s pretty convincing, watch out about markets. Another example of this, I’ll do it rapidly but it’s a great study, took place in an Israeli nursery. Four o’clock in the afternoon you were supposed to pick up your child. Most made it, some didn’t make it. And there was lateness, you excused yourself, you felt bad, and you tried not to do it again. Then some wise social scientist tried an experiment. They told the day care center, the day care center went along with this, let’s institute a fine. So they instituted a fine, on the theory that if we fine people for coming late, the amount of lateness will go down. You know of course what happened. No sooner did they institute the fine, than the rate of lateness went up. Why, it’s simple. It became not a moral obligation, not my duty to the caretakers, but a price. And if I could afford the price, I would come late. The data came in very nicely, these social scientists then added another wonderful little twist. They took away the fine, and then they watched the rate of lateness. What happened then? The rate of lateness stayed high, much higher than before. Their bottom line, and they weren’t thinking of this in our context but it’s gorgeous, once a commodity, always a commodity. Don’t experiment easily, once a commodity, always a commodity. I want you to take a different kind of intellectual exercise now, than the ones— they’re a little gory and a little Dukakis—reminding of, you know, okay, your loved one needs an organ, what are you going to do. I want you to take a different exercise, and think a little bit about, what it would be like to live in a society where we had a market in organs. Roughly the price, much higher than the folks have been telling you, we could—we would probably, I mean The Economist put it at about 250,000. Sake of argument, you get about $125,000 if you give your organ. Now, first response of course would be, well, the poor—I’m gonna come to the middle class in a moment. The poor, will be out there donating and haven’t we done well by them. From everything we know in Third World countries, the sale— Frank already mentioned Manila, it’s true in India. Everything we know about it, you sell your organ, you’re out of debt for a very short period of time, you’re back in debt, right thereafter. The reasons for your debt are not gonna be rescued by a sale. Secondly, imagine, even after this administration is gone, you have in your possession right there on either side of you, a $150,000 commodity. Medicaid , before you go on Medicaid, you will sell that organ? I mean, think of the welfare system, where everybody’s got, you know, that kind of money, sitting right there—",
21,DAVID ROTHMAN,"—and take it away without any problem. Folks say, you know, oh, we’ll keep the foreign from doing it. Why, if it’s such a great benefit, why not a green card, why not an immigrant. As you think about voting, just remember the great Emma Lazarus line on our Statue of Liberty, give me your tired, your poor, the wretched refuse of your teeming shores, dot-dot-dot, so we can have your kidney. Let me close in my 45 seconds, with what it would mean to your kids, and what it would mean to you if they could do it. We’ve got some good, enterprising folks from Wall Street in the audience I’m sure. 125,000 tax-free invested when you’re 18, mighty tempting. When do you tell your prospective bride that you can pay the down payment, what do you do when your father-in-law turns to you and says have you sold your kidney yet. What do you—",
22,DAVID ROTHMAN,"—when your kid comes—I’ll close with this— and he says, I want to go the Ivy League, not to my state school, and you as the parent say, I can’t afford it, but you’ve got your kidney.",
23,LLOYD R. COHEN,Gahhh!,
24,LLOYD R. COHEN,"No. He—well. First of all, David, he wants you to answer a different question when you vote later. He wants it to be the question on live kidney sales. Well, that isn’t the resolution. The resolution is quite clear, should we legalize the market for human organs. So he gives you the list of horribles of the worst conceivable market, and says, vote against that. I tell you, there’s a slew of possible markets, many of them quite innocent including merely a cadaveric market. Clearly distinguishable. And that falls within this notion of a market in organs. Now, there’s no more reason to think that— or I can see no particular—I can’t imagine a society, in which people would feel pressured, you know, to sell an organ for cash. It’s an evasion. And it’s just a list of horribles, that doesn’t exist—",
25,LLOYD R. COHEN,"—anywhere, and that will not exist here.",
26,DAVID ROTHMAN,"can do it quickly. Trust me, we wouldn’t be here, if we were talking about annuities for cadaveric organs. The reason we’re here—",
