,Speaker,Script,Round
0,RICHARD S. LINDZEN,"Okay, I’d like to thank Intelligence Squared, the staff, Bob Rosenkranz, Brian Lehrer and of course, our worthy opponents, for the opportunity to debate the proposition: Global warming is not a crisis. Please keep in mind what the proposition is. It is not a debate over whether the earth has been warming over the past century. Uh, the earth is always warming or cooling, at least a few tenths of a degree. And we’re talking about, so far, something on the order of six tenths of a degree centigrade. We’re not even arguing about whether greenhouse gas emissions are contributing at some level to warming. And they most certainly should or I would suggest it would be very little. Indeed, as far as I can tell, even our opponents do not claim that global warming is a crisis at present. Rather, we are primarily addressing the future. Now, much of the current alarm, I would suggest, is based on ignorance of what is normal for weather and climate. Extreme weather events occur all the time. There’s, there is really no evidence of systematic increases, judging from reports from bodies ranging from the National Hurricane Center to the U.N.’s Inter-Governmental Panel on Climate Change. In fact, outside the tropics the theory of such storms and variability says that the variability should decrease in a warmer world. Thus, if this is a matter of crisis for where we live the world is in a permanent state of crisis and will be less prone to crisis in a warmer world. Sea level has also been a matter of concern, I think largely because it’s very telegenic, as opposed to a half degree of temperature. And sea level has been increasing since the end of the last Ice Age glaciation, with the most rapid change increase about twelve thousand years ago. In recent centuries the rate has been relatively uniform, averaged over ten year periods. Uh, it amounts to a couple of millimeters per year and this is residual of much larger positive and negative changes locally. Uh, those changes are due to tectonics. And, and the risk, if you’re worried about sea level change, from these changes is larger than it is from warming. The impact of warming on agriculture is not easy to ascertain. But, for example, India has warmed in the second half of the twentieth century and agricultural output has increased greatly. The impact on disease seems dubious at best, according to articles in Lancet. Infectious diseases like malaria are not so much a matter of temperature as of poverty and public health, most notably the elimination of DDT. Malaria is still endemic in Siberia and was once so in Michigan. Exposure, I would suggest, to cold is generally found to be both more dangerous and less comfortable. Now, recently the IPCC summary for policy maker came out and it had an iconic claim about man’s impact on temperature change. Uh, does this imply crisis? Well, the impact on temperature per unit carbon dioxide actually goes down, not up, with increasing CO2. Uh, the role of anthropogenic greenhouse gases is not directly related to the emissions rate or even CO2 levels, which is what the legislation is hitting on, but rather to the impact of these gases on the greenhouse effect. Uh, modelers use double CO2 as a convenient benchmark and on the basis of current models, it’s claimed that this should lead to about one and a half to four and a half degrees warming. What is less often noted is in terms of greenhouse forcing we’re already three quarters of the way to that doubling. And we’ve only seen point six degrees. And there’s no reason to suppose, furthermore, that this is all due to man. Now, this certainly does not support the model forecasts upon which alarm is based. Modelers commonly claim it’s still possible that aerosols have canceled much of the greenhouse warming. Unfortunately, the impact of aerosols is considered by the IPCC to be virtually unknown. And indeed, many people consider that canceling the warming involves a larger effect than seems plausible. There have also been claims that warming has been delayed by the ocean. But the results I’ve mentioned are from coupled models involving the atmosphere in the ocean. And in many of these the oceans have been tuned to have particularly long delays. And I think it’s crucial to distinguish between the claim that models can display past behavior from the actual situation, which is that models can be adjusted to display past behavior once that behavior is known. There is no reason to suppose that the adjustment corrected the relevant error. It is worth adding that warming, instead of accelerating, has been essentially absent for about the last ten years. So the iconic statement is itself not indicative of crisis. And one could, if one had time, explain why the iconic statement itself may very well not be true. The major defense of the statement is modelers cannot think of anything else that gave warming over the last thirty years. But these are the same models that cannot account for the Medieval warm period, or for that matter, even do a good job of replicating El Nino. So even the basis for the iconic statement is not particularly meaningful. So crisis is not a product of current observations.",3
1,RICHARD S. LINDZEN,"suggest it’s not even a product of projections. Now, there is no reason to suppose that anything will cause a threshold to change this assessment. We’re still talking about a two per cent imbalance and we’re also talking about the impact of CO2 per unit CO2 that decreases. This is not the usual condition for a threshold. Moreover, there are positive reasons to suspect that greenhouse warming is not significant. The real signature of greenhouse warming is not surface temperature but temperature in the middle of the troposphere, about five kilometers. And that is going up even slower than the temperature at the surface. Finally, the underlying present concern is not the greenhouse effect, per se. Doubling CO2 by itself only gives you one degree warming. The --",3
2,RICHARD S. LINDZEN,Okay.,3
3,RICHARD C.J. SOMERVILLE,"The motion before us, global warming is not a crisis, means we ought to know what crisis means. The word does not mean catastrophe or alarmism. It means a crucial or decisive moment, a turning point, a state of affairs in which a decisive change for better or worse is imminent. We are talking about the future here. The entire world now really does have a critical choice to make. It is whether to continue on the present path of adding more and more carbon dioxide and other greenhouse gases to the atmosphere or whether to find another path. We’re speaking of the future. And science tells us that the path we choose will largely determine what kind of earth our children and grandchildren will inherit. Our task tonight is to persuade you that global warming is indeed a crisis in exactly that precise sense so you should vote against the motion. The science community today has impeccable settled science, despite what you have just heard, that demonstrates the reality of global warming and its primary origin in human activities. We fully understand the fundamental physics behind the greenhouse effect. We also now have persuasive observational evidence of dramatic changes already taking place in the climate system, changes that are not in any sense small. Mankind’s fingerprints have now clearly emerged above the noise of natural variability. That is the primary message of the intergovernmental panel, climate panel, the panel on climate change report that Professor Lindzen referred to – the IPCC. We also have powerful tools to prode…project many aspects of the future climate with considerable confidence. We take into account other important factors besides greenhouse gases – the sun, volcanoes, pollution particles. Some of our forecasts have already come true. A group of people dispute these consensus findings of mainstream scientists. Call them contrarians. Some are here in this very room. Contrarians are not unique to climate. They exist in many fields of science. There are a few retrovirus experts, fully credentialed, who don’t think that HIV causes AIDS. The New Yorker this week, many of you will have seen, writes about them. When the revolution of continental drift was sweeping through geology and geophysics, some imminent earth scientists couldn’t be persuaded that plate tectonics were real. Continents can move. These contrarians were mistaken. They faded from the scene. Experience, long experience shows that in science it tends to be the rare exception rather than the rule when a lone genius eventually prevails over conventional mainstream scientific thought. An occasional Galileo does come along or an Einstein. Not often. Most people who think they’re a Galileo are just wrong. We’re talking here about managing risk for the future. It’s a big risk to the planet to bet it on the contrarians. Here’s a brief look at some of what we know. The IPC said…C said, quote: Warming of the climate system is unequivocal, unquote -- based on many kinds of observations. Also our knowledge of ancient climates tells us that the warmth of the last half century is unusual in at least the previous three…thirteen hundred years. The IPC said…C said, Most of the observed increase in global av…globally averaged temperatures in recent decades is very likely due to the observed increase in human caused greenhouse gas concentrations. These are summary conclusions of, of experts. In a painstaking process, lasting, uh, years with thirty thousand reviewer comments, each log numbered responded to by teams of experts who represent, um, the mainstream science and who take into account views from the fringes as well. There’s never been as thorough and vetted a process for summarizing science precisely for the point of making input to policy makers. Nothing said here tonight in a few minutes that we have can possibly undermine, uh, this powerful statement from the scientific community. We also project a further warming of a half a degree Fahrenheit for the next twenty-five years. Beyond that it does depend largely on how much more CO2 and other greenhouse gases humanity dumps into the atmosphere. Global warming since the nineteenth century is already more than a degree Fahrenheit. It’s continuing. Of the twelve warmest years in the instrumental record, uh, eleven of them have occurred in the most recent twelve years globally. 2006 was the sixth warmest year in this record globally and the warmest year of all in the U.S. Arctic temperatures in the last hundred years increased twice as much as the global average. Since 1950 the number of heat waves globally has increased. The heat wave in Europe in 2003 that killed more than thirty thousand people was unprecedented in modern times. Intense tropical cyclone activity, the IPCC concludes, has increased in the North Atlantic region since about 1970. The global ocean, down to a depth of at least six thousand feet, has been warming since the early 1960s. This warming is contributing to sea level rise. It’s by no means all vestiges of the last Ice Age. Sea level rose some seven inches over the twentieth century. The rate of rise has apparently increased recently. Water vapor in the atmosphere, as predicted, is increasing as the world warms. This additional water feeds back. It’s a greenhouse gas. It amplifies the warming. It’s as though you had your house wired funny so that when it got warm the thermostat turned on the furnace and made it warmer still. Snow cover and mountain glaciers are decreasing markedly. It’s a long list. The list goes on. None of these observational facts is a surprise to the climate science community. They are what we had predicted. We scientists have been expecting measurements like these and now we see them. The question for the future is simply how much worse do we, do we intend? How much more severe, uh, will we let these trends become? The science warns us that continuing to fuel the world using present technology will bring dangerous and possibly surprising climate changes by the end of this century, if not sooner. Business as usual implies more heat waves, higher sea levels, disrupted rainfall patterns, vanishing glaciers and much more. Limiting carbon dioxide amounts to any reasonable level will take large cuts in emissions. It takes time. We have a giant intra… infrastructure based on fossil fuels. To have a meaningful effect by mid-century we need to start soon. The question is really whether humanity has the collective determination to act in any meaningful way. The economic case can be made convincingly, once people understand the cost of doing nothing or too little. It’s like elective surgery. It’s, uh, not free to decline it. Technology can accomplish great things once society is committed to such a goal. We know now that humanity has already increased atmospheric carbon dioxide by thirty-five per cent above natural levels. And humanity, as a group, by default or on purpose, will now decide what level it wants to tolerate. Then, after humanity has made this decision, how much CO2 do you want in your children and grandchildren’s atmosphere?, which –",3
4,RICHARD C.J. SOMERVILLE,"…after that, nature will have its say and the climate system will change in response to the level of greenhouse gases in the atmosphere. Nature is superbly indifferent to politics and, and spin. But it will have the last word, uh, in this debate. I have a few seconds and I’ll say a few words about the IPCC. I’ve been a coordinating lead author in it, uh, for three years. I’ve, I was in Paris last month when this summary was negotiated and released. It’s an extraordinarily impressive international collaboration -- thirty thousand review comments, a hundred and fifty, uh, authors – seventy-five per cent of whom, by the way, were new to the process. We’re not a clique defending what we said six years ago. And I urge you to familiarize yourself with the science because the science here has spoken very plainly. Thank you.",3
5,MICHAEL CRICHTON,"The microphone goes up. Before I begin I want to just say one brief thing about what Richard has just told you. He’s, he’s giving you the story of plate tectonics but it’s fascinating. He’s turned it upside down. He’s turned it on its head. The story of plate tectonics actually is the story of one person who had the right idea – Alfred Wegener. He had it in 1912. And it is the story of major scientists at Harvard and elsewhere opposing him for decade after decade until finally it was proven to be incorrect what they were believing. So it is, in fact -- when I was a kid I was told the continents didn’t move. It is, in fact, perfectly possible for the consensus of scientists to be wrong and it is, in fact, perfectly possible for small numbers of people to be in opposition and they will be ultimately be proven true. I want to address the issue of crisis in a somewhat different way. Does it really matter if we have a crisis at all? I mean, haven’t we actually raised temperatures so much that we, as stewards of the planet, have to act? These are the questions that friends of mine ask as they are getting on board their private jets to fly to their second and third homes. And I would like, with their permission, to take the question just a little bit more seriously. I myself, uh, just a few years ago, held the kinds of views that I, uh, expect most of you in this room hold. That’s to say, I had a very conventional view about the environment. I thought it was going to hell. I thought human beings were responsible and I thought we had to do something about it. I hadn’t actually looked at any environmental issues in detail but I have that general view. And so in 2000, when I read an article that suggested that the evidence for global warming might not be quite as firm as people said, I immediately dismissed it. Not believe in global warming? That’s ridiculous. How could you have such an idea? Are you going to try and tell me that the planet isn’t getting warmer? I know it’s getting warmer. I grew up in Long Island. And when I was a kid we always had days off from school for hurricanes. There are no hurricanes on Long Island now. I spent thirty years in California. We used to have something called June gloom. Now it’s more like May, June, July, August gloom with September, October, November gloom added in. The weather is very different. However, because I look for trouble, um, I went at a certain point and started looking at the temperature records. And I was very surprised at what I found. The first thing that I discovered, which Dick has already told you, is that the increase in temperatures so far over the last hundred years, is on the order of six-tenths of a degree Celsius, about a degree Fahrenheit. I hadn’t really thought, when we talked about global warming, about how much global warming really was taking place. The second thing I discovered was that everything is a concern about the future and the future is defined by models. The models tell us that human beings are the cause of the warming, that human beings, uh, producing all this CO2, are what’s actually driving the climate warming that we’re seeing now. But I was interested to see that the models, as far as I could tell, were not really reliable. That is to say, that past estimates have proven incorrect. Uh, in 1988, when James Hanson talked to the Congress and said that global warming had finally arrived, The New York Times published a model result that suggested that in the next hundred years there would be twelve degrees Celsius increase. A few years later the increase was estimated to be six degrees, then four degrees. The most recent U.N. estimate is three degrees. Will it continue to go down? I expect so. And this left me in a kind of a funny position. But let me first be clear about exactly what I’m saying. Is the globe warming? Yes. Is the greenhouse effect real? Yes. Is carbon dioxide, a greenhouse gas, being increased by men? Yes. Would we expect this warming to have an effect? Yes. Do human beings in general effect the climate? Yes. But none of that answers the core question of whether or not carbon dioxide is the contemporary driver for the warming we’re seeing. And as far as I could tell scientists had, had postulated that but they hadn’t demonstrated it. So I’m kinda stranded here. I’ve got half a degree of warming, models that I don’t think are reliable. And what, how am I going to think about the future? I reasoned in this way: if we’re going to have one degree increase, maybe if, if, climate doesn’t change and if, uh, and if there’s no change in technology – but of course, if you don’t imagine there will be a change in technology in the next hundred years you’re a very unusual person. And I also was aware that we have actually been starting to do exactly the kind of thing that we ought to do, which is to decarbonize. Jesse Ausubel at Rockefeller University points out, for example, that starting about a hundred and fifty years ago, in the time of Abraham Lincoln and Queen Victoria, we began to move from wood to coal, from coal to oil, from oil to natural gas and so on. Decreasing our carbon, increasing our hydrogen makes perfect sense, makes environmental sense, makes political sense, makes geopolitical sense. And we’ll continue to do it without any legislation, without any, anything forcing us to do it, as nothing forced us to get off horses. Well, if this is the situation, I suddenly think about my friends, you know, getting on their private jets. And I think, well, you know, maybe they have the right idea. Maybe all that we have to do is mouth a few platitudes, show a good, you know, expression of concern on our faces, buy a Prius, drive it around for a while and give it to the maid, attend a few fundraisers and you’re done. Because, actually, all anybody really wants to do is talk about it. They don’t actually do anything. And the evidence for that is the number of major leaders in climate who clearly have no intention of changing their lifestyle, reducing their own consumption or getting off private jets themselves. If they’re not willing to do it why should anybody else? Is talking enough? I mean, is, is -- the talking cure of the environment, it didn’t work in psychology. It won’t work in the environment either. Is that enough to do? I don’t think so. I think it’s totally inadequate. Everyday 30,000 people on this planet die of the diseases of poverty. There are, a third of the planet doesn’t have electricity. We have a billion people with no clean water, we have half a billion people going to bed hungry every night. Do we care about this? It seems that we don’t. It seems that we would rather look a hundred years into the future than pay attention to what’s going on now. I think that's unacceptable. I think that’s really a disgrace.",3
6,MICHAEL CRICHTON,"This doesn’t need to happen. We’re allowing it to happen. And I don’t know what’s wrong with the rich self-centered societies that we live in in the west that we are not paying attention to the conditions of the wider world. And it does seem to me that if we use arguments about the environment to turn our back on the sick and the dying of our shared world, and that's our excuse to ignore them, then we have done a true and terrible thing. And it’s awful, thank you.",3
7,GAVIN SCHMIDT,"Thank you. I want to talk to you a little about the nature of this public debate. And I want to give you some background to what you’ve been hearing so far, and what you’ll hear a little bit later on. The issue of global warming and whether it’s a crisis or not, is in fact a scientific decision, it’s a scientific issue. It’s not a political one. On the other hand, deciding what to do about it is obviously political. Science can inform those decisions, but it can’t determine what decisions society makes. But we’re here to debate the existence of the problem and whether it is a crisis. That's something that the scientists on this side are eminently suited to do. You’ve all seen or heard about the CSI police drama, where high tech forensic scientists try and work out who done it when they come across the scene of a crime. Well think of climate scientists as CSI planet Earth, we’re try-, we see a climate change and we try and work out what’s done it. Just like on CSI we have a range of high tech instruments to give us clues, satellites, ocean probes, radar, a worldwide network of weather stations and sophisticated computer programs to help us make sense of it all. The aim is to come to the most likely explanation of all the facts fully anticipating that in the real world there are always going to be anomalies, there are always going to be uncertainties. Conclusions will be preliminary and always open to revision in the light of new evidence. If this all sounds familiar, it’s because it’s exactly the same approach that doctors take when examining a patient. They don’t know everything about the human body, but they can still make a pretty accurate diagnosis of your illness. We end up then with a hierarchy of knowledge. Some things that are extremely likely, some things we’re pretty sure of, and some things that we think might be true, but really could go either way. There isn’t a division into things that are completely proven and things which are completely unknown. Instead, you have a sliding scale of increasing confidence. Let me give you a few examples. We’re highly confident that the sun is gonna rise tomorrow, it might not, it might go nova. But it’s likely that it will happen. It’s quite likely that you’ll be able to get a cab home from this event, unless it’s raining of course. But, but those two things have different levels of certainty. You’re used to the idea that different kinds of knowledge come with different levels of certainty, and that’s exactly what we’re talking about when we talk about the impacts of climate change. Going back to being climate detectives, we’re certain that carbon dioxide and methane are greenhouse gases and they’ve increased because of human activity. We’re very confident that the planet has been warming up, and we’re pretty sure that the other things that are going on, changes to the sun, changes to particles in the air, changes to ozone have made some difference but aren’t dominant. The physics tells us that this is a very consistent picture. Our suspects, the greenhouse gases, had both the opportunity and the means to cause this climate change and they’re very likely guilty. And they are increasing faster than ever. Now, the lawyers get involved. Lawyers are paid to present a certain case regardless of its merits and they do that by challenging everything in the case, and if one argument doesn’t work, well, they’ll just move on to the next. This procedure works very well when the proposition being debated is very binary, a yes, no. Is the subspe-, is the suspect guilty, uh should he go free, should he go to jail? It is designed specifically to prevent significant action in the face of uncertainty. If there is still reasonable doubt, the suspect gets acquitted even if you still think that they did it. But contrast that with the scientists. They want to know the most likely explanation. The lawyers, they want to win the case. In their own domains both ways of finding out things are very useful, it’s only when they come together in situations like this that things get tricky. Particularly when scientific results are perceived to have economic or moral implications, it’s common for political debates to get shifted into the scientific arena. It makes the political argument seem much more scientific and therefore logical. But since the basic disagreement is still political, this is a disaster for any kind of action. So tonight, you’re not gonna hear us arguing about obscure details in climate science, if you have any questions, I have a web site realclimate.org, you can go and check that out and I’ll be happy to answer any questions you might have. But here we’re gonna talk about the bigger picture. Let me give you a few examples of how that works. Creationists have argued that the eye is too complex to have evolved. Not because they care about the evolution of eyes, but because they see the implications of evolution as somehow damaging to their world view. If you demonstrate the evolution of eyes, their world view won’t change, they’ll just move onto something else. Another example, when CFCs from aerosol cans and air conditioners were found to be depleting the ozone layer, the CEO of DuPont, the main manufacturer argued that because CFCs were heavier than air, they couldn’t possibly get up to the ozone layer. So there was no need to regulate them, that was pure fantasy, but it sounded scientific. Again, tobacco companies spent millions trying to show that nicotine delayed the onset of Alzheimer’s because that was a distraction from the far more solid case that, that linked tobacco to lung cancer. That was a distraction and a red herring. These arguments are examples of pseudo debates, scientific sounding points that are designed not to fool the experts, but to sow confusion and doubt in the minds of the lay public. This is a deliberate strategy and you’re hearing it here tonight. So during this debate, let’s play a little game. I’ll call it spot the fallacy. Every time that you hear the other side claim that we are predicting an imminent catastrophe, give yourself one point. Every time you hear an anecdote used to refute a general trend, that’s cherry picking and we heard that already, uh give yourself another. And every time you hear there’s a lag between carbon dioxide and temperature in the ice cores, give yourself two points because that’s a real doosy.",3
8,GAVIN SCHMIDT,"So far this evening we’re running at about two red herrings, two complete errors, three straw men and one cherry pick. So see how you do and we’ll compare notes at the end. Scientists have to be professional skeptics, right, they are trained not to take new information at face value, they have to ask where measurements come from and what they could possibly mean. They have to be dispassionate about the data, and just see where it leads. Once you start making logically fallacious arguments in order to support a predetermined position, you are no longer acting as a scientist, you are acting as a lawyer, however scientific sounding you might seem. Despite that natural skepticism, the national academies of all eight, G8 countries, all the major scientific societies, even the White House have agreed with a scientific consensus on this matter, which pointedly did not happen in the 1970s by the way. Michael Crichton for one has frequently stated the consensus…..",3
9,PHILIP STOTT,"Brian may I just take one second to thank very much the Rosenkranz Foundation and Intelligence Squared for having the great courtesy to invite me over from London to participate in this very exciting set of debates. Thank you also to all my colleagues for their contribution and above all to the audience for I’m sure, gonna be exciting participation as well. I want to start exactly with the consensus word that was used by Richard. Can I just remind you he wanted an example. In the early 20th century, 95% of scientists believe in eugenics. Science does not progress by consensus, it progresses by falsification and by what we call paradigm shifts. And in my, riposte I’ll be coming to a paradigm shift that could actually throw the whole of what that other side is saying through the window. But that's later. What I want to come to now is the 1970s that Robert Rosenkranz quite correctly reminded us of. Because then a crisis was announced. And I want to quote from three newspapers. The Christian Science Monitor, “Warning, Earth’s climate is changing faster than even experts expect.” I really like that. Your own New York Times, “A major cooling of the climate is widely inevitable.” And in Newsweek, back to consensus, “Meteorologists are almost unanimous that catastrophic famines will result from global cooling.” That was the 1970s. And there are many headlines. And what I would like to stress is, it was a stress on consensus, it was faster than expected, the evidence came from the oceans, from polar bears, it’s always polar bears, from the changing seasons and it’s always disaster. Why do we believe them now? And what is important in this I think is to remember what that first Earth Day claimed. The first Earth Day in America claimed the following, that because of global cooling, the population of America would have collapsed to 22 million by the year 2000. And of the average calorie intake of the average American would be wait for this, 2,400 calories, would good it were. It’s nonsense and very dangerous. And what we have fundamentally forgotten is simple primary school science. Climate always changes. It is always as Dick said warming or cooling, it’s never stable. And if it were stable it would actually be interesting scientifically because it would be the first time for four and a half billion years. Second, humans have been influencing climate for a million years as hominids, from the first hominid that set fire to the Savanna grasslands in Africa, when particulates and gases started to rise and they changed the reflectivity of the surface of the Earth. It’s a long relationship. So the debate, is climate changing and are humans affecting climate change is actually nearly irrelevant. The answers are yes and yes, and always will be. What is really crucial in all this is something that none of the scientists or none of the politicians want you really to hear. Climate is the most complex system we know governed by thousands of factors, I haven’t time to list them. But the point is, it’s like in my country, Glasgow on a Saturday night, chaos. And what we’re trying to do is manage it by dealing with one pub. One. And it just won’t work, that’s the danger. In such a system, doing something at the margins and not doing something in the margins are equally unpredictable. And the question we should be asking our politicians are, what climate are you actually aiming to produce and when we get there won’t it change anyway? The crisis is therefore in ourselves and if we are rejecting this and I ask you passionately to do so for the next two more important reasons, our uh, political agenda as Michael hinted is wrong. There are two great crises in the world of which the biggest unquestionably is four billion people in poverty. And this topic is an ecocondria of our rich selves, London, New York and Washington. It’s about us and about our hypochondria about the world. If you actually have clean water, you have modern energy, you will cope with change whatever it is, hot, wet, cold or dry. I’m a left wing critic of global warming because the agenda is fundamentally wrong and dangerous. And believe you me, neither Republican nor Democrat will do anything about it, because our second crisis is a crisis of hypocrisy. Now Michael hinted at this, but I come from Europe which has been lecturing the world on this subject. Let me tell you, the hypocrisy in Europe is absolutely mind blowing, I am embarrassed. The latest statistic from the Environment Agency in Europe will predict under the Kyoto Protocol we won’t even be minus, that by 2012, we’ll be plus four percent. And did you know that island whom we all love actually under the Kyoto Protocol is allowed a growth of 13%? And some of the figures for the, for Europe are just spectacularly worrying. Spain, Italy, Portugal, we’re in the 40 percentile. And yet we lecture the world. What we see in this is an enormous danger for politicians in terms of their hypocrisy. I’m not going to say anything about Al Gore and his house. But it is a very serious point. Global warming is also dangerous because I am an environmentalist, but what I’m beginning to see is that global warming is setting age-, agendas which are actually damaging for the environment. Bio fuels in which the energy relationships are very dodgy, but which have a very significant effect certainly in my country on biodiversity. What is more, we’re having wind farms placed for global warming on very, very sensitive peatmoor habitats. Don’t think therefore that if you’re an environmentalist, you have to be attached to this agenda. Because it is now overarching, overdominant and is actually taking money and effort away from genuine and real on the ground habitat……",3
