,Speaker,Script,Round
0,Dr. Ross MacPhee,"Thank you, John. Well, megafauna just means big animals.",
1,Dr. Ross MacPhee,"This is clearly an educated audience. So it also includes things that we're going to be talking about tonight, like woolly mammoths, which are extinct. But I want to draw a line under the fact that there are still surviving megafauna, rhinos, elephants, hippos, and others, who are, in many cases, in very dire circumstances.",
2,Dr. Lynn J. Rothschild,Absolutely. What you didn't mention is that I also am a scientist at NASA. And our big problem --,
3,Dr. Lynn J. Rothschild,"Thank you. I was told by my siblings that's all I need to say. Really, our big problem at NASA is to launch things into space. That's what's expensive, is to fight earth's gravity. And if you start to use biology as a technology, a technology that can do things that no other technology can do, like self-repair and reproduce and so on, that computers can only dream about, I believe that you can solve the problem of human exploration.",
4,Stewart Brand,"Well, that was 1968 in the Whole Earth Catalog. And I was talking about personal power of man. But it still sort of applies now when we're realizing that we're the most powerful species on the planet. And now, I think it's -- we are as gods and have to get good at it, given climate change and everything else.",
5,Dr. George Church,"Well, I'm inspired by my students who go on and do things for society. I'm inspired by all the things -- all the opportunities in medical research to help people live healthier lives.",
6,Dr. Lynn J. Rothschild,"Thank you very much. Well, I'm going to be honest with you. I'm not really as involved in this field as some of the other distinguished people on this stage. In fact, any of the other people on this stage. In fact, because of the double negative, when I was first invited, I actually thought I'd been invited to speak on the other side. And so, I already knew what the killer argument was, and that was, if coffee, tea, or, God forbid, chocolate went extinct, that would be an international priority. Billions would be put into it. You know, forget the wall. We're making chocolate back. So, you know, that was going to be it. We could end the debate, I win, all over. And then I discovered that actually, I was on the other side. And so, I thought about that for a moment. I said, ""Well, what do you mean, then, by “creatures?” Because I already had the argument for plants. And went to the dictionary, and both the American and the English dictionaries define ""creatures,"" really, as moving animals so that we're starting to talk about something very far from chocolate or coffee or something like that. And what we're really going to be discussing tonight are a few apex species such as the woolly mammoth, a few birds, passenger pigeon, heath hen, probably, and the odd giant tortoise. So I took a deep breath, because I did definitely want to say I wanted to be here tonight, and said, okay, let me delve into the literature. And so what I’m hoping to do today is take you along on the journey that I've been through for the last two months and convince, as I've managed to convince myself, that we don't want to bring back these extinct creatures. In fact, what I don't believe is that it's a problem of the technology. What I don't want to do is get into the position where we're saying, ""Oh, yeah, in 10 years, we're going to be fine,"" and I'll come back and I'll sit with my distinguished colleagues on the other side of the aisle. But, in fact, I could say that these arguments are going to hold. It doesn't matter how crisp or even ""CRISPR"" your arguments -- -- we're still right. So, now, as an evolutionary biologist, obviously, it would be amazing to bring back extinct creatures. You poke and you prod them and you study them. But that's not really what this field's about. What we're really talking about here is some kind of mixture, because there's only one creature that I can think of you actually could bring back from the dead, and it's been done, and that's a virus. The horsepox actually has been brought back. It's been de-extincted. Now, I don't need to give you a lecture on viruses for you to imagine how horribly wrong that de-extincting viruses can go. So, at the other extreme, we could talk about de-extincting individual genes. For example, there is a very sad disease where people do not have the genes to be able to repair damage in the UV radiation, in the sun, and they have to stay inside all day and so on. Now, if the whole human population lost that ability to go outside, we would say we need to de-extinct these genes immediately. But that's not what we're talking about with de-extincting creatures. I would like to call that therapeutic de-extinction. We're talking about one or two genes. So that's not it. So let's now speak really about what the issues are. And as I started to think of them, most of them started to start with the letter E, and so I'm now going to call these like the seven Es. The first one is for extinction. We have to think, why did these creatures go extinct to begin with? And is there any reason to think it would be different a second time? And even if you start to bring them back, you're going to have real problems, inbreeding depression, just as we've done with the domestic dogs. Think about what's happened with the English bulldog. It's been a terrible, terrible situation. So, if you really want to bring back extinct creatures, you better be prepared to bring back over 100, so you have the genetic diversity. In fact, the only organism I know that doesn't have this kind of, what we call, inbreeding depression, is bed bugs and, you know, we -- let's not go there. Evolution, second E, even if we bring these back to life, we're not going to be able to control how they evolve in the future. And with the severe inbreeding, I don't think they will have a future. Ecology; no man is an island, and neither is any other creature. We need an ecosystem in order to survive. So we can think a lot about the examples of reintroducing species into environments, like the gray wolf into Yellowstone. There were all sorts of downstream effects. But ecology's very complicated, and it certainly wasn't so trivial when we reintroduced or introduced rabbits into Australia. It was a total disaster. But we also have an internal ecology, our microbiome. And if we even bring back something like an extinct mammoth, it's not going to have a mammoth microbiome. Oh, yes, there are examples of doing microbiome transplants and so on, but your microbiome affects what you can eat. It affects your immune system, your attitudes, your emotions, and so on. And so, again, what are we really doing? We're creating some kind of hybrid ecosystem. Ethology, the science of behavior; all these things like birds and mammals have to learn from their parents. And what parents are going to be around to teach them? Again, we have examples where, for example, in California, we've had the reintroduction of the condors. There was the passive breeding program with very few condors, and what they tried to do is to feed these -- the little hatchlings using a mother condor puppet. And that was better than having them imprint on the humans, but still, when these poor creatures were released into the wild, they had an unnatural affinity for humans. They didn't behave the way they should, for condors. Another E -- the fifth E is economics. According to Performing Animal Welfare Society, a healthy elephant costs about $70,000 per year to care for, and an elderly elephant costs a good deal more. And, of course, we're not talking about one. We're talking about many, many creatures. Emotions; we may have this feeling that this would be a great thing, and we feel this sense of loss when we lose a species, and I know, if you remember on New Year's day, the last of a certain species of snail, with the cuddly name of George, died. And we all felt bad, but really, look at yourself in the mirror. Was that really important to you that George died, that the one last snail of some species -- I don't even remember the name -- died? Is that a reason for de-extinction? And finally, the last E is ethics, which Ross will pick up on. And here, we're talking about things like restorative justice, animal welfare, but we have to also think, ""What are we doing? What is restorative justice? Are we making ourselves feel better because our ancestors way back years ago may have been involved in the extinction of this creature, or maybe 100 years ago? Do we have the right to create individual suffering in order to assuage our guilt or maybe take this blood libel of our ancestors off of our hands?",
7,Dr. Lynn J. Rothschild,And I would argue that's not right.,1
8,Dr. Lynn J. Rothschild,"Okay, I would just like to say that I wish my opponents the best of luck, and I hope that if they convince me, that I will encourage you to vote for them, and conversely, if we convince them, they encourage you to vote for us.",1
9,Stewart Brand,"I'll give you a little context why I think de-extinction's a good idea. I've been a conservationist since I was 10, which is 70 years ago. And when I went to Stanford, I got my degree in biology and evolutionary biology and ecology. Then, later on, thanks to Ryan Phelan here, my wife, we cofounded Revive & Restore, whose function is genetic rescue, basically bringing biotech to wildlife conservation. The idea that has changed everything is what we've been learning about in terms of biotech, which is that you can now sequence extinct species from museum specimens, and find out exactly what their genome was. You can sequence closely related species and compare their genomes, and then look at what's different, and then move what's different that's important through George Church's technique from the extinct genome into the living genome, and start to recreate the extinct genome and the extinct animal. This requires having a related species, and so with the mammoth, it's the Asian elephant, which is closer to the mammoth than it is to the African elephant. There's the passenger pigeon on the west coast; there is the band-tailed, really closely related. Here on the east coast, the heath hen is very close to the greater prairie chicken, and sequencing that we did proved that it was not a sub-species; it’s a different species and worth bringing back. There was a penguin of the North Sea called a great auk, which is an entire penguin-like pelagic bird that lived in the sea, in the entire North Atlantic, from here to England. And there's even the dodo, which has been sequenced. And where the great auk has the razorbill as the closest living species, there's actually -- the dodo is a big pigeon. And so, the Nicobar pigeon is really close to it. What we usually have is people go, ""Oh, de-extinction, cool idea. It's so cool, there must be something wrong with it laughs]."" And then, they start trying to find things. And then, next thing you know, it's ""de-extinction is controversial."" It's -- people made up problems. What you wish is that maybe an umbrella organization, like the IUCN -- the International Union for Conservation of Nature, which main-changed the red list of endangered species and extinct species -- if they could just put together some kind of group that would figure out, ""Is this practical?"" and ""What would be the guidelines to do de-extinction properly?"" That would really help. Well, it happens, five years ago, that group came together, and two years later, they came up with the IUCN Guiding Principles on Creating Proxies of Extinct Species for Conservation Benefit. And what's interesting is they're saying, ""Look, most of this is the same as what we already know and we already do that, which is re-introduction of species in places where they haven't been in a while, transportation of species from where they've gotten to now back to where they used to be, and even ecological replacement of one species for another, to serve the same ecological function."" The protocols and the practices are all in place. They've been there increasingly over 200 years. So, you know how to do captive breeding. You know how to do a soft release; you do these various things that have worked very well. They're just saying that de-extinction of the species are in that category; they just happen to be getting there by new technique. So, they're basically referring to the wolves in Yellowstone that Lynn talked about, that were brought in as an apex predator, and actually moved the whole ecosystem back to a better condition. You know, bringing beavers back to Sweden, and now to Scotland, and even to England. And they’re ecosystem engineers that are very important for making the whole landscape much richer for more kinds of creatures. The condors that Lynn mentioned. There were just 27 left when they went into captive breeding. There's now nearly 500. Half of them are in the wild, and they're having progeny in the wild. There's a black-footed ferret that we work with, America's most endangered animal -- mammal. And we're working on helping make it resistant to diseases killing it. Right here in New York, you had American chestnuts that were one quarter of all trees. And just 100 years ago, the chestnut blight came through, killed 4 billion trees, made them functionally extinct. But thanks to genetic engineering by Bill Paulette, SUNY, they're now coming back. We're just going through the process of getting the regulations squared away because they're a food plant, and they will come back and providing great chestnuts soon enough. But most interesting is the peregrine falcon, which went extinct in the east, so it’s the eastern peregrine falcon back in the DDT days, in the '70s -- they were gone. Ornithologists started hybridizing various other kinds of peregrine falcons, including some in the Mid-East. They started releasing these mixed birds. And those mixed birds prospered, and that's why you have peregrine falcons in New York now, helping keep pigeons at bay. That was kind of a generalized hybridization. What we can now do with biotech and with CRISPR is what you might call precision hybridization, so you can get exactly what you want, pretty directly. Tested in the labs. They already know that it's viable and then move on. So the main event, really, is bringing biotech tools to the problem of human health, that George's worked in, to ecological health. And you can see that we're not just -- we're not just curing extinction. The technology that de-extinction is leading the way in is now being used by us and by others to prevent extinction. And that's what I hope you'll vote in favor of. Thank you.",1
