,Speaker,Script
0,Dr. Ezekiel J. Emanuel,"Zero. Not at all. Doctors don't know the cost of any drugs by and large, and so it's not actually a factor that enters their mind when they write a prescription."
1,Dr. Ezekiel J. Emanuel,Neera Tanden. Long-time friend and co-conspirator on the Affordable Care Act.
2,Neera Tanden,"He's only joking, just to be clear."
3,Neera Tanden,I think that means that I am full of sweetness and light.
4,Neera Tanden,Absolutely.
5,Paul Howard,"Well, like all big institutions it tends to be pretty risk averse and more worried about bad things happening than making good things happen faster."
6,Paul Howard,Lori Reilly.
7,Lori Reilly,"On this topic, I would say that the conversation has been minimal, at best. And I think it could be improved with a more informed debate."
8,Neera Tanden,"Good evening, everyone. It's a great honor to be here to talk about one of the most important issues, I think, we face in the healthcare system. And it -- there are many issues that aren't getting proper discussion in our presidential debate, but this is one that has actually united those candidates. Candidates who rarely agree on anything have actually both talked about this challenge. And as we think about this debate tonight, and this conversation, I wanted to start off with where I think this debate really should start off. Which is with consumers, and people affected by high drug prices. I just want us all to keep in mind throughout this evening, moms who are working hard every day, moms like Lauren Bauman , who has had cancer for 10 years and relies on a daily dose of Gleevec, a cancer drug whose price has more than tripled since 2001. Even with insurance, her co-pay is as high as $2,200 a month. $2,200 a month. That has driven her family into bankruptcy and forced her and her 9-year-old daughter to move out of their house. And she says she has no choice, because without this pill, she will die. That's -- that is a terrible, terrible story. But there are stories like that throughout our country. Stories of 70-year-old diabetes patients who rely on insulin and whose price has tripled in a decade; the mom and her son who both need -- who have severe allergies and both need an Epi-Pen, and have to split it between the two of them. Now, we're going to hear a lot tonight about who is responsible for these situations. I have to remind everyone that pharmaceutical costs in the United States are higher than in any developed country. What does that mean? Consumers around the world are paying much less than consumers in the United States. Why is that? That's because pharmaceutical companies charge us for higher costs. They charge us more than they charge anyone else. Now, their response is usually that we need innovation, and that's what's driving costs. But when you really look at it, the truth is that pharmaceutical companies -- the vast majority of pharmaceutical companies are spending more on marketing than they are on research. They're spending, in fact, much more, usually, on marketing than on research. And let me remind everyone that the American consumer: Lauren, that the grandparent, the child who needs these drugs -- all of us as consumers are paying twice. We pay high drug prices, but we also, as taxpayers, pay for the National Institutes of Health, the research to fund pharmaceutical companies. So, the American consumer is really bearing this price on both ends. We are paying high prices, higher than anyone else in the world. And we are paying for the research. More research is done in the United States, federal investment, than elsewhere. And that's why, I think, this has become such a critical issue in this election and at a time when there is so much disagreement on so many issues. We are seeing Republicans and Democrats support strong action to reign in the price of pharmaceuticals. And the reason why is that pharmaceuticals aren't like any other issue. They're not like -- it's not a normal market. Pharmaceuticals are -- pharmaceutical companies are able to price -- to basically charge a monopoly price and rely on numerous insurance companies who don't have that pricing power to just pay what they can charge. And that is why you're seeing this outrage around the country. You're seeing this outrage because there is only one Epi-pen. There is only one drug. And essentially, the pharmaceutical company is saying, I'm not going to charge you the value of this drug. I'm going to charge you whatever I can. And in a healthcare system, that's not right. In a system where people need these drugs to live, that's not right. So, we'll get into more solutions as we go this evening. But I'd just like to say -- leave you with the words of one healthcare observer who recently said, ""Imagine if Jonas Salk would have priced the polio vaccine like today's drug companies. We'd still have polio."" So, with that, I will turn it over to the other side."
9,Paul Howard,"Thank you, John, and good evening. My role here tonight probably seems like a steep uphill climb. I think that for most people in the audience you probably feel the same way about the pharmaceutical company as you do about a pat down at the TSA. And not all of that skepticism is unwarranted. Some patients, particularly those with serious chronic illnesses, are paying too much out of pocket for their medicines, and we need to find a solution for that. So I'm not here to defend the industry or any part of the industry. What I am here to do is to defend the policies that keep Americans healthy and provide hope in the face of a devastating diagnosis. Lori is going to talk about how we can do that in a few minutes -- about how we can balance innovation and access. But the important thing is to continue innovation and expand access, because if we go down the road that other nations have gone down and use price controls to control investment in innovation in the industry, make no mistake, we will have fewer medicines, people will suffer and die unnecessarily. And if we step back and take a look at the big picture, not the headlines of the moment, not last year's data, but decades of data and evidence, we'll see that medicines properly used are the things that keep us out of the most expensive parts of the healthcare system; that's hospital beds and nursing homes. After you hear Lori and I speak, you're going to join us in voting against the motion that we should blame big pharma for runaway healthcare costs because they are not the biggest costs we face. It's not the suffering from Alzheimer's or diabetes. It's not the prolonged disability and premature death that's being driven by medicines. That is what they are meant to cure. Zeke and Neera are going to be arguing that drug costs, not hospital costs, not nursing homes, not physician visits, are going to sink the economy unless we empower a committee of government regulators to step in and set prices and profits for medicines. If you think that the core problem with American healthcare today is that we don't have enough bureaucrats and committees, then I'd encourage you to accept their plan. If, on the other hand, you want innovation that moves at the pace of 21st century technology, I have an alternative for you that focuses on competition, innovation, and, of course, containing total healthcare costs. The problem with our debates around drugs is that the prices of drugs are very easy to see. They come with sticker prices. The benefits can be harder to see because they accrue over years and decades. Let me give you just three examples. From 1969 to 2013, mortality from cardiovascular disease declined by nearly 70 percent thanks to medicines that were highly effective for high cholesterol and high blood pressure. For HIV/AIDS, mortality has declined by 85 percent. And today, some patients can keep their disease in check with a single pill. Even a disease as complex as cancer, we've seen gains; 20 percent over the past 20 years, a reduction in mortality and with better treatments coming online every day. Remember, none of these developments were inevitable. If we had handled the prescription drug challenge the way many other countries do and the way our opponents tonight suggest, we would see fewer innovations, and we'd wait longer for them. Now, apply that analysis to the future and think about what it means. There are new technologies on the way that promise to do even more to lower medical costs and improve health. Gene therapies that can restore sight to blind children, stem cell therapies that can restore a working pancreas to a diabetic woman who no longer has to rely on insulin. Shouldn't we be doing everything possible to bring those technologies to patients as quickly and safely as possible? Let me close with a few basic facts about why you should vote against the motion tonight. First, government actuaries and independent analysts agree the total level of spending we're going to be devoting to medicines is going to stay level for the next decade, at about 16 percent of total spending. About 85 percent of that spending is coming from somewhere else. To put it another way, we're going to spend more on physicians and hospitals -- a trillion dollars more, over the next decade. Second, it's essential to remember that effective prescription drugs can actually reduce other healthcare costs. So, the Alzheimer's association projects that if we had a treatment by 2025 that just delayed, not cured -- -- just delayed Alzheimer's by five years, over the next decade, Medicare would save close to $350 billion, and patients would be saving more than $220 billion in out-of-pocket costs. So when we look at the total cost of care, how much is devoted to medicines, how much of the increase is somewhere else, we see a very different picture, because sometimes a drug that looks expensive is going to wind up being the cheapest option for treating that condition we have. And those expensive medicines don't stay expensive forever. Patents expire, prices plummet. Doctors, MRIs and hospital beds start expensive, and they stay expensive. If we're serious about slowing runaway healthcare costs, what we need to do is not focus on the sticker price of the drug but of the total price of delivering better health. We need business models that reward doctors and hospitals for delivering better care and reducing costs. The overarching principle is simply this: More experiments, more competition, and fewer attempts to micromanage innovation because we don't know -- -- because a venture capitalist who has billions of dollars at stake doesn't know what the technology is that's going to be best positioned to improve our health a decade from now. So please join me in voting against the motion: Blame big pharma for runaway healthcare costs. Thank you."
