,Speaker,Script,Round
0,Reuel Marc Gerecht,My pleasure.,
1,Bernard Haykel,Thank you.,
2,Michael Doran,Thanks for having me.,
3,Barbara Slavin,Me too.,
4,Barbara Slavin,Good to be here.,
5,Michael Doran,Yes.,
6,Michael Doran,Emphatically so.,
7,Michael Doran,"Thank you. The President is right on Saudi Arabia because he understands that we’ve had two elections from two different -- two presidential elections that have elected candidates who said the United States is going to pull back from the Middle East. First that was Barack Obama, and then that was Donald Trump. He understands that the American public is not willing to have another George W. Bush-style intervention in the Middle East, and yet he also knows, as I think does our entire national security elite, that we can’t just leave the Middle East and leave it to its own devices. That’s the legacy -- that’s the lesson of the Obama administration's foreign policy. President Obama tried to pull back. He -- the last thing he wanted to do was to go back in Iraq and to get involved in Syria, but he had to, because we have to have order in the Middle East. And if the United States is going to make order in the Middle East, and it’s not going to do it itself, then it has to have friends, and it has to work with allies. And the number of allies who can work to create a regional order is actually very small, the number of candidates who can project power beyond their borders. There are only three, and they are Israel, Saudi Arabia, and Turkey. That’s it. There’s no other choice. If we’re not going to do it ourselves, we have to do it with friends. There’s no other possibility. Thank you.",
8,Barbara Slavin,"No . I’m surprised you didn’t mention the United Arab Emirates, but anyway. No, the Trump administration has squandered its leverage in the Middle East by blindly supporting the Saudi monarchy and in particular its reckless and cruel crown prince, Mohammad bin Salman. There was no good reason for Trump to go to Saudi Arabia as his first foreign trip. He could have gone to a democratic ally of the United States. His bet appeared to be that the Saudis would be so bowled over by this presidential attention that they would forge an overt alliance with Israel and spend billions more dollars on U.S. weaponry. While the Saudis have drawn somewhat closer to the Israelis, they have not supported Trump's unilateral moves, like moving our embassy to Jerusalem, or recognizing the Golan Heights. And they haven't bought much additional U.S. hardware. Meanwhile, Mohammed Bin Salman, who is known as ""MBS,"" had made a series of disastrous decisions, including boycotting Qatar, holding the prime minister of Lebanon and nearly 400 Saudi businessmen hostage, waging a brutal war in Yemen, and last -- but very much not least -- murdering the journalist Jamal Khashoggi a year ago. Had the U.S. taken a different tack, we would have had much more leverage with the Saudis, and it's possible that MBS would not have become crown prince.",
9,Brett McGurk,"I'm a no, John. Take Trump out of the question. We're here in the Upper West Side. I can imagine what most of the audience thinks -- but take Trump out of the question. What do we want from Saudi Arabia? We want a moderate Saudi Arabia. We want a successful Saudi Arabia. We want a Saudi Arabia that is working for stability in the region. Trump has given Saudi Arabia unconditional love, and there should be no unconditional love in the Middle East. We had no ambassador for two years. We had no engagement from the Secretary of State, because Trump went around the Secretary of State. And look at the results. Saudi Arabia today is weaker, more isolated in the region and in Washington, and facing increasing problems. On Trump's watch -- and I agree with Michael; we need a united front in the region -- on Trump's watch, the GCC, the Global -- the Gulf Cooperation Council, six countries in the Gulf -- has split because the Saudis have led a boycott of Qatar. That has weakened our ability to deal with problems in the region and Iran. Saudi Arabia, on Trump's watch, has escalated the war in Yemen, and we've basically abandoned diplomacy in Yemen to try to de-escalate that humanitarian catastrophe. On Trump's watch, bipartisan majorities in Congress -- which are rare these days -- have rebuked Saudi Arabia. Saudi Arabia is now becoming a partisan issue in Washington, which is not good for us and not good for Saudi Arabia. Defense spending in Saudi Arabia -- they spent 11 percent of their GDP on defense. They spend more than Russia on defense, and yet, they are in desperate need of domestic reforms because they have an economic crisis, and we are not working with them at all on these critical questions. So, I speak as a friend of Saudi Arabia. And the record, I think, speaks for itself. Trump has not been good for Saudi Arabia.",
10,Reuel Marc Gerecht,"No. I mean, I have to say, this is an odd occasion if I am in agreement with Barbara Slavin, sort of.",
11,Barbara Slavin,The foundation for defense of democracies -- my God.,
