,Speaker,Script
0,Alan Dershowitz,"Well, my high school teachers said the same thing. And so -- -- I think you guys have to give me a little break. These guys are all smarter than I am, so there --"
1,Alan Dershowitz,"My partner in this debate is the very, very distinguished professor, Sandy Levinson, who's just written his own great book."
2,David Kopel,"The trick is you make the pre-dinner prayer optional and that makes the ACLU folks happy. And then you have a lot of sharp knives around, and the NRA people are content."
3,David Kopel,"My partner is the genial genius, Eugene Volokh, perhaps the most important First Amendment scholar in the United States today.John Donvan: Ladies and gentlemen, Eugene Volokh. Eugene, you're a professor of law at UCLA. The reason that you were just referred to as a genius is that according to the Tuscaloosa News Profile done in 1981, when you were 12 years old and you were a sophomore at UCLA, the newspaper reported that your IQ was 206. And you recoiled earlier when I told you I was going to bring that up, so I thought maybe we could talk about your credit score instead."
4,Eugene Volokh,On a good day it's better than that.
5,Sanford Levinson,"Thank you. I want to begin by repeating a point that Bob Rosenkranz made. This is not a debate about policy. As it happens, I can't completely speak for my colleague, Professor Dershowitz, but I would very much oppose, for example, a federal law banning guns independent of the Second Amendment, because it is very, very clear that there is a critical mass of Americans who would be vehemently opposed to that. It would just add to the divisions in the country and it would increase the number of criminals in the country, because just as with drug laws and gambling laws and the like, there is no reason to believe that such a law could generally be enforced. Most enforcement requires a willingness to comply with a law that one regards as relatively legitimate, and this law would not be regarded, I think, in that capacity. It's also true with regard to a number of other gun control statutes that are proposed that I have distinctly mixed feelings about, many of them on a variety of policy grounds, but fortunately we're not here to debate that. Nor do I think we are here to debate the one true meaning of the Second Amendment, as interesting as that topic is, and about which indeed I have written. Rather, I want to emphasize the topic that is in front of us, The Constitutional Right to Bear Arms has Outlived Its Usefulness. Now, one reason I relish this statement of the question is that I'm one of those relatively rare people, I will admit, who actually believe there should be a new constitutional convention, because I believe that a number of provisions of the constitution have outlived their usefulness. I wouldn't even say that the Second Amendment or the right to bear arms is the one that has most outlived its usefulness, but I'm really quite happy to argue that in 2013 the kinds of considerations that led to the placement of the Second Amendment in the Bill of Rights, which Bob Rosenkranz summarized, I think, very well, have outlived their usefulness. So, if we were going to have a debate in 2013 about what substantiverights, as well as what structures the Senate, bicameralism, presidential veto and stuff like that, what would a 2013 or 2015 constitution look like? Would it include a substantive right in the United States constitution to bear arms? And I would argue that the answer is no. Let me also emphasize that this is a different question from whether state constitutions should include a right to bear arms. Eugene has written one of the definitive articles showing, I don't know what the current number is, but I think it's over 40, state constitutions do protect a right to bear arms, and that raises a very, very important question of whether we need to have that in the United States constitution as well. Let me give you two principle reasons why a constitutionalized right to bear arms instead of a right to bear arms that would simply be fought out in the political process, and all of us know that the political process today is tilted either legitimately or illegitimately, that's the topic of yet another debate that we need not have this evening, generally in favor of the rights of gun owners. So, let me give you the two reasons why I think the Second Amendment has outlived its usefulness in the 21st century. The first reason is precisely that it is anti-federal. That is to say, one of the anomalies -- sometimes very difficult to tell the players without a scorecard -- in the debate about gun rights. There are many people who define themselves as conservatives who rail against a rampaging national government that believes in one-size-fits-all solutions to national problems. Well, this is not necessarily what Heller decides, but it is what the Supreme Court decided two years later in the McDonald case, where it held that every state in the union has to toe a single line. Louis Brandeis spoke very eloquently of states as little laboratories of experimentation. Most states have chosen to experiment in favor of gun rights. There are some states -- or cities -- very dense cities, like Washington, D.C., that would prefer different experiments. Or in New York itself, one can well imagine a particular policy for the great cities of New York and a very different policy for upstate New York, where there are far, far more hunters than is the case in Manhattan, say. And one of the things that a single national constitutional amendment -- as interpreted by the Supreme Court -- does is to stifle that kind of federalism. And I think that's a mistake. But there's a second real problem with constitutionalizing the right to bear arms in the 21st century. As Mr. Rosenkranz suggested, the right to bear arms -- or the Second Amendment -- had a kind of cosmetic value until 2008. It's not that people didn't writeabout it. I wrote about it. Eugene wrote about it. A number of people found it very interesting. But it played remarkably little role in actual American law. Beginning with Heller, it does play a role. But what does that mean? It means that you turn over decision-making power to a group of federal judges who are highly divided, who have no expertise in this area, and who make often quite remarkable -- even unreasoned -- distinctions. Thus, for example, in Heller, Justice Scalia says that Dick Heller is protected, which I think is a perfectly plausible argument, but he suggests that Martha Stewart is not, because she actually lied to an FBI agent and is thus a convicted felon. I don't think judges should be making those kinds of decisions. I think legislators should."
6,Eugene Volokh,"All right. Thank you very much for having me here. And it's such a great pleasure to be on the same panel with David, and Alan, and Sandy. They're all top scholars and I also reckon all of them as friends of mine. And so let me start with something I think we all agree on, on the panel. And I think probably virtually everybody -- perhaps everybody in the audience agrees on too, and that is that there's a basic human right to self-defense. And there are, of course, debates about the particular boundaries of that right. But there's a core to that right that every state in the union recognizes. I'm sure it's well-recognized outside the U.S. as well. If somebody is threatening you with imminent death, serious injury, rape, kidnapping, you're entitled to use force, even deadly force, in order to defend yourself if that is necessary. That is very broadly agreed on. And I think it's agreed on because it is a basic human right. So I think there's little difference about that. But then there's the question -- what does that right entail? And I want to argue that a right to self-defense,like other rights, entails the right, at least presumptively, to have the tools that are necessary to reasonably effectively defend yourself. Let's take an example. The right to control whether you want to reproduce, whether you want to have children or not. Imagine somebody says oh sure, I'm all for that right, you can use birth control so long as it's the rhythm method. We wouldn't say that's a serious argument. We'd say it's a parody of an argument, right? We'd say well of course, the right to control your reproductive future involves the right to use tools that are reasonably necessary in order to effectively do that. That's not just for that right, it's also for speech. Your right to speak doesn't just mean the right to move your mouth, it's the right to use the internet, to use various other technologies that are reasonably necessary to effectively defend yourself. And guns are reasonably are necessary to effectively defend yourself. Our own bodies, you know, we sometimes can defend ourselves with that, but not when our assailant is armed with a gun or otherwise, and even if unarmed, if the assailant is sufficiently big, sufficiently strong, sufficiently ruthless, the only way we can effectively defend ourselves in many situations is with a gun, often not by shooting it. The overwhelming majority of all defensive gun users involve just threatening to use it. Just a couple of thought experiments. I'm sure some of you live in places -- in houses where on the front lawn it says protected by armed patrol. I suspect few of you live in houses where on the front lawn it says protected by unarmed patrol. I would be willing to bet that. So in a sense really, those people who have the money to have armed guards, either personal bodyguards or people driving by, are already entitled to essentially take advantage of this technology to defend themselves. The right to bear arms gives people the ability to do that, even if they can't afford to hire someone. If they are their own armed guards, that's what the right to keep and bear arms allows people to do. And I think it's no surprise then that 44 of the state constitutions specifically protect a right to bear arms, and over 40 of them clearly in a way that's an individual right to bear arms, and this isn't just some weird anachronism. This dates back from the Pennsylvania constitution 1776 to the Kansas constitution in I think 2012, and several constitutions in the preceding couple of decades as well. Now, some people may say well okay, fine. It's reasonable to say there's a presumption in favor of being able to have tools needed to defend yourself, but maybe it should be rebuttable. If there's solid enough evidence that banning guns or seriously limiting guns would protect us so much that that outweighs whatever loss to self-defense there may be, well, then we should do that. Well, interesting argument, but there is no suchevidence. So, in 2004, the National Research Council appointed a committee of scholars, of criminologists. They put out this very nice report. You can read it for free online. The consensus was based on the existing studies there's no evidence that either extra gun ownership or extra gun restrictions would make people safer. Centers for Disease Control in 2005, similar study, similar result. The other studies as well from New York's own"
7,Eugene Volokh,-- have ensured them. --
8,Alan Dershowitz,"Thank you. What a great and powerful argument. No wonder he is considered a genius. But let's think about his argument for a minute. The argument was really not so much in favor of the Second Amendment. It was in favor of the right of self-defense. You areright. We all agree. There should be a right of self-defense. So don't you agree with me that it would have been better if the Second Amendment had been written as ""Everybody has the right of self-defense"" -- then we could argue whether or not guns were necessary, what kinds of guns, what kinds of restrictions. You would also then have to debate whether or not guns were permissible for hunting, because hunting is not part of self-defense. The Second Amendment reads rather differently. It starts out by saying ""A well-regulated militia, being necessary to the security of a free state,"" then “the right of the people to bear and keep arms.” So, I think everybody would agree that the first clause of the Second Amendment, ""well-regulated militia,"" has outlived its usefulness. We do not have militias, state militias. They are as anachronistic as the Third Amendment, talking about that we can't quarter troops. Now, that doesn't mean that I would want to amend the Bill of Rights. I don't want to amend the Third Amendment. I prefer to leave it there, because if you start amending the Third Amendment, Sandy will have a constitutional convention. And he'll have people who might start amending the First Amendment, and the Fourth Amendment, and the Fifth Amendment. So I'm happy to leave all the amendments there, as long as we acknowledge that the Second Amendment, like the Third Amendment, has outlived its usefulness. My point is it would have been so much better if we had established the primary right in the Constitution, the right of self-defense. Then we would have nothing to debate. We would all agree there is a right to self-defense. We would then be able to debate what the derivative right is from the right of self-defense, just like we debate today as to what the derivative right of privacy is from the Fourth Amendment, the right of the people to be secure in their homes and places. But we have to distinguish between the primary right and the secondary right. The primary right should be the right of self-defense. Of course I throw the question to my distinguished opponents: are they conceding that the Second Amendment should be interpreted to abolish the right of hunters to own weapons that are useful only in killing animals and are not useful in defending one's home or oneself? Should one have to demonstrate that one is using the weapon for self-defense? Would you rewrite the Second Amendment, if you had the choice, and abolish the term ""a well-regulated militia,"" and say, instead, ""The right of self-defense, being necessary to the security of a free state, the right of the people to keep and bear arms shall be infringed."" It seems to me, from Professor Volokh's argument, that he would support such an amendment, or at the very least, if he had been a framer of the Constitution, he wouldhave preferred an amendment which started out with the right of self-defense being essential. So I think you've helped defeat your own argument by creating -- -- a new basic fundamental right -- -- and then deriving the right that's in the Constitution from that fundamental right. And so, the question remains, what difference would it make? The difference is fundamental. I agree with you. Basic rights should be recognized by constitutions. Virtually every country in the world today recognizes the right of self-defense. Four countries in the world, Mexico, Guatemala, Haiti, and the United States, I think, recognize the right to bear arms, so the vast majority of countries feel and believe that you can have a right of self-defense without necessarily having a fundamental right to bear arms. It seems to me that that's a relevant consideration, and I agree with my distinguished colleague that the lavatories of democracy should be allowed to operate. And we should not federalize this constitutional right. We should not be the only leading industrial country in the world that has as a fundamental right the right to bear arms. What do the four countries that have a right to bear arms have in common? What does Mexico, Guatemala, Haiti, and the United States have in common? They all have extraordinarily high crime rates, extraordinarily high murder rates, extraordinarily high death rates. I don't want to get into the argument because I agree, all of us would agree here, the statistics cut both ways. You can make arguments in favor of the fact that guns cause death, other arguments that guns prevent death, but look at the reality in a common sense way. Look at the fact that we are a country infested with murder and death and gun injuries and suicide and accidents in the home. It cannot be a coincidence that the easy availability of guns in our country has nothing to do with high murder rates. That just can't be a coincidence. Yes there are cultural differences. To be sure, Japan is not the United States, England is not the United States, but when you look at the crime rates in those countries and do allthe comparisons you want, you can compare inner cities in one country with inner cities in another country and I know you can get all kind of data to support your conclusions, but at bottom the question really comes to what kind of society do you want to live in? Do you want to live in a society where we are forced to defend ourselves by guns, where the more the bad guys get guns the more the good guys have to arm and get guns? I’m reminded of the great episode from ""All in the Family"" where Archie Bunker gets to do an op-ed on television. And he says, ""The way to solve the problem of airplane hijacking is very simple. Require everybody who gets on an airplane to have a gun. That way nobody will hijack an airplane."" Do you want to get on a plane in which everybody has a gun? And do you want to live in an America where everyone has a gun? If the answer to that question is no, let's acknowledge that the 2nd Amendment is anachronistic, has outlived its usefulness. Let's not abolish or amend the 2nd Amendment, let's construe it reasonably to permit gun control, to limit the ownership of guns to the right of self-defense, perhaps -- here I'm going to go further than you, perhaps also allow hunters to have limited access to guns. That's my position. Thank you."
9,David Kopel,"Thank you. Thank you. When I'm not in New York City, I spend just about all my waking hours in one particular case in a civil rights lawsuit in federal district court in Colorado where I represent 55 of Colorado's elected sheriffs who are suing against the unconstitutional extreme and highly immodest laws pushed down on Colorado by Mr. Bloomberg's successful lobbying last spring. In the United States Supreme Court I presented briefs on behalf of a very large national coalition of law enforcement organizations in District of Columbia versus Heller and McDonald versus Chicago. Included in that coalition are the two organizations -- national organizations of police trainers, the police who train the police. My clients, like the vast majority of law enforcement officers, according to every survey of law enforcement officers ever done,strongly support the Second Amendment and oppose laws which make it difficult for law-abiding citizens to own firearms for protection, because they believe that guns in the right hands substantially enhance public safety. What's some of the evidence for this belief? Well, in the United States, when a burglary takes place against a home, 13 percent of the time, the victims are in the home. It's called a hot burglary or a home invasion burglary. In contrast, in England, the rate of home invasion burglaries is 59 percent. In the Netherlands, it's 45 percent. And this is because, in the United States, people can lawfully own guns for self-defense in their home and have them readily available for self-defense in an emergency, unlike in those other nations. Studies of working burglars in Pennsylvania, Massachusetts, Connecticut, and St. Louis have consistently found that burglars -- most burglars in the United States work quite hard, spend a large portion of their working day trying to make sure that there's nobody home because they perceive a very high risk of getting shot if they do come in when somebody is home. And in fact, in the United States, the risk that a burglar will be shot exceeds the risk that he will go to prison. And if you think prison has some deterrent value against burglary -- and I certainly do -- then home self-defense has an even stronger protective value. The Centers for Disease Control is not a pro-gun propaganda organization. They conducted a national survey in 1994. They found that that year, there were 503 thousand defensive gun uses against burglars. Usually, without -- in the United States. Usually without a shot even being fired. And in 99 percent of those cases, when the victim confronted the burglar, the burglar decided it was time to leave work early. Now, if you look at when burglaries do happen against victims in the home, they frequently lead to not only a burglary, but to assaults against people in the home. If you simply take our 13 percent home invasion burglary rate and scale that up to the 45 percent rate of some other countries, that would lead to an additional half million assaults every year in this country. That, by itself, would raise the national crime rate by nine percent. Guns are not only useful against burglars and for deterring burglars, but for self-defense in general. This summer the National Research Council and the Institute of Medicine -- two federal research centers -- at the request of President Obama, put together an expert panel of the leading social scientists on firearms policy issues to provide recommendations for what future topics need to be researched, and also, on what topics has consensus been achieved among social scientists. What they said in their report was that the social science is clear, that when a victim is attacked, using a firearm defensively leads to a lower rate of victim injury, to a lower rate of crime completion than any other protective strategy. It is the safest thing to do for the crime victim on a broadly -- broad-scaled statistical basis. And they also said the social science is clear, that guns are used at least for good, lawful, defensive purposes -- at least as often as they are used for criminal purposes. Of course the benefit to law enforcement of this is enormous, in the fewer victimizations; the fewer crimes, the fewer people they have to respond to and help so they can help other people. Now, why is the Second Amendment necessary today? To protect people from local, bigoted governments. It was necessary in the civil rights era, when civil rights workers frequently had to arm themselves in the South for protection against the domestic terrorist organization known at the Ku Klux Klan, when local police were often complicit with the Klan. It's why the Deacons for Defense and Justice were formed in Bogaloosa , Louisiana in 1965, to successfully provide armed protection to organizations such as the Congress of Racial Equality. It was necessary in Washington, D.C., where Dick Heller spent every day as an armed guard at the Federal Judicial Center and was not allowed by the D.C. City Council to use any firearm in his home, ever, for lawful self-defense against a violent home invader. It was necessary in Chicago, where Otis McDonald, a 70-year-old Korean War veteran received personal death threats from gangsters because of his anti-gang work. And Chicago said, ""Well, you can have a rifle or a shotgun."" He knew how to use a rifle. He had been in the Korean War, but for his condition in the apartment he lived in with his physical strength and agility and the current status it was, the handgun was the right choice for him for self-defense, and the bigoted city council of Chicago would not allow him to use that, and that's why the Second Amendment was necessary, and it's necessary in New York City right now. If you have a handgun permit in New York City, you can go on a trip. You can drive from Brooklyn all the way to Seattle and lawfully carry that gun in your car in every state across the country and it's a good secure thing to have in case your car breaks down in the middle of the night someplace on a deserted road. But the New York City police department won't let you take the handgun out of the city. There is no rational basis for that prohibition. It is purely for the oppression of gun owners to the detriment of self-defense. It is a dangerous law and a Second Amendment lawsuit will likely be necessary to remove that. I urge you to vote against this deadly dangerous proposition to vote for public safety based on the recognition that today the Second Amendment remains vitally necessary to the security of a free state. Thank you."
10,David Kopel,"Real quick. The Second Amendment is the right to keep and bear arms. As Heller and McDonald say, it's the right to keep and bear arms for all lawful purposes, self-defense, hunting, target shooting, whatever. It's not limited to self-defense. Certainly self-defense is the most important purpose of that right under Heller. That's what the Supreme Court said was the core purpose of the right, but the Supreme Court didn't say that was the only purpose of the right. The right is for all lawful purposes and modern constitutions, state constitutions say so more explicitly, but their point is the same as the Second Amendment."
11,Alan Dershowitz,"Not at all. I think the Second Amendment historically gives the right of the people the right to use guns against their government. As Jefferson said over and over again, we need to have armed citizens in the state to make sure that there are no monarchies trying to take over. It was a right of revolution. There was no debate, as far as I know, about self-defense. It may have been implicit, but the Second Amendment's language and many of the people who are the strongest supporters of the Second Amendment are literalists. They go to the original understanding. They look at the words -- why are you prepared to excise the first, whatever it is -- 10 words from the Constitution? ""A well-regulated militia, being necessary to the security of a free state"" -- are you prepared to concede that a well-regulated militia is no longer necessary to the security of a free state?"
12,Eugene Volokh,No.
13,Eugene Volokh,"No, I want neither. I want neither. So the -- I think, on this point, the court was quite right that if you look at the way the word ""militia"" was understood around the time of the framing -- and actually remains a legal definition of the term, although not a common lay definition -- militia meant the armed, adult -- at the time -- male citizenry, the times being what they were. And ""well-regulated"" meant basically well-functioning, well-trained. So, really, what they were saying is an armed, well-functioning citizenry -- well-functioning as a body that knows how to use its weapons -- is necessary to the security of a free state. And that because of that, because -- and this is a preamble that explains the rationale or part of the rationale for the right -- because of that, the government shouldn't be able to disarm the people. But --"
14,Eugene Volokh,"The point was both. And that is one of the things that the court, I think, correctly --"
15,David Kopel,"Here -- Alan, here's what you're overlooking. If you --"
16,Alan Dershowitz,"So, what does ""well-regulated"" mean? What you're trying to do is now say that everybody who owns an individual gun has to be a part of a regulated militia. They have to come to the green every day and march and --"
17,Alan Dershowitz,--
18,Alan Dershowitz,"But we don't have a well-regulated militia now. We don't have any kind of militia now. So I think you're conceding that the first part of the amendment has outlived its usefulness. We win at least the first half of the debate, right?"
19,David Kopel,"Sure. Thomas Cooley, the great constitutional scholar of the latter 19th century, addressed your exact point. And he said that the interpretation you're following woulddefeat the purpose of the Second Amendment, because that would mean the government, by neglecting the militia, could thereby destroy the right to arms. We might have more public safety if there were something to encourage more regulated, well-trained citizen defense patrols, for example, in communities. But that's up to the government --"
20,Alan Dershowitz,Like the Ku Klux --
21,David Kopel,Wait --
22,Alan Dershowitz,Like the
23,David Kopel,But this government's neglect does not destroy the underlying right.
24,Sanford Levinson,"I would certainly consider it. It makes a lot of sense. But quite obviously, as I suggested in my opening remarks, it's a very, very capacious right. Does it extend to Martha Stewart, a convicted felon? And to me, it seems the answer should be yes. If Martha Stewart had knocked over a bank with a gun, I'm not sure that I would say she preserves her constitutional right to self-defense. What about non-U.S. Nationals who live in the United States? You know, do they not bleed? Do they not have lives that are threatened? And then what about illegal aliens? The Fifth Circuit, as I'm sure Eugene and David both know, split 2-1 on whether or not a federal law that prohibits illegal aliens from possessing guns is constitutional. Their argument was that the point of the original Second Amendment -- and I think they're correct. I didn't do adequate justice to Bob Rosenkranz's initial introduction -- I think the historical origins of the Second Amendment really do have to do with citizen militias and organizing to overthrow corrupt governments. And the argument was that an illegal alien isn't part of the American community politically, which is certainly true. That doesn't mean that an illegal alien has no right to self-defense."
25,Eugene Volokh,The right of the people to bear --
26,Eugene Volokh,"-- arms throughout American history has had a self-defense component as well. We see that in the Pennsylvania constitution of 1776, which talked about the right of the people to keep and bear arms in defense of themselves in the states later on was more clearly even changed to each citizen defense of himself --"
27,Sanford Levinson,But that wasn't put in the U.S. constitution. They knew about that and they didn't put it in.
28,Eugene Volokh,"But they talked about the right of the people to keep and bear arms. What you're suggesting is that the Second Amendment -- you're suggesting the Second Amendment is obsolete in part because it used -- the framers used the term keep and bear arms there in a way that's different from the way that it was being commonly used in the coordinate state constitutions of the time. I think you're creating obsolescence of your own making. You're interpreting it in a strange way as saying well, it wasn't intended to deal with the self-defense, and now you're saying it's obsolete. Well, I'm saying it was intended throughout to deal with self-defense. It was also aimed at a means of deterring government tyranny, but the interest of self-defense has been always around, and if you look at court decisions of the early 1800s, all the time -- John Donvan:Eugene, let's let Alan . Alan Dershowitz."
