,Speaker,Script
0,Jamelle Bouie,Thank you for having me.
1,Jamelle Bouie,I hope --
2,Jennifer Rubin,Nice to be here.
3,Jennifer Rubin,Nice to be here.
4,Rich Lowry,"Thanks much, John."
5,Rich Lowry,Thank you.
6,Kris Kobach,"Thank you. You know, I think having -- you know, to win a state office, you usually have to do a few debates. And I think most politicians really don't like it."
7,Kris Kobach,And maybe -- and I'm just odd that way. I actually really enjoy it.
8,Ian Bremmer,Good to see you.
9,Ian Bremmer,"I declare, ""Yes."""
10,Ian Bremmer,"Sure. Look, I think the point is that America First should be leading by example. That's why I believe it's sound. We know that Americans are not interested in being the world's policeman, two and a half million Americans and their families having participated in failed and expensive wars in Iraq and Afghanistan. We know a solid majority of Americans aren't as interested in supporting free trade like TPP or NAFTA because they feel like they did not benefit from it. Even though prices are lower, they don't see the opportunities. The American dream for many of them is dead. The point is not that America First as a first as a concept or policy doesn't work. The point is that Trump himself is incapable and unwilling to actually lead by example. So, the fact that you have the wrong vessel, the fact that he personally can't execute does not mean that America First as a concept is something we should be throwing away."
11,Kris Kobach,Yes position.
12,Kris Kobach,"I think it's an interesting commentary in our times that this is even considered a debatable topic. I mean, it's axiomatic that the leaders of any nation should prefer to put the interest of their countrymen or their country over the interests of other countries. But I think it's a sound policy direction in practice, too, because if you look at how it applies in specific question, so for example, take refugee policy. Prior to the Trump administration we were granting about 93 percent of refugee applications, pretty much taking the refugee's word for it most of the time. However, in the last 25 years we've had 21 major terrorists who abused the refugee program as a way of getting into the United States. Now, we're putting America's interests first saying well, the claim of the refugee is going to be secondary to the safety interest of the United States and we'll see, but I think that 93 percent is going to come down and our safety level is going to go up. Let me give you another example. NATO. In 2006, the NATO countries agreed to spend 2 percent of GDP. Right now, only five of the 28 countries are doing it. Our previous attitude has been well, just let them do what they want. Now we're saying America First. Trump has said we won't support you unless you meet your obligation. It's working."
13,Rich Lowry,"John, I'm going to try to make this unanimous and vote yes."
14,Rich Lowry,"Just so all of you know where I'm coming from, according to the president of the United States' Twitter feed I am clueless, incompetent, and to quote, ""One of the very dumbest people on television."" So, there -- you're applauding that? You agree? So there are any number of resolutions I would disagree with and come down on the anti-Trump side. Is he a commendable person? Can he keep track of our aircraft carrier strike group? Does he have small hands? But this one is just common sense. If Trump understood the fraught history of this phrase from the 1930s he would've had to read some history books so we can strike that possibility right off the top. What he clearly means and has said repeatedly is, he wants to put the national interest and our citizens first and you can disagree with what policies he thinks beat that test, but no politician ever goes out there and says, “Look guys, I really want you to support this policy. It will hurt Americans and help some other country abroad.” So, let me finish with this question. If not America first, what country do you want put first?"
15,Jennifer Rubin,I am going to break the unanimity and vote no.
