,Speaker,Script,Round
0,John Tierney ,"Well, I argued that the Nobel Peace Prize should be awarded to Walmart. So far, the Nobel committee has not accepted my advice, but I am hoping that tonight's debate will change their mind.",
1,Richard K. Vedder,Yes.,
2,Richard K. Vedder,"Yeah. I thought it might be cool if they would sell a book about them to themselves. But they looked at me and very politely said, ""No, I don't think it'll sell well. Sam Walton won't do as good as Harry Potter.""",
3,Nelson Lichtenstein,That's right.,
4,Nelson Lichtenstein,"They do indeed. And I just looked it up -- -- on the Walmart web page. You can buy it for 3.99. That's heavily discounted. And, you know, strange things happen in world capitalism, and you've just seen it right here.",
5,Nelson Lichtenstein,Amy Traub.,
6,Amy Traub,"Well, John, there's nobody who's perfect out there, but you don't have to be perfect to be doing better than Walmart when it comes to job quality. So, Costco, for example, is a big retailer that does it better than Walmart. They're better on wages, and they're better in terms of working conditions.",
7,Amy Traub,"Ah, they may well be.",
8,John Tierney ,"Thank you. Thanks, John. Thank you to Intelligence Squared for hosting this debate, and thanks to all of you for coming out on this rainy night. Rich and I come here to praise Walmart, but we're going to not spend much time on its obvious virtues like its corporate philanthropy, like its program for sustainability and reducing carbon emissions. Those are great things it does, but they're not why I nominated Walmart for the Nobel Peace Prize. And I was half serious about this too. In my column in the New York Times, I challenged readers to name any other organization that has done as much as Walmart to help the world's poor. I still haven't heard a plausible candidate. I mean, no one comes close to Walmart in combating poverty because it does two things. First, it saves customers a ton of money. It's estimated that it saves a typical American family about $2,500 a year. Now, to put that figure in perspective, that's about what a family on food stamps gets from the federal government. I mean, so this is a major antipoverty program here at home. Now, second, Walmart is the chief pipeline for redistributing wealth from rich countries to poor countries. If you're a subsistence farmer living on a dollar a day in Africa or Asia or Latin America, the surest way out of poverty is to take a job in a factory selling products to Western customers. You can multiply, quickly, your income by four, five, six times. For the first time in your life, you can afford electricity and running water. Now, since 1990 when Walmart became the largest retailer in America, the global rate of poverty has been cut by two-thirds. That's the sharpest decline ever. More than a billion people have been lifted out of poverty. Now, that's one of the greatest miracles in human history. And Walmart played a leading role. So, the obvious question is, why isn't it more popular? You know, why do you hear so many terrible things about Walmart? Well, one reason is snobbery. A lot of people find Walmart tacky. Another reason is it's got deep pockets so it's a big target for trial lawyers. But the main reason is that Walmart has challenged some very vocal special interests. Newspapers don't like Walmart because it spends very little money on newspaper advertising. Local merchants don't like it because they don't want to match its prices. And most important, unions don't like Walmart because they're challenged by its competition. Now, as Rich is going to tell you shortly, the pay at Walmart is comparable to that at unionized stores. But there's one big difference. Walmart workers don't give part of their paychecks to a union. Union leaders want to keep those dues coming, and so do the politicians who get a share of those dues in the form of campaign contributions from unions. So, unions have funded a large campaign against Walmart. They funded Astroturf groups with paid activists who have led protests against Walmart, who stopped it from hoping here in New York City and in other places. They had a long PR campaign against Walmart, including a documentary that featured a story about a family business in Middlefield, Ohio, that was ruined by a new Walmart. It was a very -- it was a heartbreaking story. You saw this family sadly closing its beloved hardware store. But the problem was, when I went to this town, I found that it was false. This hardware store actually closed before Walmart opened, and it was closed by mismanagement, not by Walmart. Another local businessman bought the building, opened a better hardware store, and he was doing just fine. And today, in that town, there is still a local hardware store competing with Walmart. So, don't believe all the propaganda you've heard against Walmart and don't assume that all its critics have pure motives. Some critics complain that Walmart sells too many foreign products. Now, as we saw during the presidential campaign, it's really easy to work up popular anger against foreign workers. But from a moral standpoint, if you're concerned about global income inequality, you shouldn't feel guilty shopping at Walmart. There's nothing wrong with sending your money to those workers. And if you're concerned about social justice here in America, consider what Walmart's been doing. Progressives used to worry about workers in small company towns whose paychecks disappeared every week because they were getting gauged at the company store. They used to worry about inner city families that had no access to stores selling healthy food at low prices. So, Walmart comes along to solve those problems and what's the reaction? Stop them before they discount again. Imagine if Republicans in Washington proposed slashing food stamp benefits to poor New Yorkers. There'd be outrage at their cruelty. But that's what Mayor de Blasio and the city council have done by refusing to let Walmart operate here. They're effectively taking money out of the pockets of the poorest families in New York. If you care about those families, if you care about all the people across America who have been helped by Walmart, all the people around the world, I hope you'll join us in supporting the resolution -- -- long -- and it is a revolution. Long live Walmart.",
9,Amy Traub,Traub.,1
