,Speaker,Script
0,Michèle Flournoy,"Well, I certainly hope so, but to be fair, you know, the administration has a lot on its plate right now. This little thing called the Iran deal, getting that through Congress, concluding an historic trade deal in Asia, but I'm confident that once those two things are taken care of this will move to the top of the president's nightstand reading pile."
1,Michèle Flournoy,Yes.
2,Michèle Flournoy,My partner is the brilliant Philip Zelikow.
3,Philip Zelikow,"I'm afraid, John, it's not common enough, which is a shame, because I think presidents need all the help that they can get."
4,Dov Zakheim,It shows you how well we prepared.
5,Dov Zakheim,Not anymore.
6,Dov Zakheim,"Yeah, there were seven of us, not including Mr. Spock, who advised George W. Bush when he was running for president. Of course, some people would say it would've help if Spock advised him, but the group was actually set up by Condi Rice, who is no stranger to Aspen, and it was named after the statue of the God Vulcan in Birmingham. And since we had no say in it, we became Vulcans."
7,Michèle Flournoy,"So I'm arguing for the proposition that ISIS must be defeated. ISIS is more than a terrorist organization. It is a proto‐state, an ideological movement that is committed to undertake Jihad against anyone who rejects its abhorrent ideology. Its ultimate aim is to establish a territorial caliphate that stretches across the Muslim world. ISIS is brutal in the extreme. It has beheaded innocent civilians. It has burned a captured Jordanian pilot alive in a cage. It rapes women and girls and sells them into sexual slavery. It crucifies Christians. It desecrates and destroys Holy sites and antiquities. Over the last year ISIS has established a very substantial safe haven in Iraq and Syria, and it has recruited more than 22,000 foreign fighters from more than 100 countries. The scale and scope of this mobilization is unprecedented. Thousands of these fighters have Western passports that would allow them to travel back to Europe and to the United States without a visa. ISIS ‐‐ its geographic ambitions are not limited to the Middle East. This is a globalizing movement. In the last year ISIS has sought to establish footprints in places from Libya to Afghanistan, Nigeria, the Caucasus, even Southeast Asia. Holding territory is critical to its momentum and its legitimacy. It has also established a global presence on the internet using online means to disseminate its propaganda, recruit and radicalize followers, inspire lone‐wolf attacks. Again, the scale is eye‐watering. 90,000 social media messages each day. 90,000 a day. In some ways, ISIS could become more dangerous than Al‐Qaeda. Al‐Qaeda used to assert very strict control over who became an affiliate. ISIS says, ""Let a thousand flowers bloom. If we can inspire individuals to conduct attacks around the world, that's great.” In fact, 10 of the 11 attacks conducted in the West since May of 2014 have been by lone wolves. ISIS has also conducted attacks not only in the Middle East, but in Canada, Australia, France, Denmark, and yes, here in the United States. In all 50 states today, there are active investigations or arrests of ISIS. If ever there was a terrorist group that we must defeat, it is ISIS. Now, defeating ISIS will require an intensive ‐‐ more intensive and fully resourced campaign on the part of the United States and our international partners. We need to intensify our diplomacy and our military support to Sunni and other partners so that they can be empowered to defeat ISIS on the ground. Politically, that means we need intensified diplomacy to press the Shi'a government in Baghdad, to address Sunni grievances, to devolve more authorities and resources to the provinces, to move towards a more federal and just Iraq. In Syria, we need a more robust diplomatic effort to set the conditions for what should eventually become a negotiated settlement that removes Assad from power. We need increased international engagement to try to keep the civil war in Syria from destabilizing neighboring states, like Jordan, and Lebanon, and Turkey. Militarily, in Iraq we need to provide more support, trainers, combat advisers, equipment, close air support, to local partners on the ground who can take on ISIS and take back territory. To be clear, I am not ‐‐ we are not arguing for a large‐scale U.S. military invasion of Iraq. We are not calling for a repeat of the Iraq War. We are calling for intensified support to partners. In Syria ‐‐ we need to shift our emphasis to producing more support to some of the groups that are already having success on the ground, like the Southern Front and the Syrian Free Army. We also need to refashion our Train and Equip program to try to get towards the goal of a more viable alternative to ISIS in a post‐Assad Syria. Thinking globally, we also need to combat ISIS using the full range of tools that we've developed for counterterrorism, disrupting their financing, targeting their leadership, building their capacity of partners in other countries to try to keep ISIS from moving in. We need to work with private sector and NGO partners to combat them online. And we need to address some more fundamental conditions that create fertile soil for ISIS, such as poor governance and community grievance. This will not be without risk. But I would argue, the risk of inaction are even greater. The other team will argue that containment is a better option. I will tell you that containment won't work. Containment means allowing ISIS to hold on to sanctuary. It means ISIS will be able to continue to plan attacks, recruit followers, inspire lone wolves. Containment would be a recipe for endless terrorist attacks in the West and instability in the Middle East. Is that a future we really want? It's not a future I want my children to live in. If there's anything we should have learned from 9/11, it is that we must not allow a terrorist organization like this to have sanctuary in the heart of the Middle East or elsewhere. Now is the time to do more, to act with our partners, to defeat ISIS. Thank you."
8,Philip Zelikow,"Tough issue, but I want to start where Anne‐Marie Slaughter left off. She said injecting the United States into this conflict confirms their narrative. As if we're not injected already? As if we're not conducting air strikes against them every single day? As if we're not, as the Deputy Secretary of State has said, ""We've already killed 10,000 of their members, but it has not declined."" In other words, we're already injected. We're already fighting, we're just not beating them. That confirms their narrative. That confirms their narrative of victory. Their crusaders attack us every day. That's the way they put it. And here we are controlling 20 cities, ruling millions of people, and enslaving more. Let's talk about what failure looks like. Sure, failure looks like hundreds or thousands of Americans dead after an attack that could come next month, next year, or the year after that. The 9/11 attack that I studied gestated for three years before they laid waste to southern Manhattan. The people who carried out that attack migrated from Germany to Afghanistan nearly two years before the attack. They went there, by the way, thinking that they were going to go fight Russians in Chechnya, but the leadership found other uses for them. So failure looks like hundreds or thousands of Americans dead with more violence in Europe, but failure also looks like the descent of the Middle East into the full war of extremes in which its all against all, in which its Shia extremists supported by Iran and Sunni extremists for whom ISIS is the terrifying sort of purity and Lebanon crumples and Jordan crumples and Turkey begins to crumple, all already awash with millions of displaced people. All are already failing to cope. Their societies already sagging under the weight of the burdens. Saudi Arabia destabilized as more and more Sunnis find that that's really the extreme version of their own ideology that they want to follow. Don't you think that that's the point that the U.S. has to reinvade the Middle East? That's failure. U.S. reinvasion of the Middle East is failure. That's the failure Michèle Flournoy and I are against. That's why you need to adopt this resolution and defeat ISIS so that we don’t have to reinvade the Middle East. What then does success look like? Success looks like defeating their message. What's their message? It's a message about power. We empower the weak Sunni Muslims and we empower them through the exclusive divine mission they hold and the terrifying sword they wield in the territory we rule, ruling despite the crusader's attacks against us. So what does success look like? It's Sunni Muslims liberating their own lands. It's Sunni Muslims recovering self‐determination. So what's the strategy to do that? It's a political strategy first and foremost, because the public debate in America is mostly about should we do more militarily. That's wrong. Michèle and I both believe, know the strategy leads politically and it needs to be a strategy that appeals to Sunni Muslims, because they're the ones we want to do most of the fighting to keep Americans from having to do most of the fighting later on. Why will they fight? They will fight to free themselves, to free themselves from the Assad tyranny in Syria where we also must join that fight and end the Syrian Civil War, which is destroying the region and bringing it close to the brink of apocalypse. That's the kind of message that appeals to Turkey and brings them in on our side and units Saudi Arabia and the Sunnis of Lebanon and the millions of Syrians in refugee camps who want to return to their homes. Because, you see, ISIS is not homegrown. ISIS are foreigners. The ISIS rulers in Syria are led by Iraqis and veterans of Saddam Hussein's gestapo and they recruit Uzbeks and Chechens to run their shock troops in Mosul. Many of the Iraqi recruits that they enslave into their service don't even understand the command language that they're hearing on the radio. So the political strategy is a self‐determination of Sunni Muslims. And the military strategy, advise and support so they can do the job, but it's a tough job. They have to retake cities. To do that kind of urban warfare requires just the kind of assets that only the United States has. Think about urban combat and what you need, armored vehicles that aren't going to be blown up by an IED as easily, jammers to diffuse the IEDs, snipers who can provide over watch, communication so that you know what's going on in the block two blocks away from you, medivac capabilities that give you the confidence your wounded can be treated and helicopters and fires that can be brought to bear on the targets you see in front of you. Those are assets only the United States can provide, which gives them the confidence and the sense that we're in this with them that allows you to build a coalition founded on Sunni Muslims doing the job to liberate their own lands, because containment doesn't keep the U.S. out. It guarantees the U.S. is likely to come in. Anne‐Marie said it at last. Let ideology crumble itself. Did the Khmer Rouge crumble itself? No, the Vietnamese had to invade Cambodia. Did the Taliban crumble itself? Did al‐Qaeda in Pakistan crumble itself? Has the North Korean tyranny crumbled itself? No. You have to beat terror with something else and in this case the something else is defeating terror where it has taken root in ISIS. Support the resolution."
9,Dov Zakheim,"Thanks very much and I really want to thank Phil, because he just made my argument. We have armed ISIS. What do you think they're using? American personnel carriers. American tanks. American ammunition. Why? Because we've done such a fantastic job training the Iraqis and we've been doing it for over a decade, and we've done an equally good job training the Afghans. That's why they're doing so well. And in fact, if you look at who we've trained in Syria, we have a $500 million program that thus far has spat out 60 fighters, 60. That's less than that side of the room. Of which, and I hope this doesn't happen to any of you all, a whole bunch have already been captured. So let's step back and look at what it really takes to beat these folks and to do something other than to contain them the way my brilliant colleague, Anne‐Marie Slaughter ‐‐ ‐‐ laid out for you. You know, this isn't the first outburst of Islamic extremism. For instance, in the 12th Century there was a fanatical group that actually had the same ideology as these guys called the Almohads. And how were they defeated? By massive forces of Christian troops coming down from northern Spain. In the 18th Century, the original Wahhabis who had made a deal with the first , basically same kind of ideology. They were defeated by Turkish forces, and then we had the same sort of thing again in the late 19th Century when Lord Kitchener, then General Kitchener, amassed a huge force to defeat the Mahdi in Sudan. What's the common denominator? Lots of troops. Not a few thousand. Not a bunch of spotters, because oh, by the way, when the Israelis couldn't beat Hezbollah in 2006, they didn't have a problem with spotters. And when we tried to bomb Vietnam to the Stone Age in the 1960s, with Rolling Thunder, we didn't have a problem with spotters. Spotters aren't the issue. The issue is, can you and are you willing to send in hundreds of thousands of troops? Do you think this country wants to do that? Do you think we even want to spend the money to do that? We're living under a strange thing called a sequester. Somebody was asked on television, ""What's a sequester?"" And he answered, ""It's the capital of Portugal."" People don't even know what a sequester is. But what it's done is limit our spending. And you talk to Secretary of Defense Carter and he rightly says he's being constrained all over the place. The president says it. So, where are we going to find the money ‐‐ even if we had the will, which I don't think we have ‐‐ to go and fund all these troops, or even to do what Philip says. All the things you want to give these folks ‐‐ let's assume they don't fall into ISIS's hands. Where are we going to find the money for it? Do we have the will? Do we have the money? Do we have the staying power for that kind of thing? The only way you're going to stop these guys is if, indeed, they rot from within. That's the only alternative if you're not going to send hundreds of thousands of troops in. And to get them to rot from within, you have to contain them. You've got to keep them cooped up. And there are ways to do that. But we're not even in one mind as to how to right now. Yes, we love the Kurds, but we don't arm them. Yes, we want to work with the Turks, except the Turks have a different agenda. They want to bomb the Kurds, who we like. I mean, you need a scorecard to figure out who exactly is on your side. How do you beat these people that way? The bottom line is ‐‐ unless we have a coherent major military strategy, the real alternative ‐‐ when you parse out all the stuff about what we can do right now, the real alternative is to keep them cooped up, to arm our friends, to figure out how to train those who will fight. And yes, the Sunnis might fight. But guess what? They haven't fought until now. We've been begging them for years. Saudi Arabia is fighting, except not in Syria, not in Iraq. They're fighting in Yemen. And they're not doing that hot a job there either. So, we have to figure out how to motivate those we want to work with us. And that's going to take time. And what do we do in the meantime? We've got to contain ISIS for as long as possible. And if we could beat the Soviet Union, I wouldn't bet the family farm against our beating ISIS. Thank you."
