,Speaker,Script
0,Dr. Rajaie Batniji,Impatience.
1,Dr. Rajaie Batniji,"In all seriousness, creating a company to create the change that we need in the health care system allows us to move at a much faster pace than, frankly, writing a paper and hoping it lands on the right desk."
2,Dr. Rajaie Batniji,Absolutely.
3,W. Gregg Slager,"Well, it was a rock and roll band at a conservative school that was used to acapela choirs and barbershop quartets. So, set off quite the fireworks."
4,W. Gregg Slager,Yeah.
5,W. Gregg Slager,Good fun.
6,Dr. Lisa Bielamowicz,"So, like almost every physician I know, when I was clinically practicing, I was frustrated on a daily basis that the system kept me from being able to do what I thought was best for patients. And like almost every doctor I know, I complained a lot. And I finally had a moment and said I could keep complaining or I could start to change how the system works. So that's what I'm trying to do."
7,Rosemarie Day,"It means that we need to get informed, and we need to get active."
8,Rosemarie Day,Simple as that.
9,W. Gregg Slager,"Thank you, John. When we talk about saving health care, what we're effectively talking about is achieving the AAA, reducing unsustainable cost, increasing access to care, and improving clinical outcomes. My partner and I believe that retail alliances, which are the convergence of health care with retail, technology, and consumer product companies, and not government are capable of changing the system. It's saving health care. We all have a lot of pain in the system. We've all experienced that. I won't take you through it all. But we have the fragmentation of care. We have inform silos. We have difficulty getting -- getting access to care and getting appointments. And then the bills come in, too, and they keep coming in. And you can't figure them out, too. But that's because we have costs that are out of control. With respect to the costs, you know the statistics. $3.3 trillion in health care expenditures in 2016. Eighteen percent of our GDP, $10,348 per person. That's not per family or per county. That's per person that we spend on health care. It is out of control. And the sad thing is -- is that outcomes rank last against comparable countries in similar developed nations with similar economics as ours, too. We are last, last, last. Had the highest mortality rate amenable to health care. We have the highest error rates. We have the longest wait times with the exception of Canada and then we also have twice as many avoidable emergency room visits as any other country. One of the things that John mentioned is the rise of consumerism and we think that this is a really important facet here. So, we have been trained. We have been trained by our online experience, what we want out of consumer interaction and we want that experience in health care, too. So, what customers are looking for, they're looking for choice. They're looking for choice in care. They're looking for quality. They're looking for costs. And we don't have that now. We don't have that transparency, too. So, the government isn't very good with consumers. When's the last time you went to your DMV to try to get a license? If you want to see the consumer experience there. So, we need new delivery models. The old ones aren't working. And our position is -- is that consumer centric retail alliances will help drive access and convenience, enhance the customer experience, and actually kick up innovation as well. You heard about some of this earlier, too, on the stage at the beginning of the -- at the beginning of the session here, so retail health models, they're a key step to cost-effective care any time, anywhere. Retailers have scale. They have the ability to make these changes. They can also activate through multiple channels the engagement that they have with their customers. It's through their stores, through their clinics, through their doctors, through their nurses, through their websites, through their apps, through the email, through the texts, and even old mail, too. We still get those flyers in the mail I'm trying to get rid of. The other thing is innovation. With innovation tech and consumer product companies are creating amazing devices, wearables, implantables, digestables, things that can measure many of the vital signs that can give early indications of care conditions or diseases. Same thing with apps. We have 200,000 apps out there. You have apps now that can diagnose your disease by coughing into them or they can tell by your gait when you walk down -- walking on your carpet whether your gait is impaired and what that may lead to. It also can measure your care adherence. It also can tell if you've fallen down and it can help you get the appropriate help, too. So, I'm not saying that government doesn't have a role here. Government has a very, very important role, but it's to support retail. It's to support innovation. It's not to drive the cart, it's to help push it, too. They need to get behind promising initiatives. They need to also align incentives and then most importantly they need to put the infrastructure in place to gather evidence to implement appropriate regulation, because what we need in our transforming business right now is we need regulation at the speed of innovation, not innovation at the speed of regulation. So, in closing, I would say that the retail alliance advantages are many. They have the appetite and the will. They have the appetite and the will. Does government have the will to change the system to make the changes necessary here? They aren't encumbered by the legacy costs and the legacy inefficiencies, the inertia that's caused by all those people that profit off the inefficiencies. They also have previous experience in adoption and use of technology. This is really important for this business that is a lagger from an industry perspective, too. And then the customer centricity and engagement, which can actually nudge people into healthy behaviors, into healthy choices as well, too. So, lastly, they are agnostic to politics. It's not going to change every four years. It's not going to change every two years. These are ongoing long-term investments to really make a difference in the health care system, too. So, it's time for a new approach to health care and I hope that you will support our proposition that retail, not Washington, will help save healthcare. Thank you. ."
