,Speaker,Script
0,ANDREAS KLUTH,"On a tatami mat, in the lotus position, that’s true."
1,ANDREAS KLUTH,"I’m willing to prove it. Thank you. California is the first failed state, and most of you probably believe that already. Which is a tactical disadvantage for us on this side, but if you do, we want to keep your vote. For the rest of you, we’d like to convince you of that this evening. And, before I start doing that, I just want to clear away something that might be confusing. The proposition is cheeky, as all of you know, all good Oxford-style debates start with a cheeky proposition. The reason this one is cheeky, is that “failed states” usually refer to sovereign states. Somalia, Sudan, Yemen, Haiti. And what those have in common, is that they have lost a monopoly on legitimate violence, if you think that through, or maybe back to Poli. Sci. When that happens, warlords take over or maybe Somalian pirates, and the state as such loses authority, well clearly, no one on the stage tonight is going to argue in the next two hours that California is already ruled by warlords or pirates. So what are we talking about when we talk about one of the 50 states, domestic states. We have to agree to a working definition to make this interesting. California and other domestic states that may follow have failed, if they fail to support their citizens and instead hinder them. What’s another way of saying that is, if a state, if the governance part of the state as opposed to private industry, can no longer address or solve the problems it faces, then it has failed. California easily meets those criteria. And I just want to quickly because that timer is running already, run down some of the problems to remind you, maybe we can go into them later in depth. Prisons, California has the worst recidivism rate in the country, how did it get like that. Water, it’s an infrastructure and a climate issue but it’s also a political, a governance issue. Education. Before California became a failed state in the Pat Brown era of the ‘50s and ‘60s it built the best public university system in the country, it is currently dismantling that because it is now a failed state. Budgets. And a state is supposed to have a budget, to pass it on time, California never does, that started well before the recession. California—or states are supposed to pay their bills to their vendors and so forth, as all of you know, probably all of you know, California has been paying with I.O.U.’s. Courts. I asked Ronald George, Chief Justice of the Supreme Court, whether he thought it was a failed state, he could say you could argue that, if the state no longer administers justice because its courts are closed part of the time, and dockets of cases is backlogged. California has the worst credit rating of the 50, you know that, it was just lowered again by S&P. Our opponents may try to convince you tonight that this has something to do with the Great Recession, and that as soon as there’s a recovery these problems will recede. It’s not true, all of you have heard Warren Buffett say it’s only when the tide goes out when you learn who’s swimming naked. California has been undressing since the 1970s, I hope to get into that. I argue that it’s been stark naked since the ‘90s, and indeed, the tide has just now gone out with the Great Recession but that’s not something that happened overnight, the failure that is, the nakedness. It’s just been revealed. Our opponents may also argue that California has problems, but all states have problems, as Mr. Rosenkranz reminded you here. And that that does not amount to failure, that’s not true, that’s not appropriate in the case of California, because only one state has all problems simultaneously. And when you have all problems simultaneously you tie them together into a straitjacket and that’s what California is in, it’s in a straitjacket, because of its governance structures. I want to develop that in the time that remains right now a little bit, and then hopefully go deeper into it later in the evening to show to you what the unique aspect of that confluence is. Unique number 1. Three states, for example, have the super-majority requirement that both houses of a legislature have two-thirds votes to pass a budget, three states. Arkansas, Rhode Island, and California, nothing unusual yet. 16 states have the same super-majority required to raise taxes. Only one state has both. How did California— California is that state. How did California get that second super-majority requirement. It was the infamous Prop 13, I understand it’s famous even on this coast…1978 when they started undressing. It is part of something called direct democracy that the founders of the nation, as opposed to the state, were very skeptical and afraid of—about, afraid of. It includes initiatives, referenda and recalls. 24 states have initiatives, have direct democracy. Only one does not allow its legislature, to amend initiatives that its own voters have passed, no matter how insane. Only one state, only one state has the process, has really run certifiably amok, out of control, insane, in only one state, do the inmates run the asylum. Tonight, you may hear that California, this usually comes up, has great weather. You may hear about its beautiful redwoods, Yosemite’s gorgeous. You may hear about the vibrancy of Silicon Valley which I used to cover. All that is true, it’s all irrelevant. Because we’re not talking about whether or not the state has assets. Whether or not there are some good things in the state. Of course there are. We’re talking about whether the state as such, the structures that make the state, the governance structures, have failed, and indeed they have, and the other states must be very careful unless they have the same unique—the same combination of problems that put them in the same straitjacket, and also lead to failure. Our opponents are great orators…don’t let them confuse you tonight… I’ll be back in a little, in a few minutes, but for now just remember what the definition of a domestic failed state is, remember to stay on our side, stay on our side, you probably are there already. California is the first failed state."
2,GRAY DAVIS,"Thank you. Thank you, John, I’m thrilled to be back in New York, as John said I was born here, many of my relatives are here, actually most of my relatives. I graduated from Columbia Law School. And not to be undone, NYU sent me two graduate students to help me get reelected in 2002, so. I’m fond of New York, I think I have a sense of how New Yorkers think and I think a lot of you probably voted that California is the first failed state, so my hope is that I can impress you with what is right about California, and why it’s already an asset to the nation, and will be more of an asset as we move forward in this global society. First let me acknowledge that there are problems in Sacramento…but the shortcomings of our elected officials should not detract from the creative contributions of our 37 million citizens. Our GDP which is one way we measure societies in this world, is $1.9 trillion, far and away the largest in America. Larger than Russia, larger than India, larger than Canada. In fact the eighth largest in the world. And if we were a separate country, we would be a member of the G8. So one way we measure societies in a capitalistic world, is by their GDP and certainly California has no apologies for that. I’m also pleased to see that a recent edition of Time magazine agreed, and was very bullish on California. It titled its piece, “California is Still the American Dream,” and I quote: “It is”— “it” meaning California— “is the cutting edge of America’s future. It is the greenest, most diverse…most global…and most Asian-oriented society at a time when the world is moving in all those directions. It is an unparalleled engine of innovation, a Mecca of high-tech, biotech, and now clean-tech. In fact, from 2006”— and I’m still quoting—“2006 to 2008, it received 60 percent of all the clean-tech investments in this country, and in 2008 it received more venture capital funds than the other 49 states combined.” With all of its problems it still managed to nurture some of the most innovative companies in the world, Google, Apple, Hewlett-Packard, MySpace, Facebook, Twitter, YouTube, Cisco, Intel, Disney, eBay, and many other companies that are helping invent the future for California and for the— for America. California is all about change. It likes to get there first, and it frequently does, it was the first state to regulate greenhouse gases. It was the first to allow full-scale stem-cell research. It was the first to establish renewable energy portfolio standards. What do I mean by that. It said to its utilities, use renewable energy. Depend less on fossil fuel. As governor I was proud to sign all those bills into law, but prouder still, to be part of a 35-year tradition of promoting energy efficiency and energy conservation. Now why am I talking about this. Because, the green economy is the next great wave in the American economy. We have to be green, we have to be reorienting the grid, we have to live more lightly on the planet if we are going to compete globally. 35 years ago, during the first energy crisis, California decided, if it wanted to promote conservation, it has to give the utilities a financial incentive to permit that. So it said to the utilities, you can make more money if you encourage your customers to consume less. And ever since then, we’ve been regulating everything that uses electricity, from appliances, refrigerators, dishwashers, homes, all kinds of businesses, cars, and even lately flat-screen TVs, and along the way, we saved rate-payers $56 billion, and avoided building 24 new power plants. In fact, our electricity growth has been nada, zippo, zero, over 30 years, as we became the largest state in America--the rest of the country is more than 50 percent. Why do I tell you that? Because how America obtains energy in the future, will be critical to our economy, our environment, and to national security. And I submit to you that California’s proven leadership in this area over the last 35 years, will stand this nation in very good stead. Now to be sure, we have problems in Sacramento, but believe me, the voters have tuned in to this issue, and they have already made change that’s substantial. For many years the legislators drew their own districts, meaning they decided in what district they would run, they decided you would be in my district, you would not. And so not surprisingly, they almost never lose. Governor Schwarzenegger proposed a redistricting plan, it passed, I supported it because I believe it’s time the voters draw the line, not the people , and it’s time we bring accountability to Sacramento, that will kick in in 2012 and that will make a big difference. Now voters get punished if they react harshly towards their core constituencies, Republican-raised taxes, they have all kinds of recall attempts against them, Democrats punish the teachers, there’s a primary opponent next time. Under a redistricting plan, if you don’t solve the problem, you will get defeated. Similarly in June there is an open primary…a change I predict California will embrace, I support it, I’m the only governor elected in an open primary, the Supreme Court of the United States struck it down, but they have approved this version. It’s essentially a municipal election. If anyone can vote, independents, Republicans and Democrats, and you can vote for a Republican for governor or a Green Party for governor or a Democrat for governor. The top two vote-getters run off in the general election, even if they’re from the same party. That’s going to produce pragmatic, moderate problem-solving candidates. Finally there’s a call for a constitutional convention. I support that idea. It’s time we eliminated in my judgment the two-thirds vote requirement to pass a budget. Yes, we have a two-thirds vote requirement to pass a budget, and a separate one to pass the budget. Just that requirement to get a two-thirds vote to pass a budget is the reason we are always late, it’s ridiculous, only three other states have it. I think that’s the kinda thing a constitutional convention will change, and if the changes are, are sensible, the voters will accept it. So in short, our private sector is the envy of the world, and innovation will lead America, into a future that is brighter and stronger. Our public sector is on the mend and will get better at the end of 2010. Vote no, number 2, vote no."
3,SHARON WAXMAN,"Yeah, I like the weather."
4,SHARON WAXMAN,"So before I get going I just want to know if Gray Davis’s relatives are going to get to vote this evening? If they’re filling half the room. I come to you tonight as a mother, as an engaged citizen, and as a journalist who has covered California for the past 15 years. So let’s start with the area I know best that I deal with every day and that’s Hollywood. Hollywood, the symbol, a signature of California. Part of the dream of what California represents. And a symbol of course to the world of California’s industry, creativity, prosperity, and the values of American culture. Here’s the only problem with that. Hollywood’s not really in Hollywood anymore. It’s gone to New Mexico, and Arizona, and New York, and Vancouver, and London. So Avatar, the movie that is now breaking all the box-office records was really filmed in New Zealand. And Twilight, that series that all your kids, all your daughters are going to see was filmed in Vancouver, and Harry Potter, that series of extremely successful movies was filmed in London. So the people who run the industry, which is a fairly small number of people, they still live in Brentwood and Bel Air and Beverly Hills and places like that but the hundreds and thousands of jobs that produce this, juggernaut of—not just of jobs but of tax revenues to the state, has largely fled, film production is down to half of what it was in California in 1996. This is the way things are going, and the reason for me it has a lot to do with California failing to create a sense of connectedness with this incredibly core industry, it’s so much of what we ought to be proud of, by the way of course the entertainment industry is one of America’s top exports, not only California. But it doesn’t feel like that there is a connection between what the state represents, and the identification that we have with Hollywood and that vast entertainment industry, with the state, and why is that. It seems to me that the state has neglected it as it has neglected so many things. And that goes to me to sort—one of the, one of my big observations about living in California especially after having lived around the world for much of the beginning of my adult life, is that there isn’t that sense of connectedness, as a community. And the state plays a big role in that. Where we live in California, is largely in gated communities, with private security, we live in isolation, and this is nothing new, we all know that. People, you can go to a place like Koreatown which has the largest ethnic community of Koreans outside of Korea, 800,000 people. That community feels extremely Korean. They feel extremely connected to the country of their parents’ birth or of their birth or of their ancestors. I don’t think they feel Californian. And I think that that’s true of so many of the ethnic groups that have come to live in enclaves in California. I see that as a failure of the state to create that sense of identity among them. Here’s another big thing that bothers me. People who know me know that this is my pet peeve. The state has not provided an infrastructure that allows us to be a community, and community is all about what the state is there to protect, and preserve, and to nourish. So I can’t tell you how many times I have driven up to the edge of the 10 freeway from where I live in Santa Monica, peered over the railing, hoping to go to a Lakers game, or to visit a museum, or to go visit Disney Hall for the first time which I would have never succeeded in doing when they were actually playing a concert, and, dared to jump into that essential parking lot of the 10 freeway. That’s because, there isn’t a transportation system that works. We are essentially a city that sits on the roads, and that we have of course made a decision not to have a public transportation of any significance, and the roads are long-neglected and the state has not invested in them, to me, that is, as a member of-- somebody who wants to participate in the community, I feel I can’t get to the community, and that to me is a failure of the state. Finally, I want to speak to you as a mother. I’m the mother of three children. And I moved my family from Europe actually, to raise them in California, and we all, all of us in our family, my husband and I and kids who were then small, were aware of what it meant to go pursue the California dream. That dream has really turned out to be one that we have to create for ourselves. We came from Europe where public transport was something that was a given. Medical care was a given, education was a given. At the very least, I knew that coming to California, that I was moving to a state that had the best public university system in the country, if not the world. Today, that system has been, I feel, taken away from us. Because of the problems with the state, they just, again, you probably all read about it, raised the fees some 30 percent in the UC system, and, they’re now approaching the fees of a private university, it now costs about the same to go to UCLA Law School—my son the lawyer, I’m just still hoping— as it is to go to a private law school. How is it that the state is abdicating its role in creating a generation of the best and the brightest in the state of California, which was all about what California represented. So…all of this together, leads me to say to you, that California is a failed state. I commend the governor on all of the changes that he’s laying out as hoping to come to California, and, as an entrepreneur having started The Wrap.com, I can tell you that there are wonderful companies there—and I chose to start my company in California, however, that doesn’t mean that that is because the state encourages us to do so or allows us to do so, that is a testament to the innovation that the citizens and the residents of California have shown. It is not proof that the state has not failed. And so I would like you to vote for the proposition that California is the first failed state. It has neglected its fundamental industries, it has neglected its fundamental functions, and it has neglected its fundamental values as a state."
5,VAN JONES,"Well, I—it would be and I’ll tell you this. One of the—I’m not running, but— Be an honor to serve butt--and I’ll tell you why, first of all, California is not a failed state and our colleagues have pretty much conceded that they cannot win this argument based on the assertion that it’s a failed state so instead they point to some failings. But what they haven’t told you is that every single one of the problems—structural and otherwise—that have been pointed to you, have solutions, and the solutions are now on the way. We have in our state… We are the biggest state—we have some of the biggest problems—we also have the biggest potential for problem solving, and the largest number of problem solvers. So every one of the structural problems that has been pointed out—from redistricting to the tax issues, to the budget issues—have gathered the combined wisdom across the political spectrum, there are now ballot measures moving forward, there are solutions for these problems. To say that California is a failed state is different than saying it has some failings. We have some serious failings, but we also have a set of assets, that our friend was trying to make sure you didn’t pay attention to, that will help us solve these problems. First of all, when you look at a state like California, you look at a state that, on the three critical issues that are most important for our country, California is not failing—it is succeeding and it is leading. What are the three critical issues? Number one, how will we power America, as the governor just talked about. How will we power this country? Will we continue to rely on the post well oil strategy that we have been stuck in, with petroleum and coal for 100, 150 years now—it’s the post whale oil strategy—we’ll continue with that? Or will, will we innovate our way out? Will we invent and invest our way out? In California, that is what we are doing. In a failed state, capital does not flow in—capital flows out. In California, we have quadrupled—in the past two years—the amount of venture capital flowing into the state, because we are trying to solve the biggest problem humanity faces: the problem of global warming, and the biggest problem our country faces: the problem of energy independence. California is leading and succeeding in that. We just attracted a company, Electric Vehicles International, to come and build zero emission cars in California. They could have gone anywhere in the world. They came to California because of the policy certainty, because of the consumer demand, because we are on the front edge. We have policies in place passed—despite all the problems with our legislature—we have passed on a bipartisan basis with a Republican governor…a Democratic legislature, AB 32, our Global Warming Solution Act, which will drive the creation of 400,000 clean and green jobs. We have set high aspirations with regard to renewable energy. Possibly, as many as three quarters of a million jobs that will be created there. 15,000 jobs right now in solar, in the solar industry, and growing. A failed state doesn’t do that. That is not a failed state. Number two yes, Sacramento has a ton of problems. Help is on the way. Great ideas are on the way. But the entire State of California did not live in Sacramento. We have an incredible level of innovation at the governance level, cities, and regionally across the state, because the second big problem is—how are going to live together in cities? How are we going to live together at a community level? Can we solve problems? You see in California, problems are being solved every day—tough problems. Look at the problems with the port of Los Angeles—just to brag a little bit on the people of California—where the pollution was so bad that little kids who live close to the port of Los Angeles were getting asthma and dying, and people said that we can’t solve this problem because of the logjams and all the special interests. They got together, they sat down, they came up with a Clean Truck Program that helped lift the living standards of 10,000 truckers. Got new technology in those trucks on the roads, and took asthma inhalers out of little girls’ and little boys’ pockets. That is the kind of problem solving that’s going on at the local level. In Fresno, you have a wonderful new mayor, Ashley Swearengin, who has been able to pull people together in the agricultural heartland of our state, and create 19,000 new jobs, through a regional economic initiative. In Northern California, you have mayors like Gavin Newsom, Ron Dellums and others who had come together, who have come up with local creative financing to get green home improvements going, weatherization and solar panels attached to property taxes so people can actually get all these new technologies going. And these are the kinds of things that are happening on a daily basis. And those things don’t happen in a failed state. In a failed state, when things are tough, people turn on each other. In California, people are turning to each other, and working together across lines of class and color. And the last thing I want to say is that the, the third big challenge for this country and for this world is—how are we going to live together? In the age of this kind of diversity, how are we going to live together? There is a miracle every single day in California, a miracle. And it’s a miracle of cooperation. In Oakland, California, there are 30 to 40 different languages spoken in the public schools—30 to 40 different languages spoken in the public schools. To the extent that there is conflict—it’s not about that…it’s not about that. We have been able to figure out a way to come together, to work together. That is not just a good example for the United States…that’s a good example for the world. There is no place in the world that has the kind of diversity and density that we have…that manages to do it with elegance, that manages to do it successfully. And when you have a state where 20 years ago there was a conflagration over race and ethnicity—people remember Los Angeles 20, almost 20 years ago. Somebody stood up and said, “Can’t we all get along? Can’t we all get along?” Californians have answered that question—yes we can, yes we can get along—and we do it every day. And it’s out of that community of many colors, many classes, with every faith, every sexuality, working together on a daily basis, that great solutions have come in our economy, have come in local governments, and are now coming from our state governance. This is not a failed state. We have some failings, but this state is a state that is now rallying to solve those problems. Don’t vote against us, vote for us. Thank you very much."
6,BOBBY SHRIVER,"Thank you very much. I also want to put in a plug for Red, which I started also with my great colleague, Bono, my partner—which I always like saying. Because most of my life, people have been saying other things about me. I was President Kennedy’s nephew. When my dad started the Peace Corps, I was Sergeant Shriver’s son. When my mom started the Special Olympics, I was Eunice Shriver’s son. And then a terrible thing happened in our family—my sister went on national television and became the host of the CBS Morning News. So four brothers, very competitive Irish family, were faced with the prospect that we were going to be known forever as Maria Shriver’s brothers. So we had a meeting—what could we do about it? And we had various ideas, none of them very good. And at one point, one of my brothers said, “Well, face it, you know, it’s done, and it can’t get any worse.” And then Maria got married. So, I love it when I go and see in the program that I am Bono’s partner, because I am really tired of being Arnold Schwarzenegger’s brother in law. I appreciated our eloquence of some of our colleagues, but I want to point out very, very specifically that all of the answers are on the way. They are not here now. And I can tell you in local government, where I serve on the City Council in Santa Monica, that things are bad. We are lucky in Santa Monica because we have a great, diverse tax base. But just to give you a couple of illustrations… Our redevelopment agency had a budget this year of 30 million dollars—the state took 22 million of that. How can you work on that basis? And this is a reminder also, that when you talk about the state, you are not talking about Google and Intel…and you are not talking about local government…you are talking about the state government. It’s very important. The state is a constitutional entity, it’s a legal entity. It’s not California. When Steve Jobs writes on every Apple product, “designed in California, assembled in China,” he is not talking about designed in the State House of California…he is talking about in the culture of California, which I think we all agree is the greatest culture in America and maybe in the world. Thank you. There are local Californias in the culture. Think about it. Right now… A good interesting point, segue, I’ll go to your idea. There is no art education in the state in the public schools. We are the last in the state, in all of the 50 states. We are below Guam in arts education."
7,BOBBY SHRIVER,"am serious. I mean, it’s… It’s kind of a little funny, but it’s hard to believe really… And that’s a state responsibility. The money is not there. Why is the money not there? Because the people have lost confidence in the government obviously. I’ll give you another example. In Los Angeles, we have the biggest homeless population in America, 80,000 plus people. The L.A. County Jail is the largest mental health facility in the world…in the world. If you go there, every single one of you—I don’t care what your background or point of view on this debate would be—would be sickened to see what’s going on in there. There is a famous quote from the, uh, I think it’s Hammerati who said, “The purpose… One of the purposes of government is to protect the weak from the strong.” We have completely failed. You go in that L.A. County Jail and you will see the weakest people in our society…mentally ill people living in cages…there are 14 full time pharmacists to medicate them…in Downtown L.A. Of the 85 or some odd thousand people that are homeless, about a third are veterans. We have a 400 acre property in West L.A. in Westwood…that have empty buildings in it…which were built as mental institutions for veterans that are empty—and have been empty for more than 20 years. Why is that? The state hasn’t cooperated with the feds to fix that… I don’t know…I can’t come here and give you an answer. I have been trying to fix it for the last five years, and so far I have failed. Although President Bush and Secretary Nicholson did designate three of the buildings for homeless veterans—which is a positive thing. And I understand that one of the answers on the way—there is 50 million dollars in the new defense appropriations bill for that building, which would be a great thing. But the fact that people burnt… And in my little ol’ Santa Monica, a man burnt to death in a dumpster…a homeless man, burnt to death in a dumpster several months ago…is unacceptable. And you would say, well, that, you… as a senior official of the state said to me, “Well, Bob, you know, you gotta calm down. You know, you gotta… You are very hopped up about this homeless thing.” And he said, “Why are you so hopped up about it?” I said, “I am afraid my mom—God bless her and God rest her soul—is going to hear that a homeless guy burnt to death in a dumpster in my jurisdiction”…which is what she used to call it, “my jurisdiction,” not “my constituency.” Because she would be enraged. So, going on to the kinds of things that Sharon said. The public community—which is really the primary goal of the state—not to get too esoteric about it—but to have a kind of political compassion for people does not exist. You can’t have that many homeless people…you can’t have the underfunding of education that exists…you can’t have that many homeless veterans…and say that the state has been successful in creating—amongst its citizens—a concept of political compassion. That we are going to get together… We have community interests. We are going to get together and we are going to do something about them. And ideas are on the way… And green tech, great. It’s all fantastic. For the least of these, it’s not fantastic in California. It’s really not. I’ll give you another example—a local example. The City of Beverly Hills has a school system, Santa Monica has one. The state is organizing school districts like that. They had kids from out of the City of Beverly Hills in that district, because the state used to pay—and still may—a certain amount per student. So you would bring people from out of your district who were not there and educate them. They changed that formula recently, and what did Beverly Hills do?—and they are not bad people—they expelled all those kids. Why? We are not getting paid for it anymore. That’s a state failure—not a Beverly Hills failure, not a failure of those communities. So as you think about how you are going to vote, it’s very important to say… And I like to be optimistic—and I am optimistic. When they asked me, which side of this debate did I want to be on, I said I wanted to be on this one. And they said, well, don’t you want to be on the optimistic side? I said, this is the optimistic side. This is the optimistic side. Because if you don’t know that the problem is as bad as it is…if you don’t go to the L.A. County Jail and see that…you think—and I mean this respectfully—that help is on the way. Help is not on the way. We, this year…I’ll give you one final example. The CalPERS—the pension charged to little, to cities—going up 25 percent. In our budget, that’s a breaker, you know? So it has nothing to do, as I said—I am repeating myself—with Google…it has to do with, can you run the trains on time? Thank you."
8,ANDREAS KLUTH,"Well, in particular, Governor Gray Davis was making that point. I wrote down a direct quote from you, Governor, “In California, the private sector is the envy of the world. The public sector is on the mend.” You asked me, “What’s wrong with the logic of the first part?” And in fact, I would like to do that, and the second part as well. And we examined the first part, and go and take a larger period of history—a few hundred years. The most elegant leather shoes come from a town nearly Bologna in northern Italy. The best violins come from another town in northern Italy. That’s been that way for hundreds of years. Would you honestly make the case…? Would you have made the case for much of post war history that Italy was not a failed state in the European Union because they had a great shoe industry and a great violin industry in the northern Italy?"
9,ANDREAS KLUTH,"It is irrelevant. The other point—just briefly. You cannot seriously say that the public sector is on the mend—at the very moment when they are dismantling entire government programs that were intended to protect the weakest. And people are literally going to die, certain old people at home, because home visits are stopping."
