,Speaker,Script,Round
0,Marielena Hincapié,"No. I actually started thinking that I wanted to be a DEA agent. And after graduating from college I went back to Rhode Island, which is where I grew up, and really found that being in the immigrant community that was my life's calling, and so that's what I've dedicated my life to.",
1,Marielena Hincapié,Absolutely.,
2,Marielena Hincapié,"Yes. My partner is the amazing, smart, and witty Angela Kelley, who is also a dear friend and colleague.",
3,Angela Kelley,Please call me Angie.,
4,Angela Kelley,Otherwise I'd be scared.,
5,Angela Kelley,"Yeah, it was pretty wonderful. I got to actually be a fly on the wall in the West Wing and I was advising on the president's executive actions on immigration, and it was a pretty extraordinary time. It was really quite wonderful.",
6,Angela Kelley,Yes.,
7,Steven Camarota,Hi.,
8,Steven Camarota,"Well, we did that work for about five years, and we gave them basically a B+. And we made some recommendations, which they mostly accepted. So, the Bureau does a pretty good job of collecting data. And it's not easy.",
9,Steven Camarota,Yes.,
10,Steven Camarota,"You should -- that's the best data there is, and it's reasonably accurate.",
11,Steven Camarota,My partner is Rich Lowry from National Review.,
12,Rich Lowry,"It's a little hard to say with precision, because Donald Trump changes the details up so often. But I agree 100 percent with the sentiment that in this area -- and every other -- we should be putting the national interest first.",
13,Angela Kelley,"Thank you. Thank you very much for the introduction and the opportunity to address and affirm the resolution to give undocumented immigrants a path to citizenship. As a daughter of immigrants who came to this country with few resources but with big dreams, it is an honor to be on this stage and to talk about this topic. The issue hardly needs introduction. In this painfully long presidential race, the candidates have discussed the 11 million. Donald Trump has said he would aggressively deport them and their five million U.S. citizen children, and Secretary Clinton has said that she supports a path to citizenship for those who meet certain qualifications. So, the candidates have talked about it. And the American people have thought about it. Recent polls from the New York times, Washington Post, CNN, Gallup, even Fox finds that between 72 and 88 percent of Americans back either citizenship or legalization for the undocumented over deportation. But tonight, you guys get to decide. What's the right choice for the country? So, what I'm going to do is to address three questions that I think are really important for you all to understand the context of the resolution and the implications of your decision. The first is, who are the undocumented? The next is, why are they undocumented? And finally, what are the options for undocumented? My dear friend and partner Marielena is going to discuss the benefits for all Americans for a path to citizenship. So, let's get started with the ""who."" The undocumented are settled, long-time residents. In 2014, the average undocumented adult had lived in the United States for 13-and-a-half years. If they have a U.S. citizen child, they have lived here for 15 years. So, these aren't accidental tourists. They're not folks who decide to spend an extra day at Disney. They are home. And so, when people say, ""Send them home, they're missing the point. This is their home. They're settled. And like many of us, they live in families. Nearly three-quarters have children and two-thirds have a spouse or a sibling here in the U.S. Undocumented immigrants overwhelmingly live in the family, but they don't live with just each other. They live in mixed-status families. So, it's really common to have an undocumented father, a green card holder mom, a teenage son who is undocumented but qualifies for temporary deferral from deportation, and a U.S. citizen child. About 17 million of us live in families that are like that. So, aside from being in families, about seven million of the undocumented are workers. That's about 5 percent of our work force. They own homes. According to the Institute for Taxation and Economic Policy, one in three undocumented families owns their own home, and they pay taxes, like all of us. They pay sales tax. They pay property taxes. And many pay income tax. In fact, estimates are that local and state governments net about $11.6 billion a year from undocumented workers. So they live with families, they have children, they work, they pay taxes, and they own their homes. That's the ""who."" The question that I get the most often, though, in talking about the undocumented is ""why?"" ""Why are they just not getting in line and getting their green card?"" I have one relative who insist that's there is a window at the post office that if they just went there, that they could get a green card. And I have to have Thanksgiving with this person soon, and I just can't convince her that there is no line, right? Everybody's got someone like that at the Thanksgiving table. Love them. So the U.S. immigration system is insanely complex. And it hasn't been updated in any meaningful way since 1990. So to understand how out of sync the system is, you just need to remember one number, and that's 5,000, because that's how many visas there are for workers, like the person who drove me to the airport this morning or the person who's going to clean up after us after we all leave. So there's 5,000 legal channels, and that's it, for people who work in our hotels, in our restaurants, for the people who took care of my daughters when they were young, for the people who take care of my grandmother today. So what we might not be able to agree on what the number is, we can surely agree that our modern economy can't possibly satisfied bylaws that haven't been amended for 25 years. Okay. Beyond there not being legal challenge for workers, there's other obstacles, there's other limitations that are specially difficult for families. The visa backlog stretch for years. And I mean years. So we are now issuing visas to the adult, unmarried sons and daughters of U.S. citizens from Mexico who filed for their visa in 1995. That's how long people are having to wait. And so if you're outside the U.S., you can't come visit because if you're trying to get a permanent visa, they won't give you a temporary one. Beyond the long waiting time, our laws say that if you've been in the U.S. illegally for longer than six months, you're subject to a penalty, that you can't get legal status for 10 years. So the ironic thing is that we have a lot of undocumented people who have a qualifying family member who could petition for them, but this bar will kick in if they leave the U.S. to get their visa. They won't be able to come back in for 10 years. What do they do? They stay. So that's a question. The last question is, what are the options? There's four, but I think there's just one solution. So we can do nothing and be okay with 11 million people living without status, spend $17 billion a year enforcing laws that don't work, knowing that folks are getting exploited, and know that it hurts us, right, because people don't come forward and report a crime, they don't come forward and report bad working conditions. Their inability to live free of fear is bad for us. We could aggressively deport them, and we could imagine what that would be like to go to schools and churches and ferret people out. Not the America we want to live in. We could give them something short of citizenship. We could just have them work here and never be able to belong. And that would undermine the fabric of our nation and lead to continued exploitation. The last, most realistic defensible option is tonight's resolution: A path to citizenship for those who qualify, clear background checks. They'll pay fees, they'll learn English, and they will be the best Americans that we could have. Thank you very much.",
14,Rich Lowry,"Thank you, everyone, and thanks to Intelligence Squared for hosting this event, and to our counterparts for what will be a spirited debate tonight. As John mentioned at the outset, National Review earlier this year published an entire issue of our magazine devoted to attacking Donald Trump. Now, I know most of you probably would have expected Donald Trump to receive this issue with his usual sense of grace and calm equilibrium. It wasn't so. He didn't take it well. He lashed out. And it was right around this time that Trump infamously said that he could stand in the middle of Fifth Avenue, shoot someone dead, and his poll numbers would go up. And that's when the all-staff memo went out at National Review for everyone to avoid Fifth Avenue until further notice. And actually, even I, we were considering some Trump-like tactics. Tonight we are considering demanding that our counterparts be subjected to drug tests before being allowed on stage. We are thinking about interjecting the word ""wrong"" randomly throughout the entire evening. We are even considering stalking menacingly behind them when they spoke. Actually, to be honest, I really would have preferred to have Alek Baldwin as my debate partner tonight rather than Steve but in all seriousness, we're delighted to be here, and we do want to engage obviously the substance of this resolution. And we should just be clear at the outset what this debate is about. It isn't about whether there are illegal immigrants in this country who exemplary people and have moving stories. There are. It isn't about whether illegal immigrants come to this country and overwhelmingly work. They do. It isn't about whether we should give them amnesty or legalization to so-called dreamers who came here or were brought here illegally at a very young age. It isn't even about whether we should have a blanket amnesty or legalization for every illegal immigrant in the country no matter what. No. You can agree with every single one of those positions and still not support giving illegal immigrants the most prized possession in the world, one that tens of millions of law-abiding people all around the world covet, which is United States citizenship. That's how radical our opponents' position is tonight. I submit to you that even if you disagree with Steve and I on some of the policy, you can still reject this resolution. I would go further. I would say even if you think Steve and I are heartless bastards or, to coin a phrase, ""bad hombres,"" you can still reject this resolution. It is our position that we should oppose all radicalism on this issue. We should reject the radicalism of Donald Trump who has absurdly talked of mass deportation. And we should reject this resolution which is manifestly unfair to all the people who, like suckers, play by the rules of our immigration system, people who wait years to come here legally, people who come here on a work or a tourist visa and when it expires, actually go home. Remember, this resolution has been tried before. In 1986, we had an amnesty and a pathway to citizenship for 3 million illegal immigrants in this country. That was supposed to solve the problem. It actually made it worse. We have four times as many illegal immigrants in this country now, and if this resolution were to become policy, we would have millions more. By the way, the evidence from 1986 on the ground suggests, as a practical matter, even for most illegal immigrants, this resolution goes too far. In 1986, illegal immigrants were happy to take the amnesty or the legalization. But most of them, at the end of the day, didn't take the incredibly generous offer of citizenship. So what's the better policy option here? It's very simple. It's enforcement. Now, we don't need to build a wall, even a big, beautiful wall. But we do need to do more on the border. And very importantly, we need to do more to stop employers from hiring cheap illegal labor that creates a jobs magnet to come here. If it's harder to work here illegally, fewer people will come, and fewer people will stay. And then we can finely get an immigration system that will serve the interests of our workers first, who are natives and also, by the way, legal immigrants. Now, Steve will go into more detail about the real fiscal and economic costs of this resolution. But suffice it to say if you care about income inequality, if you care about stagnant wages, you should oppose this resolution. And let me just leave you with one last thought. We are a big, generous country. But our citizenship is precious. And whatever else you think about immigration policy, if you think we should have a broadly open system, or if you think we should have a tightly restrictive system, or maybe you think it should be somewhere in between, the bare minimum requirement for becoming a citizen -- a citizen -- of the United States of America should be abiding by her laws. Thank you very much.",1
