,Speaker,Script,Round
0,Ian Bremmer,"Well, not related to tonight's debate topic. I guess I would say that the good news about being the world's most powerful country is that no one can damage us as much as we can damage ourselves. Turns out that's also the bad news.",3
1,Michèle Flournoy,Thank you.,3
2,Michèle Flournoy,"So WestExec Advisors is a strategic advisory firm comprised of recently former senior officials from the U.S. government. And we advise companies, and investors, and tech firms on geopolitical risk overseas, and also navigating the national security market here in the U.S.",3
3,Yasheng Huang ,"Yeah, so it's actually a course at the MIT school of management. We use our very talented students to work with more immediate entrepreneurs in China and India. Since its founding in 2008, we have worked with 350 entrepreneurs in both countries.",3
4,Parag Khanna,"Sure, ""The Future is Asian,"" is a book about what I call the Asian system, which includes China, but also the other 3.5 billion Asians who are not Chinese, and how they're together resurrecting the ancient Silk Road to create a new diplomatic and economic order, and how that's reshaping the world.",3
5,Susan Thornton,"Yes, I speak a few languages. I took French until I got bored, and then I started studying Russian in high school and college. And then I thought, after I did -- done with that for a while, I'd study Chinese to be -- make myself really miserable. And now you know why the FBI takes such an interest in me during my security –",3
6,Michèle Flournoy,I declare yes.,3
7,Michèle Flournoy,"I declare yes because China sees itself in a strategic competition with the United States, both economic and military, and it is doing everything in its power to eliminate our technological edge. China has a clear plan and is making massive investments in cutting-edge technologies. Beijing’s five-year plan -- its most recent one -- focuses research and development on a number of technology areas, including things like aerospace engines, satellites, artificial intelligence, and quantum computing. Its annual research and development spending has increased by 71 percent over the last five years, and its defense spending has tripled in the last 10 years. It has established a doctrine of civil-military fusion, which means any advancements made by private companies in China have to be shared with the Chinese military. And it’s undertaken a massive and sustained campaign of cybertheft of our intellectual capital, our property, totaling hundreds of millions of dollars. If you look at its investment in the fundamentals of an innovation ecosystem, those are strong, too. People; China has 4.7 million recent STEM graduates -- that’s graduates in science, technology, engineering, and math -- versus about half a million in the U.S. Funding; China’s share of venture capital funding globally is now roughly on par with that of the U.S. And access to data; they have 800 million internet users --",3
8,Michèle Flournoy,Thank you.,3
9,Yasheng Huang ,I declare yes.,3
10,Yasheng Huang ,"I not only declare yes, I actually know where that Silicon Valley is going to be located.",3
