,Speaker,Script
0,Anthony Licata,Thanks for having me.
1,Anthony Licata,"Hunting is about a lot more than just taking an animal. On that trip to Alaska, I absolutely fell in love with Southeast Alaska and that's what made it so memorable."
2,Anthony Licata,My partner is Catherine Semcer.
3,Catherine Semcer,"Sure. A hunter is someone who pays a fee to pursue game within the context of a conservation program that has government oversight. A poacher, in contrast, is an outlaw who illegally kills game to supply illicit markets around the world. The keydifference is that hunters support conservation programs and poachers actively undermine them."
4,Wayne Pacelle,Thank you very much.
5,Wayne Pacelle,"Well, it was. I had all of the encyclopedias, some old Britannica encyclopedias dog-eared to all of the animal entries, the polar bears and the pronghorns and all the other animals. So I couldn't get enough information when I was a kid about animals."
6,Wayne Pacelle,"My good friend, Adam Roberts. Glad to have him here."
7,Adam M. Roberts,No really it's not the end. It's the beginning of lion conservation by ensuring that American trophy hunters don't play a part in the ongoing demise of the species.
8,Catherine Semcer,"Thank you, everyone. I really feel that I should not be up here tonight. I really feel like the person who should be here talking about African wildlife is somebody from Africa, from South Africa, from Zimbabwe, from Namibia, from Mozambique, somebody who has to live with that wildlife and somebody who has to live with the consequences of the policies that the United States and the EU often implement in relation to that wildlife, but I'm here and I appreciate the invitation. I think this is going to be an interesting debate because Wayne, Adam, and I agree on a lot. First and foremost, we agree that wildlife is valuable and should be conserved. I think all of you feel the same, otherwise you wouldn't be here this evening. Wayne and I agree that factor farming is bad for people, animals, and the environment, and Adam's organization, Born Free, just recently joined the International Union for Conservation of Nature, which I also serve as a volunteer, the largest network of conservation professionals in the world. So, welcome, Adam. If you came here looking for the brawls that usually characterize this topic, I hope you're going to leave disappointed. Anthony and I are not zealots. We're not absolutists. We're realists. And that realism, along with our personal experience, is what leads us to the position that hunters conserve wildlife. And it's a position I hope you will vote in favor of this evening. We're going to share with you stories from Africa's poaching wars. We're going to talk about the success of the North American model of wildlife conservation. We're going to share figures and realities that we have gained through boots on the ground experience working with lions, elephants, cape buffalo, sable, in places where photo tourists will not go because they're what we call a non-permissive environment, places that are dangerous, remote. But hunters will go there and hunters are the ones who are conserving these places. A little fun fact. Do you know that hunting concessions have conserved an area in Africa 1.7 times the size of the U.S. National Park system? That is a huge chunk of conservation land. How much of our national park system are we willing to put into jeopardy on the African continent? I'm going to share some stories about why hunters conserve wildlife. One place we work is called Coutada 11 in Mozambique. It's an area of about 2.5 million acres. To put that into perspective, it's an area about the size of Yellowstone National Park. As many of you probably know, during the 1990s Mozambique saw an absolutely brutal civil war, horrific. If you're not familiar with it, you should become familiar with it, because it's something that should never happen again. One consequence of that civil war was that Coutada 11 was completely wiped out of wildlife. Cape Buffalo were down to 1,200 in number. Sable, we're down to 44. People were starving. In came a man named Mark Haldane, South African, a professional hunter, and outfitter, a concessionaire. He took charge of Coutada 11 in partnership with the government of Mozambique. 1,200 buffalo became 21,000. Forty-four sable became 1,400. In the last 10 years, hehas invested one million dollars of his revenue to restore wildlife in this area. He invests $100,000 a year in anti-poaching alone. And now because of that anti-poaching work which my organization helped support with training, advisory assistance and procurement services, this is the only area in Mozambique that did not see a decline in elephant numbers during the last national elephant census. If that's not conservation, then I don't know what conservation looks like. But let's take a step back. Let's get a definition of conservation. The International Union for Conservation of Nature that I had mentioned previously that I served that Adam's organization is a part of, they define conservation as, and I'm going to read here because I want to make sure that we get this right, ""Conservation is the protection, care, management, and maintenance of ecosystems, habitats, species, and populations within or outside of their natural environments in order to safeguard the natural conditions for their long term permanence."" Because of this definition, a scientific consensus has emerged through the IUCN, the largest network of conservation scientists in the world. There is a consensus that hunters conserve wildlife. The IUCN just recently sent a briefing paper to the European Parliament that was influential in convincing that parliament not to adopt trade bans that would interfere with African hunting programs. Now, you will always find scientists on the fringe who are willing to say, ""That's not true,"" who are willing to buck the consensus. Climate change deniers do this all the time. But for those of us who care about wildlife, we should listen to the consensus that hunters are an indispensable part of the conservation ecosystem. And this isn't to say that we're the only part. We need birdwatchers as much as we need duck hunters. This isn't an either/or question. This is about a holistic, sustainable approach to wildlife conservation that Anthony, myself, and the people who HOPE serves are grateful to be a part of because we want to pass down a rich, natural heritage that's filled with elephants, sable, cape buffalo, wolves, grizzly bears, white-tailed deer. And for all of those reasons I just said, you should vote in favor of the motion, “Hunters Conserve Wildlife."" Thank you."
9,Wayne Pacelle,"Walter Palmer used his wealth to travel halfway around the world to shoot a magnificent lion not for management, not for food, but to add another trophy to his home collection. In pursuit of more and more trophies as we see so many members of the Safari Club International, this globetrotting enterprise of killing the biggest and rarest animals in the world. Now, we are outraged as a nation and so many people around the world were outraged about it. And part of that is explained by our growing sensitivity to animals. We're less tolerant of factory farming. We don't like dogfighting and cockfighting. We don't accept horse slaughter for human consumption. There are all sorts of abuses of animals that we once accepted, but now don't meet our moral tests in our society. So there is obviously a very big ethical debate about trophy killing or other forms of hunting, sport hunting, and commercial trapping. I think there are gradations in that world. I think Walter Palmer and the other trophy hunting advocates who travel around the world to kill rare species are one category, and a guy in West Virginia or Pennsylvania who kills a deer to eat meat and fill the freezer is a whole other beast, if you will. And we're not going to really get into all the elements of that debate, because tonight we're talking about this motion, that hunters conserve wildlife. And I want to prove to you tonight, with Adam, that that is a really gross overstatement. It's really a bromide. It's something that's been repeated decade after decade, and there's very little evidence to support it at this time. You know, most hunters are going out into the woods for, you know, their own reasons. Walter Palmer traveled to Zimbabwe to kill a lion because he wanted to kill a lion and get a trophy. Other people want to go out and be with their friends or family members. Some like to experience nature. Some may do it for meat purposes. But most people are not going out to kill these creatures because they support conservation. If you do that, you can give money to a land trust, or you can support conservation in all sorts of ways -- very tangible ways -- to help creatures who were really facing so many pressures from those of us -- our species -- that is crowding so many of these animals out. You know, when you think about the United States, two billion acres is the land mass of this country. 700 million acres is owned by the federal government. Just 2 or 3 percentof that land has been purchased as a consequence of hunting-oriented programs, like Duck Stamps or the federal Pittman-Robertson Act, which sets aside money -- it's a tax on guns and ammunition. Actually, all gun owners and ammunition buyers, not just hunters. There are many more people who have guns in the world than have an interest in hunting. So, it's a tiny percentage of the lands that has been preserved or saved from development. And when you think about the land trusts in this country, the nature conservancy, and hundreds and hundreds of other land trusts, almost none of them have a hunting orientation. They're out to save the land. They're out to protect wildlife because they just want it to be, not because they want to use these creatures and shoot them for recreation, for trophies, for other purposes. And you know, when we start to take a proper accounting, when we really think about conservation, we think about protecting land, saving threatened and endangered species, preserving ecosystems, let's think about some of the things that are the collateral effects of hunting. Hunters are one of the biggest sources of lead dispersed into the environment. Now we have copper shot, we have bismuth, we have steel. All of these forms of shot can be used by hunters, but we're putting millions of pounds of lead into the environment that's poisoning 15 to 20 million animals a year. Loons and other species -- also, the highly endangered California condor. Why are we using lead when we have alternatives? If you're conservation minded, you're not going to randomly poison millions of creatures. We have captive hunts that are tolerated by the NRA and the Safari Club International, and other organizations in this field, where exotic animals are stocked in fenced areas and shot for a fee, in an open-air slaughterhouse house sort of arrangement. It's disguised hunting. But all of the national hunting groups support it, they defend it. They oppose our legislative efforts to stop it. And many of these exotic species that they're shooting in the United States have escaped and they're colonizing our habitats. That's the reason we have wild boars in so many parts of the country that are degrading landscapes and are considered a nuisance by federal land managers and state wildlife managers. We have this Safari Club program globally -- you want to get the Africa Big 5 award? You shoot a lion, a leopard, a rhino, an elephant, and a cape buffalo. You want to shoot -- you want to get the Cats of the World award? You shoot five of the big cats. I mean, these folks are going after some of the rarest animals in the world. Hunting is not -- and the idea of hunting as conservation, you know, it sounds like a wonderful slogan, but what are the details? What are the specific terms? Because they pay hunting licensefees? Because they buy a Duck Stamp? Well, there's a tax on tobacco, and some of that money goes to the healthcare system. Does that make tobacco companies and smokers healthcare advocates? The oil companies are taxed under the Land and Water Conservation Fund, and some of that money goes to protect habitat. Do we think of the oil companies and the gas companies as leading wildlife and land protectors? No. It just happens to be that they're taxed because there are costs to the enterprise. And much of the money that is used, you know, for those purposes goes to just maintain the hunting program in a quasi-agricultural program to provide more deer and more game animals for hunters to shoot, when the reality is there are dozens and dozens of other species that desperately need our attention. So, hunting is an ethical issue and it's declining in terms of its popularity, but the idea that hunting is conservation, that's not why anybody goes out into the woods when they want to kill an animal. Thank you very much."
