,Speaker,Script,Round
0,Anant Agarwal,"It's not a hard course. It is an MIT hard course. It had differential equations as its prerequisites. And we were petrified we would have a hundred people sign up for the course, looking at the differential equation prerequisites. We were shocked when we had 10,000 people register in the first hour of announcing it. And before we knew it, 155,000 people signed up for this hard course.",
1,Anant Agarwal,So more people passed this course than I would be able to teach at MIT if I were to teach it at MIT for 40 years.,
2,Anant Agarwal,"7,200.",
3,Anant Agarwal,The Ben Nelson.,
4,Ben Nelson,"So we admitted 45 students this year. That represents a 2 1/2 percent acceptance rate. And we admitted these students not based on an artificial capacity constraint, but we actually admitted every single person that passed our bar, and one of the extraordinary students was right there in the audience.",
5,Ben Nelson,We are designing the curriculum such that it is made for the very -- the very most capable people in the world.,
6,Jonathan Cole,If you had a horse.,
7,Jonathan Cole,"Rebecca Schuman. She's fantastic, irrepressible, and logically, incredibly sound.",
8,Jonathan Cole,"Thank you. And then there were MOOCs. The latest technological messianic movement that will disrupt and then save higher education. I want to make 12 points in six minutes as to why you should vote against the motion that more clicks will end the need for bricks and alter fundamentally the nature of higher education. Online education will not replace the great colleges and universities in the United States. At the selective colleges, MOOCs will be one of the many forms of new technology that will be useful, mostly for courses, as was pointed out by my worthy opponent, for those where you can get the right answer that's at the back of the book. For all other courses where there are subtleties and interpretation, where there's a need to argue, for a close-knit community of participants, where there's a need for critical thinking, for close reading, where analysis plays back and moderates initial formulations, MOOCs will be less useful. In fact, as the biological scientist Stuart Feinstein says, ""Questions are more relevant than answers."" Indeed, Richard Levin recently signed on as the CEO of Coursera, and he said that it couldn't replace the traditional four-year residential college. Let's take the democratizing effect. Levin says that's what one of the purposes is. But who in fact takes those courses from all over the world. The noble purpose, the people who take that course at least from the evidence that we have to the moment, are people who are already educated, not the people who we're trying to target for education. The next point is that there is no good empirical evidence that supports the idea that MOOCs represent a disruptive technology that will overturn the current business model of the best colleges and universities. Let me just tick off a few of the things for which there is absolutely no good empirical evidence. There's no economic or cost model that has been shown to work. The cost of creating content is very high. Friends of mine have told me that they spend $100, $200,000 or $300,000 a course. In short, there's no evidence that MOOCs will in fact lower the cost of tuition. There's no method that has been shown as to how intellectual property will be divided up, how much will go to the professors, how much to the university? There's no good evidence that MOOCs have a democratizing effect as much as they might be desirable to have a democratizing effect. There's no good evidence of how people with different learning styles respond to the flipped classroom and the MOOC culture on campus. There's no good evidence on how you can examine thousands of people taking online courses without massive cheating. There's no good evidence about who drops out of MOOC courses. Those 7,000 who graduated may well have been people who already took the course at MIT. Now, how do we know who they really are and what their characteristics are? 72 percent of the professors who answered the questionnaire about teaching online courses, who were committed to them, said that they would not give credit for those who did well in the course. Sebastian Thrune, one of the founders of one of the leading MOOCs, Udacity, has said we were on the front pages of the newspapers and magazines and at the same time I was realizing we don't educate people as others wished or as I wished. We have a lousy product. It was a painful moment. People learn from each other when they eat together, read together, converse together, sleep together. If nothing else, sex will reinforce bricks over clicks on the campus. This is not to say, I want you to know that the Khan Academy where small, short, highly focused courses are offered won't be appealing to some. It is, and it will be. But it is not going to end the need for the kind of close interaction that we need to find in the classroom in physical structures. MOOCs will not solve the cost disease. I will answer what the cost disease is and why they won't actually lower tuition and the increases in tuition that you have read about in the papers during our next part of this debate. Let many platforms grow. I don't know how many of you have seen Brian Greene, the physicist at Columbia's new platform on -- he created for the world science fair, it takes place in New York. He built it himself. It is for people who know nothing about science to Nobel prize winners. It is far more sophisticated than the platforms like edX. One author allowed many of these platforms to grow and see how they work. MOOCs are one tool that will help to make higher learning better, not cheaper, for both undergraduates and professional school students. It's not likely to infiltrate the world of the laboratory, however. Remember, what makes American universities the greatest system of higher learning in the world is the research discoveries that have changed our lives and the lives of people around the world. You never hear the MOOC discussers, the MOOC proponents, talk about the influence of MOOCs on laboratory life. It will have a tremendous effect on accessing information; JSTOR, ARTstor, visual libraries, all of these things are wonderful inventions and part of technology that help us learn. But that is no substitute for being able to analyze Moby Dick.",
9,Jonathan Cole,"Thank you. John Donvan:And here's where we are. We are halfway through the opening round of this Intelligence Squared U.S. debate, where our motion is ""more clicks, fewer bricks: The lecture hall is obsolete."" You have heard from the first two debaters and now onto the third. I'd like to welcome to the lectern Ben Nelson. He is the founder, chairman and CEO of the Minerva Project. That is a new online undergraduate program that aims to reinvent the university experience. And, Ben, we had four teachers up here, and I was hoping that one of them would, in the opening statements, explain to those who do not know what a MOOC is. So I want to give you an extra 15 seconds before you launch to tell everyone in our audience and our listeners what this odd word means and why it is exceedingly relevant to this discussion.",1
10,Ben Nelson,"So a MOOC is a massive open online course. And as Jonathan pointed out, it is one of several formats and technologies used for online education.",1
11,Ben Nelson,"Thank you. Thank you so much for having us, and thank you, Jonathan, for pointing out two very important things; first, that I should have absolutely gone to Columbia as an undergrad because they have sex in class.",1
12,Ben Nelson,"And I certainly made a huge mistake going to Penn. We did not have that. And secondly, thank you for making such a compelling argument to vote for this motion. The -- what Jonathan put together as the framework was a critique of the state of online education, not even online education, but a segment of online education today, as it stands. It was not a critique of the potential of online education, and it was based on an analysis of a very small portion of American higher education, these small courses in the most elite institutions in the United States. But we're not talking about the future of themost elite institutions. We're talking about the future of higher education in general. And so let's look at the facts. The facts of the matter are that when you look at what even the elite universities do, they are largely about disseminating knowledge, lecture-based courses, the lecture hall, where a university professor stands up in front of a large audience, gets paid $300,000, $400,000, fully loaded, and teaches one, maybe two courses a year to 200 students, is not an economically viable model. And it is in fact a worse form of delivery than what Anant described, the very first version, the version 1.0, of these massive open online courses. The fact of the matter is, is that all of the problems listed about MOOCs, whether we're talking about who is taking them, cheating, whether we're talking about the completion rates, whether we're talking about whether or not it's economical to create the upfront costs, all of those problems got solved over time. And even before they do, with identity verification online, with the fact that once you create one of these MOOCs, it can be taken to hundreds of thousands of dollars -- once you realize that the fact that these courses are not completed or they're taken by the people that already have a university education, not because they're the only ones that can benefit from them, but because today they're not issued for credit. Compare completion rates at massive open online courses -- that are there purely for fun -- versus the completion rate at Chicago Community College. They're both in the single digit percentages. But when you go to Chicago Community College, you're going there and paying to get your associate's degree. Here you have an opportunity to learn for free, and you have an opportunity to learn at your own pace with those around you. But let's go beyond the lecture. Let's address even the most esoteric elements of higher education. The close conversations between students and professor is small groups that explore subject matter. Well, turns out you can do that online as well, and you can do it in a better way than you can in an offline classroom. When we first created our platform at Minerva, which is limited to 19 students per course, every student is on live video, we went to the University of Washington Medical School and we tested a very rudimentary version of our platform with a live class offline and a live class online, taught by the same professor, the same subject matter. The results were universally accepted that the online class was far superior to the offline class simply for the fact of the matter that even though there were the same number of students in the class, when you look straight into that camera and the professor sees your face and all of the other students see your face, you are paying attention. The professor can call on students and ask them a question and find out what they're goingto answer rather than having them ask or answer at random. So the professor can choose to pick not the right answer but the spectacularly wrong answer which is interesting, one that curates the course of the conversation in ways that simply are not possible offline. What we all have to remember is we are at the dawn of interactive, high quality, personalized education, whether it's a broadcast to many, whether it's in a small seminar format, or whether it is done in an individualized adaptive learning platform that caters the process of education to the individual student. But the fact that we are at the dawn means that none of us in this room, including Anant and myself, who are working on this every day, can conceive where this will bring us in the future. Here's what we do know. We do know that when students are given the option of going to their illustrious lectures, even at the world's best universities, there are far more students on the first day of class than there are on the last day. We know that oftentimes when we ask students, ""Did the courses that you took in your college career change your life? Did they make an impactful change in the way you perceive the world?"" majority of students say, ""No."" We know that technologies will continue to improve and will bring intellectual development of students not just among the elite but among students around the world to a newer and higher level. Thank you.",1
13,Rebecca Schuman,"Thank you. Thank you so much everybody for being here and to my co-panelists for just presenting. Anant, I tried really hard to get my assignments back to my students really fast. I really try my best and I always make it in under two weeks, but now I'm going to try even harder. I really appreciate Jonathan. He brought up the fact that in person I like to teach classes where you can't get the answers in the back of the book. In my class there is no back of the book or the back of the book is just the last chapter of the book. It wouldn't really help. And, Ben, I did not know I made $400,000 a year -- To be honest. I teach two classes a year and I make $14,000 a year. So, I don't know. I’m doing it wrong. All right. So what I want to talk to you guys about is the MOOC I'm taking right now. I’m taking MOOC with edX and you sign up with edX. They ask you why you're signing up and I wrote definitely not for opposition research for the debate I'm going to do. I didn't say that. It's called Think 101X the science of everyday thinking with two good professors from Australia. Actually, I love it. It's great. It's really fun. I've learned all sorts of different nefarious ways my own brain goes behind my back to thwart me. I love it. It's fantastic. It's pretty easy. It doesn't take too much time. I've learned a lot. Should I go over there? But I'm a 37 year old American with a doctorate. I already know how to learn. I learn for fun. I do it as a hobby, and it's a great hobby for me as a dabbler, but I don't think that it is an adequate replacement for college yet. There are a lot of reasons for this, but the number one reason for this is really just one word and that word is contact. Ladies and gentlemen, I hope that you'll vote no on the motion:",1
14,Ben Nelson,Correct.,2
15,Ben Nelson,It's not interactive. It's broadcast. This is an interactive medium.,2
16,Anant Agarwal,"I think the big difference this time around is twofold, one is interactivity. And the second big one is exactly the point that my opponents are making, which we can bring online, and it's called peer to peer learning. If you look at Facebook and Twitter and all of these peer groups where teens and grownups in the billions are interacting with each other online, why can't we bring that? Why this scare of technology? Let's bring that into our learning education system and fold that in how people learn online so that the peer learning is part of the platform. As on edX, the whole discussion forum is part of the learning process.",2
17,Jonathan Cole,"Well, I'd like to just quote from Sherry Turkle who wrote a wonderful little book called ""Alone Together."" And she's an MIT colleague of yours. And she said, ""technology is seductive when what it offers meets our human vulnerabilities."" And as it turns out, we are very vulnerable indeed. We are lonely but fearful of intimacy. Digital connections and a sociable robot may offer the illusions of companionship without the demands of friendship. Our networked life allows us to hide from each other even as we are tethered to each other which I think often is reflected in the social media and the kinds of contacts that people make through technology. It is not the kind of interaction that students have debating each other in class, involving the individual instructor to force people to confront their biases and presuppositions, to read texts extraordinarily closely, that can be useful in other ways. I don't believe it's possible yet.John Donvan: Okay. Ben Nelson, respond please.",2
18,Ben Nelson,"Well, I encourage all of you after the debate to go and find our student in the audience because she's been on the platform that not only enables that but enables you to have the kinds of debates, the kind of interactions, the kinds of interrogations of students that actually is even more difficult in an off line environment. When you build a platform to teach a hundred thousand students, that's not your goal. Your goal is not to build a platform that optimizes for one-on-one debate. When you build a platform that's about bringing the seminar and adding data to pick which two students will be the ones on both sides of the debate, which kinds of analyses should you go back to in class and listen from another section so you can build upon? That makes online seminars even richer. So even though we don't have as many students on those platforms, this resolution is about where the future of universities will go. The technologies are here now. They will get propagated.",2
19,Jonathan Cole,One of the things that came up --,2
20,Jonathan Cole,"-- in the discussions about MOOCs in -- certainly in the heyday of excitement about their early inception was that they could reach hundreds of thousands of people. If they reach people in the seminar type of arrangement, with 15 or 20 people, it may be possible to generate some of the kind of discourse that you're talking about. But that's not where the imagery of the MOOCs really come from.",2
21,Anant Agarwal,"So, remember, I just have to respond to that.",2
22,Anant Agarwal,The thousand-year-old university system has failed.,2
23,Anant Agarwal,"They still don't have an economic model. But the point is that in terms of small seminar, the simple mechanisms are being introduced on the edX platform. It's called a cohort. You can create Google instant hangouts and small groups of five and ten people, interact with each other. And it's much more connecting than a professor picking one student out of a class while 300 other students are sitting there twiddling their thumbs.",2
24,Rebecca Schuman,But I don't necessarily want my students to be in charge of each other. I love them. I love them to death. But --,2
25,Rebecca Schuman,"Their peer review, you know, they're freshmen, they're -- I got rid of peer review in my class because it was like the inmates were in the prison. It made the papers worse. It made things -- they don't -- they're bright, they're inquisitive, they're great, but they don't quite know enough yet to help each other learn in a way that I can help them learn.",2
26,Ben Nelson,Well --,2
27,Ben Nelson,"She can be there in a 15-person breakout. So there's nothing preventing the edX platform from having the professor jump from breakout to breakout. That's just a philosophical point of view, right?",2
28,Ben Nelson,Nearly all.,2
29,Ben Nelson,Absolutely --,2
30,Jonathan Cole,"Well, I mean, we didn't see anything yet with the .com bubble either, and that kind of exploded, but the technology was worse at the time. I guess that I would also say is that learning does not only take place in the lecture room, and the nature of the bricks that bring people together, part of the learning experience, go far beyond necessarily the lecture room. And part of the subtitle of this debate is really whether or not the format and the structures and even the architecture of the old university setting will be obsolete. And I believe that students learn perhaps almost as much or as much outside of the classroom, interacting in these physical spaces, as they do in the classroom.",2
31,Jonathan Cole,"Yeah, well, I do -- I think the --",2
32,Jonathan Cole,"Would you turn me to that program? What's the website? No, I -- well, there I just simply, you know, disagree. I mean, I think that when we are dealing with, let's say, a course that allows you to get answers that are known answers, I have no doubt that this new technology can have an extraordinary influence. But a great teacher, talking about the subtleties of text, about being a perfect reader, of how reading will influence your life, not only in terms of enjoyment, that I think has yet to be demonstrated. This is an assertion by our opponents, our worthy opponents. It is not demonstrated. And as I said earlier, there are a lot of empirical questions that I haven't heard any answers to thus far from my worthy opponents. John Donvan:We're going to come back to some of those, but I want to let Anant respond to what you just said.",2
