,Speaker,Script,Round
0,Anjali Viswamohanan,Thank you. I'm very happy to be here.,
1,David Keith,"Thank you. Happy, tonight, to be here.",
2,Ted Parson,"Thank you, it's great to be here.",
3,Anjali Viswamohanan,"A very good evening to everyone present in this room today, and everyone joining this discussion virtually. This debate on solar geoengineering has been rife within the scientific, the academic, and the policy focus, but this is one of the first few instances of an open and hopefully engaging public conversation on this topic. As in the fight for regaining climate change justice, the voice of the people will be of critical value in setting the tone of the discourse on climate geoengineering, and therefore, what you take from this room tonight is of -- it's very important. In this part of the evening, I'd like to take a shot at answering the question of whether we really need solar geoengineering, because I think that would give us half the context we need to really start thinking about the proposition tonight. When Clive takes over, he will start -- he will talk about the issues associated with deployment of the technology, specifically those around control of the technology and its implications for global security. One of the first things that came to my mind when I thought about what I'd like to speak tonight -- speak on tonight is this episode from this American sci-fi sitcom called, ""Rick and Morty."" The sitcom revolves around two main characters, which is this nutty scientist grandfather, Rick, and his naïve teenage grandson, Morty. So in this particular episode, Morty had some trouble speaking to a girl that he fancies at his school. And Rick helps him through this process by developing a love potion of sorts. And, as is the case with most of Rick's inventions and solutions, things go horribly wrong, and the entire world is destroyed, but Rick and Morty travel to a parallel universe, and pick up their lives like nothing has changed at all. Now, the reason that I brought up this episode is not to imply, by any means, that any of the scientists involved behind climate geoengineering are crazy, not at all. The only reason that most of us are in this room, here, tonight is because we are very concerned about the implications of climate change. The only reason that we are sitting on the opposite sides of the stage tonight is because we differ in the way we are approaching this problem. Now, getting back to the episode, the whole disaster could have been avoided if Rick, being the grandfather, and the wiser, and more competent person had pointed out that, instead of looking for a quick fix in the form of a love potion, Morty should have just taken time to muster courage on his own, and go speak to the girl in a while. Now, on similar lines, the problem we are discussing tonight is global warming, and solar geoengineering is perhaps an answer to the question of, ""How can we most effectively cool the world fast?"" But I think that your question is, ""How can we most effectively cool the earth fast and keep it that way in the long run?"" We already know that we need to maintain the global warming from reaching -- from going beyond 1.5 degrees Celsius to prevent disastrous consequences for the planet. IDCC, which is a U.N. expert panel of climate scientists, have already out pathways we could follow to stay below this 1.5-degree target. It requires immediate drastic action to shift to carbon neutral technologies. The report categorically excludes solar geoengineering from any of these pathways due to what it calls large uncertainties and knowledge gaps, as well as substantial risks, and institutional, and social constraints, and that's putting it mildly. Solar geoengineering does not affect the processes that are making the world warm. It merely attempts to stop or slow the process and getting -- and making the effects from getting worse, buying us more time to do what we should already be doing, which is changing our energy sources and cutting our profligate consumption. Any such effort to buy us more time is only likely to enable more opportunists to step in and benefit in wily ways from the shifting landscape. There are wide differences of opinions, even amongst the scientists working on this technology, regarding the effectiveness of this technology, the -- what does -- what the real-world risks of this technology are, and to what extent these risks can be contained. The lists of negative impacts on deployment is quite long, but one of the most immediate impacts that will be felt will be to the change in the precipitation cycles. It will also affect tropical forests, the ozone layer, and the oceans. It will also reduce the amount of solar radiation leaving the earth's surface. This will affect both crop use and also diminishing the potential of solar energy, which is one of the biggest alternators that has been contemplated to foster fuel energy generation. The pathways see to new ways contributing towards 70 to 80 percent of the energy supply by 2015, of which solar energy will constitute a sizable chunk of. Throwing solar geoengineering into the mix will result in the lack of a coherent strategy on damaging climate change. I am also certain that, at some point during the discussion today, we are likely to hear that solar geoengineering is intended to benefit the most vulnerable populations, protecting them from the harms of climate change. But what may not be explained as clearly is that there are going to be winners and losers in this victory called, ""climate."" And, right now, the discourse on solar geoengineering and -- on both research and deployment is in the hands of the global not . Let me rephrase. It is controlled by nations that have yet to take full responsibility for their disproportional historical contributions to GEG emissions, which is why they're forced to have this conversation today, in the first place. To conclude, there's no sugarcoating it. Keeping warming to below 1.5 degrees would be very hard, but let's also be very clear that the world has a scientific understanding, the technology, the capacity, and the financial means to tackle climate change at its source without considering solar geoengineering. Thank you.",
4,Ted Parson,"Thank you. Geoengineering does sound crazy when you first hear about it. That response is completely understandable, and it's also politically potent. That's why, for the past 10 years or so, our opponents have won. Talking about geoengineering is pretty much taboo in polite scientific and environmental company. It's been starved of research support, and marginalized in climate change assessments, but this is dangerous. It's dangerous for the environment, and it's dangerous for preserving opportunities for human development. It is essential to take geoengineering seriously, to research how it might work, and what risks it holds, and to confer on how to safely control it. Now, to talk sensibly about geoengineering, you have to consider the climate change risks that it's intended to combat, how bad they are, and what other preferred ways there are to reduce them. The answer is sobering. The risks are grave, the opportunities to limit them adequately through other means are weak, and the news gets worse with each passing year. You know the headlines. We've already heated the earth about two degrees Fahrenheit and are seeing pretty serious impacts. And we're on track to continue heating another two to nine degrees Fahrenheit within the lifetimes of today's children. Stopping climate change requires reducing human greenhouse emissions to zero. This means cutting fossil fuels from the present 80 percent of world energy to about zero. There is no serious disagreement on this need, but such a vast economic and technological transformation is a project of decades, not years. And despite positive recent signs, like the Paris Accords and the rapid recent gains in solar and wind energy, we've barely started. World emissions are still growing. And even with a crash program, it's probably too late to limit climate change to safe levels by cutting emissions alone. Now, cutting emissions isn't our only tool. We can also remove carbon dioxide from the atmosphere. This can help maybe a lot, but we're relying on it now to a dangerous degree. The most optimistic climate projections all assume that we'll scale this up rapidly from zero to billions of tons a year. This reliance on technologies which are not fully developed or tested is a huge gamble. And even if this does work, it's probably too slow. Removing CO2 from the atmosphere is like draining a lake through a straw. It will work, but it'll take a long time. So deep emission cuts and carbon removal are both essential, but they may not be enough soon enough, even with extreme efforts. We need something else, and geoengineering might be that something else. Now, I'll address the two biggest policy concerns that have been raised about geoengineering. First, ""Can it be governed at all?"" Geoengineering presently looks like it might be cheap and easy, at least cheap and easy to do it crudely. This is actually a problem for governance, because it may put the capability within the reach of more than a dozen nations. As a result, if we should ever face decisions about using it, we would want them to be under effective international control. Even if someone tried to do it unilaterally, that would still require an effective international response. Building this international control won't be easy, but nations have come together many times to address global challenges adequately, even if not perfectly. Think about the post-war creation of the United Nations, or the Global International Economic Order, or more recently the successful global phase out of ozone-depleting chemicals. You can imagine the required body being a U.N.-style global institution, a concert of great world powers, a set of soft law norms, or something in between these. But there are simply no grounds to claim that building the needed governance capacity is impossible. And this is a way that calling geoengineering crazy is doing real harm. In addition to blocking needed research, this stance is also obstructing the policy discussions that are needed to help develop governance. Last month, a swiss proposal in the U.N. environment program to start research and consultation on geoengineering was blocked by the United States, Brazil, and Saudi Arabia. This enforced silence is making risks worse, risks of climate change and also risks of reckless, badly governed geoengineering. The second big objection to studying or normalizing geoengineering is that it will tempt us away from the essential work of cutting emissions. Now, we agree with our opponents that anything that hinders deep emissions cuts is dangerous. But will studying geoengineering have this effect? Research suggests the opposite. When people learn about geoengineering, their support for emission cuts gets stronger, not weaker. They don't see it as a get out of jail free card, they see it as a signal of alarm. If you're thinking about doing something this radical and scary, then climate change must be really bad. Even the fossil fuel denial group -- fossil-fuel funded denial groups seem to get this. They've recently started attacking geoengineering as crazy. This seems strange, given their prior behavior and the interest they represent. So a likely explanation is that they think attention to geoengineering will raise alarm about climate change, and so galvanize action on all fronts, including emission cuts. In conclusion, the gravity of climate risks demands looking at all responses, even those that may at first seem frightening. There are plenty of grounds for concern about geoengineering, but there is no basis for calling these insurmountable, without serious examination, nor is there any basis to decide in advance that the risks of a world aware of geoengineering are worse than those of a world with severe climate change, and no means available to limit it in time. Just as other technologies that carry risks as well as benefits are not crazy, chemotherapy for cancer treatments, vaccines for infectious disease, geoengineering is not crazy. Treating it as crazy is blocking needed research and blocking policy dialogue on how to use it safely. The resolution is dangerous. Please vote, ""No.""",1
5,Clive Hamilton,"Solar geoengineering of the kind that our opponents are advocating means handing to someone the power to regulate the amount of sunlight reaching the earth, and so the climate system of the planet. On our side, we want to know, ""What level of political maturity and ethical sophistication is necessary to use -- or anyone who has that power to use it safely?"" And since solar geoengineering will affect people around the world in different ways, we want to know whether it can be used in a way that's fair. So we're here tonight debating geoengineering because the big carbon polluting nations of the world are so befit by political, social, and ethical failings that they have shifted the earth's climate system through rapid increases in greenhouse gas emissions to a point where we're on track to see an unfolding catastrophe. And these nations have done it in full knowledge of the consequences. Yes, solar geoengineering may well be able to reduce -- for a time, to suppress, I should say, the rate of warming of the planet, but it sidesteps the political, social, and ethical problems. It's the mother of all technofixes. The same political institutions and the same people running those institutions, who have so mismanaged the emissions of greenhouse gas emissions around the world, will be responsible for deploying the solar shield between the earth and the sun. Who would you trust to have their hand on the global thermostat, that is the power to turn the earth's temperature up a bit, down a bit, up a bit more, down a bit more, to change the weather in ways that may benefit Chinese people at the expense of Indian people, Americans at the expense of Africans. Who should make the decision? Should the Kremlin make the decision? Should the polit bureau of the Chinese communist hierarchy make the decision? Should Donald trump make the decision? Could we expect to see a Tweet one morning, ""Hey, this heat wave here, down at Mar-a-lago, is getting out of control, so I've instructed the U.S. climate regulatory authority to turn it down, turn it down.""",1
6,Clive Hamilton,"Our opponents have put a great deal of thought into countering those who argue that solar geoengineering would unintentionally harm some nations while benefiting others. It's been suggested by some climate models that it could disrupt the Indian monsoon. David has said previously that, if geoengineering is done carefully enough, these unintentional harms can be avoided. But we -- on our side, we're concerned about the intentional harms, that is when those who had their hand on the global thermostat use it to deliberately damage their adversaries. After all, the generals have always dreamed of controlling the weather. It gives a decisive military advantage. It's what's known as a force multiplier. Any program of solar geoengineering will inevitably involve the military. It's a strategic issue, and so the landmark 2014 report on solar geoengineering by the U.S. National Research Council was partly funded by the CIA. The CIA wanted to know if America's adversaries could use solar geoengineering to damage the interests of the United States. The militaries around the world, as well as the intelligence agencies, are watching this debate because they're anxious about the strategic implications of putting a shield between the sun and the earth. And those in charge of climate regulations through sulfate aerosol spraying, for example, will be twiddling with the knobs on a weekly or monthly basis. How much should be sprayed? How frequently should it be done? Where on earth should the planes be sent to spray the sulfates into the upper atmosphere? What kind of particles should we use? Each decision will change the weather conditions of some people more than others in different ways. Who would you trust to have such power? Our opponents believe that it will be done on the advice of a cohort of clever, rational scientists. But that's not how the world works. And, even if it did, we may not get a Professor Keith in charge. We may get a Dr. Strangelove. After all, one of the earliest and strongest advocates of sulfate aerosol spraying was Edward Teller, the father of the hydrogen bomb, and the real-earth model, incidentally, for Dr. Strangelove. He wanted to use nukes to flatten mountains and carve out new harbors. Teller celebrated man's mastery over nature. His protégé and coauthor of his paper advocating solar geoengineering, Pentagon weapon Elo Wood, he said, ""We've engineered every other environment we live in, why not the planet."" Some advocates say there's nothing wrong within -- nothing inherently desirable about the climate that nature gave us, and we've now got these exciting new tools to set the climate of the earth wherever we choose. So the great promethean dream of human domination over nature could be realized with solar geoengineering until, that is, nature starts to fight back. So, tonight, to finish the decision is yours. All things considered, if you trust humans to use the technology responsibly and fairly, then vote, ""No,"" solar geoengineering is not a crazy idea. If you believe, as we do, that our leaders cannot be trusted to have such power over nature, over their own people, over other nations, then vote, ""Yes,"" geoengineering is a crazy idea.",1
7,David Keith,"Thank you. If you want a stable climate, you must stop putting CO2 in the atmosphere. Nothing about solar geoengineering changes that essential fact in any way at all, but cutting and -- fossil fuels are the core of those emissions, and it's tempting to think, ""Because we have to end fossil fuels, that anything that distracts us from that is crazy."" That's not quite right. The fact is that emissions cuts are absolutely necessary, but that's not the whole story, and the reason is the following. Emissions cuts are absolutely possible, very doable. We can get emissions to zero with confidence. The increasing low price of solar power is fantastic, and that, combined with the use that we're seeing gives me some hope of real political change. The challenge is the following. Even on that marvelous day where emissions are finally brought to zero, which is absolutely doable, the climate problem is not solved. This is not a choice between doing things slowly or quickly. It's a choice about what we do. The reason for that is that climate risk is proportional to cumulative emissions of carbon dioxide. The more we emit, the higher the risk gets, whatever we do about solar geoengineering. When we bring emissions to zero, we have simply stopped building up that interlaying risk. We have not eliminated it. So cutting emissions to zero is necessary, but it is not a sufficient and complete solution. We will also need to adapt. We can adapt to reduce climate risks by measures such as air conditioners or dikes, but that also cannot be a complete solution. Polar bears cannot take advantage of air conditioners, and dikes can only hold back water in some places, particularly rich ones. The CO2 we put in the atmosphere has an environment footprint that lasts for thousands of years. Even once emissions are brought to zero, if we want to reduce the underlying long-run risk of climate change, solar geoengineering doesn't help. We need to do it by removing CO2 from the atmosphere, but that is inherently a slow process. There is no way in which it, itself, can be a sufficient solution to the climate problem. The reason is -- the reason is both that it's slow and expensive, and that it makes no sense as is in those IDCC scenarios to use it in the near term while we are also massively pumping CO2 into the atmosphere. The first rule of holes is, when you find yourself in one, stop digging. It doesn't make sense to imagine that this technology of carbon removal is going to get us out of the problem, that we need stop putting CO2 in the atmosphere by political action. So solar geoengineering may allow us to significantly reduce the risks of the CO2 that's in the atmosphere. It is no panacea, but the evidence that it can reduce risks is strong. Essentially every major climate model has been run, looking at how solar geoengineering works. And they find that, if it is done relatively uniformly over the planet, as could be achieved with aerosols in the stratosphere, and if it is done to roughly cut in half or moderate the warming effect of CO2, if it's done therefore as a supplement to emissions cuts, not as a substitute for them, we find that, in essentially every region, climate risks are reduced: not just warming, but extreme precipitation, precipitation, the changes in water availability -- those changes are reduced, not water availability, but the changes in it, tropical cyclones, sea-level rise. Our opponents have claimed that this is theory, that we shouldn't trust these models, but they're the same models with the same physics, with the same aerosol physics, as are used to understand the risks of building up CO2 in the atmosphere. You cannot easily have it both ways. You cannot say that you believe the models that tell us how risky CO2 in the atmosphere, and which you should, and say that those models have nothing meaningful to say about how aerosols in the stratosphere might reduce risks. So solar geoengineering really can reduce risks, or at least there is strong evidence for it, but it cannot be a complete solution for climate change, two major reasons. One, it has a whole set of poorly known environmental side effects. You're adding aerosols to the atmosphere, and aerosols are a health hazard. You can damage the ozone layer. The warming -- even if you reduce warming, you can reduce precipitations some places that could harm people. Second, there is no way in which it can ever be a perfect substitute for adding emissions. For example, the atmosphere -- the ocean will still acidify. So if one thought that you could keep emitting carbon dioxide, and turn up the amount of solar geoengineering again and again, you'd walk yourself further and further away from the current climate with more and more danger, of course, that could only end in disaster. The, best claim that I think one can make about solar geoengineering is that a combination of emission cuts and solar geoengineering might be less dangerous than emission cuts alone. There's lots of evidence to that claim, but that evidence is not decisive. If the motion tonight was, ""Should we do it? Should we start geoengineering?"" I would vote, ""No."" But the motion tonight is solar -- engineering solar radiation is crazy. And what crazy means is that you never want to do it under any circumstances. It means you are so sure you don’t want to do it, that you want to do research 10 people to do it. It means you don't even want to talk about it because people get dangerous ideas in their head. Our contention is that solar geoengineering might be part of the way that humans manage environmental risks of climate change this century, that a combination of emissions cuts, adaptation, carbon removal, and solar geoengineering might enable a safer climate. But only by discussing it openly and researching it, can people make that judgment with information.",1
8,David Keith,"Well, there are many ways that it might be done. But if it was aerosols in the stratosphere, it would, likely, be put there by airplanes -- a number of, sort of, 20 or 30 airplanes, by midcentury -- operating from a few airfields. That's one way it could be done.",2
9,David Keith,"They'd be flying continuously, putting up aerosols. And the aerosols, naturally, spread evenly in the stratosphere. It's, actually, very hard. So, you can't get them in one place to block. Well, that's, actually, impossible, if you wanted to. So, the stratosphere -- everything's spread pretty evenly. And so, you'd be bringing aerosols up there and they'd be spreading over the stratosphere.",2
