,Speaker,Script
0,Gail Heriot,I think they will.
1,Gail Heriot,"I hope that it is not close. But direct democracy is a tricky business. You never know. John Donvan:All right. Ladies and gentlemen, Gail Heriot. Thank you. And, Gail, your partner is?"
2,Gail Heriot,My partner is the very talented economist Rick Sander.
3,Richard Sander,"Not quite yet. The court said that there is a public right for academics or anyone in the public to seek this data. But they also said that there have to be privacy safeguards with that, and we're still trying to work those out."
4,Richard Sander,I'd say between one month and seven years.
5,Richard Sander,"We a proposal to the bar.John Donvan: Thank you, Rick Sander. That's the team arguing for the motion. And now the team arguing against the motion: Affirmative action on campus does more harm than good. We have two debaters arguing. First let's please welcome Randall Kennedy."
6,Randall Kennedy,Sometimes.
7,Randall Kennedy,No.
8,Theodore Shaw,"Well, I always wondered where that number came from. But in any event, after Justice O'Connor left the bench, she and one of her former clerks authored an article which -- in which she repudiated that statement."
9,Theodore Shaw,"Well, I'm not sure it was ever on. It was always dicta anyway. But she doesn't believe in it any more."
10,Gail Heriot,"Thank you. Good evening, ladies and gentlemen. Rick and I are here to make a very narrow point, race preferential admissions policies are doing far more harm than good. The very large preferences that are now routinely employed by colleges and universities produce fewer, not more, black scientists, black engineers, and black medical doctors. They produce fewer black college professors and very likely fewer black lawyers. We are talking epic policy failure. Before I get too far, let me say that we are not here to argue against outreach, outreach is not the source of the problem, nor are we here to argue that colleges and universities should consider only academic indicators like the SAT in evaluating applicants. There are lots of ways to measure talent, though I would say that race is not one of them. But let me get back to my main point. Race preferential policies don't work. How can that be? How can giving minorities a friendly leg up produce fewer minority professionals? Well, let me explain. One consequence of widespread race preferential policies is that underrepresented minorities end up distributed among colleges and universities in patterns very different from their white and asian counterparts. When the highest school on the academic ladder relaxes academic standards in order to admit more minority students, the schools one rung down must do the same if they are to get minority students. The problem is thus passed down to the third rung on the ladder, which responds similarly. As a result, underrepresented minority students are concentrated at thebottom of most selective schools. The problem is not that there are no academically gifted minority students, but there are not currently enough at the very top tiers to satisfy the demand. And efforts to remedy that problem end up causing credentials gaps up and down the pecking order. For example, we learned in connection with the University of Michigan Supreme Court litigation a decade ago that Michigan granted preferences to underrepresented minority students equivalent to an entire letter grade. That is, African-American and Hispanic students with a straight B, 3.0, average were treated the same as Asian and white students with a straight A, 4.0, grade point average, all other things being equal. This is no tiebreaker in otherwise close cases. The preferences are very large, and since 2003 they've gotten larger. The problem is that entering credentials matter. Students whose academic credentials are well below the average for the college and university they are attending will usually earn grades that are similar, while some students outperform their entering credentials, just as some students underperform theirs. Most students will perform in the general range that their academic credentials suggest, and anyone who thinks otherwise is engaging in wishful thinking at student expense. No serious supporter of affirmative action denies this. The strongest evidence of backfire comes from science and engineering. Contrary to what some people think, college bound African-American and Hispanic students are just as interested as white students in majoring in science and engineering, actually a little more so, the numbers suggest. But these are difficult majors and many students of all races abandon that ambition. African-American and Hispanic students jump ship at much, much higher rates than do whites. It's not surprising that those students, again, of any race, who give up on science and engineering disproportionately have lower entering academic credentials. But what some do find surprising and what is key to the argument that we're making this evening is that four in-depth published studies by researchers at Dartmouth, the University of Virginia, and Duke, among others, and also one unpublished study so far by Rick, here, all demonstrate that part of the effect is relative. An aspiring science major who attends a school where she's in the middle or towards the top of her class in entering credentials is much more likely to persevere and ultimately succeed than is an otherwise identical student, same entering academic credentials, who attends a school where her academic credentials put her towards the bottom of the class. Put differently, preferences hurt, they don't help. The difference is not trivial, ladies and gentlemen. We would have a lot more science and engineeringminority students graduating with that degree if we engaged in race-neutral admissions policies -- or at least did not give so great a preference to students. A similar study by Stephen Cole and Elinor Barber shows that minority students who attend colleges, whether entering credentials put them at the bottom of the class -- do not aspire to go on to graduate school and to become college professors in the same numbers as their identical -- identically credentialed minority counterparts who are attending somewhat less elite schools. And the reason should be obvious. Students who get good grades in school tend to like school, in part because they correctly note that they're good at it. None of the results in any of these studies have been controversial. No one has rebutted any of it. The only mismatched study that's received any kind of criticism is Rick's initial study of law school management -- law school mismatch, where data is hard to come by. But some of the very same people who criticized that study are the ones who are actively trying to prevent him from getting more, better data."
11,Gail Heriot,That speaks volumes.
12,Randall Kennedy,"I disagree with the proposition and ask that you vote against it. I will argue that affirmative action advances key valuable goals of most institutions of higher education in America. My partner, Theodore Shaw, will address some of the charges made against affirmative action, such as the claim that it hurts its intended beneficiaries. Let's be clear about what we defend. We defend conscious efforts to ensure the presence on our campuses of students affiliated with groups that, in theabsence of special efforts, would be excluded or consigned to a negligible, isolating status. We do not feel obligated to defend all affirmative action programs across the United States. We do not support stupid affirmative action. But we do support the sensible affirmative action that has been the characteristic sort practiced on campuses across much of America Including admissions policies, that, under certain circumstances, select certain candidates over others with superior conventional credentials, such as standardized test scores and grades. Educational institutions have a wide array of goals that are advanced by affirmative action. All seek to create excellent environments for teaching and learning. Their leaders insist that racial and other sorts of diversity are essential to realizing the pedagogical mission that they envision. They maintain that racial diversity acquaints students with unfamiliar perspectives and sentiments, and that it assists in preparing students for an increasingly cosmopolitan country and demand world. This belief is held not only by academic administrators. It is also held by the executives who head many of the nation's leading business firms, the executives who submitted amicus curiae briefs to the Supreme Court several years ago in which they strenuously argued in favor of affirmative action programs on campus and convinced the court, in the words of Justice Sandra Day O'Connor, that the educational benefits of diversity are not merely theoretical, but real. Some educational institutions see it as part of their mission to do what they reasonably can to assist and rectifying past racial wrongs, aware that mere cessation of invidious racial discrimination will often fail to undo the lingering effects of oppression in the past. These institutions engage in affirmative action to assist racial minority candidates who, though qualified in absolute terms, might otherwise lose out in competition for admission with those advantaged by racial or other sorts of illicit, but deeply entrenched privilege. Some educational institutions see it as part of their mission to correct or offset invidious discrimination that constitutes an invisible headwind that impedes racial minorities, women and others who still face pervasive societal bias. These institutions make special efforts to identify talent, that in the absence of affirmative action would go unrecognized or underappreciated. These programs have served to encourage students and prospective students who might otherwise have been discouraged, mistakenly believing that the monopolies of the past were unchangeable. You will hear much from our adversaries about the supposedly dysfunctional side of affirmative action. I urge you to keep in mind that affirmative action has supplied a tremendous incentive that has prompted thousands to elevate their sights and pursue ambitions that they would not have otherwise pursued. This point strikes home with me with special force because I am one among those many thousands. Some educational institutions see it as part of their mission to facilitate racial integration. They seek to do this for the purpose of making it conspicuously evident that pathways to leadership and upward mobility are accessible to all. One group that has pressed this point with notable vigor are leaders of the armed forces. They have repeatedly argued that racial diversity in the officer corps of the military is essential as a matter of national security and that at present, the military cannot achieve an officer corps that is both excellent and racially diverse unless the service academies use race conscious recruiting and admissions policies. That affirmative action supports the educational missions of institutions of higher education, that it supports their ambition to assist with the task of correcting past and present injustices, that it facilitates racial, gender, class and other sorts of needed integration is more than enough to justify its continuation. Please join with me in supporting affirmative action. Please vote against the proposition that it does more harm than good. Thank you."
13,Richard Sander,"Thanks very much, John. So you've been told that truth is going to emerge from vigorous, zealous advocacy on both sides. And at my peril, I'm going to depart from that a little bit to try to suggest a little bit of a nuance because it seems to me that when we pose the question as an empirical one, is it doing more harm than good, rather than a moral one, is affirmative action right or wrong, we sort of take on the hats of social scientists. And if we're going to approach it scientifically, we need to be candid about certain things. So let me try to introduce some candor. Let's compare law school and medical school. Now, we're going to get more into the Q and A about the actual merits of law school mismatch, but assume that I might, for the moment, that if you compare two students who go to different law schools, one with large preferences to one without, the one who receives large preferences is two or three times more likely to fail the Bar exam. That event happens after the student has graduated from law school. And students who fail the bar, as one scholar put it, ""Are marooned.” The law school is no longer interested in their fate, and they've kind of given up on them as alumni contributors. Let's compare that with medical school. Medical school, there's also something like the Bar exam. It's called the National Boards. That's taken halfway through medical school, up to the second year. If a student fails the National Boards, then at many medical schools, they're put in an academic support program. There's an effort to try to remediate and to try to help that student succeed. And there's some evidence that that works. So that means that affirmative action might be beneficial if we sort of provide the right institutional support to go with it. That generally is lacking. So that's one reason why, on balance, I think there's a harm. Another example is when we think about science mismatch, as Gail brought up. As she said, there are now four peer reviewed studies that show very clearly that if you receive a large preference into a college or university, you're 50 to 75 percent more likely to drop out of your science career on your way to getting a BA. And frequently, people drop out of college altogether. That has been shown to happen when you have a very large preference. What we don't know enough about, because we don't have enough data yet, is what happens with the small preference. Suppose the size of the preference is not equal to 300 SAT points, but the equivalent of 50 SAT points. It's possible that smaller preferences don't cause that much of a mismatch effect and that the other positive effects of affirmative action like having a more challengingatmosphere and having peers who are really talented might outweigh. So I think we need to admit that there are tradeoffs. There are balances. We're not talking about something that's completely good or completely bad. It's a mixture. So why do I think that, on balance, you should vote for the proposition? First of all, there's no longer any reasonable doubt that very large preferences have negative consequences. That's now been shown in about 20 different peer-reviewed studies by over 20 different academics. And when Ted presents rebuttals in his next remark, listen carefully for when he cites peer-reviewed published studies because those are the things that we're going to care about. We're going to care about studies that have gone through a process of actually being evaluated by other scholars and have been published in a reputable scholarly journal. That research overwhelmingly shows direct negative effects from large-scale preferences. And when I say, ""Large,"" I mean really large. The typical beneficiary of a preference -- well, the typical African-American student at an American law school has credentials that put them at below 99 percent of the white students. So the median black student has lower credentials than 99 percent of the Anglo and Asian students. That's a large preference. Second, there have been a host of carefully done studies that have shown other sorts of really troubling side effects of affirmative action. For example, when the University of California implemented race-neutral policies after Prop 209, we saw this really interesting jump in the takeup rate by black and Hispanic students admitted to Berkeley and UCLA and some of the other elite campuses. Now, why would the enrollment rate of accepted students jump? We'd like to know more about that. But a plausible explanation is that these students found it really attractive to attend a school where neither they nor anyone else thinks that they were admitted with a racial preference. So think about the implications of that. Third, colleges and universities are locked into a pattern of institutional dishonesty. I don't think college leaders are intrinsically dishonest people, but the prevailing ideology of affirmative action makes it difficult and even hazardous for them to speak out about these issues or to really look at the effect and critically examine the effect of the programs that they're operating. To show this, consider the fact that the U.S. Commission on Civil Rights, on which Gail now sits-- I think at least one of these reports came before Gail was on the commission--two reports to the commission have shown significant mismatch effects and have raised very troubling issues about it. Neither of these reports has ever been acknowledged by a higher education leader in America.There have been no task forces appointed. There's been no investigations undertaken. The reports have simply been ignored. There's a pattern of institutional unwillingness to deal with uncomfortable facts. That suggests that there's a need for reform. Finally, we have almost no transparency about what goes non-higher education. Schools do not provide information, unless they're forced to, about their actual admissions practices. They don't provide information about outcomes. When data comes out, it's either because of a lawsuit or because someone trusted as a reliable insider decides to write about the problem. That's what I did when I got access to data on how law school preferences actually worked. So we had this pattern of problems that suggest a crying need for reform. That's why I urge you to support the opposition."
