,Speaker,Script,Round
0,Dr. Eben Alexander,Astonishing.,
1,Dr. Eben Alexander,"""no way,"" at least not until I knew all the facts.",
2,Dr. Eben Alexander,"My very good friend, Dr. Raymond Moody.",
3,Dr. Raymond Moody,"No, I'm -- I was not --John Donvan: Can you just move a little closer to your mic.",
4,Dr. Raymond Moody,"Yes. I was not religious. I got interested in the afterlife question at age 18 when Plato convinced me, through his argument, that the afterlife question is the most important question of existence.",
5,Dr. Raymond Moody,Yes.,
6,Sean Carroll,"A naturalist is one who believes there is one world, the natural world. And it is our job to deal with it.",
7,Sean Carroll,Okay. So far so good.John Donvan: Sean Carroll.,
8,Sean Carroll,The talented and charming Steven Novella.,
9,Dr. Eben Alexander,"Thank you very much, John. I've been an academic neurosurgeon for over 20 years, and I fully believed in reductive materialism, our modern conventional science. In fact, six years ago I would've been sitting over on that side of the stage with Steven and Sean. Now, at that time I believed that the brain creates mind and consciousness, that we have no free will, that it's birth to death and nothing more. Then something happened. I now know that those ideas are false. In November 2008 I was driven rapidly into coma due to a severe bacterial meningoencephalitis which I much later came to realize is the perfect model for human death, destruction of the neocortex, the outer surface, the human part of the brain. Sadly almost no one returns, much less recovers, from a case of meningitis as severe as mine. The last evidence of any activity in my neocortex was in the first hour, so in the emergency room and afterwards I demonstrated only very pathological reflexes including severe brainstem damage. Given my gram negative bacterial meningoencephalitis, which I was found to have, and my descent into coma over three and a half hours, I had at best a 10 percent chance of survival at the very beginning. It only got worse. Mine was an absolutely lethal meningitis. My white cell count in my cerebral spinal fluid was 4,300 and a protein of 1,340. Both those numbers should be zero. In fact, the glucose in that fluid, normally 60 to 80, and maybe as low as 20 in a severe case of bacterial meningitis, went all the way down to one. None of the consultants in my case, from Harvard, UVA, Duke, or Wake Forest had ever seen that severe a case. My doctors never found a cause. The scan showed diffuse destruction of my neocortex with blurring of the gray-white junction over all eight lobes of my brain. No area was spared. Later in the week, off all sedation, my neurological activity was almost nil. With what's called a glass glaucoma scale, which in everybody in this room would be 15 and a corpse is three, my scale was ranging from three to five. This was a very severe meningitis. On day seven, with no residual neocortical function, brain stem badly damaged, reflecting the deadly nature of my illness, my doctors recommended, because I was down to a 2 percent chance of survival by that point, with a best case scenario that if I survived I'd spend a month or two in the hospital, be transferred to a nursing home, and die in a coma months later, hence, they recommended just stopping the antibiotics. My journey deep in the coma began in a very primitive unresponsive realm, which I later called the ""earthworm's eye-view,"" the best consciousness my brain could muster, soaking in pus. My prior neuroscientific view would've dictated that the next step would be one of no awareness at all. Yet, it was just the opposite, like the blinders coming off. I ascended into far more crisp, vibrant, ultra real realms of pure joy, love, and understanding, realms I called the ""gateway in the core,"" far too rich and complex to fully describe. Soon thereafter I started to return to this world, but with my brain so wrecked that I had no memory of words or language, nothing of Eben Alexander's life before coma, any religious concepts, et cetera, yet I knew the entire ultra-real odyssey that I had just been deep in coma, went so extensive it seemed to last for months, even though it had to fit within seven days of earth time. Words came back to me over hours and days, childhood memories over weeks, and knowledge of brain-mind consciousness of more than 20 years' experience in neurosurgery came back over two months. My doctors have no explanation at all for my full recovery. Other cases of medically inexplicable healing do occur in transcendental near-death experiences, like those of Anita Moorjani and Dr. George Rodonaia. In the 36 hours after emerging fromcoma, I was in and out of a delusional, paranoid, psychotic nightmare that was completely different, not even in the same ballpark, when compared to the ultra-reality of the deep-coma experience in the gateway in the core. Those experiences deep in coma seem almost seem to weigh too real to be real. My doctor's believing that the brain creates consciousness, and knowing the destruction they had seen in my brain, had told me that I could not have had any such experience in the depth of coma, and therefore just to forget about it. I knew I'd experienced something and sensed that it had to do with the fundamental flaw in the models of consciousness and the -- and the role of the neocortex. Early on, I tried to explain all of this as a brain-based phenomenon based on my old paradigm, writing it up as a report for the neuroscience literature. It's important that when I was emerging from that coma, I saw six faces at the very end. And these were faces that were very important in helping me to realize that the entire coma experience happened between Days 1 and 5 of my coma, and not at the very end. Over those weeks of recording my experience after coma, I also began to talk with my doctors and review my medical records, especially neurological examinations and the scans, and came to realize just how deathly ill I was and how there was no way that such an ultra-real crisp and vibrant experience could have happened in my physical brain. Modern neuroscientific ideas of the neocortex and consciousness would dictate that I should have experienced nothing at all beyond that earthworm's eye view. I wrote the entire experience down, 20,000 words that I wrote over six weeks, before I read anything about near death experiences. I have never read that literature before. Initially, I was very worried that the memories would fade. Those memories are as sharp today as when they happened. Memories of the delusional paranoid psychotic nightmare that occurred over those 36 hours after I came out of coma faded within weeks. Very different origin. I had never read NDE literature before, and was shocked to find that the experience seemed hyperreal in over half of NDE accounts, and the memories do not fade like those of hallucinations, dreams, confabulations, or drug effects. People recount their own NDE stories to me by the hundreds, usually starting -- I'd never told anyone this before, but even from over 50 years ago, as if they happened yesterday, I came to see that the similarities in the NDE and afterlife literature far outweighed the differences. And the commonalities across cultures, beliefs, continents, and millennia indicate an underlying constant reality of that realm. Many of the petty differences are due to our being so restricted by our earthly language. This is not like we're describing atrip to Disneyland. Personal biases and religious beliefs might taint the telling of those stories. But the core similarities remain striking.",
10,Dr. Eben Alexander,--,1
