,Speaker,Script
0,Carmel Martin,"Well honestly John, we weren’t thinking about political backlash. We were thinking about what was best for kids, but I do agree that the issue has become a little bit of a political football, which I think is unfortunate and I hope people will focus on what’s best for children."
1,Michael Petrilli,"I was hoping for ""good -looking,"" but I'll take brilliant. That's good -- that's okay."
2,Michael Petrilli,A ffirmative .
3,Michael Petrilli,Right.
4,Carol Burris,"Well, over half of my ninth graders last year refused to take the Common Core test when they were in eighth grade, wi th their parents' permission. So, I think it's safe to say they're not fans."
5,Carol Burris,"My partner is the good looking and charming Rick Hess. John Donvan:Ladies and gentlemen, Rick Hess. Rick, you're at the American Enterprise Institute. You are an education policy studies resident scholar and director of that section. You hav e a blog called ""Rick Hess Straight Up ” at Education Week. Like your opponent, Mike, you are an executive editor for Education Next. And it's also interesting to note, you and your opponent Mike co -wrote a book in 2006. So, are there no more collaboration s down -- down the road for the two of you?"
6,Frederick Hess,"You know, John, we wrote that book on No Child Left Behind after Mike -- who had been an enthusiast -- came to share my more measured take. I'm hopeful that history will eventually repeat itself."
7,Michael Petrilli,"Thank you very much. It's a real honor to be here. I was just surprised -- I just saw Rick press the undecided button. So, that was interesting. We'll see how that goes. It is such an honor to be here today. Let me tell you a little bit about what our game plan is, that -- Carmel and I. We've been together all afternoon, we've been scheming about this. I will start by talking about what it means to embrace the Common Core . Then I will talk about some of the problems in our educ ation system and frankly in previous waves of reform that the Common Core is trying to address. Carmel then is going to talk about the process of developing the Common Core , the role that educators play, the role that evidence played, as well a s talk about some of the equity issues that are at stake here, how the Common Core can help to narrow the achievement gap. Now, what you won't hear us argue is, first of all, that Common Core is going to solve all of our nation's educational problems because, of course, it won't. You're not going to hear us say that the Common Core are perfect. They were not handed down from Mount Sinai, they are not set in stone, right, or we're going to hear plenty of concerns about this individual standard or that individual standard, so you won't hear us say that they're perfect. And you're not going to hear us say that it's all going perfectly out there around the country, because, of course, it's not all going perfectly out there around the country. This is a big country, 50 million kids in public schools, 100,000 of those schools, and like any ambitious reform, it's a work in progress, okay ? But what you are going to hear us argue is that despite all of that you should still embrace the Common Core . Now, why is that? Why should you embrace the Common Core ? And what does that mean? In our view, to embrace the Common Core is, f irst of all, to embrace the idea that our schools should have standards, all right, that doesn't sound so radical, and that the standards that we have should be set at a high enough level to indicate that our students are ready for what comes next. And that means kids graduating from high school, that they're either ready to go and succeed in college or to go and get a goodpaying job. Now, what you might have to understand is that this is a radical departure from how we used to do this. States did have standards before the Common Core, but, by and large, they were set at a very, very low level. And so what that meant is that students could meet those standards, they could pass the standardized tests connected to those standards, but it didn't mean that they were ready for success later on. In fact, in many states it didn't even mean that they were at grade level. And so we had a system that was giving a lot of false information out there to students, to teachers, to parents alike. So, to emb race the Common Core is to say, ""Let's embrace standards that are set at this college and career ready level."" It's also to say that we should embrace the idea of moving to next generation assessments, right, tests that measure these standards, that are w orlds better than the tests that we've been living with for the past two decades. Many of us in this room as parents or as teachers, we know that there has been this huge focus on standardized testing in this country. And unfortunately, by and large, tho se tests have been terrible, fill in the blank, multiple choice tests, tests that don't do a good job measuring what students know and that encourage very low level kind of teaching and learning in the classroom. But now, after four years, we're finally g etting to the point where there are new assessments coming connected to the Common Core that are going to be much more like advanced placement exams or international baccalaureate exams like the ones that Carol uses in her school, and this is our chance to move to those assessments. So, if you embrace the Common Core, its high standards, it s next generation assessments, that's what we are moving towards. Now, what's the problem we're trying to address? Every study that's ever been done on American education comes to pretty much the same conclusion. It's not that our schools are failing, though some are failing, but on the large, it's not that schools are failing, it's that our schools, by and large, are mediocre when compared to schools ov erseas. They're in the middle of the pack. They're not the best schools in the world, they're not the worst schools in the world. They're in the middle of the pack. And it's not just our demographics. It's not just because we have a lot of childhood p overty, though we do. Our rich kids are in the middle of the pack compared to other rich kids around the world, poor kids, middle class kids, high achievers, low achievers. Throughout the education system, it's this concern around mediocrity. And we've k nown this for 30 years. And we have been working hard at trying to address that. And we've made some progress, right? Poor and minority and low achieving kids today are reading and doing math two to three grade levels ahead of where they were back in the 1990s. That's incredible progress. And our public education system deserves credit for making that progress. And almost certainly it was because back in the '90s and 2000s , states decided to set standards, to have tests that measured those standards, and to have accountability systems to make those standards stick. And it -- again, we've made real progress. But because the standards were set so low and because the tests ha ve been so easy, all of the focus has been getting the lowest performing kids over that very low standard, right? And that's led to great progress for the kids at the bottom but it hasn't done much for the kids at the middle or the kids at the top because they were so far ahead of those standards that it didn't get much traction with them. At the same time, it's come along with a lot of unintended consequences, and we know about those, too, teaching to the test, narrowing of the curriculum, driving out a lot of the joy that we want to have in our school s, okay? And again, Carol, Rick, many others have been very eloquent on this point. This is our chance to embrace the Common Core , is to fix all of that, to move to a system with much higher standards but also better tests that give better information but that also encourage better teaching and learning in the classroom. Carmel and I had a chance today to meet with a group of teachers, many of them are here in the room tonight, to tell us how i t's going with Common Core . And it's not perfect. There's issues, and there is bumps in the road, but they talked about these higher expectations for their students that some of these kids, they couldn't -- you know, four years ago they couldn't believe t hat the kids could perform at the level that they're performing now, but these higher standards have pushed them in that direction. Now, Rick and Carol are going to say that we should not embrace the Common Core, and I don't know if they're willing to hug the Common Core or kiss the Common Core or fist bump the Common Core , so I'm not -- we'll see what their position it, but what do they want? Do they want us to go back to the old standards, the ones that were set way too low, that gave everybody this fal se impression that everything was fine? Do they want us to stick with the -- still the standardized tests, these rinky -dink standardized tests that we've lived with for 20 years? Do they want to follow the example of Oklahoma, the one state in the country that has repealed the Common Core and replaced it with something else right away, and in Oklahoma today, today in Oklahoma schools, teachers did not know what standards they were supposed to teach to. They don't know six months from now which tests they're going to be held accountable to, but I guarantee you it's not going to be one of these next generation assessments because there's no time and there's no money for that. It's going to be one of these rinky -dink assessments instead. Lots more to talkabout throughout this debate, but for all of those reasons, this is why you should vote to ""Embrace the Common Core ."" Thank you."
8,Carol Burris,"Good evening, and thank you for inviting us to this very important debate about the quality of the Common Core standards. I say ""quality "" because this isn't a debate about whether or not we need standards. Of course we do. And this isn't a debate about whether or not schools should improve. That's a given. Rather, this is a debate that asks whether or not the Common Core standards are so remarkable and so sound that we should embrace them as the standards by which every American child is both educated and judged. In a little while, Rick is going to explain the flaws in the design of the standards. As a lifelong educator, I'm going to explain the flaws in the standards themselves. Let's begin with kindergarten. Listen while I read this Common Core kindergarten standard. ""Compose and decompose numbers from 11 to 19 into 10 ones and some further ones. Example, by using obj ects or drawings and record each composition or decomposition by a drawing or equation. Example, 18 equal 10 plus eight. Understand that these numbers are composed of 10 ones and one, two, three, four, five, six, seven, eight, or nine ones."" Now, I ask you, should that be a standard for a five -year -old? Or to put it another way, do the standards know and match what we know now about childhood development? Well, in 2010, when the standards were first rolled out, experts said, ""No."" Five hu ndred early childhood experts, pediatricians, psychologists,researchers, and teachers found the Common Core standards to be so developmentally inappropriate that they called for their suspension in grades K through 3 . Back to Louisa Moats , one of the few early childhood experts that were on the team that created the literacy standard, is now one of their most outspoken critics. Why? Because the Common Core standards disregard decades of research on early reading development and instead y ank up difficulty levels at every grade. So, how could the developers of the Common Core get it so wrong? The Common Core standards were built backwards from grade 12 down to pre -K. But kids don't grow backwards, they grow forward, and their development is unique and uneven. The Common Core requiring that kindergarteners count from one to 100 by ones and 10s, even though we know that most five years old can count to 20, is as silly as expectin g all two -year -olds to be potty trained. Research did not guide the development of the Common Core standards. And then there is the math. Most of the time, when we think of standards, we think about what topics should be taught at different grade levels. But the Common Core goes beyond and seeks to influence how math should be taught, often in confusing ways. Here’s a first grade example. “Use strategies such as counting on, making ten. E xample, eight plus six equals eight plus two plus four equal ten plus four equal 14, decomposing the number leading to a 10. Example, 13 minus four equal 13 minus three minus one equal ten minus one equal nine, and creating equivalent but easier or known sums . Example, adding six plus seven, by creating the known equivalent, six plus six plus one equal twelve plus one equal thirteen. ” Now, when you listen to that, are we surprised that we have created complicated homework problems that comedians joke about and that make children cry? This is why parents and teachers are rebelling. In one year, in the bluest of states, California and New York, the Common Core has moved from majority approval to majority disapproval. In one year, teacher support for the Common Core has dropped 30 poin ts. This is not a Tea Party rebellion. This is a parent rebellion and it’s happening because the Common Core has moved from paper to practice, from the ideal to the real. And then yes, there are the tests. Even as the consortia developed national tests, New York State is giving Common Core tests twice. And guess what, they’re multiple choice tests and they don’t look anything like the IB. Results have been devastating for our special education students, our English language learners, and our students of poverty. And they’re based on arbitrary measures of proficiency. Bad test scores have consequences for kids. Fourteen states require that third graders be left back based on poor reading scores. Kids are put in remedi al classes. Test scores decide who gets into gifted programs and into competitive schools. High school graduation rates are expected to plummet. The Carn egie Corporation has predicted that the six year drop out rate will double, from 15 percent to 30 percent. And the four year graduation rate will drop from 75 percent to 53 percent. We already have a preview. The GED test was the line to the Common Core . It dropped 19 points to a passing rate of 53 percent. Here’s the bottom line: There is no evidence, none, that the Common Core standards and its tests will actually increase student learning. And as we engage in this experiment, we may very well hurt the kids who need our support the most. And so I urge you to vote no at the end of this debate, because if we embrace the Common Core , we are embracing a set of flawed standards that will mark as failures more than half of our kids. And your kids and your grandkids deserve better than that. Thank you."
9,Carmel Martin,"Thank you John and thanks to Intelligence Squared for bringing this debate here tonight and including me in it. I want to start by telling you the story of Janelle, a young woman from Philadelphia who I spoke to recently. And whose story embodies why I feel so strongly that the Common Core is a crucial step forward for American education. Janelle is an African American woman from the north side ofPhiladelphia. Her parents believed in the power of education to transform liv es. They had one overriding message for their daughter : Do well in school and you will be the first person in the family to go to college. Janelle got the message. She worked hard. She took honors courses. She got all As. She was her vice president of her senior class. And she graduated in the top of her class. She was number three in her class. She diligently applied to college, and she and her parents ecstatically celebrated when she not only got into college, a public four -year institution in Pennsylvania, but got a full scholarship. But it wasn't very long after going to college before she realized that she had been duped. The As she'd earned in her honors courses in high school seemed to bear little relationship with what it took to succeed in her college -level courses. In subject after subject, she struggled, becoming more and more dejected. She explained to me how one of the problems that she encountered was that in high school, her teachers helped her translate her textbooks. But when she got to college, her professors expected her to be able to do that for herself and then analyze the information, as opposed to just understanding it. And her -- she didn't have those skills. They hadn't taught them to her in her high school. As a result -- as a result, Janelle 's GPA dropped and she lost eligibility for her scholarships. Now, the good news is, she did -- she has managed to return to college as a sophomore. She was able to fill the gap left by her scholarships with student loans. Many children in her -- in her situation would have give n up and dropped out. The Common Core is for Janelle and for the thousands of students who are giving it their all but not getting their money's worth. Now, I agree with something Rick has said before, which is that standards are meaningless unless they're translated into effective instruction. As Mike noted, the Common Core is not a silver bullet for all that ails our education system. But it is an essential building block. And for students like Janelle who, for generations, have been shortchanged by the old, failed system, new standards will help ensure they are never left behind again. We know what we were doing before wasn't working. We see remediation rates as high as one in four college students who are not ready for college -level material. And that translates, just he re in New York, to $80 million in wasted resources that could be spent on other supports for our students to be successful. And that doesn't even address the students like Janelle who are not in remediation, but are struggling with college level content. S ome schools, like the one that Carol runs, have adopted International Baccalaureate programs or advanced placement courses to supplement the old state standards, butwe can't rely on visionary principles like Carol -- or a patchwork of programs to c lose our nation's gaping achievement gaps or prepare future generations to compete with China. Now, I'd like to cut -- clear up a couple misconceptions about the Common Core that had been promoted by the Glenn Becks of the world. First the Common Core was not developed in secret and was not developed by the federal government. This was an initiative led by Democratic Governor M arkell of Delaware and Republican G overnor Sonny Perdue of Georgia. Back in 2008, virtually all of the governors, w ith the exception of Rick Perry and Sarah Palin, were strongly supportive of it. Unlike the previous patchwork of standards, the Common Core was developed with significant input from educators and content experts, like the National Council of Teachers of M athematics. The authors consulted teacher unions, the civil rights community, college leaders, and business leaders. The standards were revised based on over 10,000 comments from the general public. And contrary to the assertion of the opposition, most tea chers are not opposed to the standards, and indeed strongly support them. Now, I appreciate that there has been a great deal of controversy about the way the standards have been implemented and concerns with how test scores are being used in o ur education system. I think those concerns are real. And we should -- we should address them. But -- and teachers, when asked about the standards in the context of accountability -- particularly accountability for themselves -- their own performance -- they're hesitant about the standards. But despite these concerns, a Winston poll in early August revealed that two out of three teachers approved of the adoption and believed they are what their students need to be successful. And when implementation is done well, which I strongly believe requires that you use teachers to help you develop an implementation plan -- teachers feel excited about the standards and believe they have more, not less, freedom in their classroom. John, a high school geometry teac her, said it better than I could : “ The old standards gave teachers a set of specific and sometimes constricting direction on where to turn, when to turn, and how fast to go. The Common Core standards instead give us mileposts to aim for, tell us where we should end up but not how to get there. ” And this was something that Mike and I heard loud and clear this afternoon when we were talking to teachers from right here in New York. Later in the debate, I'm sure we'll talk more about the challenges of implementation and the need for commonsense use of tests. Those are important issues. But because we have challenges doesn't mean that we should turn our backs on the incredible work that's been done over the last four years here in New York and around the country to lay thegroundwork for the implementation of these standards. I think there are commonsense ways we can and should make implementation go more smoothly. As Mike said, I think that t he Common -- new assessments aligned to the Common Core will address one of the chief complaints of teachers and students alike, fill in the bubble tests. Because the Common Core requires children become problem solvers and good communicators, t he new tests aligned to them will measure complex thinking, reading, writing, communications, and problem solving kids' skills. As a result, teachers will no longer be driven to narrow the curriculum or teach to a bad test. There have always been standar ds and always will be standards. There have always been tests and there always will be tests. It's time to get them right. For that reason, I ask you to ""Embrace the Common Core ."" J ohn Donvan: Thank you, Carmel Martin, speaking for the motion. And now, to speak against the motion in the final statement of the opening round, please welcome Rick Hess. He is a resident scholar and director of educational policy studies at the American Enterprise Institute, author of several books on education including, ""Cage Busting Leadership ."" S peaking against the motion, ""Embrace the Common Core ."" Please welcome Rick Hess."
