,Speaker,Script
0,Ian Bremmer,Yes. The puppets thus far are actually creating slightly more jobs. They each require at least one hand.
1,Yascha Mounk,"God, no. Not singlehandedly for sure. I mean, in the book I show why populism is a real danger and why it has these long-term serious drivers from income stagnation to a more multi-ethnic society. But I do think that together we can actually stand up for liberal democracy."
2,Andrew Keen,I think it was when I interviewed Emmanuel Macron just before he was running for president of France. And he had just grown a beard so he looked very cute.
3,Andrew Keen,Very cute.
4,Andrew Keen,I think he would be the GQ Most Connected Man.
5,Alina Polyakova,"Well, I really quickly realized that with all the instability and upheavals in the world, especially with the democratic resurgence that we saw in Ukraine in 2013, I didn't want to be an armchair intellectual anymore and I wanted to do something about it."
6,Alina Polyakova,Yeah.
7,Ian Bremmer,"Thank you very much. Automation will crash democracy. These are profoundly troubled times. I want to tell you two things that describes that and then give you two stories to explain why automation will crash democracy. First the two things. Number one, the United States -- and not just the United States but almost all of the advanced industrial democracies in the world today are more divided than we have ever experienced in our lifetimes. That should trouble us. I know it does. It is about Brexit. It is about Trump. It is about the elections we've seen in Hungary and Turkey and Italy and even in France and Germany. One in six Americans today say that they would prefer strong military rule to a democracy. And that's not because they think democracy doesn't exist. They think the system is rigged against them. Second point. China. For the last 30 years something that the West has truly believed is that as China got wealthier, as they became a middle-income country, they would need to politically reform or they would fail. That's wrong. And what we know today is that they are now a middle-income country. They are more consolidated politically. They have not politically reformed. Xi Jinping has recently announced himself effectively as president for life. State owned enterprise and state capitalism is stronger than it was before. They are building an alternative model to liberal democracies. So, the two stories. Why is that true? There are a number of reasons, but automation is truly problematic for two reasons. The first. Back in the 1960s Milton Friedman went to China and he saw a big canal being built with thousands and thousands of Chinese workers. And they were all using shovels. They didn't have any heavy machinery. And he couldn't understand why. He asked the Chinese handler ""Where are all of the cranes and the bulldozers?"" He said, ""You don't understand."" He said ""We do that because we want these people to all have jobs. That's the intention."" Friedman said ""Oh, I understand. I've got a great idea. Instead of using bulldozers why don't you give them spoons? And see, then you could hire a lot more of them."" We all laugh because we say well of course, you know, I mean silly communists. The capitalists know how to build things. We know how to grow. Turn to 2018 when instead of globalization we have automation where so many more jobs are being displaced if not go away completely and suddenly you realize the Chinese have the one political system in the world that's actually oriented towards insuring the hiring of inefficient labor. In the United States we right now have lower unemployment than at any point in 2000s, 3.9 percent. It feels awesome and yet wages have been flat for the last 40 years. What's it going to feel like in the United States when we hit a recession? Does anyone believe that our political system is really prepared to do for the average worker and make the American dream feel for the average worker what the Chinese dream feels for the Chinese worker today? I don't think so. That's the first story. The second story. Little different story. Twenty-five years ago -- this is a group that probably reads the New Yorker. I get that sense. Right? You're giving us an evening at IQ Squared. You could be doing something else. You read the New Yorker, right? You remember -- you remember this cartoon? It's a cartoon that had a dog on a computer. And it was sitting next to another dog who apparently was not computer literate. And he said to that dog -- he said, ""You know, on the internet no one knows if you're a dog."" Right? And that was -- it was beautiful. It was the zeitgeist of the internet. The idea was it was empowering, to people, to little puppies. Right? They could learn everything. It was the communications revolution. It's what got us the Arab Spring. People with access to information learned that their governments were corrupt. They didn't want to take it anymore. They communicated with each other. Off they go. It promoted liberal democracy. Now today if you are on the internet and you're a dog -- we know. We know what kind of a dog you are. We know what other dogs you're into. We know where you're doing your business, right? We know all of those things. It's not the communications revolution anymore; it's the data revolution. Right? It's the information revolution. It doesn't empower individuals. It's top-down. Today, automation-driven and AI-driven algorithms are dividing liberal democracies. They're ripping apart the fabric of society. We live in something close to an information dystopia. I would define one as one where we get our information filtered through the world's largest advertising company. No one can tell me that automation is promoting liberal democracy in that way. And yet, in China, if you actually surf for something that's a little bit off-center politically, they don't say, ""Here, let's something even more off-center so we can make more money off you."" They don't do that. They say, ""No. Here's what everyone else is surfing. Why don't you surf that? And if you continue to surf these unusual things, we may not hear from you very much anymore."" What I'm saying is that automation, both in terms of the disruptive effect on employment and in terms of the disruptive effect on how we consume information, unfortunately, is undermining liberal democracy. And so, yes, I am arguing that automation will crash democracy. Thank you for your support."
8,Andrew Keen,"Well, I did a little bit of homework for this. I read Ian's book -- a bestseller. Congratulations, Ian. You didn't mention mine was a bestseller, John."
9,Andrew Keen,"Thank you. The bestseller. So, Ian was very spirited, as always. We all know him as a television personality, very passionate. But I read his book, and there's some sentence I found in his book that actually reveals what he really thinks. He said, ""In 2018, it's too early to know whether the tech revolution will kill more jobs than it creates."" Now, I'm from Silicon Valley. And the reality of automation and AI is -- I'm not allowed to swear on this show, but you know what I would say if I could. We have no idea of what's happening. AI is the big new thing in Silicon Valley. Every new tech company is basically an automation or AI company: Apple, Facebook, Google. They're all trying to reinvent themselves as AI companies, as artificial intelligence companies, building their products, their platforms, their services around machine learning. But nobody knows how this thing is going to work out. Nobody has any idea -- as Ian correctly argues in his bestseller, ""Us versus Them"" -- that we have no idea in 2018 where we're at. Everyone has different positions. Bill Gates and Elon Musk argue that automation is so powerful, so inevitable, so all-consuming that it will create machines with consciousness. They will be our final invention. They will enslave us. Others argue that we shouldn't concern ourselves at all; that AI is actually rather impractical and that we are exaggerating. To quote, you know, the idea that we're living in these troubling times, of course, is a perpetual theme, a perpetual trope when it comes to readers of the New Yorkers. We pride ourselves on living in troubling times. That's what gives us our pleasure. And I'm afraid to tell you that we aren't. We're not living in any more troubling times than we've ever lived in. We've always created technology that dramatically changes the world, and we've always coped as human beings. One of the troubling things I think about what Ian was presenting is he's presenting us as somehow powerless in the face of this new technology, powerless in the face of automation and AI, powerless to shape our own world. What Ian is suggesting is that we don't have agency. And that is, of course, what computers don't have. Ada Lovelace, the 19th century mathematician who invented the very idea of software, famously said that the one thing software can't do is think for itself. It can't have consciousness. It can't have goals. It can't have agency. It's not human. And that is the reality in 2018, in 2038, and in 2138. The title of this debate is ""Automation will kill"" -- or will crash -- thank you, Robert -- will crash democracy. We need to define what automation is. We also need to define ""will."" It's not might. It's not could; it's ""will."" This is a debate which suggests that automation inevitably will crash democracy. It's as if some sort of computer software program -- that our societies will shut down because of AI. It doesn't take into account human beings. It doesn't take into account us. Automation, as I suggested, is AI -- is this profound revolution in Silicon Valley, but no more profound than the Industrial Revolution of the 19th century. We heard this argument before. We've always had pessimistic intellectuals like Ian tell us we live in profoundly troubling times. In the middle of the 19th century, we had exactly the same kind of whiners, telling us that industrialization -- -- would take away everything of value, undermine society, rural society, religion, masculinity, meaning, marriage, blah blah blah. And they were wrong, and they've always been wrong, because the nature of the human condition is to break things and then fix them. We've proved it in the industrial age and we will prove it in the age of automation. As Alina will talk about, there are many, many practical ways in which automation can actually enrich society. So, what exactly is ""Democracy?"" We know what automation is. Democracy is one of those slippery words. It's kind of like pornography. We know it when we see it, but we can't define it. I would suggest that democracy is this. Democracy is you guys voting. Democracy is thinking for yourselves and having the autonomy and freedom to shape your world, to articulate your interests. The important thing to bear in mind about this debate is that automation and democracy are entirely different things. Automation is bound up in the what might -- one might think of as the inevitable law of technological narrative. Well, as has been phrased in Silicon Valley, Moore's law -- M-O-O-R-E's law -- Gordon Moore of Intel. Democracy is what I define in my book, the bestseller, ""How to Fix the Future"" -- -- thank you, John --"
10,Andrew Keen,Thank you. Moore's law.
11,Yascha Mounk,"Should I start it's the bestselling -- no, I'm not going to do that. I love listening to technologists, don't you? You always learn so much. You learn, for example, that nothing bad has ever happened since 1800. I'm glad to hear that. They also just have a wonderful way of having their cake and eating it too. The last time I was in Silicon Valley and spoke to a bunch of more senior people there, they were telling me how amazing the world is going to be after the rise of technology. One of them said, ""Just wait five years."" And he pointed out a hotel window at a green field. ""We're going to have one machine building a house all on its own, and it's going to happen in five years, I promise."" And then you ask, ""What is that going to do to the political system? What's that going to do the economy?"" ""Oh, things will be fine somehow."" Does automation crash democracy? Well, crash is -- you know, it falls to the ground. Many might try and fix it somehow. That's about what Andrew Keen is saying. We're somehow going to fix it once we've crashed it; let's not worry too much about what it's going to look like. Now, let me be clear here about the nature of automation we're talking about, because the argument is always, ""Oh, people worry, and they've always worried, and it's going to be the same as it is in the past."" When you listen carefully to technologists, what they're saying is that we're facing a new kind of automation. That what we're going to get is the rise of a kind of general intelligence, a machine that can rival at least the human intelligence of an average person. And if that happens it is not just a normal technological shift that, you know, the scribes who used to write out books line by line are substituted by the printing machine or anything like that. It would actually mean that most people can no longer find employment. I don't know whether that's going to happen but that's what technologists telling me when I'm in San Francisco. And what I wanted to say today is some of the implications that'll follow if that is true, if 50 percent of jobs really do go away, if most people can no longer find employment. And my argument is very simple. Some of the people who have studied where democracy has been established around the world and where it has failed have come up with a very simple model. They've said democracy takes hold when the cost of tolerating democracy for elites is lower than the cost of quashing democracy. What will automation do? It'll systematically increase the cost of tolerating democracy for elites and decrease the costs of quashing democracy. Why is that the case? Well, the biggest cost to elites of democracy is having to share some of the wealth through progressive taxation, through distribution, and so on. And the more inequality there is in a society the more demand there is for redistribution. Well, as we have the rise of automation as the few people who still have the skills that are really needed can command huge salaries, as a few owners of the means of production, of robots, manage to get more and more of the gains of these technological developments, and as more and more people are out of a job, inequality in our society is going to skyrocket. And over time that'll obviously mean that the losers of these developments are going to demand to get a little bit more of a piece of a pie. Demands for redistribution are going to increase and the cost of tolerating democracy will as well. We might be able to deal with that but at the very same time you'll also see the costs of quashing democracy decrease. We've only ever had democracy in the time period from the French Revolution until today when political leaders needed citizen armies, when we could rely on average citizens to stand up to defend the country against enemies abroad and to keep the peace at home. But you will no longer need that if you have general intelligence because the robots can do that job for you. They can be your security guards. You no longer need to keep the bulk of society happy. You no longer need a middle-class workforce. For the last 150 years capital needed skilled people in the companies. They even needed the cleaner who came by towards the end of a workday to be well compensated enough that you would not be too disruptive and a little friendly to you. Well, if we get general intelligence you no longer need either of those things. You don't need a middle of a range workforce because machines are doing the job. You certainly no longer need a cleaner. So, once you get the incentives aligned in that way, the temptation for elites to say ""Why should we share more and more of our wealth? Why don't we just retreat to our nicely guarded gated communities guarded by robots?"" is going to increase more and more. Now I do think that human agency here is possible. I do think that if early enough we respond to all of this with sensible programs of economic redistribution we can actually save democracy. And this is what Andrew Keen is saying. He's saying ""You know what? It's fine. We're going to fix it somehow."" Well, how is our response to climate change going? How is our response to automation globalization going so far? My fear is that on the right of a political spectrum people will just say ""What we have to do to get more jobs is to slash corporate tax and get rid of regulation and somehow the jobs are going to come back up."" And what you might get on the left of a political spectrum is a bunch of promises about jobs guarantees and coming up with a bunch of fake jobs which have actually been automated away. Our ability to respond to this fundamental transformation in the economy if general intelligence does occur is very limited. And that's why it's not foreordained but quite likely that automation on that scale would indeed crash democracy."
12,Alina Polyakova,"Thank you, John. And thank you, Yascha, for starting to lay out my argument for me. That was -- that was very kind of you. So, I will give you this much. We are at the brink of the fourth industrial revolution. Some economic restructuring as we've seen in the past and we have periods of technological change is inevitable. And yes, it's inevitable that some jobs currently performed by humans will be frankly better performed by machines. But what's not inevitable in any way as Yascha says in his book, history is not linear. You know, we thought that we were all heading towards the end of history back in 1989. End of History, Fukuyama. And we're not at the end of history, right? So, we always tend to project from our current moment into the future. And frankly that's not how history works. So, the nightmare scenario what we have this deep inequality, the haves and have nots, robots are our overlords and we just tend to them, and this is the reality that, you know, our children and our children's children will face is not inevitable in any way. But how do we avoid the nightmare? Because it is a possibility, right? It is a possibility. Well, we avoid it exactly by not giving in to the fears and anxieties that are very human. If we turn away from the coming technological revolution, because it is coming at us like all technological revolutions have, democracies will be left in the dark. And we will give the space to authoritarian regimes like Russia and China to lead in this -- in this dimension. But if we resist that fear and we embrace technological change and we face it as a nation, as a people, as governments, as citizens then a new future is indeed possible. And as Ian says in his book, and I quote, history of personal experience shows that people give their best when the best is required of them. And that is indeed true. And that has been true for the -- since the end -- since the beginning of time. So just as we have smartphones and smart-homes we need to think about how do we have smart democracies? Because democratic systems can be more dynamic and are by design more flexible and adaptable to rapid change. Authoritarian regimes are not. Think about Russia and China, right? These are regimes that suppress dissent, that censor free speech online. These are the actions of very nervous, anxious societies that are fearful of the coming change. This is not what democracies are built on. Democracies are built on openness, plurality, resilience. And guess what? We have a huge comparative advantage here. We have the advantage that only in democracies can citizens mobilize, activate, and push their political leaders to get through the kinds of social policies that will make this difficult and challenging adjustment period much more smoother and much easier. Look back at history. Beginning of 20th century the United States went through a huge technological upheaval, right? And at the same time did we fall down on our knees? No. We survived, and we actually thrived. Right after that time the United States became the top economic power. It wrote the rules of the international order. And we became a much more inclusive universal society over the same time period. So, we have the handbook. We know how to get through the next technological revolution and we can, and we will do it again. And you know what? New technology is actually making it a lot easier, not harder. Think about the Parkland students from Florida just recently. Look at what they were able to achieve in a matter of weeks. This would have taken years in the past. Think about how much more and faster we could have gotten the civil rights movement and the women's rights movement if Facebook and Twitter existed in 1960s. Probably a lot further. So smart democracies will be those democracies that can combine the mass economic efficiencies and benefits that automation will offer inevitably with economic security for its citizens. And, you know, to be frank a post-automation society sounds pretty good, right? Humans evolved to be complex thinking machines. We did not evolve to hammer the same widget a thousand times, over and over again, 24 hours a day, seven days a week. Machines can do that for me. I'm fine with that, right? We will be liberated when we have machines doing these rote manual tasks for us. We will be able to actually fulfill our human potential and creativity, which we all inherently have. And it's not going to be about us versus them, as the title of Ian's book suggests. It's going to be us and them. It's about intelligence augmentation. So, IA versus artificial intelligence being the enemy -- or AI. Right? And you know, Andrew and I, we're not naive. We're not looking at the world through these rose-colored glasses. We are just people who refuse to give into fear-mongering when we don't actually know what the future holds. We refuse to give into paranoia. We're pragmatic realists, and we can look at the past and see that we have dealt with similar challenges before, and we can do it again. So, refuse with us. Vote no. Thank you."
13,Ian Bremmer,I didn't hear that from them. What I heard was that --
14,Alina Polyakova,No. That was correct.
15,Ian Bremmer,What I heard --
16,Ian Bremmer,"-- what I heard was that technology is going to create far more opportunities, all right? And I agree with that. I think globalization has been a very positive thing. I think it's a great system. It's by far the first economic system. Lots of growth, efficient trade, cheaper products -- except that a lot of people are left behind. The problem I have with globalization is not globalization. It's the deficit of the political system in responding to those people who are left behind. What I did not hear from the opposing team is that as automation grows -- not that there's a problem with technology, but no one is giving me any reason to believe that liberal democracies are going to be able to effectively respond politically to all of those people -- the far more that will be left behind. And I said exactly what Andrew quoted; he didn't misquote me, in my book. I said that we don't know if there are going to be more -- as many jobs or if jobs will be destroyed by automation and AI. But what we do know is that the jobs that are created -- however many they will be -- the people in our societies today are not trained for them. They are not prepared for them. And we also see absolutely nothing in our political system today in the United States, in Europe that is prepared to actually transform them. If we leave this many people behind over the last forty years, when the changes come comparatively incrementally when we have a sense of how many people are going to go and work in factories abroad? Do you think our political system is going to get better when the technologists on the other side say, ""We literally have no idea what's going to go ahead -- but the technology will be great. I'm sure the politics will work."" We have far too many technologists that are prepared to tell us that the politics will be just fine."
17,Ian Bremmer,"Historically, that's how we get into wars."
