,Speaker,Script,Round
0,Ian Bremmer,Not entirely.,
1,Ian Bremmer,The point being that Putin has become extraordinarily powerful at the expense at the Russian people and at the expense of the Russian nation.,
2,Ian Bremmer,Take it as you wish.,
3,Ian Bremmer,My partner is the inexplicably charismatic Edward Lucas.,
4,Edward Lucas,"Yes, there was a clue in the three letters in his resume, which went KGB. And I -- -- plenty of experience of them. And = didn’t -- = didn’t like that.",
5,Amb. Robert D. Blackwill,"Yes, more or less. We weren’t able to project the crisis and what would happen day by day, not least because the leaders in Moscow weren’t able to project the crisis and what would happen day by day. Vaclav :avel, the Czech leader at the time, said, “Things are happening so fast, we do not have time to be astonished.”",
6,Amb. Robert D. Blackwill,"Peter Hitchens -- well-known columnist, author, spent a lot of time thinking about and living in Russia. And I commend to you his columns in the Sunday Mail.",
7,Peter Hitchens,"Well, I think sometimes countries need sinister tyrants. And Russia is a country that needs a sinister tyrant now, having been through the dreadful debauchery and rape of the Yeltsin era, which we imposed upon it. It needs a sinister tyrant to --many, many Russians who love their country feel that way, and they've always preferred to be feared than pitied. And I think that's not an unreasonable position, and I quite understand it.I'm lucky enough to live in a country which doesn't need to be feared or pitied, but I would hate to be in a country that was pitied.",
8,Peter Hitchens,"Well, actually, I was born in Malta, a small island in the middle of the Mediterranean, but it's part of the British empire.",
9,Peter Hitchens,"But the British Empire has subsequently disappeared. So I -- what I live in is airstrip one, a small province of the European Union.",
10,Peter Hitchens,Formerly known as Great Britain.,
11,Edward Lucas,"Thanks very much, Mr. Chairman. Of course, Russia matters. It can't not matter. It's the largest country in the world by land mass. It's a $2 trillion economy, and it's a super power, not only a nuclear superpower but a cultural, scientific and linguistic one. The question is how to use that great potential. Does it maximize it in the mainstream of world affairs, or does it squander it on the sidelines? And it's my contention that Russia squanders its potential under the rule of Vladimir Putin. Now, we had great hopes 25 years ago in those glorious days when Peter and I were covering the collapse of the evil empire, that freed from the burden of communism, of the burden of imperial history, that Russia would take its rightful place as a great power in the mainstream world affairs. And it didn't happen. Now, I disagree with Peter. I don't think that we imposed something on Russia in the '90s. I think the Russian leadership squandered those chances with a mixture of corruption, spectacular corruption, nostalgia and paranoia, and it's got worse and worse as it's gone on. What has Russia got now to contribute to the great problems that are facing us? What does Russia have in the way of a constructive original solution on the law of the sea, space, climate change, internet freedom, development, world trade system, reforming world finance, ethics of medical research, or on security? What's it have to say about the Middle East? About wars in Africa, about how East Asia should cope with a rising China? I just ask my opponents if they can think of one constructive original contribution that Russia has made to these questions. It'd be great if they'd like to declare it because it's very easy to know what Russia's against. Russia's against the EU. It's against NATO. It's against modern organizations in general. It's against the West. So we know what Russia's against, but we don't know what Russia's for. Now, you may say, well, what Russia is for is sovereignty. It believes in the principle of nonintervention, and that's why it stands by and blocks sanctions against -- any sanctions against Syria that might have some effect on the terrible conflict there. But it's not consistent in this. It doesn't practice what it preaches. It's strongly against intervention when it comes to the West. But it's in favor of intervention, in fact, it loves intervention when it comes to the captive nations of the empire, perhaps the one countries that from all they suffered under Soviet rule, it should treat with the greatest sensitivity and respect. Now, I believe in principle that intervention is sometimes right. I think we should have intervened in Rwanda, for example, to stop the genocide. But I think it was a high buy. You have to produce some evidence if you're going to intervene, evidence of real human rights abuses. There's no other way of an intervention to try and solve them. But Russia hasn't done that in Ukraine. Russia hasn't produced any evidence at all. It asserts things, but it hasn't invoked international human rights organizations, it hasn't tried to negotiate with the Ukrainian government. Its intervention in Ukraine is decried by the very people it aims to help. We have the Russian Philological Society in eastern Ukraine appealing to Putin to hold back. We have all the Jewish organizations and all the chief rabbis writing an open letter to Putin saying, please don't do this. So he doesn't produce evidence. He doesn't produce arguments. He doesn't like engaging with the mainstream of the way the world works because he knows those arguments are phony, and the evidence is empty, and his chances are slim. I'd just like to -- as my opponents over there have been rather silent, to give them another question. Can you name one European country, one democracy that thinks what Russia is doing is right. In fact, okay, further, can you name one real friend that Russia has, a country that is friends with Russia because it wants to be, not because it has to be. So don't count Tajikistan, which has Russian troops on its territory. Don't count Armenia, which was arm-twisted into abandoning its deal with the European Union. Don't count Belarus which was strangled with the gas pipeline. Name a normal country, a country -- name a country, a country which actually says, yes, Russia, we share your views. We like you. Please don't mention Bashir Assad in Syria or Venezuela. Name a respectable country that is actually -- -- that actually likes Russia and says, ""Good job, Vladimir, we really like it.” Russia is a marginal power, and it's marginalized itself. It's not the West. We showered Yeltsin's Russia with money. Misfit, stolen and wasted, but we tried. We brought Russia into the G8. We set up the NATO Russia council. We brought Russia into the European security architect, the council of Europe, the OSC, all these organizations. And it hasn't worked because Russia doesn't want to be in the mainstream. Russia doesn't like having responsibilities. It doesn't like having rules. Itdoesn't like respecting other countries' rights. It likes doing things its own way, and that's a terrible misfortune for Russia's neighbors, and it's a terrible misfortune for the -- for the people of Russia. Now, I don't want to intrude too much on private grief, but I'd just like to ask you to share -- spare a thought for a moment for our opponents here, because they would love to believe that Putin had done something right, that maybe he'd sort of modernized Russia, he'd sort of stabilized Russia. He'd maybe repaired Russia's infrastructure, that he'd made Russia a power that could be respected, and it hasn't happened. The Putin years have been 14 years of terrible missed opportunity. More than a trillion dollars of excess oil and gas revenues came flooding into the coffers of the Russian federation. At the end of it, you still can't drive from one end of Russia to the other. But who's to blame for that? Not the West, not the outside world. You have to blame the crooks, the thugs, the spooks and the cronies who have been misruling Russia, losing of tens of billions dollars a year, sometimes I admit with our complicity, laundered in the city of London, in Austria, maybe even New York, who knows? It's been a catastrophe. We should not approach this debate in some kind of tale of sneering triumphalism. It's not that we're pleased that Russia's on the sidelines. It's a tragedy. We need Russia to be playing a role in the mainstream of world policies, in the mainstream of world affairs, and it's not happening. One day maybe it will. But for the time being, ladies and gentlemen, Russia is a marginal power.",
12,Peter Hitchens,"Well, good evening, or dobryy vecher as they say in the Kremlin. I feel a bit underdressed for this occasion. I haven't brought my order of the Red banner, but I'm sure Edward will have ordered me one by the end of the evening. All right. Edward and I hugely enjoyed the Cold War. I enjoyed particularly as an ex-Trotskyist, I loathed the Soviet regime from that point of view, and then later on as afervent Cold Warrior and a genuine believer in the truth that the Soviet Union was an evil empire. It was an evil empire. There's no question about it. And anybody who doubts it should have seen what I saw. But the problem of enjoying the Cold War and if we’d like to get a party together to go and put the Berlin wall up again tonight, I'll be at the head of it because it was, in many ways, extremely enjoyable for journalists and a wonderful moment in which we all knew which side we were on. Enjoying the Cold War as much as we did as a pleasure is that we forget that we ought to look upon it in one or two other rather important ways. There was a very, very important moment in the early years of Mikhail Gorbachev when he was dismantling the Soviet Union, when he came under attack from a group of American conservative journalists who kept on saying, ""We don't believe this. We don't believe that you're doing to the Soviet Union what we say that you are.” And he just sat there smiling silkily as he did. And eventually he said, ""Gentlemen, I'm terribly sorry. We have done to you the worst thing, the most unkind thing we could possibly have done to anybody. We have deprived you of an enemy."" And this was what happened in 1991. We were deprived of an enemy. I was in Moscow on that lovely sunny Monday morning in August 1991. I came out of my block of flats, my neighbors were the Brezhnev family and the Andropov family. I came out of my block of flats, onto my street, Prospect, and down the street were coming tanks, in the slanting sunshine, with their barrels pointing towards the center of Moscow, rolling down, kicking up dust, a very strangely moving sight. And I saw Moscow through all the following days as collapsed utterly. And one particular scene is burned upon my memory, and that is this, that in every trashcan in the city, every single trashcan was full to the brim of communist party membership cards burning. It was over. There was no question in my mind that it was over. This was not the Soviet Union, it was Russia. A year later, I was allowed to go into the closed city, as it then was, of Sevastopol, to see what was left of the Soviet navy, Admiral Gorshkov's great global blue water navy, the principal instrument of power projection of the Soviet Union, in its struggle for mastery of the planet with the United States. And in every creek and inlet around Sevastopol were sunken ships, ships downed by the bow, ships downed by the stern, ships canting over at degree -- at 45 degrees, abandoned, wrecked, finished, over, dead, gone. So we have the communist party gone, and we have the world power gone. And then we have this extraordinary era in which I'm afraid Edward has been a little bit, how shall I say, ""kind,"" to the West, in which we said to the Russians that, ""We must now have in Russia democracy, and we must now have capitalism.” And we indeed showered them with money and stupid advice, paying very little attention to what that country really needed, which was the rule of law and liberty. And that whole era is now known to most Russians who lived through it when it was a time of debauched currency, hopeless, terrible corruption, misery and theft, the loss of their homes, the loss of their jobs, the wiping out of their savings overnight. They refer to it -- you'll know the Russians, their democracy is -- demokratiya . They refer to it as ""dermokratiya,"" which I will translate politely as the ""rule of excrement."" That is the view of most Russians of what they went through. I will end with another reminiscence because this is very important in understanding why it is that Russia now so very much desires to be left alone. The other reminiscence is in my first week in Moscow, I went to a film being shown in the Cosmos Cinema. And it was a film called, "","" which means approximately, ""We can't go on living like this.” It was made by a man called Stanislav Govorukhin, who was a great friend of Alexander Solzhenitsyn. And it went through in great detail -- and it's a disgrace that no Western cinema and no Western TV stations ever shown this film because it's so graphic -- it went through in great detail the horrible misery, corruption, oppression, and lies of the Soviet Union. And I became aware as I sat watching this that everybody in the cinema was weeping. For the first time, they had been allowed to see in detail the truth about the disastrous country in which they'd been living. Now what they want is actually to be left alone, to be Russia, a country which will exist whatever you do to it. You might as well try and remove the Himalayas with a teaspoon as to remove Russia from the international, diplomatic, or military, or economic landscape. It simply is not going to go away. And to pretend that it will and to impose on it Carthaginian treaties, when its territory is taken away and it's pushed up to the same borders, imposed on it by Keiser Wilhelm in 1918 is not going to work. But the thing to remember about that film is that during the lastelection in which Vladimir Putin won, one of his key supporters was Stanislav Govorukhin, friend of Solzhenitsyn. And he said, ""I'm supporting Putin because under Yeltsin we had disgusting hopeless misery and debauchery. Under Vladimir Putin we have normal corruption."" And that was not a feeling which was unshared by millions and millions of Russians. He spoke for them. When Putin was elected, it wasn't entirely undemocratic. I a very simple point here. Here we are in a country which has the Pacific Ocean on one side, the Atlantic Ocean on the other, Mexico at the bottom, and Canada at the top. Now, just imagine for a moment that you didn't have that, you had Germany on side and China on the other and Japan breathing down your neck, and that you didn't have a gigantic global navy or an enormous amount of physical wealth, but you actually had to cope with the fact that you had dangerous neighbors, you might be less concerned with fanciful global ideas of wonderful global international cooperation, and you might be more concerned with the simple straightforward issue of whether you could survive defensibly as a country, a society, an economy, and a culture. You would be closer to the truth than you are here in this extraordinary, wonderfully protected paradise. Ladies and gentlemen, Russia is not a marginal power. Please do vote against this motion. It is a very foolish motion indeed.",1
